地区,新增,累计,治愈,死亡
美国,71405,32536470,25105535,582456
印度,288956,15616130,13276039,182570
巴西,34642,14050885,12561689,378530
法国,6696,5339920,4181006,101597
俄罗斯,8164,4718854,4343229,106307
英国,2963,4393307,14054,127307
土耳其,55149,4384624,3792129,36613
意大利,8863,3891063,3290715,117633
西班牙,21071,3435840,3147281,77216
德国,20494,3180810,2824100,81086
阿根廷,20461,2743620,2407853,59792
波兰,9244,2704571,2354652,62734
哥伦比亚,14189,2684101,2505738,69177
墨西哥,1308,2311172,1836377,213048
伊朗,25492,2286927,1810531,67525
乌克兰,8940,1974118,1514472,40796
秘鲁,3030,1719088,1645100,57954
印度尼西亚,5549,1614849,1468142,43777
捷克,3319,1606030,1515106,28640
南非,744,1568366,1494630,53887
荷兰,6822,1417772,1184580,16965
加拿大,9342,1139043,1027458,23713
智利,11717,1136435,1067662,25317
罗马尼亚,2931,1034003,950242,26618
伊拉克,8208,993158,870927,15060
比利时,1630,955056,813224,23834
菲律宾,7361,953106,809959,16141
瑞典,0,916830,741716,13825
以色列,149,837357,828902,6345
葡萄牙,424,831645,790118,16951
巴基斯坦,5445,772381,672619,16600
匈牙利,1645,754833,461181,25580
孟加拉国,4559,727780,628111,10588
约旦,2699,692181,649718,8372
塞尔维亚,2965,667937,599380,6058
瑞士,2141,639445,570159,10532
奥地利,2026,597566,560492,9959
日本,4350,542256,486076,9724
黎巴嫩,995,513006,432548,6995
摩洛哥,138,506669,492725,8959
阿拉伯联合酋长国,1903,500860,483180,1559
沙特阿拉伯,1070,407010,390538,6846
保加利亚,2434,390911,314273,15518
马来西亚,2341,379473,356816,1389
斯洛伐克,642,376709,255300,11244
巴拿马,203,361319,351228,6192
厄瓜多尔,17,361154,309541,17744
白俄罗斯,888,345998,336227,2443
希腊,3750,320629,278690,9627
克罗地亚,2106,310306,289664,6643
阿塞拜疆,2197,303858,267485,4203
格鲁吉亚,1792,297728,282237,3959
哈萨克斯坦,2530,294946,252598,3459
玻利维亚,1296,291675,240336,12695
突尼斯,1571,289230,239104,9918
尼泊尔,1667,287567,275806,3102
巴勒斯坦,3539,284280,251663,3078
多米尼加,719,261848,219262,3426
科威特,1510,259868,243056,1468
巴拉圭,2278,255046,209754,5470
摩尔多瓦,341,246691,233281,5616
埃塞俄比亚,1603,245155,181935,3439
爱尔兰,403,244297,225752,4847
丹麦,691,244065,232191,2463
立陶宛,1151,235383,213118,3785
斯洛文尼亚,720,233031,216528,4172
哥斯达黎加,2260,231967,199166,3104
埃及,852,218041,164368,12820
危地马拉,1966,214700,192519,7279
亚美尼亚,667,209485,189688,3919
洪都拉斯,742,202413,76446,4976
卡塔尔,0,198361,175431,391
波黑,0,191876,149273,8025
委内瑞拉,1405,185736,168418,1944
阿曼,1263,182693,162656,1909
利比亚,625,173089,158352,2919
乌拉圭,2289,169327,139590,2022
巴林,1008,166157,154711,605
尼日利亚,70,164423,154406,2061
肯尼亚,629,152523,103838,2519
北马其顿,766,147995,124828,4509
缅甸,16,142644,131903,3206
阿尔巴尼亚,100,129842,102601,2353
阿尔及利亚,163,119992,83636,3165
爱沙尼亚,535,118317,103586,1104
韩国,549,115926,105877,1806
拉脱维亚,688,112224,102290,2071
挪威,575,108342,88952,709
斯里兰卡,0,97472,93547,625
黑山,199,95894,91403,1441
古巴,1183,95754,90067,538
吉尔吉斯斯坦,0,92626,87390,1561
加纳,0,91709,89604,771
赞比亚,0,91042,88900,1236
乌兹别克斯坦,243,87551,84717,640
芬兰,214,84501,46000,893
莫桑比克,25,69309,62323,802
萨尔瓦多,0,67851,63982,2086
卢森堡,175,65319,61594,786
喀麦隆,0,64809,57821,939
新加坡,14,60865,60540,30
阿富汗,176,58214,52272,2557
塞浦路斯,822,58022,39061,295
纳米比亚,118,46875,44953,608
泰国,1443,46643,29371,110
科特迪瓦,10,45614,45199,275
博茨瓦纳,627,44702,39733,684
牙买加,118,44254,19962,738
乌干达,18,41422,40898,341
塞内加尔,15,39836,38600,1095
津巴布韦,108,37875,35058,1554
马拉维,18,33968,31810,1142
马达加斯加,404,33202,26291,563
苏丹,454,32546,26248,2287
马耳他,13,30039,29065,411
澳大利亚,19,29574,26454,910
刚果（金）,0,29084,26108,748
马尔代夫,157,26667,23803,71
蒙古国,1311,25364,13346,56
安哥拉,129,24661,22647,565
卢旺达,46,24005,22560,327
加蓬,174,22032,18706,136
几内亚,173,21633,18991,139
叙利亚,137,21433,15088,1468
佛得角,161,20781,18350,194
马约特,0,19849,2964,169
留尼汪岛,0,19343,17653,141
法属波利尼西亚,12,18720,4842,141
斯威士兰,0,18417,17718,671
法属圭亚那,180,18261,9995,96
毛里塔尼亚,13,18156,17519,454
索马里,245,13324,5518,678
马里,75,13246,7613,444
布基纳法索,19,13167,12812,155
海地,0,12918,11791,251
安道尔,69,12874,12285,123
瓜德罗普,0,12717,2242,176
多哥,20,12610,10350,121
伯利兹,20,12568,12161,318
圭亚那合作共和国,38,11972,10297,273
库拉索,21,11934,9572,94
马提尼克,0,10611,98,68
吉布提,50,10557,9607,123
南苏丹,5,10478,10215,114
阿鲁巴,21,10399,9932,94
刚果（布）,0,10084,8208,139
巴布亚新几内亚,214,9952,7364,91
巴哈马,157,9791,9059,194
苏里南,36,9687,8900,188
特立尼达和多巴哥,24,9135,7996,157
贝宁,0,7720,7510,97
赤道几内亚,0,7505,7016,106
柬埔寨,431,7444,2555,49
尼加拉瓜,0,6835,4225,181
冰岛,21,6350,6208,29
