date,累计确诊,治愈,死亡,新增确诊
2020.4.20,6,2,0,1
2020.4.22,7,2,0,1
2020.4.26,7,4,0,0
2020.5.10,9,5,0,2
2020.5.11,11,5,0,2
2020.5.13,15,5,0,4
2020.5.16,21,5,0,0
2020.5.17,21,5,0,0
2020.5.18,21,5,0,0
2020.5.19,21,5,0,0
2020.5.20,21,5,0,0
2020.5.21,21,6,0,0
2020.5.22,21,6,0,0
2020.5.23,24,6,0,3
2020.5.24,24,6,0,0
2020.5.25,27,6,0,3
2020.5.26,27,6,0,0
2020.5.27,28,6,0,1
2020.5.28,31,6,0,3
2020.5.29,31,6,0,0
2020.5.30,33,6,0,2
2020.5.31,43,6,0,10
2020.6.1,43,6,0,0
2020.6.2,47,9,0,4
2020.6.3,47,9,0,0
2020.6.4,47,9,0,0
2020.6.5,48,11,0,1
2020.6.6,48,11,0,0
2020.6.7,48,11,0,0
2020.6.8,59,14,0,11
2020.6.9,59,17,0,0
2020.6.10,59,18,0,0
2020.6.11,62,18,0,3
2020.6.12,62,19,0,0
2020.6.13,62,20,0,0
2020.6.14,66,21,0,4
2020.6.15,66,22,0,0
2020.6.16,67,22,0,1
2020.6.17,67,24,0,0
2020.6.18,67,25,0,0
2020.6.19,67,25,0,0
2020.6.20,68,28,0,1
2020.6.21,68,30,0,0
2020.6.22,68,32,0,0
2020.6.23,69,32,0,1
2020.6.24,70,34,0,1
2020.6.25,70,34,0,0
2020.6.26,70,38,0,0
2020.6.27,75,38,0,5
2020.6.28,76,38,0,1
2020.6.29,76,44,0,0
2020.6.30,77,44,0,1
2020.7.1,77,48,0,0
2020.7.2,77,50,0,0
2020.7.3,77,50,0,0
2020.7.4,78,51,0,1
2020.7.5,78,51,0,0
2020.7.6,80,53,0,2
2020.7.7,80,54,0,0
2020.7.8,80,55,0,0
2020.7.9,80,55,0,0
2020.7.10,80,55,0,0
2020.7.11,82,57,0,2
2020.7.12,82,76,0,0
2020.7.13,84,76,0,2
2020.7.14,84,78,0,0
2020.7.15,84,78,0,0
2020.7.16,84,78,0,0
2020.7.17,86,78,0,2
2020.7.18,87,78,0,1
2020.7.19,87,80,0,0
2020.7.20,89,82,0,2
2020.7.21,90,83,0,1
2020.7.22,92,83,0,2
2020.7.23,92,83,0,0
2020.7.24,92,83,0,0
2020.7.25,92,85,0,0
2020.7.26,93,85,0,1
2020.7.27,95,85,0,2
2020.7.28,99,86,0,4
2020.7.29,99,86,0,0
2020.7.30,101,88,0,2
2020.7.31,101,88,0,0
2020.8.1,101,89,0,0
2020.8.2,102,89,0,1
2020.8.3,103,89,0,1
2020.8.4,103,90,0,0
2020.8.5,105,93,0,2
2020.8.6,105,93,0,0
2020.8.7,108,96,0,3
2020.8.8,108,96,0,0
2020.8.9,108,96,0,0
2020.8.10,110,96,0,2
2020.8.11,113,97,0,3
2020.8.12,113,97,0,0
2020.8.13,128,100,0,15
2020.8.14,128,100,0,0
2020.8.15,133,102,0,5
2020.8.16,138,102,0,5
2020.8.17,141,103,0,3
2020.8.18,146,103,0,5
2020.8.19,147,103,0,1
2020.8.20,150,105,0,3
2020.8.21,153,108,0,3
2020.8.22,154,110,0,1
2020.8.23,155,112,0,1
2020.8.24,155,115,0,0
2020.8.25,156,117,0,1
2020.8.26,173,118,0,17
2020.8.27,183,118,0,10
2020.8.28,184,119,0,1
2020.8.29,195,135,0,11
2020.8.30,195,135,0,0
2020.8.31,224,140,0,29
2020.9.1,225,142,0,1
2020.9.2,227,142,0,2
2020.9.3,227,144,0,0
2020.9.4,227,150,0,0
2020.9.5,228,150,0,1
2020.9.6,228,150,0,0
2020.9.7,230,151,0,2
2020.9.8,233,151,0,3
2020.9.9,234,153,0,1
2020.9.10,234,155,0,0
2020.9.11,238,155,0,4
2020.9.12,241,158,0,3
2020.9.13,244,159,0,3
2020.9.14,245,161,0,1
2020.9.15,246,173,0,1
2020.9.16,246,175,0,0
2020.9.17,246,175,0,0
2020.9.18,252,182,0,6
2020.9.19,258,186,0,6
2020.9.20,259,190,0,1
2020.9.21,261,192,0,2
2020.9.22,261,194,0,0
2020.9.23,261,195,0,0
2020.9.24,261,196,0,0
2020.9.25,263,198,0,2
2020.9.26,263,199,0,0
