date,累计确诊,治愈,死亡,新增确诊
2020.4.9,2,1,0,1
2020.4.12,4,1,0,2
2020.4.13,6,1,0,2
2020.4.14,8,1,0,2
2020.4.15,18,1,0,10
2020.4.18,19,1,0,1
2020.4.19,22,1,0,3
2020.4.24,24,2,0,1
2020.4.28,24,6,0,0
2020.4.30,24,16,0,0
2020.5.15,24,24,0,0
2020.5.16,24,24,0,0
2020.5.18,24,24,0,0
2020.5.19,24,24,0,0
2020.5.20,24,24,0,0
2020.5.21,24,24,0,0
2020.5.22,24,24,0,0
2020.5.23,24,24,0,0
2020.5.24,24,24,0,0
2020.5.25,24,24,0,0
2020.5.26,24,24,0,0
2020.5.27,24,24,0,0
2020.5.28,24,24,0,0
2020.5.29,24,24,0,0
2020.5.30,24,24,0,0
2020.5.31,24,24,0,0
2020.6.1,24,24,0,0
2020.6.2,24,24,0,0
2020.6.3,24,24,0,0
2020.6.4,24,24,0,0
2020.6.5,24,24,0,0
2020.6.6,24,24,0,0
2020.6.7,24,24,0,0
2020.6.8,24,24,0,0
2020.6.9,24,24,0,0
2020.6.10,24,24,0,0
2020.6.11,24,24,0,0
2020.6.12,24,24,0,0
2020.6.13,24,24,0,0
2020.6.14,24,24,0,0
2020.6.15,24,24,0,0
2020.6.16,24,24,0,0
2020.6.17,24,24,0,0
2020.6.18,24,24,0,0
2020.6.19,24,24,0,0
2020.6.20,24,24,0,0
2020.6.21,24,24,0,0
2020.6.22,24,24,0,0
2020.6.23,24,24,0,0
2020.6.24,24,24,0,0
2020.6.25,24,24,0,0
2020.6.26,24,24,0,0
2020.6.27,24,24,0,0
2020.6.28,24,24,0,0
2020.6.29,24,24,0,0
2020.6.30,24,24,0,0
2020.7.1,24,24,0,0
2020.7.2,24,24,0,0
2020.7.3,24,24,0,0
2020.7.4,24,24,0,0
2020.7.5,24,24,0,0
2020.7.6,24,24,0,0
2020.7.7,24,24,0,0
2020.7.8,24,24,0,0
2020.7.9,24,24,0,0
2020.7.10,24,24,0,0
2020.7.11,24,24,0,0
2020.7.12,24,24,0,0
2020.7.13,24,24,0,0
2020.7.14,24,24,0,0
2020.7.15,24,24,0,0
2020.7.16,24,24,0,0
2020.7.17,24,24,0,0
2020.7.18,24,24,0,0
2020.7.19,24,24,0,0
2020.7.20,24,24,0,0
2020.7.21,24,24,0,0
2020.7.22,24,24,0,0
2020.7.23,24,24,0,0
2020.7.24,24,24,0,0
2020.7.25,24,24,0,0
2020.7.26,24,24,0,0
2020.7.27,24,24,0,0
2020.7.28,24,24,0,0
2020.7.29,24,24,0,0
2020.7.30,24,24,0,0
2020.7.31,24,24,0,0
2020.8.1,24,24,0,0
2020.8.2,24,24,0,0
2020.8.3,24,24,0,0
2020.8.4,24,24,0,0
2020.8.5,25,24,0,1
2020.8.6,25,24,0,0
2020.8.7,25,24,0,0
2020.8.8,25,24,0,0
2020.8.9,25,24,0,0
2020.8.10,25,24,0,0
2020.8.11,25,24,0,0
2020.8.12,25,24,0,0
2020.8.13,25,24,0,0
2020.8.14,25,24,0,0
2020.8.15,25,24,0,0
2020.8.16,25,24,0,0
2020.8.17,25,24,0,0
2020.8.18,25,24,0,0
2020.8.19,25,25,0,0
2020.8.20,25,25,0,0
2020.8.21,25,25,0,0
2020.8.22,26,25,0,1
2020.8.23,26,25,0,0
2020.8.24,26,25,0,0
2020.8.25,26,25,0,0
2020.8.26,26,25,0,0
2020.8.27,27,25,0,1
2020.8.28,27,25,0,0
2020.8.29,27,25,0,0
2020.8.30,27,25,0,0
2020.8.31,27,25,0,0
2020.9.1,27,25,0,0
2020.9.2,27,25,0,0
2020.9.3,27,25,0,0
2020.9.4,27,25,0,0
2020.9.5,27,25,0,0
2020.9.6,27,25,0,0
2020.9.7,27,25,0,0
2020.9.8,27,25,0,0
2020.9.9,27,25,0,0
2020.9.10,27,25,0,0
2020.9.11,27,25,0,0
2020.9.12,27,25,0,0
2020.9.13,27,25,0,0
2020.9.14,27,26,0,0
2020.9.15,27,26,0,0
2020.9.16,27,26,0,0
2020.9.17,27,26,0,0
2020.9.18,27,26,0,0
2020.9.19,27,26,0,0
2020.9.20,27,26,0,0
2020.9.21,27,26,0,0
2020.9.22,27,27,0,0
2020.9.23,27,27,0,0
2020.9.24,27,27,0,0
2020.9.25,27,27,0,0
2020.9.26,27,27,0,0
2020.9.27,27,27,0,0
2020.9.28,27,27,0,0
2020.9.29,28,27,0,1
2020.9.30,28,28,0,0
2020.10.1,28,28,0,0
2020.10.2,28,28,0,0
2020.10.3,28,28,0,0
2020.10.4,28,28,0,0
2020.10.5,28,28,0,0
2020.10.6,28,28,0,0
2020.10.7,28,28,0,0
2020.10.8,28,28,0,0
2020.10.9,28,28,0,0
2020.10.10,28,28,0,0
2020.10.11,28,28,0,0
2020.10.12,29,28,0,1
2020.10.13,29,28,0,0
2020.10.14,29,28,0,0
2020.10.15,29,28,0,0
2020.10.16,29,28,0,0
2020.10.17,29,28,0,0
2020.10.18,29,28,0,0
2020.10.19,29,28,0,0
2020.10.20,29,28,0,0
2020.10.21,29,28,0,0
2020.10.22,29,28,0,0
2020.10.23,29,28,0,0
2020.10.24,29,28,0,0
2020.10.25,29,28,0,0
2020.10.26,29,28,0,0
2020.10.27,30,29,0,1
2020.10.28,30,29,0,0
2020.10.29,30,29,0,0
2020.10.30,30,29,0,0
2020.10.31,30,29,0,0
2020.11.1,30,29,0,0
2020.11.2,30,29,0,0
2020.11.3,30,29,0,0
2020.11.4,30,29,0,0
2020.11.5,30,29,0,0
2020.11.6,30,29,0,0
