date,累计确诊,治愈,死亡,新增确诊
2020.4.8,11,3,0,1
2020.4.12,11,3,0,3
2020.4.15,12,4,0,1
2020.4.18,12,10,0,0
2020.4.20,14,10,0,2
2020.4.22,16,10,0,2
2020.4.23,19,10,0,2
2020.4.26,41,10,0,22
2020.4.28,50,10,0,9
2020.4.30,64,10,0,14
2020.5.1,72,10,0,8
2020.5.3,85,10,0,13
2020.5.5,94,10,0,9
2020.5.15,301,13,0,158
2020.5.16,327,13,0,26
2020.5.18,327,13,0,0
2020.5.19,366,18,0,39
2020.5.20,366,18,0,0
2020.5.21,418,18,0,52
2020.5.22,436,18,0,18
2020.5.23,552,18,1,116
2020.5.24,552,18,1,0
2020.5.25,604,22,1,52
2020.5.26,652,22,1,48
2020.5.27,671,22,1,19
2020.5.28,702,23,1,31
2020.5.29,755,23,1,53
2020.5.30,874,23,1,119
2020.5.31,1011,23,2,137
2020.6.1,1011,23,2,0
2020.6.2,1069,23,4,58
2020.6.3,1173,23,4,104
2020.6.4,1173,23,4,0
2020.6.5,1288,23,4,115
2020.6.6,1451,29,4,163
2020.6.7,1570,37,5,119
2020.6.8,1634,38,5,64
2020.6.9,1850,38,5,216
2020.6.10,1888,38,5,38
2020.6.11,1952,38,5,64
2020.6.12,2044,360,7,92
2020.6.13,2057,363,7,13
2020.6.14,2057,363,7,0
2020.6.15,2222,369,7,165
2020.6.16,2289,382,10,67
2020.6.17,2410,396,14,121
2020.6.18,2564,402,18,154
2020.6.19,2605,417,19,41
2020.6.20,2686,420,19,81
2020.6.21,2808,472,23,122
2020.6.22,2808,472,23,0
2020.6.23,2963,495,30,155
2020.6.24,3051,522,37,88
2020.6.25,3099,572,38,48
2020.6.26,3244,607,40,145
2020.6.27,3340,661,40,96
2020.6.28,3429,699,45,89
2020.6.29,3429,699,45,0
2020.6.30,3613,773,47,184
2020.7.1,3745,787,47,132
2020.7.2,3788,810,47,43
2020.7.3,3823,816,48,35
2020.7.4,3918,859,48,95
2020.7.5,3969,914,48,51
2020.7.6,3969,914,48,0
2020.7.7,4033,970,52,64
2020.7.8,4071,976,52,38
2020.7.9,4109,1050,52,38
2020.7.10,4200,1142,52,91
2020.7.11,4259,1142,53,59
2020.7.12,4288,1145,53,29
2020.7.13,4288,1145,53,0
2020.7.14,4321,1208,53,33
2020.7.15,4356,1229,53,35
2020.7.16,4362,1261,53,6
2020.7.17,4373,1265,53,11
2020.7.18,4389,1288,53,16
2020.7.19,4485,1348,55,96
2020.7.20,4485,1348,55,0
2020.7.21,4548,1400,55,63
2020.7.22,4561,1411,55,13
2020.7.23,4574,1437,57,13
2020.7.24,4590,1452,58,16
2020.7.25,4593,1483,59,3
2020.7.26,4598,1506,59,5
2020.7.27,4599,1546,59,1
2020.7.28,4599,1546,59,0
2020.7.29,4599,1546,59,0
2020.7.30,4605,1574,59,6
2020.7.31,4605,1574,59,0
2020.8.1,4608,1606,59,3
2020.8.2,4614,1635,59,6
2020.8.3,4614,1635,59,0
2020.8.4,4614,1635,59,0
2020.8.5,4618,1640,59,4
2020.8.6,4618,1640,59,0
2020.8.7,4620,1641,59,2
2020.8.8,4641,1716,59,21
2020.8.9,4641,1716,59,0
2020.8.10,4641,1721,60,0
2020.8.11,4641,1721,60,0
2020.8.12,4645,1723,61,4
2020.8.13,4652,1728,61,7
2020.8.14,4652,1728,61,0
2020.8.15,4652,1728,61,0
2020.8.16,4652,1728,61,0
2020.8.17,4652,1728,61,0
2020.8.18,4667,1748,61,15
2020.8.19,4679,1755,61,12
2020.8.20,4679,1755,61,0
2020.8.21,4679,1755,61,0
2020.8.22,4679,1755,61,0
2020.8.23,4679,1755,61,0
2020.8.24,4679,1755,61,0
2020.8.25,4679,1755,61,0
2020.8.26,4691,1773,61,12
2020.8.27,4698,1778,61,7
2020.8.28,4698,1782,61,0
2020.8.29,4700,1784,61,2
2020.8.30,4700,1784,61,0
2020.8.31,4700,1784,61,0
2020.9.1,4711,1790,62,11
2020.9.2,4711,1790,62,0
2020.9.3,4712,1803,62,1
2020.9.4,4729,1807,62,17
2020.9.5,4729,1818,62,0
2020.9.6,4729,1818,62,0
2020.9.7,4729,1818,62,0
2020.9.8,4729,1818,62,0
2020.9.9,4735,1825,62,6
2020.9.10,4736,1825,62,1
2020.9.11,4747,1825,62,11
2020.9.12,4749,1825,62,2
2020.9.13,4749,1825,62,0
2020.9.14,4749,1825,62,0
2020.9.15,4772,1828,62,23
2020.9.16,4772,1828,62,0
2020.9.17,4782,1830,62,10
2020.9.18,4782,1830,62,0
2020.9.19,4786,1830,62,4
2020.9.20,4786,1830,62,0
2020.9.21,4786,1830,62,0
2020.9.22,4786,1830,62,0
2020.9.23,4802,1830,62,16
2020.9.24,4802,1830,62,0
2020.9.25,4804,1837,62,2
2020.9.26,4806,1840,62,2
2020.9.27,4806,1840,62,0
2020.9.28,4806,1840,62,0
2020.9.29,4806,1840,62,0
2020.9.30,4806,1840,62,0
2020.10.1,4829,1914,62,23
2020.10.2,4829,1914,62,0
2020.10.3,4829,1914,62,0
2020.10.4,4845,1914,62,16
2020.10.5,4845,1914,62,0
2020.10.6,4852,1914,62,7
2020.10.7,4852,1914,62,0
2020.10.8,4852,1914,62,0
2020.10.9,4853,1914,62,1
2020.10.10,4853,1914,62,0
2020.10.11,4854,1924,62,1
2020.10.12,4854,1924,62,0
2020.10.13,4854,1924,62,0
2020.10.14,4854,1924,62,0
2020.10.15,4855,1924,62,1
2020.10.16,4855,1924,62,0
2020.10.17,4855,1924,62,0
2020.10.18,4855,1924,62,0
2020.10.19,4855,1924,62,0
2020.10.20,4856,1924,62,1
2020.10.21,4858,1924,62,2
2020.10.22,4858,1924,62,0
2020.10.23,4862,1924,62,4
2020.10.24,4862,1924,62,0
2020.10.25,4862,1924,62,0
2020.10.26,4862,1924,62,0
2020.10.27,4863,1924,62,1
2020.10.28,4863,1924,62,0
2020.10.29,4863,1924,62,0
2020.10.30,4863,1924,62,0
2020.10.31,4866,1924,62,3
2020.11.1,4866,1924,62,0
2020.11.2,4866,1924,62,0
2020.11.3,4866,1924,62,0
2020.11.4,4866,1924,62,0
2020.11.5,4866,1924,62,0
2020.11.6,4866,1924,62,0
2020.11.7,4866,1924,62,0
2020.11.8,4879,1924,62,13
2020.11.9,4879,1924,62,0
2020.11.10,4880,1924,62,1
2020.11.11,4884,1924,62,4
2020.11.12,4884,1924,62,0
2020.11.13,4888,1924,62,4
2020.11.14,4888,1924,62,0
2020.11.15,4896,1924,63,8
2020.11.16,4900,1924,63,4
2020.11.17,4900,1924,63,0
2020.11.18,4900,1924,63,0
2020.11.19,4900,1924,63,0
2020.11.20,4907,1924,63,7
2020.11.21,4911,1924,63,4
2020.11.22,4911,1924,63,0
2020.11.23,4911,1924,63,0
2020.11.24,4911,1924,63,0
2020.11.25,4911,1924,63,0
2020.11.26,4911,1924,63,0
2020.11.27,4913,1924,63,2
2020.11.28,4913,1924,63,0
2020.11.29,4913,1924,63,0
2020.11.30,4913,1924,63,0
2020.12.1,4913,1924,63,0
2020.12.2,4918,1924,63,5
2020.12.3,4918,1924,63,0
2020.12.4,4918,1924,63,0
2020.12.5,4918,1924,63,0
2020.12.6,4922,1924,63,4
2020.12.7,4922,1924,63,0
2020.12.8,4922,1924,63,0
2020.12.9,4927,1924,63,5
2020.12.10,4927,1924,63,0
2020.12.11,4927,1924,63,0
2020.12.12,4936,1924,63,9
2020.12.13,4936,1924,63,0
2020.12.14,4936,1924,63,0
2020.12.15,4936,1924,63,0
2020.12.16,4936,1924,63,0
2020.12.17,4936,1924,63,0
2020.12.18,4936,1924,63,0
2020.12.19,4936,1924,63,0
2020.12.20,4936,1924,63,0
2020.12.21,4936,1924,63,0
2020.12.22,4936,1924,63,0
2020.12.23,4936,1924,63,0
2020.12.24,4948,1924,63,12
2020.12.25,4948,1924,63,0
2020.12.26,4948,1924,63,0
2020.12.27,4948,1924,63,0
2020.12.28,4948,1924,63,0
2020.12.29,4948,1924,63,0
2020.12.30,4961,1924,63,13
2020.12.31,4963,1924,63,2
2021.1.1,4963,1924,63,0
2021.1.2,4963,1924,63,0
2021.1.3,4963,1924,63,0
