date,累计确诊,治愈,死亡,新增确诊
2020.2.27,1,0,0,1
2020.2.28,1,0,0,0
2020.2.29,3,0,0,2
2020.3.1,3,0,0,0
2020.3.2,4,0,0,1
2020.3.3,6,0,0,2
2020.3.4,10,0,0,4
2020.3.5,15,0,0,5
2020.3.6,20,0,0,5
2020.3.7,27,0,0,7
2020.3.8,27,0,0,0
2020.3.9,35,1,0,8
2020.3.10,159,1,0,124
2020.3.11,340,1,0,181
2020.3.12,615,1,0,275
2020.3.14,827,1,0,26
2020.3.15,864,1,1,37
2020.3.16,914,1,4,16
2020.3.17,977,1,4,17
2020.3.18,1057,1,4,80
2020.3.19,1151,1,6,94
2020.3.20,1255,1,9,104
2020.3.21,1326,1,13,71
2020.3.22,1395,1,13,69
2020.3.23,1460,1,24,65
2020.3.24,1591,1,32,131
2020.3.25,1724,1,34,133
2020.3.26,1877,1,34,153
2020.3.27,2163,57,52,169
2020.3.28,2201,57,65,155
2020.3.29,2395,73,72,194
2020.3.30,2724,73,77,182
2020.3.31,3039,77,90,283
2020.4.1,3290,971,104,247
2020.4.2,3573,1172,123,279
2020.4.3,3946,1287,139,371
2020.4.4,4269,1379,161,320
2020.4.5,4369,1429,279,292
2020.4.6,4681,1437,187,312
2020.4.7,5386,1621,203,390
2020.4.8,5402,1621,218,331
2020.4.9,5635,1763,237,233
2020.4.10,5830,1892,247,184
2020.4.11,6191,2111,260,177
2020.4.12,6191,2123,273,178
2020.4.13,6513,2403,285,144
2020.4.14,6706,2515,299,193
2020.4.15,6876,2748,309,170
2020.4.16,7074,3389,336,0
2020.4.17,7268,3571,336,194
2020.4.18,7438,4034,346,170
2020.4.19,7711,4328,364,131
2020.4.21,7891,4889,370,180
2020.4.22,8108,5384,394,161
2020.4.23,8271,5573,403,137
2020.4.24,8408,5715,403,137
2020.4.27,8896,6148,427,488
2020.4.28,9049,6366,443,157
2020.4.29,9158,6366,443,150
2020.4.30,9311,6729,460,153
2020.5.1,9407,6889,475,96
