date,累计确诊,治愈,死亡,新增确诊
2020.4.8,1892,45,57,224
2020.4.9,2203,61,69,311
2020.4.10,2511,79,73,308
2020.4.11,2777,89,83,2666
2020.4.12,3102,97,93,325
2020.4.13,3372,119,98,270
2020.4.14,3764,143,108,392
2020.4.15,4161,186,116,397
2020.4.16,4662,246,125,501
2020.4.17,5106,275,133,444
2020.4.18,5449,347,141,343
2020.4.19,5710,359,151,261
2020.4.20,6125,367,161,416
2020.4.21,6592,424,174,467
2020.4.22,7170,504,187,578
2020.4.23,7647,601,193,477
2020.4.24,8125,782,201,478
2020.4.25,8617,840,209,492
2020.4.26,9009,864,220,392
2020.4.27,9410,992,239,401
2020.4.28,9866,1103,250,456
2020.4.29,10406,1238,261,540
2020.4.30,10861,1413,272,455
2020.5.1,11411,1498,279,550
2020.5.2,11913,1548,288,502
2020.5.3,12331,1619,303,418
2020.5.4,12697,1875,316,366
2020.5.5,13184,2097,327,487
2020.5.6,13691,2396,340,507
2020.5.7,14195,2396,361,504
2020.5.8,14710,2909,376,515
2020.5.9,15232,3060,391,522
2020.5.10,15648,3288,408,416
2020.5.11,16023,3373,425,375
2020.5.12,16425,3716,439,402
2020.5.13,16847,4143,456,422
2020.5.14,17330,4473,476,483
2020.5.15,17858,4906,497,528
2020.5.16,18291,5116,514,433
2020.5.17,18616,5276,535,325
2020.5.18,18616,5276,535,0
2020.5.19,18876,5632,548,260
2020.5.20,19230,5955,564,354
2020.5.21,19706,6227,579,476
2020.5.22,20148,6585,588,442
2020.5.23,20580,6929,605,432
2020.5.24,20986,7108,617,406
2020.5.25,21245,7234,623,259
2020.5.26,21584,7575,644,339
2020.5.27,21905,7995,658,321
2020.5.28,22382,8439,669,477
2020.5.29,22811,8934,679,429
2020.5.30,23204,9311,696,393
2020.5.31,23672,9538,708,468
2020.6.1,24012,9690,718,340
2020.6.2,24340,10078,727,328
2020.6.3,24823,10440,735,483
2020.6.4,25411,11042,747,588
2020.6.5,25964,11372,762,553
2020.6.6,26514,11812,777,550
2020.6.7,26999,12054,788,485
2020.6.8,27462,12195,797,463
2020.6.9,27856,12412,810,394
2020.6.10,28381,12769,833,525
2020.6.11,29070,13141,854,689
2020.6.12,29753,13567,870,683
2020.6.13,30506,13976,880,753
2020.6.14,31154,14082,889,648
