date,累计确诊,治愈,死亡,新增确诊
2020.4.8,545,30,3,25
2020.4.9,582,38,3,37
2020.4.10,669,42,3,45
2020.4.11,767,42,4,143
2020.4.12,865,66,4,32
2020.4.13,998,85,4,133
2020.4.14,1165,99,4,167
2020.4.15,1302,107,4,137
2020.4.16,1380,129,4,31
2020.4.17,1405,156,4,56
2020.4.18,1490,194,5,85
2020.4.19,1565,225,5,75
2020.4.20,1627,261,5,62
2020.4.21,1678,357,6,51
2020.4.22,1716,450,7,38
2020.4.23,1758,561,7,42
2020.4.24,1804,621,8,46
2020.4.25,1862,707,8,58
2020.4.26,1887,789,8,18
2020.4.27,1904,892,8,35
2020.4.28,1955,992,8,16
2020.4.29,2002,1096,9,63
2020.4.30,2039,1133,9,37
2020.5.1,2094,1212,9,55
2020.5.2,2118,1271,9,32
2020.5.3,2149,1319,10,31
2020.5.4,2204,1454,10,40
2020.5.5,2207,1501,10,18
2020.5.6,2233,1577,10,26
2020.5.7,2298,1656,10,65
2020.5.9,2411,1856,10,62
2020.5.10,2453,1982,10,69
2020.5.11,2519,2010,10,68
2020.5.12,2568,2040,10,49
2020.5.13,2612,2076,11,93
2020.5.15,2686,2158,11,41
2020.5.16,2738,2213,11,52
2020.5.17,2753,2247,12,15
2020.5.18,2779,2314,13,26
2020.5.19,2825,2338,13,46
2020.5.20,2927,2369,13,102
2020.5.21,2964,2407,13,37
2020.5.22,3006,2407,13,42
2020.5.23,3089,2525,13,83
2020.5.24,3150,2565,13,61
2020.5.25,3189,2607,13,39
2020.5.26,3281,2636,13,92
2020.5.27,3355,2668,14,74
2020.5.28,3437,2694,14,82
2020.5.29,3468,2728,14,31
2020.5.30,3523,2783,14,55
2020.5.31,3583,2837,15,60
2020.6.1,3673,2859,15,90
2020.6.2,3750,2908,15,77
2020.6.3,3815,3014,15,65
2020.6.4,3909,3087,16,94
2020.6.5,3987,3227,16,78
2020.6.6,4022,3247,16,35
2020.6.7,4302,3354,17,280
2020.6.8,4352,3354,17,50
2020.6.9,4482,3444,18,130
2020.6.10,4591,3504,18,109
2020.6.11,4717,3623,19,126
2020.6.12,4837,3700,19,120
2020.6.13,4937,3837,19,100
2020.6.14,5051,3910,19,114
2020.6.15,5154,3996,19,103
2020.6.16,5328,4019,19,174
2020.6.17,5638,4131,19,310
2020.6.18,5730,4166,19,92
2020.6.19,5920,4273,19,190
2020.6.20,6119,4273,19,199
2020.6.21,6272,4290,19,153
2020.6.22,6401,4450,19,129
2020.6.23,6535,4520,19,134
2020.6.24,6847,4675,19,312
2020.6.25,7087,4724,20,240
2020.6.26,7228,4877,20,141
