date,累计确诊,治愈,死亡,新增确诊
2020.4.8,53,0,0,1
2020.4.9,53,0,0,0
2020.4.10,53,0,0,0
2020.4.11,53,18,0,0
2020.4.12,54,18,0,1
2020.4.20,56,28,0,1
2020.4.21,61,38,0,3
2020.4.22,63,38,0,2
2020.4.23,74,45,0,11
2020.4.26,79,46,0,4
2020.4.27,79,47,0,0
2020.4.29,81,52,0,2
2020.4.30,83,52,0,2
2020.5.1,85,52,0,2
2020.5.2,88,52,0,3
2020.5.3,89,52,0,1
2020.5.5,98,55,0,1
2020.5.6,100,55,0,2
2020.5.7,101,55,0,2
2020.5.8,114,55,0,13
2020.5.11,122,55,0,1
2020.5.12,126,55,0,5
2020.5.14,160,63,0,21
2020.5.15,203,63,0,43
2020.5.16,227,63,0,24
2020.5.17,227,63,0,0
2020.5.18,248,63,0,21
2020.5.19,260,63,0,12
2020.5.20,264,65,0,4
2020.5.21,145,65,0,0
2020.5.22,160,66,0,15
2020.5.23,175,68,0,15
2020.5.24,198,68,0,23
2020.5.25,212,68,0,14
2020.5.26,222,69,0,10
2020.5.27,253,69,0,31
2020.5.28,281,69,0,28
2020.5.29,317,69,0,36
2020.5.30,329,72,0,12
2020.5.31,413,72,0,84
2020.6.1,457,72,0,44
2020.6.2,489,82,0,32
2020.6.3,507,82,0,18
2020.6.4,522,82,0,15
2020.6.5,557,82,0,35
2020.6.6,593,82,0,36
2020.6.7,616,96,0,23
2020.6.8,646,103,0,30
2020.6.9,657,118,0,11
2020.6.10,665,119,0,8
2020.6.11,679,161,0,14
2020.6.12,686,161,0,7
2020.6.13,694,199,0,8
2020.6.14,696,240,0,2
2020.6.15,705,299,0,9
2020.6.16,724,351,0,19
2020.6.17,732,420,0,8
2020.6.18,741,486,0,9
2020.6.19,755,492,0,14
2020.6.20,763,492,0,8
2020.6.21,770,578,0,7
2020.6.22,774,631,0,4
2020.6.23,797,699,0,23
2020.6.24,805,717,0,8
2020.6.25,805,717,0,0
2020.6.26,833,761,0,28
2020.6.27,848,761,0,15
2020.6.28,859,794,0,11
2020.6.29,870,808,0,11
2020.6.30,870,808,0,0
2020.7.1,893,837,0,23
2020.7.2,902,847,0,9
2020.7.3,911,849,0,9
2020.7.4,927,868,0,16
2020.7.5,939,891,0,12
2020.7.6,953,892,0,14
2020.7.7,971,896,0,18
2020.7.8,977,904,0,6
2020.7.9,1000,908,0,23
2020.7.10,1006,938,0,6
2020.7.11,1013,952,0,7
2020.7.12,1025,972,0,12
2020.7.13,1029,977,0,4
2020.7.14,1040,984,0,11
2020.7.15,1043,1004,0,3
2020.7.16,1043,1004,0,0
2020.7.17,1056,1023,0,13
2020.7.18,1062,1023,0,6
2020.7.19,1065,1023,0,3
2020.7.20,1069,1023,0,4
2020.7.21,1072,958,0,3
2020.7.22,1075,958,0,3
2020.7.23,1079,971,0,4
2020.7.24,1089,975,1,10
2020.7.25,1103,975,1,14
2020.7.26,1103,982,2,0
2020.7.27,1115,982,2,12
2020.7.28,1135,989,2,20
2020.7.29,1140,1028,2,5
2020.7.30,1147,1028,2,7
2020.7.31,1147,1028,2,0
2020.8.1,1176,1045,4,29
2020.8.2,1182,1045,4,6
2020.8.3,1195,1070,5,13
2020.8.4,1203,1073,5,8
2020.8.5,1213,1102,5,10
2020.8.6,1223,1102,5,10
2020.8.7,1254,1113,6,31
2020.8.8,1267,1115,6,13
2020.8.9,1267,1115,6,0
2020.8.10,1297,1137,9,30
2020.8.11,1313,1138,9,16
2020.8.12,1332,1139,9,19
2020.8.13,1353,1141,11,21
2020.8.14,1385,1142,12,32
2020.8.15,1385,1142,12,0
2020.8.16,1434,1142,13,49
2020.8.17,1560,1165,15,126
2020.8.18,1560,1165,15,0
2020.8.19,1656,1188,16,96
2020.8.20,1750,1194,19,94
2020.8.21,1848,1199,19,98
2020.8.22,1848,1199,19,0
2020.8.23,2263,1199,20,415
2020.8.24,2362,1248,22,99
2020.8.25,2426,1267,25,64
2020.8.26,2524,1268,26,98
2020.8.27,2524,1268,26,0
2020.8.28,2756,1288,28,232
2020.8.29,2847,1288,29,91
2020.8.30,2847,1288,29,0
2020.8.31,2928,1288,30,81
2020.9.1,3037,1489,32,109
2020.9.2,3112,1528,32,75
2020.9.3,3288,1532,33,176
2020.9.4,3353,1564,35,65
2020.9.5,3353,1564,35,0
2020.9.6,3539,1564,39,186
2020.9.7,3776,1741,44,237
2020.9.8,3900,1817,46,124
2020.9.9,4101,1876,46,201
2020.9.10,4291,1998,48,190
2020.9.11,4377,1998,49,86
2020.9.12,4703,1998,52,326
2020.9.13,4799,2256,55,96
2020.9.14,4978,2317,56,179
2020.9.15,5123,2333,58,145
2020.9.16,5266,2404,60,143
2020.9.17,5380,2489,60,114
2020.9.18,5594,2544,61,214
2020.9.19,5594,2544,61,0
2020.9.20,6287,2616,63,693
2020.9.21,6468,2731,63,181
2020.9.22,6712,2778,64,244
2020.9.23,6879,2961,69,167
2020.9.24,7064,3226,70,185
2020.9.25,7218,3611,71,154
2020.9.26,7364,3647,71,146
2020.9.27,7530,3647,73,166
2020.9.28,7777,4033,75,247
2020.9.29,7777,4033,75,0
2020.9.30,8129,4260,75,352
2020.10.1,8287,4430,75,158
2020.10.2,8491,4470,79,204
2020.10.3,8662,4546,79,171
2020.10.4,8808,4736,81,146
2020.10.5,8965,5078,82,157
2020.10.6,9082,5457,84,117
2020.10.7,9260,5588,85,178
2020.10.8,9442,5781,85,182
2020.10.9,9538,5857,86,96
2020.10.10,9701,6022,93,163
2020.10.11,9801,6109,93,100
2020.10.12,9864,6109,94,63
2020.10.13,9864,6109,94,0
2020.10.14,10069,6531,95,205
2020.10.15,10117,6725,96,48
2020.10.16,10334,6901,96,217
2020.10.17,10455,6901,96,121
2020.10.18,10590,6992,97,135
2020.10.19,10691,6992,97,101
2020.10.20,10788,7066,97,97
2020.10.21,10933,7154,98,145
2020.10.22,11041,7210,98,108
2020.10.23,11163,7269,99,122
2020.10.24,11297,7281,99,134
2020.10.25,11443,7351,101,146
2020.10.26,11557,7351,101,114
2020.10.27,11621,7400,103,64
2020.10.28,11767,7461,106,146
2020.10.29,12201,7461,108,434
2020.10.30,12201,7461,108,0
2020.10.31,12410,7503,110,209
2020.11.1,12743,7556,112,333
2020.11.2,12971,7556,114,228
2020.11.3,13099,7612,115,128
2020.11.4,13351,7623,117,252
2020.11.5,13568,7645,117,217
2020.11.6,13568,7645,117,0
2020.11.7,13852,7727,131,284
2020.11.8,14066,7753,131,214
2020.11.9,14403,7771,132,337
2020.11.10,14704,7836,133,301
2020.11.11,14704,7836,133,0
2020.11.12,14993,7939,139,289
2020.11.13,15402,8038,144,409
2020.11.14,15789,8038,144,387
2020.11.15,15789,8038,144,0
2020.11.16,16020,8038,145,231
2020.11.17,16257,8170,150,237
2020.11.18,16563,8277,150,306
2020.11.19,17148,8426,158,585
2020.11.20,17148,8426,158,0
2020.11.21,17431,8547,168,283
2020.11.22,17667,8611,168,236
2020.11.23,17968,8611,172,301
2020.11.24,18406,8764,186,438
2020.11.25,18406,8764,186,0
2020.11.26,18890,8832,191,484
2020.11.27,19115,8840,191,225
2020.11.28,19588,8840,197,473
2020.11.29,20145,8989,201,557
2020.11.30,20459,8989,205,314
2020.12.1,20459,8989,205,0
2020.12.2,21035,9044,205,576
2020.12.3,21409,9044,206,374
2020.12.4,21612,9110,206,203
2020.12.5,21898,9117,206,286
2020.12.6,22188,9117,206,290
2020.12.7,22499,9175,206,311
2020.12.8,23200,9374,207,701
2020.12.9,23860,9510,207,660
2020.12.10,25059,9510,219,1199
2020.12.11,25730,9605,220,671
