date,累计确诊,治愈,死亡,新增确诊
2020.4.8,456,192,7,32
2020.4.9,473,206,7,17
2020.4.10,494,214,7,21
2020.4.11,501,224,7,7
2020.4.12,501,231,8,0
2020.4.16,502,286,9,9
2020.4.17,508,294,9,6
2020.4.18,517,298,9,15
2020.4.19,528,298,10,11
2020.4.20,535,313,10,18
2020.4.21,543,324,12,8
2020.4.22,549,337,12,6
2020.4.23,577,354,12,8
2020.4.25,596,370,14,33
2020.4.26,606,375,15,10
2020.4.27,620,386,15,14
2020.4.28,625,394,15,5
2020.4.29,630,412,15,5
2020.4.30,643,417,17,1
2020.5.1,648,435,17,5
2020.5.2,652,440,17,4
2020.5.4,657,447,17,2
2020.5.5,670,468,17,13
2020.5.6,673,486,17,3
2020.5.7,684,492,17,11
2020.5.8,694,506,18,10
2020.5.10,707,517,19,5
2020.5.12,717,532,19,6
2020.5.13,719,545,19,2
2020.5.14,724,547,19,5
2020.5.15,732,553,19,5
2020.5.16,733,564,19,1
2020.5.17,734,564,20,1
2020.5.18,734,564,20,0
2020.5.19,737,569,20,3
2020.5.20,738,579,20,1
2020.5.21,746,588,20,8
2020.5.22,749,594,20,3
2020.5.23,753,603,20,4
2020.5.24,764,616,22,11
2020.5.25,769,618,22,5
2020.5.26,787,629,22,18
2020.5.27,789,638,22,2
2020.5.28,803,650,22,14
2020.5.29,811,654,22,8
2020.5.30,816,680,22,5
2020.5.31,821,682,22,5
2020.6.1,823,685,22,2
2020.6.2,825,689,23,2
2020.6.3,826,691,23,1
2020.6.4,828,698,23,2
2020.6.5,832,709,23,4
2020.6.6,834,721,23,2
2020.6.7,845,726,23,11
2020.6.8,845,730,23,0
2020.6.9,845,738,23,0
2020.6.10,846,754,23,1
2020.6.11,847,758,23,1
2020.6.12,847,772,23,0
2020.6.13,847,780,23,0
2020.6.14,847,784,23,0
2020.6.15,848,788,23,1
2020.6.16,848,792,23,0
2020.6.17,849,801,24,1
2020.6.18,849,810,24,0
2020.6.19,850,814,24,1
2020.6.20,853,814,24,3
2020.6.21,859,815,25,6
2020.6.22,876,814,25,17
2020.6.23,882,815,25,6
2020.6.24,885,815,25,3
2020.6.25,902,815,26,17
2020.6.26,907,818,26,5
2020.6.27,919,818,26,12
2020.6.28,924,818,26,5
2020.6.29,929,818,27,5
2020.6.30,932,822,27,3
2020.7.1,936,824,27,4
2020.7.2,943,825,28,7
2020.7.3,947,828,28,4
2020.7.4,952,837,28,5
2020.7.5,955,840,28,3
2020.7.6,956,849,28,1
2020.7.7,960,858,29,4
2020.7.8,965,865,29,5
2020.7.9,974,871,29,9
2020.7.10,977,878,29,3
2020.7.11,985,886,29,8
2020.7.12,986,896,30,1
2020.7.13,987,896,31,1
2020.7.14,989,903,31,2
2020.7.15,997,905,31,8
2020.7.16,1009,909,31,12
2020.7.17,1026,916,32,17
2020.7.18,1037,917,32,11
2020.7.19,1044,921,33,7
2020.7.20,1054,922,33,10
2020.7.21,1064,927,33,10
2020.7.22,1096,929,33,32
2020.7.23,1117,934,34,21
2020.7.24,1141,940,34,24
2020.7.25,1166,946,34,25
2020.7.26,1174,947,34,8
2020.7.27,1192,948,34,18
2020.7.28,1202,951,35,10
2020.7.29,1218,958,35,16
2020.7.30,1237,967,35,19
2020.7.31,1243,978,35,6
2020.8.1,1264,994,35,21
2020.8.2,1278,1004,35,14
2020.8.3,1286,1011,36,8
2020.8.4,1291,1023,36,5
2020.8.5,1300,1048,37,9
2020.8.6,1309,1065,37,9
2020.8.7,1318,1079,37,9
2020.8.8,1325,1095,37,7
2020.8.9,1335,1112,37,10
2020.8.10,1353,1125,37,18
2020.8.11,1364,1146,37,11
2020.8.12,1385,1157,37,21
2020.8.13,1393,1163,37,8
2020.8.14,1409,1180,37,16
2020.8.15,1421,1182,38,12
2020.8.16,1434,1194,38,13
2020.8.17,1440,1200,38,6
2020.8.18,1457,1205,40,17
2020.8.19,1485,1219,40,28
2020.8.20,1493,1228,40,8
2020.8.21,1506,1242,41,13
2020.8.22,1516,1249,42,10
2020.8.23,1521,1264,42,5
2020.8.24,1527,1276,42,6
2020.8.25,1533,1295,42,6
2020.8.26,1536,1309,43,3
2020.8.27,1543,1322,43,7
2020.8.28,1551,1333,43,8
2020.8.29,1556,1352,43,5
2020.8.30,1570,1364,44,14
2020.8.31,1585,1378,44,15
2020.9.1,1595,1409,44,10
2020.9.2,1611,1419,44,16
2020.9.3,1626,1433,44,15
