date,累计确诊,治愈,死亡,新增确诊
2020.4.9,11,2,0,1
2020.4.13,23,2,0,5
2020.4.15,27,5,0,4
2020.4.17,33,8,0,6
2020.4.23,40,8,0,7
2020.4.25,46,15,0,6
2020.4.28,52,19,2,6
2020.4.30,73,33,5,21
2020.5.2,117,39,10,44
2020.5.5,170,43,17,53
2020.5.7,253,50,27,83
2020.5.9,322,53,31,62
2020.5.12,357,76,40,35
2020.5.13,372,78,42,15
2020.5.14,399,83,46,27
2020.5.15,428,88,48,29
2020.5.16,474,111,50,46
2020.5.17,503,117,53,29
2020.5.18,503,117,53,0
2020.5.19,519,117,53,16
2020.5.20,545,139,56,26
2020.5.21,565,177,57,20
2020.5.22,588,186,58,23
2020.5.23,611,196,58,23
2020.5.24,648,204,60,37
2020.5.25,675,215,60,27
2020.5.26,687,244,61,12
2020.5.27,700,303,62,13
2020.5.28,715,359,64,15
2020.5.29,726,413,65,11
2020.5.30,759,444,65,33
2020.5.31,759,470,65,0
2020.6.1,778,491,65,19
2020.6.2,790,539,66,12
2020.6.3,803,562,66,13
2020.6.4,820,590,66,17
2020.6.5,828,633,66,8
2020.6.6,836,657,68,8
2020.6.7,836,672,69,0
2020.6.8,837,672,69,1
2020.6.9,839,685,70,2
2020.6.10,844,706,71,5
2020.6.11,846,706,72,2
2020.6.12,848,706,72,2
2020.6.13,848,711,72,0
2020.6.14,850,720,73,2
2020.6.15,850,720,73,0
2020.6.16,850,720,73,0
2020.6.17,853,720,74,3
2020.6.18,854,733,74,1
2020.6.19,858,742,74,4
2020.6.20,858,742,74,0
2020.6.21,858,746,74,0
2020.6.22,858,752,74,0
2020.6.23,858,755,74,0
2020.6.24,860,757,74,2
2020.6.25,860,770,74,0
2020.6.26,865,778,74,5
2020.6.27,865,778,74,0
2020.6.28,865,778,74,0
2020.6.29,866,780,74,1
2020.6.30,866,781,74,0
2020.7.1,866,781,74,0
2020.7.2,866,785,74,0
2020.7.3,868,785,74,2
2020.7.4,871,786,74,3
2020.7.5,871,787,74,0
2020.7.6,872,787,74,1
2020.7.7,872,787,74,0
2020.7.8,873,788,74,1
2020.7.9,873,788,74,0
2020.7.10,873,788,74,0
2020.7.11,874,789,74,1
2020.7.12,874,790,74,0
2020.7.13,880,790,75,6
2020.7.14,880,792,75,0
2020.7.15,884,798,75,4
2020.7.16,885,799,75,1
2020.7.17,887,800,75,2
2020.7.18,887,800,75,0
2020.7.19,889,800,75,2
2020.7.20,889,801,75,0
2020.7.21,889,801,75,0
2020.7.22,889,803,75,0
2020.7.23,889,805,75,0
2020.7.24,915,805,75,26
