date,累计确诊,治愈,死亡,新增确诊
2020.4.9,1,0,0,1
2020.4.23,1,1,0,0
2020.4.29,6,1,2,5
2020.5.1,7,1,2,1
2020.5.2,10,1,2,3
2020.5.4,12,1,2,2
2020.5.5,25,1,5,3
2020.5.7,34,1,7,9
2020.5.10,51,1,8,17
2020.5.12,65,1,10,9
2020.5.13,85,1,12,15
2020.5.15,106,1,15,21
2020.5.16,122,1,18,16
2020.5.17,128,1,20,6
2020.5.18,128,1,20,0
2020.5.19,130,1,20,2
2020.5.20,167,5,28,37
2020.5.21,184,5,30,17
2020.5.22,197,5,33,13
2020.5.23,209,11,33,12
2020.5.24,212,11,39,3
2020.5.25,233,10,44,21
2020.5.26,233,10,44,0
2020.5.27,249,10,49,16
2020.5.28,256,10,53,7
2020.5.29,283,11,65,27
2020.5.30,283,11,65,0
2020.5.31,310,13,77,27
2020.6.1,323,14,80,13
2020.6.2,354,14,84,31
2020.6.3,399,15,87,45
2020.6.4,419,17,95,20
2020.6.5,453,17,103,34
2020.6.6,469,23,111,16
2020.6.7,482,23,111,13
2020.6.8,484,23,112,2
2020.6.9,496,23,112,12
2020.6.10,524,23,127,28
2020.6.11,560,23,129,36
2020.6.12,591,23,136,31
2020.6.13,632,28,139,41
2020.6.14,705,39,160,73
2020.6.15,728,53,164,23
2020.6.16,844,79,208,116
2020.6.17,885,91,214,41
2020.6.18,902,271,244,17
2020.6.19,909,273,248,7
2020.6.20,919,288,251,10
2020.6.21,922,328,254,3
2020.6.22,941,347,256,19
2020.6.23,967,350,257,26
2020.6.24,992,356,261,25
2020.6.25,1015,379,274,23
2020.6.26,1076,386,288,61
2020.6.27,1089,402,293,13
2020.6.28,1103,417,296,14
2020.6.29,1118,430,302,15
2020.6.30,1128,432,304,10
2020.7.1,1158,488,312,30
2020.7.2,1190,504,318,32
2020.7.3,1221,513,325,31
2020.7.4,1240,536,335,19
2020.7.5,1248,537,337,8
2020.7.6,1265,552,338,17
2020.7.7,1284,575,345,19
2020.7.8,1297,591,348,13
2020.7.9,1318,595,351,21
2020.7.10,1356,619,361,38
2020.7.11,1380,630,364,24
2020.7.12,1389,642,365,9
2020.7.13,1465,659,417,76
2020.7.14,1498,675,424,33
2020.7.15,1516,685,429,18
2020.7.16,1526,694,433,10
2020.7.17,1552,695,438,26
2020.7.18,1576,695,440,24
