date,累计确诊,治愈,死亡,新增确诊
2020.4.8,921,138,10,40
2020.4.9,937,149,11,16
2020.4.12,1039,211,14,26
2020.4.13,1067,265,16,28
2020.4.14,1111,297,17,44
2020.4.15,1159,358,18,48
2020.4.16,1201,402,19,42
2020.4.17,1248,523,20,47
2020.4.18,1291,545,20,43
2020.4.19,1339,580,22,48
2020.4.20,1401,609,24,62
2020.4.21,1473,633,24,72
2020.4.22,1523,659,24,50
2020.4.23,1596,728,27,73
2020.4.24,1677,803,28,81
2020.4.25,1746,833,28,69
2020.4.26,1808,848,29,62
2020.4.27,1867,866,30,59
2020.4.28,1932,900,30,65
2020.4.29,2066,929,32,134
2020.4.30,2148,977,33,82
2020.5.1,2273,1010,33,125
2020.5.2,2386,1035,35,113
2020.5.3,2507,1071,39,121
2020.5.4,2619,1111,40,112
2020.5.5,2782,1135,40,163
2020.5.6,2884,1185,42,102
2020.5.7,3029,1218,43,145
2020.5.8,3175,1267,44,146
2020.5.9,3313,1325,45,138
2020.5.10,3392,1359,46,138
2020.5.11,3538,1430,47,14
2020.5.12,3718,1430,48,180
2020.5.13,3860,1572,49,142
2020.5.14,4044,1666,52,184
2020.5.15,4283,1791,55,239
2020.5.16,4472,1925,60,189
2020.5.17,4823,2019,61,351
2020.5.18,4823,2019,61,0
2020.5.19,5041,2164,64,218
2020.5.20,5271,2419,67,230
2020.5.21,5606,2581,70,335
2020.5.22,5928,2874,74,322
2020.5.23,6302,2936,77,374
2020.5.24,6661,3064,81,359
2020.5.25,7113,3145,87,452
2020.5.26,7402,3220,91,289
2020.5.27,7774,3255,98,372
2020.5.28,8216,3287,113,442
2020.5.29,8676,3297,120,460
2020.5.30,8927,3317,127,251
2020.5.31,9282,3386,131,355
2020.6.1,9492,3402,139,210
2020.6.2,10009,3427,158,517
2020.6.3,10524,3454,170,515
2020.6.4,11221,3468,176,697
2020.6.5,11817,3513,183,596
2020.6.6,12364,3720,190,547
2020.6.7,13130,4014,200,766
2020.6.8,13325,4099,211,195
2020.6.9,13675,4451,217,350
2020.6.10,14103,5226,227,428
2020.6.11,14669,5466,245,566
2020.6.12,15281,5639,258,612
2020.6.13,16004,6081,264,723
2020.6.14,16667,6214,269,663
2020.6.15,17064,6276,285,397
2020.6.16,17489,6571,293,425
2020.6.17,18033,6814,302,544
2020.6.18,18698,7560,309,665
2020.6.19,19157,8266,319,459
2020.6.20,19708,8854,332,551
2020.6.21,20268,9002,350,560
2020.6.22,20588,9131,360,320
2020.6.23,21006,10144,372,418
2020.6.24,21717,10797,386,711
2020.6.25,22488,11335,397,771
2020.6.26,23247,12149,410,759
2020.6.27,23909,12911,421,662
2020.6.28,24645,13116,426,736
2020.6.29,25127,13297,433,482
2020.6.30,25542,14048,443,415
2020.7.1,26065,14563,453,523
2020.7.2,26658,15036,459,593
2020.7.3,27320,15484,469,662
2020.7.4,27900,15935,477,580
2020.7.5,28606,16140,484,706
2020.7.6,28936,16302,491,330
2020.7.7,29285,16907,503,349
2020.7.8,29820,17427,521,535
2020.7.9,30346,18000,535,526
2020.7.10,30903,18709,546,557
2020.7.11,31392,19419,559,489
2020.7.12,31969,19633,565,577
2020.7.13,32151,19865,573,182
2020.7.14,32490,20729,581,339
2020.7.15,33005,21348,592,515
2020.7.16,33559,21931,607,554
2020.7.17,34001,22492,620,442
2020.7.18,34462,23123,631,461
2020.7.19,34877,23294,641,415
2020.7.20,34981,23502,650,104
2020.7.21,35254,24206,662,273
2020.7.22,35693,24766,678,439
2020.7.23,36162,25244,688,469
2020.7.24,36613,25734,692,451
2020.7.25,36996,26243,700,383
2020.7.26,37317,26478,705,321
2020.7.27,37390,26665,711,73
2020.7.28,37629,27357,719,239
2020.7.29,37937,27824,723,308
2020.7.30,38196,28366,728,259
2020.7.31,38550,28997,738,354
2020.8.1,38841,29557,749,291
2020.8.2,39050,29750,754,209
2020.8.3,39102,29861,762,52
2020.8.4,39298,30372,768,196
2020.8.5,39586,30850,770,288
2020.8.6,39819,31556,772,233
2020.8.7,39985,32008,777,166
2020.8.8,40185,32395,785,200
2020.8.9,40410,32520,791,225
2020.8.10,40433,32616,796,23
2020.8.11,40593,33157,803,160
2020.8.12,40794,33492,806,201
2020.8.13,41023,33897,809,229
2020.8.14,41299,34164,814,276
2020.8.15,41495,34484,817,196
2020.8.16,41663,34584,818,168
2020.8.17,41701,34655,824,38
2020.8.18,41846,34982,832,145
2020.8.19,42056,35226,833,210
2020.8.20,42319,35476,836,263
2020.8.21,42477,35693,842,158
2020.8.22,42616,35907,850,139
2020.8.23,42792,35991,852,176
2020.8.24,42825,36049,854,33
2020.8.25,42936,36475,858,111
2020.8.26,43067,36726,861,131
2020.8.27,43270,36988,864,203
2020.8.28,43451,37264,869,181
2020.8.29,43626,37563,872,175
2020.8.30,43750,37650,877,124
2020.8.31,43781,37722,879,31
2020.9.1,43878,38356,881,97
2020.9.2,44075,38631,884,197
2020.9.3,44271,38855,887,196
2020.9.4,44461,39257,891,190
2020.9.5,44649,39823,895,188
2020.9.6,44783,40089,897,134
2020.9.7,44845,40121,900,62
2020.9.8,44953,40592,903,108
2020.9.9,45152,41023,905,199
2020.9.10,45326,41233,906,174
2020.9.11,45503,41434,909,177
