date,累计确诊,治愈,死亡,新增确诊
2020.4.7,9404,801,72,344
2020.4.8,9404,801,73,156
2020.4.9,9968,1011,86,213
2020.4.10,10408,1183,95,313
2020.4.11,10743,1341,101,238
2020.4.12,11145,1627,103,267
2020.4.13,11586,1855,116,441
2020.4.14,12046,2195,123,460
2020.4.15,12501,2563,130,455
2020.4.16,12728,2818,142,257
2020.4.17,12982,3126,151,224
2020.4.18,13265,3247,164,158
2020.4.19,13491,3754,172,226
2020.4.20,13713,4049,177,59
2020.4.21,13942,4507,184,229
2020.4.22,14498,5215,189,172
2020.4.23,14803,5611,192,305
2020.4.24,15058,6003,194,176
2020.4.25,15298,6435,199,150
2020.4.26,15443,6731,201,45
2020.4.27,15555,7200,204,89
2020.4.28,15728,7746,210,139
2020.4.29,15834,8233,215,52
2020.4.30,15946,8561,222,76
2020.5.1,16101,9156,225,97
2020.5.2,16185,9593,229,33
2020.5.3,16208,9749,232,23
2020.5.4,16246,10064,235,38
2020.5.5,16289,10465,238,43
2020.5.6,16310,10637,239,21
2020.5.7,16381,10873,240,71
2020.5.9,16454,11376,247,18
2020.5.10,16477,11430,252,23
2020.5.11,16506,11843,258,29
2020.5.12,16529,12083,260,23
2020.5.13,16548,12232,264,19
2020.5.14,16579,12521,265,31
2020.5.15,16589,12587,266,10
2020.5.16,16607,12855,268,18
2020.5.17,16617,12942,272,10
2020.5.18,16621,13014,272,4
2020.5.19,16650,13299,277,29
2020.5.20,16659,13435,278,9
2020.5.21,16670,13617,279,11
2020.5.22,16690,13915,279,20
2020.5.23,16712,14085,279,22
2020.5.24,16712,14093,279,0
2020.5.25,16720,14203,280,8
2020.5.26,16743,14362,281,23
2020.5.27,16771,14486,281,28
2020.5.28,16809,14602,281,38
2020.5.29,16887,14727,284,78
2020.5.30,17008,14776,284,121
2020.5.31,17024,14812,284,16
2020.6.1,17106,14826,285,82
2020.6.2,17219,14915,287,113
2020.6.3,17342,14955,290,123
2020.6.4,17429,14993,291,87
2020.6.5,17562,15026,291,133
2020.6.6,17706,15042,292,144
2020.6.7,17783,15064,297,77
2020.6.8,17915,15102,298,132
2020.6.9,18089,15137,298,174
2020.6.10,18268,15168,299,179
2020.6.11,18461,15214,300,193
2020.6.12,18701,15288,300,240
2020.6.13,18876,15319,300,175
2020.6.14,19008,15360,300,132
2020.6.15,19121,15389,302,113
2020.6.16,19338,15438,302,217
2020.6.17,19637,15459,303,299
2020.6.18,19894,15499,303,257
2020.6.19,20243,15567,304,349
2020.6.20,20339,15586,304,96
2020.6.21,20734,15685,306,395
2020.6.22,20869,15714,307,135
2020.6.23,21246,15812,307,377
