date,累计确诊,治愈,死亡,新增确诊
2020.4.7,1202,452,69,91
2020.4.8,1202,452,69,80
2020.4.9,1232,496,69,30
2020.4.10,1279,550,70,47
2020.4.11,1318,601,72,39
2020.4.12,1352,640,76,34
2020.4.13,1378,717,78,26
2020.4.14,1400,766,78,22
2020.4.15,1415,812,79,15
2020.4.16,1434,856,80,19
2020.4.17,1482,906,81,48
2020.4.18,1513,953,82,31
2020.4.19,1539,1009,82,26
2020.4.20,1574,1043,82,35
2020.4.21,1602,1096,83,28
2020.4.22,1631,1146,83,29
2020.4.23,1677,1171,83,46
2020.4.24,1708,1204,86,31
2020.4.25,1763,1224,86,55
2020.4.26,1820,1263,87,57
2020.4.27,1847,1286,88,27
2020.4.28,1928,1319,90,81
2020.4.29,2003,1346,92,75
2020.4.30,2085,1375,93,82
2020.5.1,2153,1414,94,68
2020.5.2,2219,1473,95,66
2020.5.3,2296,1490,97,77
2020.5.4,2346,1544,98,50
2020.5.5,2431,1571,102,85
2020.5.6,2480,1602,102,49
2020.5.7,2543,1626,102,63
2020.5.8,2603,1661,104,60
2020.5.9,2679,1702,107,76
2020.5.10,2767,1734,109,88
2020.5.11,2818,1790,110,51
2020.5.12,2913,1903,112,95
2020.5.15,3193,2089,117,50
2020.5.16,3260,2126,121,67
2020.5.17,3404,2218,123,144
2020.5.18,3554,2310,127,150
2020.5.19,3554,2310,127,0
2020.5.20,3611,2366,131,57
2020.5.21,3724,2438,134,113
2020.5.22,3964,2532,147,240
2020.5.23,4272,2585,152,308
2020.5.24,4272,2585,152,0
2020.5.25,4469,2738,160,197
2020.5.26,4848,2852,169,379
2020.5.27,4848,2852,169,0
2020.5.28,5457,2971,179,609
2020.5.29,5873,3044,185,416
2020.5.30,6179,3110,195,306
2020.5.31,6439,3156,205,260
2020.6.1,6868,3275,215,429
2020.6.2,7387,3508,235,519
2020.6.3,8168,4095,256,781
2020.6.4,8840,4338,271,672
2020.6.5,9846,4573,285,1006
2020.6.6,11098,4904,318,1252
2020.6.7,12366,5186,346,1268
2020.6.8,13481,5572,370,1115
2020.6.9,14268,5831,392,787
2020.6.10,15414,6214,426,1146
2020.6.11,16675,6568,457,1261
2020.6.12,17770,6868,496,1095
2020.6.13,18950,7515,549,1180
2020.6.14,20209,8121,607,1259
2020.6.15,21315,9271,652,1106
2020.6.16,22700,9862,712,1385
2020.6.17,24254,10770,773,1554
2020.6.18,24254,10770,773,0
2020.6.19,25717,11333,856,1463
2020.6.20,29222,13211,1013,3505
2020.6.21,30868,13935,1100,1646
2020.6.22,32676,14785,1167,1808
2020.6.23,32676,14785,1167,0
2020.6.24,34502,15753,1251,1826
2020.6.25,39139,18051,1437,4637
2020.6.26,41193,18859,1559,2054
2020.6.27,43262,19938,1660,2069
2020.6.28,45402,21122,1756,2140
2020.6.29,47151,22974,1839,1749
2020.6.30,49109,24760,1943,1958
2020.7.1,51524,26267,2050,2415
2020.7.2,53708,27912,2160,2184
2020.7.3,56020,29600,2262,2312
2020.7.4,58354,31077,2368,2334
2020.7.5,60479,33017,2473,2125
2020.7.6,62275,34741,2567,1796
2020.7.7,64701,36252,2685,2426
2020.7.8,67442,37879,2779,2741
2020.7.9,69612,39502,2882,2170
2020.7.10,72460,41380,2960,2848
2020.7.11,75194,43079,3055,2734
2020.7.12,77506,44724,3150,2312
2020.7.13,79735,46998,3250,2229
2020.7.14,81757,50782,3345,2022
2020.7.15,83867,52621,3432,2110
2020.7.16,86148,54316,3522,2281
2020.7.17,88171,56495,3616,2023
2020.7.18,90220,58492,3691,2049
2020.7.19,92530,60528,3781,2310
2020.7.20,94693,62836,3869,2163
2020.7.21,97159,64950,3950,2466
2020.7.22,99865,67147,4042,2706
2020.7.23,102226,69405,4122,2361
2020.7.24,104711,71268,4212,2485
2020.7.25,107573,73317,4284,2862
2020.7.26,110032,75217,4362,2459
2020.7.27,112585,77144,4458,2553
2020.7.28,115332,81062,4535,2747
2020.7.29,118300,83461,4603,2968
2020.7.30,118300,83461,4603,0
2020.7.31,124609,87434,4741,6309
2020.8.1,124609,87434,4741,0
2020.8.2,129151,91886,4868,4542
2020.8.3,131886,94111,4934,2735
2020.8.4,134722,96103,5017,2836
2020.8.5,137556,98442,5094,2834
2020.8.6,140603,101025,5161,3047
2020.8.7,144064,103197,5236,3461
2020.8.8,147389,105504,5310,3325
2020.8.9,150115,107775,5392,2726
2020.8.10,153599,109790,5464,3484
2020.8.11,156995,112102,5531,3396
2020.8.12,160436,114541,5588,3441
2020.8.13,160436,114541,5588,0
2020.8.14,164277,117208,5641,3841
2020.8.15,168290,120129,5709,4013
2020.8.16,176931,125374,5860,8641
2020.8.17,176931,125374,5860,0
2020.8.18,180133,128945,5954,3202
2020.8.19,188802,134369,6121,8669
2020.8.20,192797,137200,6208,3995
2020.8.21,192797,137200,6208,0
2020.8.22,201050,143393,6353,8253
2020.8.23,204341,146409,6428,3291
2020.8.24,204341,146409,6428,0
2020.8.25,211947,153761,6596,7606
2020.8.26,211947,153761,6596,0
2020.8.27,215784,157215,6668,3837
2020.8.28,219435,161009,6740,3651
2020.8.29,227446,169020,6891,8011
2020.8.30,227446,169020,6891,0
2020.8.31,231177,172880,6959,3731
2020.9.1,238338,180473,7123,7161
2020.9.2,242284,184205,7201,3946
2020.9.3,247039,187757,7275,4755
2020.9.4,252075,191368,7359,5036
2020.9.5,256719,195259,7422,4644
2020.9.6,256719,195259,7422,0
2020.9.7,260370,198560,7512,3651
2020.9.8,264684,202859,7589,4314
2020.9.9,269578,206324,7657,4894
2020.9.10,278418,213817,7814,8840
2020.9.11,282672,217396,7881,4254
2020.9.12,286778,221283,7941,4106
2020.9.13,286778,221283,7941,0
2020.9.14,294478,229132,8086,7700
2020.9.15,294478,229132,8086,0
2020.9.16,298702,233346,8166,4224
2020.9.17,307385,241100,8332,8683
2020.9.18,311690,245305,8408,4305
2020.9.19,315597,249539,8491,3907
2020.9.20,319035,253591,8555,3438
2020.9.21,322856,258075,8625,3821
2020.9.22,327580,261757,8682,4724
2020.9.23,332635,264988,8754,5055
2020.9.24,337106,268761,8799,4471
2020.9.25,341699,273266,8867,4593
2020.9.26,345969,276918,8935,4270
2020.9.27,349450,280673,8990,3481
2020.9.28,353566,284784,9052,4116
2020.9.29,358290,288812,9122,4724
2020.9.30,362981,292197,9181,4691
2020.10.1,367474,295882,9231,4493
2020.10.2,372259,299804,9298,4785
2020.10.3,375931,303665,9347,3672
2020.10.4,379141,307482,9399,3210
2020.10.5,382949,312158,9464,3808
2020.10.6,387121,316371,9531,4172
2020.10.7,391044,319784,9604,3923
2020.10.8,394566,323815,9683,3522
2020.10.9,397780,328097,9735,3214
2020.10.10,397780,328097,9735,0
2020.10.11,402330,336157,9852,4550
2020.10.12,405437,340050,9912,3107
2020.10.13,409358,344208,9970,3921
2020.10.14,413215,347396,10021,3857
2020.10.15,413215,347396,10021,0
2020.10.16,420303,353962,10142,7088
2020.10.17,423524,357291,10198,3221
2020.10.18,426634,360477,10254,3110
2020.10.19,430678,363532,10317,4044
2020.10.20,434598,366134,10366,3920
2020.10.21,438265,369010,10418,3667
2020.10.22,442164,371826,10465,3899
2020.10.23,445949,375188,10513,3785
2020.10.24,449153,378209,10568,3204
2020.10.25,451707,381349,10623,2554
2020.10.26,455398,384593,10671,3691
2020.10.27,459908,388081,10724,4510
2020.10.28,463951,391010,10770,4043
2020.10.29,467755,394386,10815,3804
2020.10.30,470633,397241,10862,2878
2020.10.31,472630,399655,10910,1997
2020.11.1,475288,402782,10966,2658
2020.11.2,478701,405777,11017,3413
2020.11.3,482296,408756,11068,3595
2020.11.4,485870,417235,11128,3574
2020.11.5,489571,420206,11175,3701
2020.11.6,493139,423266,11244,3568
2020.11.7,496019,425926,11283,2880
2020.11.8,498549,428928,11327,2530
2020.11.9,501733,432233,11380,3184
2020.11.10,505310,434665,11432,3577
2020.11.11,508508,436657,11482,3198
2020.11.12,511806,439228,11532,3298
2020.11.13,514496,441856,11580,2690
2020.11.14,516915,444226,11623,2419
2020.11.15,519152,447039,11670,2237
2020.11.16,521542,449565,11712,2390
2020.11.17,524503,453025,11752,2961
2020.11.18,526852,455176,11795,2349
2020.11.19,529226,457490,11834,2374
2020.11.20,531769,460394,11883,2543
2020.11.21,533555,463040,11925,1786
2020.11.22,535321,465452,11958,1766
2020.11.23,537457,467654,11996,2136
2020.11.24,539749,469784,12031,2292
