date,累计确诊,治愈,死亡,新增确诊
2020.2.22,28,0,4,10
2020.2.23,43,0,8,15
2020.2.24,61,0,12,18
2020.2.25,95,0,16,34
2020.2.26,141,0,19,46
2020.2.27,245,54,22,104
2020.2.28,388,54,34,143
2020.2.29,593,123,43,205
2020.3.1,978,175,54,385
2020.3.2,1501,291,66,523
2020.3.3,2336,435,77,835
2020.3.4,2922,435,92,586
2020.3.5,3513,435,107,591
2020.3.6,4747,739,124,1234
2020.3.7,5823,1669,145,1076
2020.3.8,6566,2134,194,743
2020.3.9,7161,2394,237,595
2020.3.10,9000,2959,354,958
2020.3.11,10075,3276,429,1075
2020.3.12,11364,3529,514,1289
2020.3.13,12729,4339,611,1365
2020.3.14,13938,4590,724,1209
2020.3.15,14991,4996,853,1053
2020.3.16,16169,5389,988,1178
2020.3.17,17361,5710,1135,1192
2020.3.18,18407,5710,1284,1046
2020.3.19,19644,6745,1433,1237
2020.3.20,20610,7635,1556,966
2020.3.21,21638,7913,1685,1028
2020.3.22,23094,8376,1812,1411
2020.3.23,24811,8913,1934,1762
2020.3.24,27017,9625,2077,2206
2020.3.25,29406,10457,2234,2389
2020.3.26,32332,11133,2378,2926
2020.3.27,35408,11679,2517,3076
2020.3.28,38309,12391,2640,2901
2020.3.29,41495,13911,2757,3186
2020.3.30,44606,14656,2898,3111
2020.3.31,47593,15473,3036,2987
2020.4.1,50468,16711,3160,2875
2020.4.2,53183,17935,3294,2715
2020.4.3,55743,19736,3452,2560
2020.4.4,58226,22011,3603,2483
2020.4.5,60500,24236,3739,2274
2020.4.6,62589,27039,3872,2089
2020.4.7,64586,27039,3993,1997
2020.4.8,66220,32309,4110,1634
2020.4.9,68192,35465,4232,1972
2020.4.10,70029,41947,4537,1837
2020.4.11,71686,43894,4537,1657
2020.4.12,73303,45983,4585,1617
2020.4.13,74877,48129,4683,1574
2020.4.14,76389,49933,4777,1512
2020.4.15,77995,52229,4869,1606
2020.4.16,79494,54064,4958,1499
2020.4.17,80868,55987,5031,1374
2020.4.18,82211,57023,5118,1343
2020.4.19,83505,59273,5209,1294
2020.4.20,84802,60965,5297,1297
2020.4.21,85996,63113,5391,1194
2020.4.22,87026,63113,5481,1030
2020.4.23,88194,66596,5574,1168
2020.4.24,89328,68193,5650,1134
2020.4.25,90481,69657,5710,1153
2020.4.26,91472,69657,5806,991
2020.4.27,92584,72439,5877,1112
2020.4.28,93657,73791,5957,1073
2020.4.29,94640,75103,6028,983
2020.4.30,94640,75103,6028,1006
2020.5.1,96448,77350,6156,802
2020.5.2,97424,78422,6203,976
2020.5.3,98647,79397,6277,1223
2020.5.4,99970,80475,6340,1323
2020.5.5,101650,81587,6418,1680
2020.5.6,103135,82744,6486,1485
2020.5.7,104691,83837,6541,1556
2020.5.8,106220,85064,6589,1529
2020.5.9,107603,86143,6640,1383
2020.5.10,109286,87422,6685,1683
2020.5.11,110767,88357,6733,1481
2020.5.12,112725,89428,6783,1958
2020.5.13,114533,90539,6854,1808
2020.5.14,116635,91836,6902,2102
2020.5.15,118392,93147,6937,1757
2020.5.16,120198,94464,6988,1806
2020.5.17,122492,95661,7057,2294
2020.5.18,122492,95661,7057,0
2020.5.19,124603,97173,7119,2111
2020.5.20,126949,98808,7183,2346
2020.5.21,129341,100564,7249,2392
2020.5.22,131652,102276,7300,2311
2020.5.23,133521,104072,7359,1869
2020.5.24,135701,105801,7417,2180
2020.5.25,137724,107713,7451,2023
2020.5.26,139511,109437,7508,1787
2020.5.27,141591,111176,7564,2080
2020.5.28,143849,112988,7627,2258
2020.5.29,146668,114931,7677,2819
2020.5.30,148950,116827,7734,2282
2020.5.31,151466,118848,7797,2516
2020.6.1,154445,121004,7878,2979
2020.6.2,157562,123077,7942,3117
2020.6.3,160696,125206,8012,3134
2020.6.4,164270,127485,8071,3574
2020.6.5,167156,129741,8134,2886
2020.6.6,169425,132038,8209,2269
2020.6.7,171789,134349,8281,2364
2020.6.8,173832,136360,8351,2043
2020.6.9,175927,138457,8425,2095
2020.6.10,177938,140590,8506,2011
2020.6.11,180156,142663,8584,2218
2020.6.12,182525,144649,8659,2369
2020.6.13,184955,146748,8730,2430
2020.6.14,187427,148674,8837,2472
2020.6.15,189876,150590,8950,2449
2020.6.16,192439,152675,9065,2563
2020.6.17,195051,154812,9185,2612
2020.6.18,197647,156991,9272,2596
2020.6.19,200262,159192,9392,2615
2020.6.20,202584,161384,9507,2322
2020.6.21,204952,163591,9623,2368
2020.6.22,207525,166427,9742,2573
2020.6.23,209970,169160,9863,2445
2020.6.24,212501,172096,9996,2531
2020.6.25,215096,175103,10130,2595
2020.6.26,217724,177852,10239,2628
2020.6.27,220180,180661,10364,2456
2020.6.28,222669,183310,10508,2489
2020.6.29,225205,186180,10670,2536
2020.6.30,227662,188758,10817,2457
2020.7.1,230211,191487,10958,2549
2020.7.2,232863,194098,11106,2652
2020.7.3,235429,196446,11260,2566
2020.7.4,237878,198949,11408,2449
2020.7.5,240438,201330,11571,2560
2020.7.6,243051,204083,11731,2613
2020.7.7,245688,207000,11931,2637
2020.7.8,248379,209463,12084,2691
2020.7.9,250458,212176,12305,2079
2020.7.10,252720,215015,12447,2262
2020.7.11,255117,217666,12635,2397
2020.7.12,257303,219993,12829,2186
2020.7.13,259652,222539,13032,2349
2020.7.14,262173,225270,13211,2521
2020.7.15,264561,227561,13410,2388
2020.7.16,267061,230608,13608,2500
2020.7.17,269440,232873,13791,2379
2020.7.18,271606,235300,13979,2166
2020.7.19,273788,237788,14188,2182
2020.7.20,276202,240087,14405,2414
2020.7.21,278827,242351,14634,2625
2020.7.22,281413,244840,14853,2586
2020.7.23,284034,247230,15074,2621
2020.7.24,286523,249212,15289,2489
2020.7.25,288839,251319,15484,2316
2020.7.26,291172,253213,15700,2333
2020.7.27,293606,255144,15912,2434
2020.7.28,296273,257019,16147,2667
2020.7.29,298909,259116,16343,2636
2020.7.30,301530,261200,16569,2621
2020.7.31,304204,263519,16766,2674
2020.8.1,306752,265830,16982,2548
2020.8.2,309437,268102,17190,2685
2020.8.3,312035,270228,17405,2598
2020.8.4,314786,272535,17617,2751
2020.8.5,317483,274932,17802,2697
2020.8.6,320117,277463,17976,2634
2020.8.7,322567,279724,18132,2450
2020.8.8,324692,282122,18264,2125
2020.8.9,326712,284371,18427,2020
2020.8.10,328844,286642,18616,2132
2020.8.11,331189,288620,18800,2345
2020.8.12,333699,290244,18988,2510
2020.8.13,336324,292058,19162,2625
2020.8.14,338825,293811,19331,2501
2020.8.15,341070,295630,19492,2245
2020.8.16,343203,297486,19639,2133
2020.8.17,345450,299157,19804,2247
2020.8.18,347835,300881,19972,2385
2020.8.19,350279,302528,20125,2444
2020.8.20,352558,304236,20264,2279
2020.8.21,354764,305866,20376,2206
2020.8.22,356792,307702,20502,2028
2020.8.23,358905,309464,20643,2113
2020.8.24,361150,311365,20776,2245
2020.8.25,363363,313058,20901,2213
2020.8.26,365606,314870,21020,2243
2020.8.27,367796,316638,21137,2190
2020.8.28,369911,318270,21249,2115
2020.8.29,371816,319847,21359,1905
2020.8.30,373570,321421,21462,1754
2020.8.31,375212,323233,21571,1642
2020.9.1,376894,325124,21672,1682
2020.9.2,378752,326801,21797,1858
2020.9.3,380746,328595,21926,1994
2020.9.4,382772,330308,22044,2026
2020.9.5,384666,332131,22154,1894
2020.9.6,386658,333900,22293,1992
2020.9.7,388810,335572,22410,2152
2020.9.8,391112,337414,22542,2302
2020.9.9,393425,339111,22669,2313
2020.9.10,395488,340842,22798,2063
2020.9.11,397801,342539,22913,2313
2020.9.12,399940,344516,23029,2139
2020.9.13,402029,346242,23157,2089
2020.9.14,404648,348013,23313,2619
2020.9.15,407353,349984,23453,2705
2020.9.16,410334,352019,23632,2981
2020.9.17,413149,353848,23808,2815
2020.9.18,416198,355505,23952,3049
2020.9.19,419043,357632,24118,2845
2020.9.20,422140,359570,24301,3097
2020.9.21,425481,361523,24478,3341
2020.9.22,429193,363737,24656,3712
2020.9.23,432798,365846,24840,3605
2020.9.24,436319,367829,25015,3521
2020.9.25,439882,369842,25222,3563
2020.9.26,443086,372051,25394,3204
2020.9.27,446448,374170,25589,3362
2020.9.28,449960,376531,25779,3512
2020.9.29,453637,378727,25986,3677
2020.9.30,457219,380956,26169,3582
2020.10.1,461044,383368,26380,3825
2020.10.2,464596,385264,26567,3552
2020.10.3,468119,387675,26746,3523
2020.10.4,471772,389966,26957,3653
2020.10.5,475674,392293,27192,3902
2020.10.6,479825,394800,27419,4151
2020.10.7,483844,397109,27658,4019
2020.10.8,488236,399300,27888,4392
2020.10.9,492378,401379,28098,4142
2020.10.10,496253,403950,28293,3875
2020.10.11,500075,406389,28544,3822
2020.10.12,504281,409121,28816,4206
2020.10.13,508389,411840,29070,4108
2020.10.14,513219,414831,29349,4830
2020.10.15,517835,418054,29605,4616
2020.10.16,522387,420910,29870,4552
2020.10.17,526490,423921,30123,4103
2020.10.18,530380,427400,30375,3890
2020.10.19,534631,431360,30712,4251
2020.10.20,539670,434676,31034,5039
