date,累计确诊,治愈,死亡,新增确诊
2020.4.9,9,0,1,1
2020.4.11,13,0,2,3
2020.4.12,14,0,2,1
2020.4.13,18,0,2,4
2020.4.22,18,5,2,0
2020.4.27,18,6,2,0
2020.5.1,18,13,2,0
2020.5.5,18,16,2,0
2020.5.16,18,16,2,0
2020.5.18,18,16,2,0
2020.5.19,18,16,2,0
2020.5.20,18,16,2,0
2020.5.21,18,16,2,0
2020.5.22,18,16,2,0
2020.5.23,18,16,2,0
2020.5.24,18,16,2,0
2020.5.25,18,16,2,0
2020.5.26,18,16,2,0
2020.5.27,18,16,2,0
2020.5.28,18,16,2,0
2020.5.29,18,16,2,0
2020.5.30,18,16,2,0
2020.5.31,18,16,2,0
2020.6.1,18,16,2,0
2020.6.2,18,16,2,0
2020.6.3,18,16,2,0
2020.6.4,18,16,2,0
2020.6.5,18,16,2,0
2020.6.6,19,16,2,1
2020.6.7,19,16,2,0
2020.6.8,19,16,2,0
2020.6.9,19,16,2,0
2020.6.10,20,16,2,1
2020.6.11,20,16,2,0
2020.6.12,20,16,2,0
2020.6.13,20,16,2,0
2020.6.14,20,16,2,0
2020.6.15,21,16,2,1
2020.6.16,21,16,2,0
2020.6.17,22,16,2,1
2020.6.18,22,16,2,0
2020.6.19,22,16,2,0
2020.6.20,22,17,2,0
2020.6.21,22,17,2,0
2020.6.22,22,17,2,0
2020.6.23,23,17,2,1
2020.6.24,23,17,2,0
2020.6.25,23,17,2,0
2020.6.26,23,17,2,0
2020.6.27,24,18,2,1
2020.6.28,24,18,2,0
2020.6.29,24,18,2,0
2020.6.30,24,18,2,0
2020.7.1,28,18,2,4
2020.7.2,28,18,2,0
2020.7.3,28,18,2,0
2020.7.4,30,19,2,2
2020.7.5,30,19,2,0
2020.7.6,30,19,2,0
2020.7.7,30,19,2,0
2020.7.8,30,19,2,0
2020.7.9,30,19,2,0
2020.7.10,33,20,2,3
2020.7.11,37,20,2,4
2020.7.12,37,20,2,0
2020.7.13,37,20,2,0
2020.7.14,37,20,2,0
2020.7.15,39,21,2,2
2020.7.16,39,21,2,0
2020.7.17,40,22,2,1
2020.7.18,40,22,2,0
2020.7.19,40,22,2,0
2020.7.20,40,22,2,0
2020.7.21,42,22,2,2
2020.7.22,43,23,2,1
2020.7.23,43,23,2,0
2020.7.24,47,25,2,4
2020.7.25,48,26,2,1
2020.7.26,48,26,2,0
2020.7.27,48,26,2,0
2020.7.28,48,26,2,0
2020.7.29,48,27,2,0
2020.7.30,48,27,2,0
2020.7.31,48,27,2,0
2020.8.1,48,30,2,0
2020.8.2,56,30,2,8
2020.8.3,57,30,2,1
2020.8.4,57,30,2,0
2020.8.5,72,31,2,15
2020.8.6,86,31,2,14
2020.8.7,114,32,2,28
2020.8.8,146,32,2,32
2020.8.9,146,32,2,0
2020.8.10,154,32,2,8
2020.8.11,177,32,2,23
2020.8.12,210,32,2,33
2020.8.13,296,32,2,86
2020.8.14,356,32,2,60
2020.8.15,388,35,3,32
2020.8.16,452,35,3,64
2020.8.17,452,35,3,0
2020.8.18,475,38,4,23
2020.8.19,553,38,4,78
2020.8.20,553,38,4,0
2020.8.21,605,38,5,52
2020.8.22,648,43,5,43
2020.8.23,668,44,6,20
2020.8.24,686,44,6,18
2020.8.25,713,45,10,27
2020.8.26,730,48,10,17
2020.8.27,760,54,11,30
2020.8.28,818,54,12,58
2020.8.29,870,93,12,52
2020.8.30,964,115,13,94
2020.8.31,993,117,13,29
2020.9.1,1007,173,13,14
2020.9.2,1050,213,13,43
2020.9.3,1101,240,13,51
2020.9.4,1118,255,13,17
2020.9.5,1152,271,15,34
2020.9.6,1194,287,15,42
2020.9.7,1194,287,15,0
2020.9.8,1307,314,16,113
2020.9.9,1361,321,16,54
2020.9.10,1365,326,18,4
2020.9.11,1399,360,19,34
2020.9.12,1435,404,19,36
2020.9.13,1458,458,19,23
2020.9.14,1480,492,19,22
2020.9.15,1501,540,19,21
2020.9.16,1528,663,19,27
2020.9.17,1536,696,19,8
2020.9.18,1567,742,19,31
2020.9.19,1590,812,20,23
2020.9.20,1606,876,20,16
2020.9.21,1627,918,21,21
2020.9.22,1635,967,21,8
2020.9.23,1635,967,21,0
2020.9.24,1706,1019,22,71
2020.9.25,1758,1072,22,52
2020.9.26,1808,1134,23,50
2020.9.27,1825,1165,24,17
2020.9.28,1854,1196,24,29
2020.9.29,1891,1208,24,37
