date,累计确诊,治愈,死亡,新增确诊
2020.4.12,8,1,1,0
2020.4.14,11,1,1,1
2020.4.17,58,1,1,2
2020.4.18,61,1,1,3
2020.4.19,67,1,1,6
2020.4.21,68,1,1,1
2020.4.22,73,1,1,5
2020.4.23,88,1,1,6
2020.4.24,90,1,1,2
2020.4.25,106,1,1,16
2020.4.26,109,1,1,3
2020.4.27,114,2,1,5
2020.4.30,121,4,1,8
2020.5.2,152,18,2,30
2020.5.3,165,33,2,13
2020.5.4,186,37,2,11
2020.5.5,191,38,2,5
2020.5.6,218,38,2,27
2020.5.7,230,44,2,12
2020.5.9,236,56,2,6
2020.5.10,246,56,2,10
2020.5.11,260,58,2,14
2020.5.12,270,61,2,3
2020.5.14,315,67,2,26
2020.5.15,326,67,2,11
2020.5.16,328,84,3,2
2020.5.17,328,84,3,2
2020.5.18,328,84,3,0
2020.5.19,328,85,3,0
2020.5.20,349,85,3,21
2020.5.21,349,85,3,0
2020.5.22,362,95,3,13
2020.5.23,371,142,3,9
2020.5.24,371,142,3,0
2020.5.25,390,155,3,19
2020.5.26,390,155,4,0
2020.5.27,390,155,4,0
2020.5.28,390,155,4,0
2020.5.29,390,155,4,0
2020.5.30,421,167,4,31
2020.5.31,421,167,4,0
2020.6.1,435,193,4,14
2020.6.2,466,237,5,31
2020.6.3,477,238,5,11
2020.6.4,502,239,5,25
2020.6.5,502,239,5,0
2020.6.6,542,240,5,40
2020.6.7,542,240,5,0
2020.6.8,567,266,5,25
2020.6.9,585,270,5,18
2020.6.10,615,294,5,30
2020.6.11,657,294,5,42
2020.6.12,697,294,6,40
2020.6.13,726,294,6,29
2020.6.14,750,301,6,24
2020.6.15,759,301,6,9
2020.6.16,760,354,7,1
2020.6.17,791,354,7,31
2020.6.18,823,377,7,32
2020.6.19,823,377,7,0
2020.6.20,863,377,8,40
2020.6.21,863,377,8,0
2020.6.22,890,413,8,27
2020.6.23,944,419,8,54
2020.6.24,982,479,8,38
2020.6.25,1003,562,8,21
2020.6.26,1027,562,9,24
2020.6.27,1027,568,10,0
2020.6.28,1091,568,12,64
2020.6.29,1155,570,12,64
2020.6.30,1226,608,14,71
2020.7.1,1267,629,15,41
2020.7.2,1301,629,15,34
2020.7.3,1382,629,15,81
2020.7.4,1382,629,15,0
2020.7.5,1421,654,16,39
2020.7.6,1451,655,17,30
2020.7.7,1463,722,17,12
2020.7.8,1499,724,18,36
2020.7.9,1542,730,18,43
2020.7.10,1552,730,18,10
2020.7.11,1591,730,19,39
2020.7.12,1623,748,19,32
2020.7.13,1698,748,19,75
2020.7.14,1722,772,19,24
2020.7.15,1780,850,19,58
2020.7.16,1837,892,19,57
2020.7.17,1939,902,19,102
2020.7.18,1939,902,19,0
2020.7.19,2045,973,21,106
2020.7.20,2045,973,21,0
2020.7.21,2071,1063,21,26
2020.7.22,2107,1100,21,36
2020.7.23,2154,1132,21,47
2020.7.24,2190,1150,21,36
2020.7.25,2220,1216,22,30
2020.7.26,2258,1363,22,38
2020.7.27,2307,1447,22,49
2020.7.28,2328,1550,22,21
2020.7.29,2354,1616,22,26
2020.7.30,2373,1694,23,19
2020.7.31,2418,1694,23,45
2020.8.1,2451,1824,23,33
2020.8.2,2480,1837,24,29
2020.8.3,2547,1860,24,67
2020.8.4,2583,1911,25,36
2020.8.5,2631,1930,26,48
2020.8.6,2689,1955,27,58
2020.8.7,2734,2010,27,45
2020.8.8,2780,2042,29,46
2020.8.9,2835,2073,32,55
2020.8.10,2858,2086,32,23
2020.8.11,2883,2128,32,25
2020.8.12,2920,2148,33,37
2020.8.13,3000,2172,33,80
2020.8.14,3073,2232,33,73
2020.8.15,3136,2254,33,63
2020.8.16,3163,2302,34,27
2020.8.17,3179,2317,35,16
2020.8.18,3203,2336,36,24
2020.8.19,3253,2390,36,50
2020.8.20,3321,2442,36,68
2020.8.21,3368,2462,37,47
2020.8.22,3412,2498,37,44
2020.8.23,3455,2538,37,43
2020.8.24,3509,2540,37,54
2020.8.25,3532,2599,37,23
2020.8.26,3568,2673,37,36
2020.8.27,3630,2713,38,62
2020.8.28,3699,2749,38,69
2020.8.29,3745,2807,38,46
2020.8.30,3778,2855,39,33
2020.8.31,3852,2867,40,74
2020.9.1,3884,2916,40,32
2020.9.2,3970,3423,40,86
2020.9.3,4048,3460,41,78
2020.9.4,4125,3502,41,77
2020.9.5,4200,3562,41,75
2020.9.6,4275,3611,42,75
2020.9.7,4330,3628,42,55
2020.9.8,4358,3790,42,28
2020.9.9,4400,3851,42,42
2020.9.10,4473,3915,43,73
2020.9.11,4557,3993,43,84
2020.9.12,4651,4076,44,94
2020.9.13,4711,4104,44,60
2020.9.14,4813,4119,44,102
2020.9.15,4839,4240,45,26
2020.9.16,4904,4294,46,65
2020.9.17,4978,4430,47,74
2020.9.18,5063,4465,49,85
2020.9.19,5141,4548,50,78
2020.9.20,5186,4581,50,45
2020.9.21,5257,4599,51,71
2020.9.22,5281,4674,52,24
2020.9.23,5337,4742,52,56
2020.9.24,5412,4837,54,75
2020.9.25,5479,4917,55,67
2020.9.26,5628,4982,55,149
2020.9.27,5701,5018,56,73
2020.9.28,5771,5031,57,70
2020.9.29,5817,5134,59,46
2020.9.30,5900,5228,59,83
2020.10.1,6024,5277,60,124
2020.10.2,6126,5338,61,102
2020.10.3,6205,5399,62,79
2020.10.4,6296,5409,62,91
2020.10.5,6360,5416,65,64
2020.10.6,6433,5524,68,73
2020.10.7,6518,5632,69,85
