date,累计确诊,治愈,死亡,新增确诊
2020.4.8,10131,698,76,1459
2020.4.9,11917,795,94,1786
2020.4.11,13584,1045,106,1667
2020.4.12,18328,1470,148,2558
2020.4.13,21102,1694,170,2774
2020.4.14,24490,1986,198,3388
2020.4.15,27938,2304,232,3448
2020.4.16,32008,2590,273,4070
2020.4.17,36793,3057,313,4785
2020.4.18,42853,3291,361,6060
2020.4.19,47121,3446,405,4268
2020.4.20,52763,3873,456,5642
2020.4.21,57999,4420,513,5236
2020.4.22,62773,4420,513,4774
2020.4.23,68622,5568,615,5849
2020.4.24,74588,6250,681,5966
2020.4.25,80949,6767,747,6361
2020.4.26,87147,6767,794,6198
2020.4.27,93558,8456,867,6411
2020.4.28,99399,10286,972,5841
2020.4.29,106498,11619,1073,7099
2020.4.30,114431,13220,1169,7933
2020.5.1,124054,13220,1169,9623
2020.5.2,134687,16639,1280,10663
2020.5.3,145268,18095,1356,10581
2020.5.4,155370,19865,1451,10102
2020.5.5,165929,21327,1537,10559
2020.5.6,177160,23803,1625,11231
2020.5.7,187859,26608,1723,10699
2020.5.8,198676,31916,1827,10817
2020.5.9,209688,34306,1915,11012
2020.5.10,221344,39801,2009,11656
2020.5.11,232243,43512,2116,10899
2020.5.12,242271,48003,2212,10028
2020.5.13,252245,53530,2305,9974
2020.5.14,262843,58226,2418,10598
2020.5.15,272043,63166,2537,9200
2020.5.16,281752,67373,2631,9709
2020.5.17,290678,70209,2722,8926
2020.5.18,290678,70209,2722,0
2020.5.19,299941,76130,2837,9263
2020.5.20,308705,85392,2972,8764
2020.5.21,317554,92681,3099,8849
2020.5.22,326448,99825,3249,8894
2020.5.23,335882,107936,3388,9434
2020.5.24,344481,113299,3541,8599
2020.5.25,353427,118798,3633,8946
2020.5.26,362342,131129,3807,8915
2020.5.27,370680,142208,3968,8338
2020.5.28,379051,150993,4142,8371
2020.5.29,387623,159257,4374,8572
2020.5.30,396575,167469,4555,8952
2020.5.31,405843,171883,4693,9268
2020.6.1,414878,175877,4855,9035
2020.6.2,423741,186985,5037,8863
2020.6.3,432277,195957,5215,8536
2020.6.4,441108,204623,5384,8831
2020.6.5,449834,212680,5528,8726
2020.6.6,458689,221388,5725,8855
2020.6.7,467673,226731,5859,8984
2020.6.8,476658,230688,5971,8985
2020.6.9,485253,242397,6142,8595
2020.6.10,493657,252783,6358,8404
2020.6.11,502436,261150,6532,8779
2020.6.12,511423,269370,6715,8987
2020.6.13,520129,274641,6829,8706
2020.6.14,528964,280050,6948,8835
2020.6.15,537210,284539,7091,8246
2020.6.16,545458,294306,7284,8248
2020.6.17,553301,304342,7478,7843
2020.6.18,561091,313963,7660,7790
2020.6.19,569063,324406,7841,7972
2020.6.20,576952,334592,8002,7889
2020.6.21,584680,339711,8111,7728
2020.6.22,592280,344416,8206,7600
2020.6.23,599705,356429,8359,7425
2020.6.24,606881,368822,8513,7176
2020.6.25,613994,375164,8605,7113
2020.6.26,620794,384152,8781,6800
2020.6.27,627646,393352,8969,6852
2020.6.28,634437,399087,9073,6791
2020.6.29,641156,403430,9166,6719
2020.6.30,647849,412650,9320,6693
2020.7.1,654405,422931,9536,6556
2020.7.2,661165,428978,9683,6760
2020.7.3,667883,437893,9859,6718
2020.7.4,674515,446879,10027,6632
2020.7.5,681251,450750,10161,6736
2020.7.6,687862,454329,10296,6611
2020.7.7,694230,463880,10494,6368
2020.7.8,700792,472511,10667,6562
2020.7.9,707301,481316,10843,6509
2020.7.10,713936,489068,11017,6635
2020.7.11,720547,497446,11205,6611
2020.7.12,727162,501061,11335,6615
2020.7.13,733699,504021,11439,6537
2020.7.14,739947,512825,11614,6248
2020.7.15,746369,523249,11770,6422
2020.7.16,752797,531692,11937,6428
2020.7.17,759203,539373,12123,6406
2020.7.18,765437,546863,12247,6234
2020.7.19,771546,550344,12342,6109
2020.7.20,777486,553602,12427,5940
2020.7.21,783328,562384,12580,5842
2020.7.22,789190,572053,12745,5862
2020.7.23,795038,580330,12892,5848
2020.7.24,800849,588774,13046,5811
2020.7.25,806720,597140,13192,5871
2020.7.26,812485,600250,13269,5765
2020.7.27,818120,603329,13354,5635
2020.7.28,823515,612217,13504,5395
2020.7.29,828990,620333,13673,5475
2020.7.30,834499,629655,13802,5509
2020.7.31,839981,638410,13963,5482
2020.8.1,845443,646524,14058,5462
2020.8.2,850870,650173,14128,5427
2020.8.3,856264,653593,14207,5394
2020.8.4,861423,661471,14351,5159
2020.8.5,866627,669026,14490,5204
2020.8.6,871894,676357,14606,5267
2020.8.7,877135,683592,14725,5241
2020.8.8,882347,690207,14854,5212
2020.8.9,887536,693422,14931,5189
2020.8.10,892654,696681,15001,5118
2020.8.11,897599,703175,15131,4945
2020.8.12,902701,710298,15260,5102
2020.8.13,907758,716396,15384,5057
2020.8.14,912823,722964,15498,5065
