date,累计确诊,治愈,死亡,新增确诊
2020.4.7,593,42,24,28
2020.4.8,593,42,24,12
2020.4.9,618,48,24,25
2020.4.10,648,62,26,13
2020.4.11,661,62,28,13
2020.4.12,675,68,29,6
2020.4.13,695,81,35,10
2020.4.14,735,105,36,22
2020.4.15,783,122,37,36
2020.4.16,825,141,40,25
2020.4.17,865,153,41,19
2020.4.18,878,153,41,32
2020.4.19,915,167,43,21
2020.4.20,929,167,43,35
2020.4.21,1015,174,47,40
2020.4.22,1081,190,49,57
2020.4.23,1171,193,52,74
2020.4.24,1234,197,54,46
2020.4.25,1290,205,55,43
2020.4.26,1348,205,56,48
2020.4.27,1387,222,58,24
2020.4.28,1437,243,61,38
2020.4.29,1447,243,64,10
2020.4.30,1541,276,66,35
2020.5.1,1555,276,68,14
2020.5.2,1611,308,72,17
2020.5.3,1632,321,74,24
2020.5.4,1689,342,78,37
2020.5.5,1758,360,82,54
2020.5.6,1811,384,84,33
2020.5.7,1865,401,84,36
2020.5.8,1911,422,88,39
2020.5.9,1955,444,90,34
2020.5.10,1990,461,93,16
2020.5.11,2023,476,95,14
2020.5.12,2069,499,96,46
2020.5.13,2100,531,99,31
2020.5.14,2138,545,102,38
2020.5.15,2174,573,105,3
2020.5.16,2211,598,108,36
2020.5.17,2235,612,110,24
2020.5.18,2235,612,110,0
2020.5.19,2259,646,112,24
2020.5.20,2292,684,116,33
2020.5.21,2331,727,120,39
2020.5.22,2372,769,125,41
2020.5.23,2408,808,126,36
2020.5.24,2427,840,130,19
2020.5.25,2433,862,130,6
2020.5.26,2443,880,130,10
2020.5.27,2460,912,133,17
2020.5.28,2477,965,134,17
2020.5.29,2485,1016,136,8
2020.5.30,2499,1064,139,14
2020.5.31,2513,1074,140,14
2020.6.1,2519,1090,140,6
2020.6.2,2538,1123,144,19
2020.6.3,2560,1206,146,22
2020.6.4,2585,1322,147,25
2020.6.5,2627,1390,159,42
2020.6.6,2668,1528,160,41
2020.6.7,2711,1545,160,43
2020.6.8,2727,1548,160,16
2020.6.9,2810,1587,164,83
2020.6.10,2889,1623,167,79
2020.6.11,2993,1664,167,104
2020.6.12,3086,1688,168,93
2020.6.13,3191,1716,172,105
2020.6.14,3266,1723,172,75
2020.6.15,3290,1730,174,24
2020.6.16,3341,1784,176,51
2020.6.17,3453,1817,181,112
2020.6.18,3542,1880,184,89
2020.6.19,3674,1941,190,132
2020.6.20,3755,2008,193,81
2020.6.21,3872,2027,199,117
2020.6.22,3905,2074,199,33
2020.6.23,3984,2171,207,79
2020.6.24,4114,2217,208,130
2020.6.25,4242,2263,209,128
2020.6.26,4408,2370,211,166
2020.6.27,4513,2457,215,105
2020.6.28,4625,2475,216,112
2020.6.29,4691,2508,219,66
2020.6.30,4831,2582,223,140
2020.7.1,4989,2676,230,158
2020.7.2,5154,2722,232,165
2020.7.3,5315,2802,232,161
2020.7.4,5497,2892,239,182
2020.7.5,5677,2898,241,180
2020.7.6,5740,2915,246,63
2020.7.7,5914,3000,250,174
2020.7.8,6102,3037,254,188
2020.7.9,6342,3166,259,240
2020.7.10,6672,3229,262,330
2020.7.11,6964,3308,267,292
2020.7.12,7175,3311,267,211
2020.7.13,7252,3319,268,77
2020.7.14,7411,3517,276,159
2020.7.15,7645,3663,283,234
2020.7.16,7877,3841,289,232
2020.7.17,8144,3927,293,267
2020.7.18,8442,4033,297,298
2020.7.19,8638,4081,299,196
2020.7.20,8733,4106,300,95
2020.7.21,8929,4205,308,196
2020.7.22,9254,4521,313,325
2020.7.23,9584,4643,321,330
2020.7.24,9853,5031,329,269
2020.7.25,10123,5252,337,270
2020.7.26,10312,5306,338,189
2020.7.27,10427,5355,340,115
2020.7.28,10621,5585,347,194
2020.7.29,10871,5766,355,250
2020.7.30,11155,5971,368,284
2020.7.31,11420,6173,374,265
2020.8.1,11690,6319,383,270
2020.8.2,11836,6396,385,146
2020.8.3,11955,6420,388,119
2020.8.4,12159,6684,404,204
2020.8.5,12414,6964,415,255
2020.8.6,12717,7154,424,303
2020.8.7,13014,7374,435,297
2020.8.8,13209,7622,442,195
2020.8.9,13343,7718,445,134
2020.8.10,13396,7772,447,53
2020.8.11,13512,7980,459,116
2020.8.12,13722,8154,471,210
2020.8.13,13893,8479,482,171
2020.8.14,14069,8901,484,176
2020.8.15,14243,9114,492,174
2020.8.16,14333,9161,495,90
2020.8.17,14365,9186,498,32
2020.8.18,14500,9442,512,135
2020.8.19,14669,9699,519,169
2020.8.20,14820,9931,527,151
2020.8.21,14962,10087,532,142
2020.8.22,15131,10282,539,169
2020.8.23,15227,10322,545,96
2020.8.24,15287,10338,545,60
