date,累计确诊,治愈,死亡,新增确诊
2020.4.7,1343,179,19,61
2020.4.8,1343,179,19,61
2020.4.9,1407,219,20,64
2020.4.11,1534,323,21,64
2020.4.12,1660,373,23,66
2020.4.13,1704,415,31,54
2020.4.14,1741,473,34,37
2020.4.16,1814,600,36,23
2020.4.17,1832,615,39,18
2020.4.18,1871,709,47,39
2020.4.19,1881,771,47,10
2020.4.20,1908,801,48,27
2020.4.21,1950,869,48,42
2020.4.22,1981,883,50,31
2020.4.23,2009,982,51,28
2020.4.24,2016,1034,54,7
2020.4.25,2030,1103,55,14
2020.4.26,2039,1166,59,9
2020.4.27,2047,1232,63,8
2020.4.28,2062,1288,67,15
2020.4.29,2076,1348,69,14
2020.4.30,2085,1421,75,9
2020.5.1,2088,1463,77,3
2020.5.2,2096,1489,79,8
2020.5.3,2101,1522,80,5
2020.5.4,2112,1560,83,11
2020.5.5,2119,1601,85,7
2020.5.6,2125,1641,86,6
2020.5.7,2161,1689,86,36
2020.5.8,2176,1726,87,15
2020.5.9,2187,1764,90,11
2020.5.10,2196,1784,91,9
2020.5.11,2207,1808,91,11
2020.5.12,2213,1834,94,11
2020.5.13,2221,1850,94,8
2020.5.14,2222,1869,95,1
2020.5.15,2224,1913,95,2
2020.5.16,2226,1936,95,2
2020.5.17,2228,1946,95,2
2020.5.18,2228,1946,95,2
2020.5.19,2232,1967,96,4
2020.5.20,2234,1978,96,2
2020.5.21,2237,1978,97,3
2020.5.22,2243,2011,99,6
2020.5.23,2243,2023,99,0
2020.5.24,2244,2027,99,1
2020.5.25,2244,2035,100,0
2020.5.26,2244,2046,101,0
2020.5.27,2244,2047,101,0
2020.5.28,2245,2051,102,1
2020.5.29,2245,2059,103,0
2020.5.30,2246,2063,103,1
2020.5.31,2246,2072,103,0
2020.6.1,2246,2077,103,0
2020.6.2,2246,2088,103,0
2020.6.3,2246,2095,103,0
2020.6.4,2247,2105,103,1
2020.6.5,2247,2113,103,0
2020.6.6,2247,2121,104,0
2020.6.7,2247,2126,104,0
2020.6.8,2247,2128,104,0
2020.6.9,2247,2130,106,0
2020.6.10,2249,2130,106,2
2020.6.11,2249,2132,106,0
2020.6.12,2249,2133,107,0
2020.6.13,2251,2134,107,2
2020.6.14,2252,2134,107,1
2020.6.15,2254,2140,107,2
2020.6.16,2255,2140,107,1
2020.6.17,2258,2141,107,3
2020.6.18,2269,2142,107,11
2020.6.19,2280,2142,107,11
2020.6.20,2299,2142,107,19
2020.6.21,2317,2142,107,18
2020.6.22,2336,2142,107,19
2020.6.23,2366,2142,107,30
2020.6.24,2388,2145,107,22
2020.6.25,2483,2149,107,95
2020.6.26,2539,2150,107,56
2020.6.27,2624,2152,107,85
2020.6.28,2691,2152,107,67
2020.6.29,2725,2155,107,34
2020.6.30,2777,2155,107,52
2020.7.1,2831,2155,108,54
2020.7.2,2912,2155,110,81
2020.7.3,3008,2168,112,96
2020.7.4,3094,2183,113,86
2020.7.5,3151,2196,113,57
2020.7.6,3220,2210,113,69
2020.7.7,3272,2229,113,52
2020.7.8,3325,2277,114,53
2020.7.9,3416,2323,115,91
2020.7.10,3532,2377,117,116
2020.7.11,3672,2466,118,140
2020.7.12,3722,2486,119,50
2020.7.13,3775,2514,119,53
2020.7.14,3827,2558,120,52
2020.7.15,3953,2629,120,126
2020.7.16,4039,2729,120,86
2020.7.17,4137,2825,120,98
2020.7.18,4253,2929,120,116
2020.7.19,4345,3018,120,92
2020.7.20,4370,3101,122,25
2020.7.21,4422,3183,123,52
2020.7.22,4530,3278,125,108
2020.7.23,4634,3394,128,104
2020.7.24,4715,3555,128,81
2020.7.25,4792,3778,133,77
2020.7.26,4857,3866,136,65
2020.7.27,4881,3936,139,24
2020.7.28,4923,4034,140,42
2020.7.29,4993,4099,141,70
2020.7.30,5071,4178,144,78
2020.7.31,5139,4267,145,68
2020.8.1,5224,4341,145,85
2020.8.2,5260,4373,149,36
2020.8.3,5294,4438,153,34
2020.8.4,5318,4517,154,24
2020.8.5,5376,4589,154,58
2020.8.6,5404,4688,155,28
2020.8.7,5466,4758,155,62
2020.8.8,5543,4817,157,77
2020.8.9,5604,4861,157,61
2020.8.10,5649,4906,158,45
2020.8.11,5740,4962,160,91
2020.8.12,5870,5024,160,130
2020.8.13,6050,5078,161,180
2020.8.14,6258,5134,163,208
2020.8.15,6258,5134,163,0
2020.8.16,6571,5220,166,313
2020.8.17,6656,5254,166,85
2020.8.18,6855,5318,166,199
2020.8.19,7074,5386,168,219
2020.8.20,7329,5472,168,255
2020.8.21,7594,5584,169,265
2020.8.22,7900,5678,170,306
2020.8.23,8175,5801,171,275
2020.8.24,8311,5926,173,136
2020.8.25,8530,6124,175,219
2020.8.26,8888,6362,175,358
2020.8.27,9192,6595,177,304
2020.8.28,9549,6809,180,357
2020.8.29,9861,7024,183,312
2020.8.30,10123,7212,184,262
2020.8.31,10269,7434,186,146
2020.9.1,10414,7735,187,145
2020.9.2,10725,7968,191,311
2020.9.3,11094,8266,194,369
2020.9.4,11428,8530,195,334
2020.9.5,11739,8771,197,311
