date,累计确诊,治愈,死亡,新增确诊
2020.4.11,9,2,1,5
2020.4.19,10,2,1,1
2020.4.24,10,8,1,0
2020.4.29,11,8,1,1
2020.4.30,12,8,1,1
2020.5.2,17,9,1,5
2020.5.7,18,9,1,5
2020.5.8,20,9,1,2
2020.5.11,22,10,1,2
2020.5.12,23,10,1,1
2020.5.16,23,12,1,0
2020.5.18,23,12,1,0
2020.5.19,24,13,1,1
2020.5.20,24,13,1,0
2020.5.21,24,13,1,0
2020.5.22,24,13,1,0
2020.5.23,25,13,1,1
2020.5.24,25,13,1,0
2020.5.25,25,13,1,0
2020.5.26,25,17,1,0
2020.5.27,25,18,1,0
2020.5.28,25,19,1,0
2020.5.29,25,19,1,0
2020.5.30,25,20,1,0
2020.5.31,25,20,1,0
2020.6.1,25,20,1,0
2020.6.2,25,20,1,0
2020.6.3,25,20,1,0
2020.6.4,26,20,1,1
2020.6.5,26,20,1,0
2020.6.6,26,21,1,0
2020.6.7,26,21,1,0
2020.6.8,26,21,1,0
2020.6.9,28,21,1,2
2020.6.10,28,21,1,0
2020.6.11,28,22,1,0
2020.6.12,28,22,1,0
2020.6.13,28,22,1,0
2020.6.14,28,24,1,0
2020.6.15,28,24,1,0
2020.6.16,30,24,1,2
2020.6.17,34,24,1,4
2020.6.18,34,24,1,0
2020.6.19,36,24,1,2
2020.6.20,36,24,1,0
2020.6.21,37,24,2,1
2020.6.22,37,24,2,0
2020.6.23,41,26,2,4
2020.6.24,42,26,2,1
2020.6.25,42,26,2,0
2020.6.26,43,26,2,1
2020.6.27,44,26,2,1
2020.6.28,45,26,2,1
2020.6.29,45,26,2,0
2020.6.30,47,26,2,2
2020.7.1,49,27,2,2
2020.7.2,49,27,2,0
2020.7.3,55,27,2,6
2020.7.4,55,27,2,0
2020.7.5,57,27,2,2
2020.7.6,57,27,2,0
2020.7.7,61,27,3,4
2020.7.8,61,27,3,0
2020.7.9,63,32,3,2
2020.7.10,64,34,3,1
2020.7.11,64,34,3,0
2020.7.12,64,34,3,0
2020.7.13,64,34,3,0
2020.7.14,64,34,3,0
2020.7.15,64,34,3,0
2020.7.16,64,34,3,0
2020.7.17,78,34,3,14
2020.7.18,93,49,4,15
2020.7.19,93,49,4,0
2020.7.20,93,49,4,0
2020.7.21,112,57,4,19
2020.7.22,132,57,5,20
2020.7.23,146,57,5,14
2020.7.24,170,58,5,24
2020.7.25,216,60,6,46
2020.7.26,277,60,6,61
2020.7.27,277,60,6,0
2020.7.28,326,66,8,49
2020.7.29,326,66,8,0
2020.7.30,403,66,8,77
2020.7.31,403,66,8,0
2020.8.1,498,68,9,95
2020.8.2,498,68,9,0
2020.8.3,498,68,9,0
2020.8.4,498,68,9,0
2020.8.5,799,115,16,301
2020.8.6,935,136,16,136
2020.8.7,935,136,16,0
2020.8.8,1090,146,19,155
2020.8.9,1090,146,19,0
2020.8.10,1235,221,23,145
2020.8.11,1346,227,32,111
2020.8.12,1477,247,33,131
2020.8.13,1556,267,43,79
2020.8.14,1623,304,50,67
2020.8.15,1689,347,54,66
2020.8.16,1689,347,54,0
2020.8.17,1872,401,63,183
2020.8.18,1872,401,63,0
2020.8.19,2116,415,63,244
2020.8.20,2401,435,81,285
2020.8.21,2401,435,81,0
2020.8.22,2437,455,84,36
2020.8.23,2437,455,84,0
2020.8.24,2685,490,87,248
2020.8.25,2686,601,90,1
2020.8.26,2686,601,90,0
2020.8.27,2743,638,93,57
2020.8.28,2743,638,93,0
2020.8.29,2895,751,96,152
2020.8.30,2895,751,96,0
2020.8.31,2963,1032,96,68
2020.9.1,2963,1032,96,0
2020.9.2,3029,1032,96,66
2020.9.3,3101,1075,99,72
2020.9.4,3120,1295,99,19
2020.9.5,3150,1315,99,30
2020.9.6,3197,1315,99,47
2020.9.7,3197,1315,99,0
2020.9.8,3197,1315,99,0
2020.9.9,3293,1460,99,96
2020.9.10,3293,1460,99,0
2020.9.11,3362,1582,100,69
2020.9.12,3376,1617,102,14
2020.9.13,3376,1617,102,0
2020.9.14,3405,1723,103,29
2020.9.15,3405,1723,103,0
2020.9.16,3428,1737,105,23
2020.9.17,3440,1851,107,12
2020.9.18,3473,1951,107,33
2020.9.19,3485,1973,108,12
2020.9.20,3526,1992,108,41
2020.9.21,3526,1992,108,0
2020.9.22,3526,1992,108,0
2020.9.23,3540,2002,110,14
2020.9.24,3552,2012,110,12
2020.9.25,3552,2012,110,0
