date,累计确诊,治愈,死亡,新增确诊
2020.3.17,220,1,0,40
2020.3.28,963,97,2,73
2020.4.7,1616,633,6,24
2020.4.8,1616,633,6,30
2020.4.9,1648,688,6,32
2020.4.10,1675,751,7,27
2020.4.11,1689,841,7,14
2020.4.12,1701,889,8,12
2020.4.13,1711,933,8,10
2020.4.14,1727,1077,8,7
2020.4.16,1739,1144,8,12
2020.4.17,1760,1291,9,6
2020.4.19,1771,1291,9,11
2020.4.20,1778,1417,10,5
2020.4.21,1785,1462,10,7
2020.4.22,1789,1509,10,4
2020.4.24,1790,1570,10,1
2020.4.25,1792,1608,10,2
2020.4.27,1792,1624,10,3
2020.4.28,1797,1656,10,2
2020.4.30,1798,1689,10,1
2020.5.2,1799,1717,10,1
2020.5.7,1801,1755,10,2
2020.5.12,1802,1780,10,1
2020.5.16,1802,1786,10,0
2020.5.18,1802,1786,10,0
2020.5.19,1802,1789,10,0
2020.5.20,1803,1789,10,1
2020.5.21,1803,1789,10,0
2020.5.22,1803,1791,10,0
2020.5.23,1804,1791,10,1
2020.5.24,1804,1791,10,0
2020.5.25,1804,1791,10,0
2020.5.26,1804,1792,10,0
2020.5.27,1805,1792,10,1
2020.5.28,1805,1792,10,0
2020.5.29,1805,1794,10,0
2020.5.30,1806,1794,10,1
2020.5.31,1806,1794,10,0
2020.6.1,1806,1794,10,0
2020.6.2,1806,1794,10,0
2020.6.3,1806,1794,10,0
2020.6.4,1806,1794,10,0
2020.6.5,1806,1794,10,0
2020.6.6,1806,1794,10,0
2020.6.7,1807,1794,10,1
2020.6.8,1807,1794,10,0
2020.6.9,1807,1794,10,0
2020.6.10,1807,1794,10,0
2020.6.11,1807,1794,10,0
2020.6.12,1807,1794,10,0
2020.6.13,1808,1794,10,1
2020.6.14,1810,1796,10,2
2020.6.15,1810,1796,10,0
2020.6.16,1812,1796,10,2
2020.6.17,1815,1797,10,3
2020.6.18,1816,1801,10,1
2020.6.19,1819,1801,10,3
2020.6.20,1822,1801,10,3
2020.6.21,1823,1805,10,1
2020.6.22,1823,1805,10,0
2020.6.23,1824,1806,10,1
2020.6.24,1824,1806,10,0
2020.6.25,1830,1811,10,6
2020.6.26,1832,1813,10,2
2020.6.27,1836,1814,10,4
2020.6.28,1836,1814,10,0
2020.6.29,1838,1816,10,2
2020.6.30,1842,1819,10,4
2020.7.1,1847,1823,10,5
2020.7.2,1850,1828,10,3
2020.7.3,1855,1828,10,5
2020.7.4,1855,1832,10,0
2020.7.5,1860,1833,10,5
2020.7.6,1866,1840,10,6
2020.7.7,1873,1847,10,7
2020.7.8,1880,1850,10,7
2020.7.9,1882,1854,10,2
2020.7.10,1882,1854,10,0
2020.7.11,1888,1860,10,6
2020.7.12,1896,1865,10,8
2020.7.13,1900,1871,10,4
2020.7.14,1905,1882,10,5
2020.7.15,1911,1885,10,6
2020.7.16,1914,1892,10,3
2020.7.17,1916,1895,10,2
2020.7.18,1922,1902,10,6
2020.7.19,1930,1907,10,8
