date,累计确诊,治愈,死亡,新增确诊
2020.4.8,164,5,0,20
2020.4.10,212,15,0,18
2020.4.11,250,17,0,38
2020.4.13,319,17,0,69
2020.4.14,404,31,1,41
2020.4.18,518,65,3,41
2020.4.19,579,87,5,61
2020.4.20,622,122,5,43
2020.4.22,761,164,6,73
2020.4.23,862,170,6,101
2020.4.24,954,191,6,92
2020.4.25,996,208,7,42
2020.4.27,1163,246,7,69
2020.4.28,1240,269,7,77
2020.4.29,1351,313,7,111
2020.4.30,1495,329,7,144
2020.5.1,1537,342,7,42
2020.5.2,1586,405,7,49
2020.5.4,1710,450,9,124
2020.5.5,1811,498,10,101
2020.5.6,1856,597,11,45
2020.5.7,1927,629,11,71
2020.5.11,2213,771,11,67
2020.5.12,2298,816,11,152
2020.5.13,2374,856,14,76
2020.5.14,2473,895,15,99
2020.5.15,2531,1094,15,58
2020.5.16,2658,1133,16,185
2020.5.18,2658,1133,16,0
2020.5.19,2796,1263,16,138
2020.5.20,2863,1525,18,67
2020.5.21,2863,1525,18,0
2020.5.22,3067,1575,18,204
2020.5.23,3067,1575,19,0
2020.5.24,3176,1631,20,109
2020.5.25,3275,1673,20,99
2020.5.26,3275,1673,20,0
2020.5.27,3275,1673,20,0
2020.5.28,3275,1673,20,0
2020.5.29,3553,1950,22,278
2020.5.30,3656,2000,22,103
2020.5.31,3706,2030,23,50
2020.6.1,3706,2030,23,0
2020.6.2,3844,2135,23,138
2020.6.3,3886,2267,23,42
2020.6.4,3933,2332,23,47
2020.6.5,3991,2512,23,58
2020.6.6,4060,2667,23,69
2020.6.7,4117,2857,23,57
2020.6.8,4117,2877,23,0
2020.6.9,4216,2918,23,99
2020.6.10,4258,2942,23,42
2020.6.11,4258,2942,23,0
2020.6.12,4372,3033,23,114
2020.6.13,4426,3106,24,54
2020.6.14,4484,3213,25,58
2020.6.15,4532,3234,25,48
2020.6.16,4572,3259,26,40
2020.6.17,4639,3327,26,67
2020.6.18,4668,3364,26,29
2020.6.19,4841,3467,26,173
2020.6.20,4904,3522,27,63
2020.6.21,4960,3630,27,56
2020.6.22,4988,3669,27,28
2020.6.23,5040,3685,28,52
2020.6.24,5104,3744,29,64
2020.6.25,5174,3861,29,70
2020.6.26,5174,3861,29,0
2020.6.27,5260,4155,29,86
2020.6.28,5291,4215,30,31
2020.6.29,5342,4282,31,51
2020.6.30,5351,4296,31,9
2020.7.1,5391,4326,33,40
2020.7.2,5404,4346,33,13
2020.7.3,5450,4392,33,46
2020.7.4,5521,4446,33,71
2020.7.5,5570,4496,34,49
2020.7.6,5610,4522,34,40
2020.7.7,5610,4522,34,0
2020.7.8,5697,4577,34,87
2020.7.9,5697,4577,34,0
2020.7.10,5881,4672,36,184
2020.7.11,5969,4732,37,88
2020.7.12,6044,4802,37,75
2020.7.13,6141,4862,37,97
2020.7.14,6141,4862,37,0
2020.7.15,6200,4951,38,59
2020.7.16,6276,4981,38,76
2020.7.17,6359,5012,39,83
2020.7.18,6430,5233,39,71
2020.7.19,6491,5257,39,61
2020.7.20,6544,5511,39,53
2020.7.21,6590,5591,40,46
2020.7.22,6652,5771,41,62
2020.7.23,6747,5891,41,95
2020.7.24,6806,5999,42,59
2020.7.25,6867,6063,42,61
2020.7.26,6927,6098,42,60
2020.7.27,7008,6152,43,81
2020.7.28,7055,6257,45,47
2020.7.29,7126,6312,46,71
2020.7.30,7183,6404,46,57
2020.7.31,7242,6438,46,59
2020.8.1,7308,6458,46,66
2020.8.2,7317,6480,46,9
2020.8.3,7364,6505,46,47
2020.8.4,7364,6505,46,0
2020.8.5,7489,6591,48,125
2020.8.6,7575,6632,49,86
2020.8.7,7664,6757,49,89
2020.8.8,7777,6800,50,113
2020.8.9,7875,6828,50,98
2020.8.10,7930,6898,50,55
2020.8.11,7930,6898,50,0
2020.8.12,8018,7020,50,88
2020.8.13,8116,7060,50,98
2020.8.14,8198,7120,50,82
2020.8.15,8260,7177,50,62
2020.8.16,8343,7210,50,83
2020.8.17,8482,7364,51,139
2020.8.18,8620,7472,51,138
2020.8.19,8715,7532,52,95
2020.8.20,8792,7574,53,77
2020.8.21,8876,7628,53,84
2020.8.22,8932,7648,53,56
2020.8.23,8967,7708,53,35
2020.8.24,9013,7823,54,46
2020.8.25,9076,7928,55,63
2020.8.26,9128,8040,57,52
2020.8.27,9167,8150,57,39
2020.8.28,9213,8180,58,46
2020.8.29,9251,8282,59,38
2020.8.30,9251,8282,59,0
2020.8.31,9371,8387,59,120
2020.9.1,9409,8447,59,38
2020.9.2,9479,8527,59,70
2020.9.3,9479,8527,59,0
2020.9.4,9579,8726,61,100
2020.9.5,9649,8832,61,70
2020.9.6,9722,8886,61,73
2020.9.7,9798,8928,61,76
2020.9.8,9816,8956,62,18
2020.9.9,9848,9009,63,32
2020.9.10,9885,9068,63,37
2020.9.11,9946,9100,63,61
2020.9.12,9979,9189,63,33
2020.9.13,10020,9251,63,41
2020.9.14,10045,9292,63,25
2020.9.15,10061,9352,63,16
2020.9.16,10111,9444,63,50
2020.9.17,10154,9612,63,43
2020.9.18,10183,9642,63,29
2020.9.19,10231,9660,63,48
2020.9.20,10286,9681,63,55
2020.9.21,10325,9692,64,39
2020.9.22,10344,9757,65,19
2020.9.23,10387,9780,65,43
2020.9.24,10434,9801,65,47
2020.9.25,10434,9801,65,0
2020.9.26,10478,9816,65,44
2020.9.27,10512,9836,65,34
2020.9.28,10580,9892,66,68
2020.9.29,10598,9940,66,18
2020.9.30,10634,9960,66,36
2020.10.1,10652,9996,66,18
2020.10.2,10652,9996,66,0
2020.10.3,10735,10066,66,83
2020.10.4,10754,10098,66,19
2020.10.5,10754,10098,66,0
2020.10.6,10800,10161,67,46
2020.10.7,10863,10176,68,63
2020.10.8,10863,10176,68,0
2020.10.9,10954,10265,68,91
2020.10.10,10996,10304,69,42
2020.10.11,11022,10324,69,26
2020.10.12,11022,10324,69,0
2020.10.13,11134,10347,70,112
2020.10.14,11188,10352,70,54
2020.10.15,11255,10360,70,67
2020.10.16,11327,10380,70,72
2020.10.17,11362,10420,70,35
2020.10.18,11478,10425,70,116
2020.10.19,11518,10427,70,40
2020.10.20,11538,10447,70,20
2020.10.21,11599,10461,70,61
2020.10.22,11635,10474,71,36
2020.10.23,11635,10474,71,0
2020.10.24,11635,10474,71,0
2020.10.25,11635,10474,71,0
2020.10.26,11635,10474,71,0
2020.10.27,11635,10474,71,0
2020.10.28,11819,10505,71,184
2020.10.29,11887,10535,71,68
2020.10.30,12020,10550,71,133
2020.10.31,12072,10550,72,52
2020.11.1,12150,10578,73,78
2020.11.2,12195,10589,73,45
2020.11.3,12213,10600,73,18
2020.11.4,12260,10648,73,47
2020.11.5,12331,10698,73,71
2020.11.6,12363,10751,73,32
2020.11.7,12363,10751,73,0
2020.11.8,12414,10817,74,51
2020.11.9,12426,10829,74,12
2020.11.10,12459,10847,74,33
2020.11.11,12484,10857,74,25
2020.11.12,12516,10879,74,32
2020.11.13,12537,10899,74,21
2020.11.14,12585,11041,74,48
2020.11.15,12585,11041,74,0
2020.11.16,12624,11270,75,39
2020.11.17,12654,11386,75,30
2020.11.18,12683,11537,75,29
2020.11.19,12713,11689,75,30
2020.11.20,12743,11789,75,30
