date,累计确诊,治愈,死亡,新增确诊
2020.4.9,36,0,0,3
2020.4.10,38,0,0,2
2020.4.11,39,3,0,1
2020.4.14,43,3,0,5
2020.4.17,46,3,0,3
2020.4.22,52,3,0,2
2020.4.25,53,3,1,1
2020.4.27,73,18,1,20
2020.4.29,205,19,1,132
2020.5.1,257,19,1,52
2020.5.5,475,24,2,62
2020.5.7,564,25,2,89
2020.5.12,820,26,3,59
2020.5.13,836,26,3,16
2020.5.14,913,26,3,77
2020.5.15,913,26,3,0
2020.5.16,969,26,4,56
2020.5.17,990,26,4,21
2020.5.18,990,26,4,0
2020.5.19,1032,38,4,42
2020.5.20,1038,42,6,6
2020.5.21,1089,42,6,51
2020.5.22,1109,42,6,20
2020.5.23,1114,42,6,5
2020.5.24,1114,42,6,0
2020.5.25,1114,42,6,0
2020.5.26,1178,42,7,64
2020.5.27,1178,42,7,0
2020.5.28,1195,42,7,17
2020.5.29,1195,42,8,0
2020.5.30,1256,42,8,61
2020.5.31,1256,42,8,0
2020.6.1,1256,42,8,0
2020.6.2,1339,53,8,83
2020.6.3,1339,53,8,0
2020.6.4,1339,53,8,0
2020.6.5,1339,53,8,0
2020.6.6,1368,153,12,29
2020.6.7,1368,153,12,0
2020.6.8,1368,153,12,0
2020.6.9,1389,153,12,21
2020.6.10,1389,153,12,0
2020.6.11,1389,153,12,0
2020.6.12,1389,153,12,0
2020.6.13,1460,153,15,71
2020.6.14,1460,153,15,0
2020.6.15,1460,153,15,0
2020.6.16,1492,153,15,32
2020.6.17,1492,153,15,0
2020.6.18,1492,153,15,0
2020.6.19,1492,153,15,0
2020.6.20,1541,153,17,49
2020.6.21,1541,153,17,0
2020.6.22,1541,153,17,0
2020.6.23,1556,191,19,15
2020.6.24,1556,191,19,0
2020.6.25,1556,191,19,0
2020.6.26,1556,191,19,0
2020.6.27,1614,191,22,58
2020.6.28,1614,317,22,0
2020.6.29,1614,317,22,0
2020.6.30,1654,317,24,40
2020.7.1,1654,317,24,0
2020.7.2,1654,317,24,0
2020.7.3,1654,317,24,0
2020.7.4,1765,676,25,111
2020.7.5,1765,676,25,0
2020.7.6,1765,676,25,0
2020.7.7,1790,760,25,25
2020.7.8,1790,760,25,0
2020.7.9,1790,760,25,0
2020.7.10,1790,760,25,0
2020.7.11,1842,773,26,52
2020.7.12,1842,773,26,0
2020.7.13,1842,773,26,0
2020.7.14,1842,773,26,0
2020.7.15,1842,773,26,0
2020.7.16,1902,773,26,60
2020.7.17,1927,773,26,25
2020.7.18,1927,773,26,0
2020.7.19,1949,803,26,22
2020.7.20,1949,803,26,0
2020.7.21,1949,803,26,0
2020.7.22,1954,803,26,5
2020.7.23,1954,803,26,0
2020.7.24,1954,803,26,0
2020.7.25,1954,803,26,0
2020.7.26,1954,803,26,0
2020.7.27,1954,803,26,0
2020.7.28,1954,803,26,0
2020.7.29,1954,803,26,0
2020.7.30,1954,803,26,0
2020.7.31,1981,803,26,27
2020.8.1,1981,803,26,0
2020.8.2,1981,803,27,0
2020.8.3,1981,803,27,0
2020.8.4,1981,803,27,0
2020.8.5,1981,803,27,0
2020.8.6,2032,944,27,51
2020.8.7,2032,944,27,0
2020.8.8,2032,944,27,0
2020.8.9,2052,944,29,20
2020.8.10,2052,944,29,0
2020.8.11,2088,1015,29,36
2020.8.12,2088,1015,29,0
2020.8.13,2088,1015,29,0
2020.8.14,2088,1015,29,0
2020.8.15,2088,1015,29,0
2020.8.16,2117,1015,33,29
2020.8.17,2117,1015,33,0
2020.8.18,2117,1015,33,0
2020.8.19,2117,1015,33,0
2020.8.20,2117,1015,33,0
2020.8.21,2149,1015,33,32
2020.8.22,2149,1015,33,0
2020.8.23,2149,1015,33,0
2020.8.24,2149,1015,33,0
2020.8.25,2149,1015,33,0
2020.8.26,2149,1015,33,0
2020.8.27,2205,1127,34,56
2020.8.28,2205,1127,34,0
2020.8.29,2205,1127,34,0
2020.8.30,2205,1127,34,0
2020.8.31,2205,1127,34,0
2020.9.1,2205,1127,34,0
2020.9.2,2205,1127,34,0
2020.9.3,2205,1127,34,0
2020.9.4,2205,1127,34,0
2020.9.5,2245,1127,38,40
2020.9.6,2245,1127,38,0
2020.9.7,2245,1127,38,0
2020.9.8,2245,1127,38,0
2020.9.9,2245,1127,38,0
2020.9.10,2245,1127,38,0
2020.9.11,2275,1127,39,30
2020.9.12,2275,1127,39,0
2020.9.13,2275,1127,39,0
2020.9.14,2275,1127,39,0
2020.9.15,2275,1127,39,0
2020.9.16,2275,1127,39,0
2020.9.17,2275,1127,39,0
2020.9.18,2275,1127,39,0
2020.9.19,2303,1127,39,28
2020.9.20,2303,1127,39,0
2020.9.21,2303,1127,39,0
2020.9.22,2303,1127,39,0
2020.9.23,2324,1549,39,21
2020.9.24,2324,1549,39,0
2020.9.25,2324,1549,39,0
2020.9.26,2324,1549,39,0
2020.9.27,2324,1549,39,0
