date,累计确诊,治愈,死亡,新增确诊
2020.4.10,79,55,1,1
2020.4.11,80,55,1,1
2020.4.19,81,55,1,1
2020.4.26,82,55,1,1
2020.5.16,82,55,1,0
2020.5.17,82,55,1,0
2020.5.18,82,55,1,0
2020.5.19,82,55,1,0
2020.5.20,82,55,1,0
2020.5.21,82,55,1,0
2020.5.22,82,55,1,0
2020.5.23,82,55,1,0
2020.5.24,82,55,1,0
2020.5.25,82,55,1,0
2020.5.26,82,55,1,0
2020.5.27,82,55,1,0
2020.5.28,82,55,1,0
2020.5.29,82,55,1,0
2020.5.30,82,55,1,0
2020.5.31,82,55,1,0
2020.6.1,82,55,1,0
2020.6.2,82,55,1,0
2020.6.3,82,55,1,0
2020.6.4,82,55,1,0
2020.6.5,82,55,1,0
2020.6.6,82,55,1,0
2020.6.7,82,55,1,0
2020.6.8,82,55,1,0
2020.6.9,82,55,1,0
2020.6.10,82,55,1,0
2020.6.11,82,55,1,0
2020.6.12,82,55,1,0
2020.6.13,82,55,1,0
2020.6.14,82,55,1,0
2020.6.15,82,55,1,0
2020.6.16,82,55,1,0
2020.6.17,82,55,1,0
2020.6.18,82,55,1,0
2020.6.19,82,55,1,0
2020.6.20,82,55,1,0
2020.6.21,82,55,1,0
2020.6.22,83,69,1,1
2020.6.23,83,69,1,0
2020.6.24,86,72,2,3
2020.6.25,82,81,1,0
2020.6.26,82,81,1,0
2020.6.27,82,81,1,0
2020.6.28,82,81,1,0
2020.6.29,82,81,1,0
2020.6.30,82,81,1,0
2020.7.1,82,81,1,0
2020.7.2,82,81,1,0
2020.7.3,83,81,1,1
2020.7.4,83,81,1,0
2020.7.5,83,81,1,0
2020.7.6,84,81,1,1
2020.7.7,84,81,1,0
2020.7.8,84,81,1,0
2020.7.9,84,81,1,0
2020.7.10,84,81,1,0
2020.7.11,84,81,1,0
2020.7.12,84,81,1,0
2020.7.13,84,81,1,0
2020.7.14,84,81,1,0
2020.7.15,84,81,1,0
2020.7.16,84,81,1,0
2020.7.17,85,81,1,1
2020.7.18,86,81,1,1
2020.7.19,86,81,1,0
2020.7.20,86,81,1,0
2020.7.21,86,81,1,0
2020.7.22,86,81,1,0
2020.7.23,86,81,1,0
2020.7.24,86,81,1,0
2020.7.25,86,81,1,0
2020.7.26,86,81,1,0
2020.7.27,86,81,1,0
2020.7.28,86,81,1,0
2020.7.29,87,81,1,1
2020.7.30,88,85,1,1
2020.7.31,88,85,1,0
2020.8.1,88,85,1,0
2020.8.2,88,85,1,0
2020.8.3,89,85,1,1
2020.8.4,89,85,1,0
2020.8.5,89,85,1,0
2020.8.6,89,85,1,0
2020.8.7,89,85,1,0
2020.8.8,89,85,1,0
2020.8.9,89,85,1,0
2020.8.10,89,85,1,0
2020.8.11,89,87,1,0
2020.8.12,89,87,1,0
2020.8.13,90,87,1,1
2020.8.14,91,87,1,1
2020.8.15,91,87,1,0
2020.8.16,91,87,1,0
2020.8.17,94,87,1,3
2020.8.18,97,88,1,3
2020.8.19,98,88,1,1
2020.8.20,99,88,1,1
2020.8.21,99,88,1,0
2020.8.22,99,88,1,0
2020.8.23,99,88,1,0
2020.8.24,100,90,1,1
2020.8.25,102,94,1,2
2020.8.26,102,94,1,0
2020.8.27,105,96,1,3
2020.8.28,106,96,1,1
2020.8.29,106,96,1,0
2020.8.30,107,97,1,1
2020.8.31,107,97,1,0
2020.9.1,107,97,1,0
2020.9.2,107,97,1,0
2020.9.3,107,97,1,0
2020.9.4,107,97,1,0
2020.9.5,107,97,1,0
2020.9.6,107,97,1,0
2020.9.7,107,97,1,0
2020.9.8,107,97,1,0
2020.9.9,108,105,1,1
2020.9.10,109,105,1,1
2020.9.11,109,105,1,0
2020.9.12,109,105,1,0
2020.9.13,111,105,1,2
2020.9.14,111,105,1,0
2020.9.15,111,105,1,0
2020.9.16,111,105,1,0
2020.9.17,111,105,1,0
2020.9.18,112,108,1,1
2020.9.19,113,109,1,1
2020.9.20,113,109,1,0
2020.9.21,113,109,1,0
2020.9.22,115,110,1,2
2020.9.23,116,110,1,1
2020.9.24,116,110,1,0
2020.9.25,116,110,1,0
2020.9.26,117,110,1,1
2020.9.27,117,110,1,0
2020.9.28,117,110,1,0
2020.9.29,118,113,1,1
2020.9.30,118,113,1,0
2020.10.1,118,113,1,0
2020.10.2,120,116,1,2
2020.10.3,123,116,1,3
2020.10.4,123,116,1,0
2020.10.5,127,116,1,4
2020.10.6,130,116,1,3
2020.10.7,131,116,1,1
2020.10.8,135,117,1,4
2020.10.9,137,117,1,2
2020.10.10,142,117,1,5
2020.10.11,144,121,1,2
2020.10.12,148,124,1,4
2020.10.13,163,128,1,15
2020.10.14,174,131,1,11
2020.10.15,183,131,1,9
2020.10.16,192,132,1,9
2020.10.17,217,132,1,25
2020.10.18,224,132,1,7
2020.10.19,224,142,1,0
2020.10.20,235,142,1,11
2020.10.21,252,145,1,17
2020.10.22,282,158,1,30
2020.10.23,324,170,1,42
2020.10.24,340,170,1,16
2020.10.25,365,170,1,25
2020.10.26,402,210,1,37
2020.10.27,428,210,1,26
2020.10.28,450,228,1,22
2020.10.29,476,265,1,26
2020.10.30,513,347,2,37
2020.10.31,533,347,3,20
2020.11.1,551,347,3,18
2020.11.2,598,355,3,47
2020.11.3,631,379,3,33
2020.11.4,659,423,3,28
2020.11.5,659,423,3,0
2020.11.6,741,481,3,82
2020.11.7,765,481,3,24
2020.11.8,788,481,3,23
2020.11.9,801,565,3,13
2020.11.10,846,590,4,45
2020.11.11,877,616,4,31
2020.11.12,905,656,4,28
2020.11.13,928,682,5,23
2020.11.14,970,682,5,42
2020.11.15,985,682,5,15
2020.11.16,989,763,7,4
2020.11.17,1002,796,8,13
2020.11.18,1051,841,8,49
2020.11.19,1072,865,8,21
2020.11.20,1094,883,8,22
2020.11.21,1109,883,8,15
2020.11.22,1112,883,8,3
2020.11.23,1156,952,12,44
2020.11.24,1158,952,13,2
2020.11.25,1183,985,14,25
2020.11.26,1208,1010,14,25
2020.11.27,1208,1010,14,0
2020.11.28,1253,1024,15,45
2020.11.29,1253,1024,15,0
2020.11.30,1270,1088,16,17
2020.12.1,1286,1110,16,16
2020.12.2,1318,1149,16,32
2020.12.3,1339,1169,17,21
2020.12.4,1351,1183,17,12
2020.12.5,1378,1183,17,27
2020.12.6,1396,1183,17,18
2020.12.7,1397,1235,19,1
2020.12.8,1404,1235,19,7
2020.12.9,1432,1270,19,28
2020.12.10,1441,1282,19,9
2020.12.11,1466,1296,20,25
2020.12.12,1482,1296,20,16
2020.12.13,1514,1296,20,32
2020.12.14,1566,1351,20,52
2020.12.15,1579,1366,21,13
2020.12.16,1600,1377,21,21
2020.12.17,1635,1395,21,35
2020.12.18,1676,1424,23,41
2020.12.19,1711,1424,25,35
2020.12.20,1758,1424,25,47
2020.12.21,1784,1507,27,26
2020.12.22,1826,1542,28,42
2020.12.23,1858,1591,30,32
2020.12.24,1920,1591,30,62
2020.12.25,1980,1591,30,60
2020.12.26,1980,1591,30,0
2020.12.27,2018,1591,31,38
2020.12.28,2038,1734,35,20
2020.12.29,2069,1764,38,31
2020.12.30,2104,1810,39,35
2020.12.31,2136,1810,39,32
2021.1.1,2175,1810,39,39
2021.1.2,2202,1810,39,27
2021.1.3,2222,1810,39,20
2021.1.4,2224,1979,41,2
2021.1.5,2246,2005,45,22
2021.1.6,2295,2005,48,49
2021.1.7,2309,2084,48,14
2021.1.8,2309,2084,48,0
2021.1.9,2329,2108,49,20
2021.1.10,2340,2108,49,11
2021.1.11,2346,2108,49,6
2021.1.12,2355,2196,49,9
2021.1.13,2370,2211,49,15
2021.1.14,2370,2211,49,0
2021.1.15,2378,2264,49,8
2021.1.16,2383,2264,49,5
2021.1.17,2383,2264,49,0
2021.1.18,2395,2281,50,12
2021.1.19,2398,2292,50,3
2021.1.20,2398,2292,50,0
2021.1.21,2415,2322,51,17
2021.1.22,2432,2322,52,17
2021.1.23,2437,2322,52,5
2021.1.24,2437,2322,52,0
2021.1.25,2454,2322,52,17
2021.1.26,2455,2322,52,1
