date,累计确诊,治愈,死亡,新增确诊
2020.4.8,60,5,5,11
2020.4.11,70,5,5,10
2020.4.12,70,8,5,10
2020.4.14,74,10,5,14
2020.4.16,143,11,6,26
2020.4.19,160,16,6,17
2020.4.21,165,16,6,5
2020.4.22,186,16,6,26
2020.4.24,200,19,6,14
2020.4.27,207,19,8,7
2020.4.29,220,19,9,13
2020.5.1,229,25,9,9
2020.5.4,236,26,10,7
2020.5.6,264,30,10,28
2020.5.7,274,33,10,10
2020.5.11,333,53,11,59
2020.5.14,391,87,15,58
2020.5.15,391,87,15,0
2020.5.16,391,87,15,0
2020.5.18,391,87,15,0
2020.5.19,412,110,15,21
2020.5.20,420,132,15,8
2020.5.21,420,132,15,0
2020.5.22,469,137,16,49
2020.5.23,469,137,16,0
2020.5.24,487,147,16,18
2020.5.25,487,147,16,0
2020.5.26,487,147,16,0
2020.5.27,487,147,16,0
2020.5.28,571,161,19,84
2020.5.29,571,161,19,0
2020.5.30,571,161,19,0
2020.5.31,571,161,19,0
2020.6.1,611,179,20,40
2020.6.2,611,179,20,0
2020.6.3,611,179,20,0
2020.6.4,611,179,20,0
2020.6.5,611,179,20,0
2020.6.6,635,182,20,24
2020.6.7,683,210,22,48
2020.6.8,683,210,22,0
2020.6.9,683,210,22,0
2020.6.10,728,221,24,45
2020.6.11,728,221,24,0
2020.6.12,728,221,24,0
2020.6.13,728,221,24,0
2020.6.14,728,221,24,0
2020.6.15,728,221,24,0
2020.6.16,883,391,27,155
2020.6.17,883,391,27,0
2020.6.18,883,391,27,0
2020.6.19,883,391,27,0
2020.6.20,883,391,27,0
2020.6.21,883,391,27,0
2020.6.22,883,391,27,0
2020.6.23,1087,456,37,204
2020.6.24,1087,456,37,0
2020.6.25,1087,456,37,0
2020.6.26,1087,456,37,0
2020.6.27,1087,456,37,0
2020.6.28,1087,456,37,0
2020.6.29,1087,456,37,0
2020.6.30,1087,456,37,0
2020.7.1,1087,456,37,0
2020.7.2,1382,486,41,295
2020.7.3,1382,486,41,0
2020.7.4,1557,501,44,175
2020.7.5,1557,501,44,0
2020.7.6,1557,501,44,0
2020.7.7,1557,501,44,0
2020.7.8,1557,501,44,0
2020.7.9,1821,525,47,264
2020.7.10,1821,525,47,0
2020.7.11,2028,589,47,207
2020.7.12,2028,589,47,0
2020.7.13,2028,589,47,0
2020.7.14,2028,589,47,0
2020.7.15,2222,589,47,194
2020.7.16,2222,589,47,0
2020.7.17,2358,589,48,136
2020.7.18,2633,626,49,275
2020.7.19,2633,626,49,0
2020.7.20,2633,626,49,0
2020.7.21,2851,666,50,218
2020.7.22,2851,666,50,0
2020.7.23,2851,666,50,0
2020.7.24,3038,756,51,187
2020.7.25,3038,756,51,0
2020.7.26,3038,756,51,0
2020.7.27,3038,756,51,0
2020.7.28,3200,829,54,162
2020.7.29,3200,829,54,0
2020.7.30,3200,829,54,0
2020.7.31,3200,829,54,0
2020.8.1,3200,829,54,0
2020.8.2,3200,829,54,0
2020.8.3,3200,829,54,0
2020.8.4,3546,1589,58,346
2020.8.5,3546,1589,58,0
2020.8.6,3546,1589,58,0
2020.8.7,3546,1589,58,0
2020.8.8,3637,1589,58,91
2020.8.9,3664,1589,58,27
2020.8.10,3664,1589,58,0
2020.8.11,3664,1589,58,0
2020.8.12,3745,1625,60,81
2020.8.13,3745,1625,60,0
2020.8.14,3745,1625,60,0
2020.8.15,3745,1625,60,0
2020.8.16,3745,1625,60,0
2020.8.17,3831,1625,76,86
2020.8.18,3831,1625,76,0
2020.8.19,3831,1625,76,0
2020.8.20,3850,1625,77,19
2020.8.21,3850,1625,77,0
2020.8.22,3850,1625,77,0
2020.8.23,3850,1625,77,0
2020.8.24,3850,1625,77,0
2020.8.25,3979,1742,78,129
2020.8.26,3979,1742,78,0
2020.8.27,3979,1742,78,0
2020.8.28,3979,1742,78,0
2020.8.29,3979,1742,78,0
2020.8.30,3979,1742,78,0
2020.8.31,3979,1742,78,0
2020.9.1,3979,1742,78,0
2020.9.2,3979,1742,78,0
2020.9.3,4628,1742,102,649
2020.9.4,4628,1742,102,0
2020.9.5,4628,1742,102,0
2020.9.6,4628,1742,102,0
2020.9.7,4628,1742,102,0
2020.9.8,4891,3887,102,263
2020.9.9,4891,3887,114,0
2020.9.10,4891,3887,83,0
2020.9.11,4891,3887,83,0
2020.9.12,4928,3887,88,37
2020.9.13,4928,3887,88,0
2020.9.14,4928,3887,88,0
2020.9.15,4934,3887,88,6
2020.9.16,4934,3887,88,0
2020.9.17,4934,3887,88,0
2020.9.18,4934,3887,88,0
2020.9.19,4980,3887,89,46
2020.9.20,4986,3887,89,6
2020.9.21,4986,3887,89,0
2020.9.22,5002,3887,89,16
2020.9.23,5002,3887,89,0
2020.9.24,5005,3887,89,3
2020.9.25,5005,3887,89,0
2020.9.26,5005,3887,89,0
2020.9.27,5005,3887,89,0
2020.9.28,5008,3887,89,3
2020.9.29,5008,3887,89,0
2020.9.30,5008,3887,89,0
2020.10.1,5089,3887,89,81
2020.10.2,5089,3887,89,0
2020.10.3,5089,3887,89,0
2020.10.4,5089,3887,89,0
2020.10.5,5089,3887,89,0
2020.10.6,5089,3887,89,0
2020.10.7,5089,3887,89,0
2020.10.8,5089,3887,89,0
2020.10.9,5118,3887,90,29
2020.10.10,5118,3887,90,0
2020.10.11,5118,3887,90,0
2020.10.12,5118,3887,90,0
2020.10.13,5118,3887,90,0
2020.10.14,5118,3887,90,0
2020.10.15,5156,3887,92,38
2020.10.16,5156,3887,92,0
2020.10.17,5156,3887,92,0
2020.10.18,5156,3887,92,0
2020.10.19,5156,3887,92,0
2020.10.20,5156,3887,92,0
2020.10.21,5156,3887,92,0
2020.10.22,5156,3887,92,0
2020.10.23,5156,3887,92,0
2020.10.24,5156,3887,92,0
2020.10.25,5253,3887,92,97
2020.10.26,5253,3887,92,0
2020.10.27,5253,3887,92,0
2020.10.28,5253,3887,92,0
2020.10.29,5253,3887,92,0
2020.10.30,5290,3887,92,37
2020.10.31,5290,3887,92,0
2020.11.1,5290,3887,92,0
2020.11.2,5290,3887,92,0
2020.11.3,5290,3887,92,0
2020.11.4,5348,3887,92,58
2020.11.5,5348,3887,92,0
2020.11.6,5348,3887,92,0
2020.11.7,5379,3887,92,31
2020.11.8,5379,3887,92,0
2020.11.9,5379,3887,92,0
2020.11.10,5379,3887,92,0
2020.11.11,5379,3887,92,0
2020.11.12,5379,3887,92,0
2020.11.13,5379,3887,92,0
2020.11.14,5515,3887,92,136
2020.11.15,5515,3887,92,0
2020.11.16,5515,3887,92,0
2020.11.17,5515,3887,92,0
2020.11.18,5515,3887,92,0
2020.11.19,5515,3887,92,0
2020.11.20,5632,3887,93,117
2020.11.21,5632,3887,93,0
2020.11.22,5632,3887,93,0
2020.11.23,5632,3887,93,0
2020.11.24,5632,4988,93,0
2020.11.25,5632,4988,93,0
2020.11.26,5632,4988,93,0
2020.11.27,5632,4988,93,0
2020.11.28,5632,4988,93,0
2020.11.29,5632,4988,93,0
2020.11.30,5774,4988,94,0
2020.12.1,5774,4988,94,0
2020.12.2,5774,4988,94,0
2020.12.3,5774,4988,94,0
2020.12.4,5774,4988,94,0
2020.12.5,5774,4988,94,0
2020.12.6,5774,4988,94,0
2020.12.7,5774,4988,94,0
2020.12.8,5774,4988,94,0
2020.12.9,5774,4988,94,0
2020.12.10,6049,4988,99,275
2020.12.11,6049,4988,99,0
2020.12.12,6049,4988,99,0
2020.12.13,6049,4988,99,0
2020.12.14,6049,4988,99,0
2020.12.15,6200,4988,100,151
2020.12.16,6200,4988,100,0
2020.12.17,6200,4988,100,0
2020.12.18,6200,4988,100,0
2020.12.19,6200,4988,100,0
2020.12.20,6200,4988,100,0
2020.12.21,6200,4988,100,0
2020.12.22,6200,4988,100,0
2020.12.23,6571,4988,100,371
2020.12.24,6571,4988,100,0
2020.12.25,6571,4988,100,0
2020.12.26,6571,4988,100,0
2020.12.27,6908,5831,107,337
2020.12.28,6908,5831,107,0
2020.12.29,6908,5831,107,0
2020.12.30,6908,5831,107,0
2020.12.31,6908,5831,107,0
2021.1.1,7107,5846,108,199
2021.1.2,7107,5846,108,0
2021.1.3,7107,5846,108,0
2021.1.4,7107,5846,108,0
2021.1.5,7107,5846,108,0
2021.1.6,7107,5846,108,0
2021.1.7,7127,5846,108,20
2021.1.8,7127,5846,108,0
2021.1.9,7127,5846,108,0
2021.1.10,7127,5846,108,0
2021.1.11,7127,5846,108,0
2021.1.12,7127,5846,108,0
2021.1.13,7160,5846,112,33
2021.1.14,7160,5846,112,0
2021.1.15,7160,5846,112,0
2021.1.16,7709,5846,114,549
2021.1.17,7709,5846,114,0
2021.1.18,7709,5846,114,0
2021.1.19,7709,5846,114,0
2021.1.20,7709,5846,114,0
2021.1.21,7709,5846,114,0
2021.1.22,7794,5846,117,85
2021.1.23,7794,5846,117,0
2021.1.24,7794,5846,117,0
2021.1.25,7794,5846,117,0
2021.1.26,7887,5846,117,93
2021.1.27,7887,5846,117,0
2021.1.28,7887,5846,117,0
2021.1.29,7887,5846,117,0
2021.1.30,7887,5846,117,0
2021.1.31,7887,5846,117,0
2021.2.1,7887,5846,117,0
2021.2.2,7887,5846,117,0
2021.2.3,7887,5846,117,0
2021.2.4,7887,5846,117,0
2021.2.5,8060,5846,122,173
2021.2.6,8060,5846,122,0
2021.2.7,8060,5846,122,0
2021.2.8,8060,5846,122,0
2021.2.9,8060,5846,122,0
2021.2.10,8060,5846,122,0
2021.2.11,8354,5846,122,294
2021.2.12,8354,7019,122,0
2021.2.13,8419,7019,123,65
2021.2.14,8419,7019,123,0
2021.2.15,8419,7019,123,0
2021.2.16,8419,7019,123,0
2021.2.17,8419,7019,123,0
2021.2.18,8419,7019,123,0
2021.2.19,8419,7019,123,0
2021.2.20,8419,7019,123,0
2021.2.21,8419,7019,123,0
