date,累计确诊,治愈,死亡,新增确诊
2020.4.7,183,10,20,3
2020.4.8,207,10,20,24
2020.4.9,215,13,20,35
2020.4.10,223,16,20,8
2020.4.12,235,17,20,1
2020.4.13,241,20,20,6
2020.4.14,254,21,21,13
2020.4.15,267,23,22,13
2020.4.16,287,25,23,20
2020.4.17,307,26,25,20
2020.4.19,332,27,25,5
2020.4.20,350,35,25,18
2020.4.21,359,45,25,9
2020.4.22,377,47,25,18
2020.4.23,394,48,25,17
2020.4.24,416,49,28,22
2020.4.25,442,50,28,26
2020.4.26,459,50,28,17
2020.4.27,471,56,30,12
2020.4.28,491,59,30,20
2020.4.29,500,65,31,9
2020.4.30,572,73,31,72
2020.5.1,604,75,32,32
2020.5.2,674,75,33,70
2020.5.3,682,80,34,8
2020.5.4,705,90,34,23
2020.5.5,797,92,35,92
2020.5.6,863,103,36,66
2020.5.7,897,119,36,34
2020.5.8,937,130,39,74
2020.5.10,991,136,41,54
2020.5.11,1102,146,44,33
2020.5.12,1169,146,50,33
2020.5.13,1242,157,50,73
2020.5.14,1298,212,50,56
2020.5.15,1370,229,61,72
2020.5.16,1455,270,61,157
2020.5.17,1455,270,61,0
2020.5.18,1455,270,61,0
2020.5.19,1538,272,61,83
2020.5.20,1731,302,61,193
2020.5.21,1835,303,61,104
2020.5.22,1945,312,63,110
2020.5.23,2025,312,63,80
2020.5.24,2141,317,63,116
2020.5.25,2141,317,63,0
2020.5.26,2403,340,68,262
2020.5.27,2546,365,68,143
2020.5.28,2660,381,69,114
2020.5.29,2833,400,69,173
2020.5.30,2966,428,69,133
2020.5.31,3070,448,72,104
2020.6.1,3195,454,72,125
2020.6.2,3326,482,72,131
2020.6.3,3495,492,75,169
2020.6.4,3644,495,78,149
2020.6.5,3764,512,81,120
2020.6.6,3878,537,82,114
2020.6.7,4016,537,85,138
2020.6.8,4106,537,88,90
2020.6.9,4259,539,90,153
2020.6.10,4390,565,96,131
2020.6.11,4515,567,98,125
2020.6.12,4637,580,101,122
2020.6.13,4724,595,106,87
2020.6.14,4778,600,107,54
2020.6.15,4837,613,112,59
2020.6.16,4974,628,112,137
2020.6.17,5100,640,115,126
2020.6.18,5283,685,117,183
2020.6.19,5477,719,122,194
2020.6.20,5672,807,125,195
2020.6.21,5826,841,130,154
2020.6.22,5924,856,135,98
2020.6.23,6027,861,135,103
2020.6.24,6213,870,142,186
2020.6.25,6411,885,142,198
2020.6.26,6552,900,149,141
2020.6.27,6690,937,153,138
2020.6.28,6827,985,157,137
2020.6.29,6939,1050,167,112
2020.6.30,7039,1426,170,100
2020.7.1,7122,1785,175,83
2020.7.2,7189,2317,176,67
2020.7.3,7311,2684,179,122
2020.7.4,7379,2961,182,68
2020.7.5,7379,2961,182,0
2020.7.6,7432,3226,182,53
2020.7.7,7432,3226,182,0
2020.7.8,7432,3226,182,0
2020.7.9,7846,3513,189,414
2020.7.10,7905,3513,189,59
2020.7.11,7905,3513,189,0
2020.7.12,8033,3615,189,128
2020.7.13,8075,3620,190,42
2020.7.14,8135,3948,190,60
2020.7.15,8163,3983,192,28
2020.7.16,8199,4248,193,36
2020.7.17,8249,4248,193,50
2020.7.18,8324,4313,193,75
2020.7.19,8403,4335,194,79
2020.7.20,8443,4335,194,40
2020.7.21,8534,4528,196,91
2020.7.22,8626,4790,197,92
2020.7.23,8720,5105,201,94
2020.7.24,8767,5109,201,47
2020.7.25,8801,5305,204,34
2020.7.26,8831,5510,204,30
2020.7.27,8844,5700,208,13
2020.7.28,8873,5930,208,29
2020.7.29,8931,6095,210,58
2020.7.30,9010,6437,215,79
2020.7.31,9070,6796,215,60
2020.8.1,9084,7030,215,14
2020.8.2,9115,7319,215,31
2020.8.3,9133,7424,215,18
2020.8.4,9178,7727,215,45
2020.8.5,9253,7821,215,75
2020.8.6,9309,8048,215,56
2020.8.7,9355,8174,218,46
2020.8.8,9436,8275,218,81
2020.8.9,9454,8324,224,18
2020.8.10,9489,8363,224,35
2020.8.11,9499,8375,225,10
2020.8.12,9538,8421,225,39
2020.8.13,9589,8480,234,51
2020.8.14,9605,8512,238,16
2020.8.15,9605,8512,238,0
2020.8.16,9676,8705,240,71
2020.8.17,9706,8705,243,30
2020.8.18,9721,8882,243,15
2020.8.19,9741,8895,246,20
2020.8.20,9757,8895,247,16
2020.8.21,9802,8920,248,45
2020.8.22,9811,8920,251,9
2020.8.23,9830,8934,251,19
2020.8.24,9842,8953,251,12
2020.8.25,9891,8972,251,49
2020.8.26,9912,8987,254,21
2020.8.27,9915,9020,255,3
2020.8.28,9994,9035,255,79
2020.8.29,10007,9068,258,13
2020.8.30,10045,9103,258,38
2020.8.31,10097,9133,258,52
2020.9.1,10104,9322,259,7
2020.9.2,10114,9347,259,10
2020.9.3,10125,9367,259,11
2020.9.4,10125,9367,259,0
2020.9.5,10178,9420,259,53
2020.9.6,10178,9420,259,0
2020.9.7,10233,9451,260,55
2020.9.8,10292,9501,260,59
2020.9.9,10324,9523,260,32
