date,累计确诊,治愈,死亡,新增确诊
2020.4.7,21,2,1,1
2020.4.8,21,8,1,1
2020.4.9,24,8,1,3
2020.4.11,25,8,1,1
2020.4.12,25,9,1,0
2020.4.13,26,9,1,1
2020.4.14,35,9,1,9
2020.4.15,48,9,1,13
2020.4.16,49,11,1,1
2020.4.19,51,11,1,2
2020.4.21,59,15,1,8
2020.4.22,60,15,1,1
2020.4.24,61,18,2,0
2020.4.30,61,18,3,0
2020.5.1,63,18,3,2
2020.5.5,64,24,3,1
2020.5.16,65,28,3,1
2020.5.17,65,35,3,0
2020.5.18,65,35,3,0
2020.5.19,65,35,3,0
2020.5.20,69,35,3,4
2020.5.21,71,35,3,2
2020.5.22,72,38,3,1
2020.5.23,72,38,3,0
2020.5.24,75,39,3,3
2020.5.25,75,40,3,0
2020.5.26,75,40,3,0
2020.5.27,77,40,3,2
2020.5.28,99,40,4,22
2020.5.29,105,41,5,6
2020.5.30,118,41,5,13
2020.5.31,130,50,5,12
2020.6.1,156,52,5,26
2020.6.2,168,52,5,12
2020.6.3,182,52,5,14
2020.6.4,196,52,5,14
2020.6.5,209,52,5,13
2020.6.6,239,52,5,30
2020.6.7,256,52,5,17
2020.6.8,270,53,5,14
2020.6.9,332,57,5,62
2020.6.10,359,58,5,27
2020.6.11,378,59,5,19
2020.6.12,393,59,5,15
2020.6.13,409,59,6,16
2020.6.14,418,62,8,9
2020.6.15,454,63,10,36
2020.6.16,467,70,10,13
2020.6.17,484,76,10,17
2020.6.18,500,78,10,16
2020.6.19,510,81,10,10
2020.6.20,520,83,10,10
2020.6.21,544,98,10,24
2020.6.22,571,103,10,27
2020.6.23,595,116,10,24
2020.6.24,639,132,17,44
2020.6.25,670,138,18,31
2020.6.26,698,140,18,28
2020.6.27,713,142,18,15
2020.6.28,727,171,18,14
2020.6.29,762,196,21,35
2020.6.30,802,206,23,40
2020.7.1,824,209,24,22
2020.7.2,874,223,25,50
2020.7.3,891,224,26,17
2020.7.4,918,230,27,27
2020.7.5,989,258,27,71
2020.7.6,1046,261,32,57
2020.7.7,1117,269,34,71
2020.7.8,1182,295,35,65
2020.7.9,1268,306,36,86
2020.7.10,1342,307,38,74
2020.7.11,1389,340,38,47
2020.7.12,1433,341,39,44
2020.7.13,1433,341,39,0
2020.7.14,1512,367,40,79
2020.7.15,1563,370,42,51
2020.7.16,1589,373,43,26
2020.7.17,1652,379,46,63
2020.7.18,1791,385,48,139
2020.7.19,1791,385,48,0
2020.7.20,1980,441,49,189
2020.7.21,1980,441,49,0
2020.7.22,2088,479,50,108
2020.7.23,2176,489,53,88
2020.7.24,2314,501,56,138
2020.7.25,2424,504,57,110
2020.7.26,2547,510,58,123
2020.7.27,2669,553,60,122
2020.7.28,2827,577,64,158
2020.7.29,3017,579,67,190
2020.7.30,3222,596,76,205
2020.7.31,3438,604,73,216
2020.8.1,3621,618,74,183
2020.8.2,3691,619,80,70
2020.8.3,3837,623,83,146
2020.8.4,4063,625,93,226
2020.8.5,4224,633,96,161
2020.8.6,4475,640,99,251
2020.8.7,4879,652,107,404
2020.8.8,5079,660,108,200
2020.8.9,5232,691,113,153
2020.8.10,5451,701,119,219
2020.8.11,5929,724,125,478
2020.8.12,6302,740,132,373
2020.8.13,6611,778,132,309
2020.8.14,7050,816,135,439
2020.8.15,7327,848,139,277
2020.8.16,7738,894,145,411
2020.8.17,8172,933,153,434
2020.8.18,8579,969,157,407
2020.8.19,9068,1003,164,489
2020.8.20,9463,1018,169,395
2020.8.21,9707,1047,173,244
2020.8.22,10121,1053,180,414
2020.8.23,10437,1085,188,316
2020.8.24,11009,1096,199,572
2020.8.25,11281,1112,203,272
2020.8.26,11834,1152,210,553
2020.8.27,12274,1209,219,440
2020.8.28,12629,1310,226,355
2020.8.29,12958,1333,231,329
2020.8.30,13423,1410,232,465
2020.8.31,13966,1459,237,543
2020.9.1,14624,1676,242,658
2020.9.2,15156,1746,250,532
2020.9.3,15773,1856,254,617
2020.9.4,16445,1910,262,672
2020.9.5,17094,2025,272,649
2020.9.6,17749,2081,285,655
2020.9.7,18834,2126,296,1085
2020.9.8,18834,2126,296,0
2020.9.9,20462,2329,324,1628
2020.9.10,20939,2420,339,477
2020.9.11,21908,2506,352,969
2020.9.12,21908,2506,352,0
2020.9.13,22781,12183,362,873
2020.9.14,23515,12762,368,734
2020.9.15,23515,12762,368,0
2020.9.16,24936,13498,394,1421
2020.9.17,25822,13908,409,886
2020.9.18,26438,14207,418,616
2020.9.19,27234,14679,436,796
2020.9.20,27949,15068,444,715
2020.9.21,28796,15384,450,847
2020.9.22,29446,15913,460,650
2020.9.23,30097,16430,469,651
2020.9.24,30632,16842,474,535
2020.9.25,31290,17508,491,658
2020.9.26,31290,17508,491,0
2020.9.27,32364,18128,520,1074
2020.9.28,33213,18518,527,849
2020.9.29,34014,18902,540,801
2020.9.30,34525,19361,551,511
2020.10.1,34525,19361,551,0
2020.10.2,35717,20334,570,1192
2020.10.3,36087,20889,578,370
2020.10.4,36809,21429,592,722
2020.10.5,37437,22076,596,628
2020.10.6,38468,22410,602,1031
2020.10.7,39513,22831,608,1045
2020.10.8,40292,23130,616,779
2020.10.9,41368,23453,621,1076
2020.10.10,41686,23791,623,318
2020.10.11,42712,24038,631,1026
2020.10.12,43821,24466,644,1109
2020.10.13,44985,25007,656,1164
2020.10.14,45821,25301,669,836
2020.10.15,46676,25685,681,855
2020.10.16,47845,26062,699,1169
2020.10.17,47845,26062,699,0
2020.10.18,48790,26889,725,945
2020.10.19,49949,27262,732,1159
2020.10.20,50906,27832,746,957
2020.10.21,51625,28440,765,719
2020.10.22,52620,29057,768,995
2020.10.23,53384,29619,774,764
2020.10.24,54374,29965,790,990
2020.10.25,56013,30731,795,1639
2020.10.26,57223,31515,801,1210
2020.10.27,57975,32253,812,752
2020.10.28,58874,32962,823,899
2020.10.29,59656,33550,831,782
2020.10.30,60628,34369,847,972
2020.10.31,61095,35030,857,467
2020.11.1,62045,35853,871,950
2020.11.2,62907,36608,880,862
2020.11.3,63688,36995,893,781
2020.11.4,64587,37610,900,899
2020.11.5,65440,38110,907,853
2020.11.6,66444,38624,915,1004
2020.11.7,67039,39243,920,595
2020.11.8,68117,40119,929,1078
2020.11.9,69040,40780,944,923
2020.11.10,70010,41512,957,970
2020.11.11,70885,42098,970,875
2020.11.12,71804,42703,985,919
2020.11.13,72628,43259,995,824
2020.11.14,72628,43259,995,0
2020.11.15,73602,44133,1017,974
2020.11.16,74324,44733,1025,722
2020.11.17,74936,45371,1041,612
2020.11.18,75465,46127,1053,529
2020.11.19,76006,46793,1062,541
2020.11.20,76808,47587,1068,802
2020.11.21,76808,47587,1068,0
2020.11.22,77823,48914,1089,1015
2020.11.23,78473,49592,1102,650
2020.11.24,79180,50304,1110,707
2020.11.25,79797,50914,1125,617
2020.11.26,80407,51585,1140,610
2020.11.27,81273,52299,1153,866
2020.11.28,81273,52299,1153,0
2020.11.29,82430,53266,1166,1157
2020.11.30,83417,54209,1196,379
2020.12.1,83417,54209,1196,0
2020.12.2,84087,54712,1200,670
2020.12.3,84849,55304,1212,762
2020.12.4,85529,56048,1219,680
2020.12.5,85529,56048,1219,0
2020.12.6,86580,56702,1231,1051
2020.12.7,87097,57380,1243,517
2020.12.8,87986,57837,1255,889
2020.12.9,88522,58578,1261,536
2020.12.10,89183,59222,1273,661
2020.12.11,89880,59839,1278,697
2020.12.12,89880,59839,1278,0
2020.12.13,90779,60895,1299,899
2020.12.14,91357,61453,1314,578
2020.12.15,92017,62144,1319,660
2020.12.16,92577,62720,1324,560
2020.12.17,93283,63231,1337,706
2020.12.18,93772,63886,1346,489
2020.12.19,93772,63886,1346,0
2020.12.20,94560,64810,1353,788
2020.12.21,95200,65532,1369,640
2020.12.22,95706,66076,1385,506
2020.12.23,96346,66756,1393,640
2020.12.24,97192,67661,1399,846
2020.12.25,97653,68289,1415,461
2020.12.26,97653,68289,1415,0
2020.12.27,98913,69763,1440,1260
2020.12.28,98913,69763,1440,0
2020.12.29,99350,70412,1444,437
2020.12.30,99935,71273,1459,585
2020.12.31,100277,72107,1478,342
2021.1.1,100744,73252,1487,467
2021.1.2,100744,73252,1487,0
2021.1.3,101414,74381,1510,670
2021.1.4,101975,75288,1526,561
2021.1.5,102456,76244,1536,481
2021.1.6,102880,77435,1546,424
2021.1.7,103515,78268,1558,635
2021.1.8,104002,79193,1568,487
2021.1.9,104002,79193,1568,0
2021.1.10,104745,80292,1581,743
2021.1.11,105378,81237,1589,633
2021.1.12,106030,82229,1622,652
2021.1.13,106670,83311,1629,640
2021.1.14,107434,84245,1645,764
2021.1.15,108017,85068,1651,583
2021.1.16,108017,85068,1651,0
2021.1.17,109088,86125,1665,1071
2021.1.18,109869,87197,1698,781
2021.1.19,110465,88062,1700,596
2021.1.20,111124,88930,1715,659
2021.1.21,111746,89909,1716,622
2021.1.22,112540,90952,1737,794
2021.1.23,112540,90952,1737,0
2021.1.24,113688,92250,1763,1148
2021.1.25,114429,93342,1782,741
2021.1.26,115299,94287,1789,870
2021.1.27,116064,95406,1802,765
2021.1.28,116779,96293,1832,715
2021.1.29,117650,97357,1842,871
2021.1.30,117650,97357,1842,0
2021.1.31,118631,98706,1877,981
2021.2.1,119402,99586,1883,771
2021.2.2,120434,100593,1896,1032
2021.2.3,121243,101348,1914,809
2021.2.4,122013,102448,1919,770
2021.2.5,122894,103312,1936,881
2021.2.6,122894,103312,1936,0
2021.2.7,124026,104539,1953,1132
2021.2.8,124882,105422,1974,856
2021.2.9,125561,106377,1982,679
2021.2.10,126028,107386,1989,467
2021.2.11,126361,108434,2009,333
2021.2.12,126881,109262,2014,520
2021.2.13,126881,109262,2014,0
2021.2.14,126881,109262,2014,0
2021.2.15,127705,110965,2042,824
2021.2.16,127705,110965,2042,0
2021.2.17,128348,112731,2056,643
2021.2.18,128348,112731,2056,0
2021.2.19,129325,114305,2088,977
2021.2.20,129325,114305,2088,0
2021.2.21,129797,115357,2114,472
2021.2.22,130212,116120,2116,415
2021.2.23,130701,117017,2125,489
2021.2.24,131262,117991,2151,561
2021.2.25,131833,118791,2156,571
2021.2.26,132458,119492,2174,625
2021.2.27,132458,119492,2174,0
2021.2.28,133338,120240,2179,880
2021.3.1,134127,121116,2210,789
2021.3.2,134967,122079,2216,840
2021.3.3,135585,123003,2219,618
2021.3.4,136587,123777,2233,1002
2021.3.5,137482,124712,2236,895
2021.3.6,137482,124712,2236,0
2021.3.7,138640,125842,2273,1158
2021.3.8,139658,126878,2288,1018
2021.3.9,140688,128002,2297,1030
2021.3.10,141598,128928,2330,910
2021.3.11,142671,129706,2340,1073
2021.3.12,143643,130625,2348,972
2021.3.13,143643,130625,2348,0
2021.3.14,144993,131778,2386,1350
2021.3.15,146080,132697,2402,1087
2021.3.16,147121,133768,2406,1041
2021.3.17,148175,134923,2422,1054
2021.3.18,149207,136158,2435,1032
2021.3.19,150341,137073,2487,1134
2021.3.20,150341,137073,2487,0
2021.3.21,151605,138312,2506,1264
2021.3.22,152510,139361,2513,905
2021.3.23,153411,140420,2564,901
2021.3.24,154320,141413,2582,909
2021.3.25,155232,142633,2591,912
2021.3.26,156116,143697,2602,884
2021.3.27,156116,143697,2602,0
2021.3.28,156849,144964,2618,733
2021.3.29,157545,145882,2653,696
2021.3.30,158251,146480,2658,706
2021.3.31,158957,147147,2667,706
2021.4.1,159980,147864,2680,1023
2021.4.2,161088,148288,2684,1108
2021.4.3,161088,148288,2684,0
2021.4.4,162294,149238,2737,1206
2021.4.5,163442,149836,2757,1148
2021.4.6,164318,150478,2765,876
2021.4.7,165287,151189,2772,969
2021.4.8,166156,151853,2799,869
2021.4.9,166888,152328,2807,732
2021.4.10,166888,152328,2807,0
2021.4.11,167825,152921,2823,937
2021.4.12,168676,153644,2828,851
2021.4.13,169504,154220,2830,828
2021.4.14,170045,155117,2834,541
2021.4.15,170558,155712,2873,513
2021.4.16,171131,156344,2882,573
2021.4.17,171131,156344,2882,0
2021.4.18,171880,157010,2896,749
2021.4.19,172464,157658,2908,584
2021.4.20,173089,158352,2919,625
2021.4.21,173683,158891,2924,594
