date,累计确诊,治愈,死亡,新增确诊
2020.4.8,31,3,4,17
2020.4.10,37,3,5,6
2020.4.11,48,3,5,11
2020.4.12,51,4,6,1
2020.4.13,59,4,6,9
2020.4.19,91,7,8,15
2020.4.20,99,7,8,8
2020.4.22,101,20,8,0
2020.4.23,117,25,8,16
2020.4.24,120,25,11,3
2020.4.26,124,25,12,4
2020.4.27,133,25,16,9
2020.4.28,141,45,16,17
2020.4.30,152,45,18,11
2020.5.2,154,48,18,2
2020.5.3,166,58,18,4
2020.5.5,170,58,20,4
2020.5.6,178,75,20,8
2020.5.7,189,79,20,8
2020.5.12,212,86,20,1
2020.5.13,213,101,20,2
2020.5.14,215,105,20,2
2020.5.15,219,108,20,2
2020.5.16,223,108,20,4
2020.5.17,226,120,21,3
2020.5.18,229,123,22,3
2020.5.19,233,125,23,4
2020.5.20,238,128,23,5
2020.5.21,240,131,23,2
2020.5.22,249,136,24,9
2020.5.23,255,136,26,6
2020.5.24,255,136,26,0
2020.5.25,265,141,26,10
2020.5.26,266,144,26,1
2020.5.27,266,144,27,0
2020.5.28,269,144,27,3
2020.5.29,273,146,27,4
2020.5.30,280,148,27,7
2020.5.31,288,157,27,8
2020.6.1,296,159,27,8
2020.6.2,311,167,28,15
2020.6.3,316,169,28,5
2020.6.4,321,175,28,5
2020.6.5,334,176,30,13
2020.6.6,334,176,30,0
2020.6.7,359,194,30,25
2020.6.8,370,195,30,11
2020.6.9,383,199,31,13
2020.6.10,383,199,31,0
2020.6.11,410,206,31,27
2020.6.12,410,206,31,0
2020.6.13,446,214,32,36
2020.6.14,458,219,32,12
2020.6.15,498,221,33,40
2020.6.16,509,222,33,11
2020.6.17,516,240,33,7
2020.6.18,542,250,33,26
2020.6.19,542,250,33,0
2020.6.20,601,254,33,59
2020.6.21,626,254,34,25
2020.6.22,626,254,34,0
2020.6.23,652,270,34,26
2020.6.24,652,270,34,0
2020.6.25,681,278,34,29
2020.6.26,684,285,34,3
2020.6.27,684,285,34,0
2020.6.28,729,291,34,45
2020.6.29,770,312,36,41
2020.6.30,780,324,36,10
2020.7.1,804,335,37,24
2020.7.2,819,338,37,15
2020.7.3,819,338,37,0
2020.7.4,869,369,37,50
2020.7.5,869,369,37,0
2020.7.6,874,377,37,5
2020.7.7,891,377,39,17
2020.7.8,917,394,41,26
2020.7.9,957,398,42,40
2020.7.10,963,400,47,6
2020.7.11,998,420,47,35
2020.7.12,1010,423,51,12
