date,累计确诊,治愈,死亡,新增确诊
2020.2.22,8,1,0,0
2020.2.23,9,1,0,1
2020.2.24,9,1,0,1
2020.2.25,10,4,0,1
2020.2.26,10,4,0,0
2020.2.27,11,4,0,1
2020.2.28,11,4,0,0
2020.2.29,14,4,0,3
2020.3.1,19,4,0,5
2020.3.2,19,4,0,0
2020.3.3,27,7,0,8
2020.3.4,30,7,0,3
2020.3.5,30,7,0,0
2020.3.6,45,7,0,15
2020.3.7,51,7,0,6
2020.3.8,57,8,0,6
2020.3.9,62,8,0,5
2020.3.10,77,8,1,15
2020.3.11,93,8,1,16
2020.3.12,93,8,1,0
2020.3.13,138,11,1,45
2020.3.14,198,11,1,60
2020.3.15,244,11,1,46
2020.3.16,339,11,1,95
2020.3.17,424,11,4,85
2020.3.18,598,11,8,174
2020.3.19,727,11,9,129
2020.3.20,873,11,12,146
2020.3.21,1333,11,13,242
2020.3.22,1474,11,21,141
2020.3.23,2094,11,25,620
2020.3.24,2792,112,26,493
2020.3.25,3308,112,30,416
2020.3.26,3579,112,36,170
2020.3.27,4633,226,53,587
2020.3.28,5434,354,59,801
2020.3.29,6232,466,63,577
2020.3.30,7312,466,80,992
2020.3.31,8591,1554,101,1057
2020.4.1,9560,1603,112,948
2020.4.2,11131,1906,161,1400
2020.4.3,12375,2186,208,1092
2020.4.4,14018,2595,234,1598
2020.4.5,15425,2847,277,1513
2020.4.6,16558,3534,322,1046
2020.4.7,17872,4028,377,1205
2020.4.8,19279,4548,435,1382
2020.4.9,20679,4653,517,1265
2020.4.10,22059,5855,557,765
2020.4.11,23318,6309,653,1170
2020.4.12,24293,6428,713,975
2020.4.13,25552,7666,767,1169
2020.4.14,26897,8172,898,1217
2020.4.15,28205,8937,1006,1142
2020.4.16,29929,9474,1191,1550
2020.4.17,31642,10328,1310,1536
2020.4.18,33218,11168,1469,723
2020.4.19,34813,11807,1583,1430
2020.4.20,36670,12197,1656,1614
2020.4.21,38210,13143,1831,1381
2020.4.22,40191,13647,1976,1771
2020.4.23,42107,13986,2147,1916
2020.4.24,43552,15469,2294,1442
2020.4.25,45138,16351,2464,1250
2020.4.26,46644,17239,2560,1290
2020.4.27,48242,18100,2702,1347
2020.4.28,49817,19050,2852,1317
2020.4.29,51248,20100,2985,1222
2020.4.30,53021,21198,3180,1424
2020.5.1,54810,22515,3387,1574
2020.5.2,56714,23621,3564,1653
2020.5.3,59474,24908,3682,2760
2020.5.4,60616,25422,3842,1142
2020.5.5,62038,26938,4039,1266
2020.5.6,63403,27816,4223,1357
2020.5.7,64835,28972,4404,1339
2020.5.8,66326,29948,4567,1404
2020.5.9,67643,31065,4692,1209
2020.5.10,68752,31902,4870,1050
2020.5.11,69911,32664,4992,1063
2020.5.12,71105,33722,5167,1124
2020.5.13,72200,34927,5301,1043
2020.5.14,73335,35936,5468,1057
2020.5.15,74540,36747,5553,1139
2020.5.16,75864,37819,5679,1251
2020.5.17,77002,38550,5782,1138
2020.5.18,77002,38550,5782,0
2020.5.19,78499,39488,5857,1497
2020.5.20,79112,40050,5912,613
2020.5.21,80555,40776,6062,1443
2020.5.22,81324,41715,6152,769
2020.5.23,82892,42973,6277,1568
2020.5.24,84081,43305,6380,1189
2020.5.25,84699,43985,6424,618
2020.5.26,85997,44898,6566,1298
2020.5.27,86647,45339,6639,650
2020.5.28,87902,46465,6799,1255
2020.5.29,88512,46840,6877,610
2020.5.30,89418,47518,6979,906
2020.5.31,90516,48560,7092,1098
2020.6.1,91647,49225,7325,1131
2020.6.2,91705,49726,7326,58
2020.6.3,92748,50357,7414,1043
2020.6.4,93085,51048,7498,337
2020.6.5,93726,51739,7637,641
2020.6.6,94790,52932,7738,1064
2020.6.7,95057,53614,7773,267
2020.6.8,95942,54473,7824,885
2020.6.9,96474,55170,7849,532
2020.6.10,96904,56122,7908,430
2020.6.11,97472,57144,7996,568
2020.6.12,97712,57960,8005,240
2020.6.13,97943,58523,8049,231
2020.6.14,98607,59777,8119,664
2020.6.15,99070,60524,8174,463
2020.6.16,99331,61260,8186,261
2020.6.17,99774,61796,8254,443
2020.6.18,99853,62017,8254,79
2020.6.19,100220,62496,8300,367
2020.6.20,100629,63003,8346,409
2020.6.21,101286,63860,8430,657
2020.6.22,101498,64100,8433,212
2020.6.23,101902,64508,8453,404
2020.6.24,101963,64704,8454,61
2020.6.25,102573,65361,8501,610
2020.6.26,102622,65425,8504,49
2020.6.27,102794,65726,8508,172
2020.6.28,103032,65973,8516,238
2020.6.29,103818,67096,8566,786
2020.6.30,103918,67178,8566,100
2020.7.1,104271,67743,8615,353
2020.7.2,104271,67744,8615,0
2020.7.3,104936,68526,8644,665
2020.7.4,105211,68868,8668,275
2020.7.5,105317,68990,8674,106
2020.7.6,105536,69239,8684,219
2020.7.7,105935,69570,8693,399
2020.7.8,106167,69883,8711,232
2020.7.9,106741,70247,8746,574
2020.7.10,106805,70574,8749,64
2020.7.11,107126,70901,8759,321
2020.7.12,107589,71467,8783,463
2020.7.13,107590,71467,8783,1
2020.7.14,108155,71841,8790,565
2020.7.15,108486,72170,8798,331
2020.7.16,108829,72485,8810,343
2020.7.17,109264,72836,8827,435
2020.7.18,109669,96689,8839,405
