date,累计确诊,治愈,死亡,新增确诊
2020.4.8,313,52,6,26
2020.4.9,378,3,6,65
2020.4.11,408,4,8,2
2020.4.12,566,4,8,158
2020.4.14,636,17,8,70
2020.4.17,834,99,9,193
2020.4.19,1042,99,9,208
2020.4.21,1154,99,9,112
2020.4.23,1279,134,10,125
2020.4.25,1550,155,11,271
2020.4.28,1671,188,16,121
2020.4.29,2074,212,17,403
2020.5.1,2169,229,18,95
2020.5.6,3091,294,18,372
2020.5.9,4263,378,22,251
2020.5.10,4700,494,22,437
2020.5.11,5127,494,22,427
2020.5.13,5408,514,24,281
2020.5.15,5638,1460,28,108
2020.5.16,5735,1754,29,97
2020.5.17,5735,1754,29,0
2020.5.18,5735,1754,29,0
2020.5.19,5918,1754,31,183
2020.5.20,6096,1773,31,178
2020.5.21,6269,1898,31,173
2020.5.22,6486,1951,31,217
2020.5.23,6617,1976,31,131
2020.5.24,6683,1998,32,66
2020.5.25,6808,2070,32,125
2020.5.26,6964,2097,32,156
2020.5.27,7117,2317,34,153
2020.5.28,7303,2412,34,186
2020.5.29,7616,2421,34,313
2020.5.30,7768,2540,35,152
2020.5.31,7881,2841,36,113
2020.6.1,8070,2947,36,189
2020.6.2,8297,2986,38,227
2020.6.3,8548,3132,38,251
2020.6.4,8548,3132,38,0
2020.6.5,8885,3189,38,337
2020.6.6,9462,3547,44,577
2020.6.7,9638,3636,44,176
2020.6.8,9638,3636,44,0
2020.6.9,9910,3645,48,272
2020.6.10,10201,3755,48,291
2020.6.11,10358,3824,48,157
2020.6.12,10856,3921,48,498
2020.6.13,11118,3979,48,262
2020.6.14,11422,4156,51,304
2020.6.15,11964,4258,54,542
2020.6.16,11964,4258,54,0
2020.6.17,12590,4410,66,626
2020.6.18,12929,4468,66,339
2020.6.19,13203,4548,70,274
2020.6.20,13203,4548,70,0
2020.6.21,13717,10074,85,514
2020.6.22,14154,10473,85,437
2020.6.23,14568,10907,95,414
2020.6.24,14568,10907,95,0
2020.6.25,15473,11431,95,905
2020.6.26,15834,11755,103,361
2020.6.27,15834,11755,103,0
2020.6.28,16742,12720,112,908
2020.6.29,17351,12994,112,609
2020.6.30,17741,13268,112,390
2020.7.1,17741,13268,112,0
2020.7.2,18134,13550,117,393
2020.7.3,18134,13550,117,0
2020.7.4,19388,14330,117,1254
2020.7.5,20085,14870,122,697
2020.7.6,20085,14870,122,0
2020.7.7,21077,16070,129,992
2020.7.8,21968,17156,129,891
2020.7.9,22822,17564,129,854
2020.7.10,23463,18622,129,641
2020.7.11,23834,19212,135,371
2020.7.12,24248,19831,135,414
2020.7.13,24518,20187,139,270
2020.7.14,24988,21067,139,470
2020.7.15,25252,21397,139,264
2020.7.16,25430,21511,139,178
2020.7.17,26125,22270,139,695
2020.7.18,26572,22915,144,447
2020.7.19,27060,23044,145,488
2020.7.20,27667,23249,148,607
2020.7.21,28989,25331,153,1322
2020.7.22,28989,25331,153,0
2020.7.23,29672,26090,153,683
2020.7.24,30366,26687,153,694
2020.7.25,31057,27801,161,691
2020.7.26,32437,28927,161,1380
2020.7.27,32969,29494,168,532
2020.7.28,33624,29801,168,655
2020.7.29,34406,30621,168,782
2020.7.30,35142,31286,175,736
2020.7.31,35142,31286,175,0
2020.8.1,35501,32096,182,359
2020.8.2,37014,33365,182,1513
2020.8.3,37812,34313,191,798
