date,累计确诊,治愈,死亡,新增确诊
2020.4.8,34,1,1,1
2020.4.9,44,1,1,10
2020.4.10,46,1,1,2
2020.4.11,49,1,1,3
2020.4.12,57,1,1,8
2020.4.14,80,4,1,23
2020.4.16,95,6,1,15
2020.4.17,108,7,1,13
2020.4.18,109,7,1,1
2020.4.20,120,7,1,11
2020.4.21,156,16,1,36
2020.4.22,166,24,1,10
2020.4.23,167,24,2,1
2020.4.24,172,26,3,5
2020.4.25,176,30,3,4
2020.4.27,211,43,3,35
2020.4.28,238,53,3,27
2020.4.29,276,67,3,38
2020.5.2,335,85,5,59
2020.5.4,367,93,6,32
2020.5.5,397,93,6,30
2020.5.6,439,99,8,42
2020.5.7,504,99,8,107
2020.5.11,802,127,9,141
2020.5.12,863,137,9,61
2020.5.13,1004,152,9,141
2020.5.14,1104,182,10,100
2020.5.15,1209,219,10,105
2020.5.16,1320,244,11,111
2020.5.18,1320,244,11,0
2020.5.19,1432,301,11,112
2020.5.20,1502,318,12,70
2020.5.21,1567,365,12,65
2020.5.22,1567,365,12,0
2020.5.23,1728,402,12,161
2020.5.24,1934,459,12,206
2020.5.25,1934,459,12,0
2020.5.26,2135,562,14,201
2020.5.27,2238,593,14,103
2020.5.28,2319,631,14,81
2020.5.29,2431,668,14,112
2020.5.30,2613,709,15,182
2020.5.31,2655,722,17,42
2020.6.1,2655,722,17,0
2020.6.2,2655,722,17,0
2020.6.3,2803,779,20,148
2020.6.4,2902,801,20,99
2020.6.5,2955,818,21,53
2020.6.6,3101,833,21,146
2020.6.7,3101,833,21,0
2020.6.8,3101,833,21,0
2020.6.9,3101,833,21,0
2020.6.10,3294,956,21,193
2020.6.11,3375,978,22,81
2020.6.12,3463,1024,23,88
2020.6.13,3463,1024,23,0
2020.6.14,3463,1024,23,0
2020.6.15,3463,1024,23,0
2020.6.16,4033,1334,27,570
2020.6.17,4114,1432,29,81
2020.6.18,4229,1505,30,115
2020.6.19,4340,1657,32,111
2020.6.20,4428,1750,34,88
2020.6.21,4428,1750,34,0
2020.6.22,4428,1750,34,0
2020.6.23,4739,2002,39,311
2020.6.24,4849,2107,39,110
2020.6.25,4956,2177,39,107
2020.6.26,5087,2270,40,131
2020.6.27,5209,2327,40,122
2020.6.28,5209,2327,40,0
2020.6.29,5209,2327,40,0
2020.6.30,5394,2420,42,185
2020.7.1,5394,2420,42,0
2020.7.2,5513,2508,42,119
2020.7.3,5513,2508,42,0
2020.7.4,5620,2555,44,107
2020.7.5,5620,2555,44,0
2020.7.6,5620,2555,44,0
2020.7.7,5743,2574,46,123
2020.7.8,5743,2574,46,0
2020.7.9,5871,2682,46,128
2020.7.10,5871,2682,46,0
2020.7.11,5942,3004,46,71
2020.7.12,5942,3004,46,0
2020.7.13,5942,3004,46,0
2020.7.14,6026,3475,46,84
