date,累计确诊,治愈,死亡,新增确诊
2020.4.8,980,96,66,85
2020.4.9,1190,112,77,210
2020.4.10,1310,115,77,120
2020.4.11,1410,118,85,100
2020.4.12,1458,118,109,48
2020.4.13,1512,122,122,54
2020.4.14,1579,192,134,67
2020.4.15,1652,199,142,73
2020.4.16,1763,207,156,111
2020.4.17,1834,231,156,71
2020.4.18,1916,250,172,82
2020.4.19,1984,267,199,68
2020.4.20,2098,287,213,114
2020.4.21,2168,295,213,70
2020.4.22,2284,390,239,116
2020.4.23,2383,401,250,99
2020.4.24,2443,458,262,60
2020.4.25,2500,485,272,57
2020.4.26,2583,498,280,83
2020.4.27,2649,516,291,66
2020.4.28,2727,536,300,78
2020.4.29,2775,581,312,48
2020.4.30,2863,609,323,88
2020.5.1,2942,625,335,79
2020.5.2,2998,629,340,56
2020.5.3,3035,630,351,37
2020.5.4,3065,709,363,30
2020.5.5,3111,759,373,46
2020.5.6,3150,801,383,39
2020.5.7,3178,865,392,28
2020.5.8,3213,904,405,35
2020.5.9,3263,933,413,50
2020.5.10,3284,958,421,21
2020.5.11,3313,1007,425,29
2020.5.12,3341,1102,430,28
2020.5.13,3380,1169,436,39
2020.5.14,3417,1287,442,37
2020.5.15,3473,1371,448,56
2020.5.16,3509,1396,451,36
2020.5.17,3535,1400,462,26
2020.5.18,3535,1400,462,0
2020.5.19,3556,1412,467,21
2020.5.20,3598,1454,470,42
2020.5.21,3641,1509,473,43
2020.5.22,3678,1587,476,37
2020.5.23,3713,1655,482,35
2020.5.24,3741,1690,486,28
2020.5.25,3756,1711,491,15
2020.5.26,3771,1836,499,15
2020.5.27,3793,1856,505,22
2020.5.28,3816,1996,509,23
2020.5.29,3841,2024,517,25
2020.5.30,3867,2142,524,26
2020.5.31,3876,2147,526,9
2020.6.1,3892,2156,527,16
2020.6.2,3921,2160,532,29
2020.6.3,3931,2190,534,10
2020.6.4,3954,2205,539,23
2020.6.5,3970,2245,542,16
2020.6.6,3990,2279,545,20
2020.6.7,4008,2279,546,18
2020.6.8,4014,2284,548,6
2020.6.9,4017,2324,550,3
2020.6.10,4027,2355,551,10
2020.6.11,4039,2391,553,12
2020.6.12,4053,2447,555,14
2020.6.13,4064,2476,559,11
2020.6.14,4069,2482,562,5
2020.6.15,4076,2485,563,7
2020.6.16,4077,2516,565,1
2020.6.17,4078,2547,567,1
2020.6.18,4079,2564,568,1
2020.6.19,4081,2581,568,2
2020.6.20,4086,2585,570,5
2020.6.21,4094,2589,570,8
2020.6.22,4102,2590,572,8
2020.6.23,4107,2600,573,5
2020.6.24,4114,2618,576,7
