date,累计确诊,治愈,死亡,新增确诊
2020.4.7,617,35,29,18
2020.4.8,617,35,30,18
2020.4.9,663,37,30,46
2020.4.10,711,41,32,48
2020.4.11,760,41,34,49
2020.4.12,828,41,34,68
2020.4.13,908,44,38,54
2020.4.14,908,86,44,54
2020.4.16,1117,139,49,36
2020.4.17,1170,164,49,53
2020.4.18,1207,179,51,37
2020.4.19,1225,200,54,18
2020.4.20,1231,224,55,6
2020.4.21,1259,272,56,28
2020.4.22,1300,301,56,41
2020.4.23,1326,337,57,26
2020.4.24,1367,374,59,41
2020.4.25,1386,500,61,19
2020.4.26,1399,553,65,13
2020.4.27,1421,589,71,22
2020.4.28,1442,627,73,21
2020.4.29,1465,738,77,23
2020.4.30,1494,807,81,29
2020.5.1,1506,852,82,12
2020.5.2,1511,945,84,5
2020.5.3,1518,992,85,7
2020.5.4,1526,1013,86,8
2020.5.5,1539,1057,88,13
2020.5.6,1572,1079,89,33
2020.5.7,1586,1099,90,14
2020.5.8,1622,1112,91,36
2020.5.9,1642,1136,91,20
2020.5.10,1664,1200,91,20
2020.5.11,1674,1205,92,10
2020.5.12,1694,1229,95,20
2020.5.13,1723,1235,95,29
2020.5.14,1740,1251,97,17
2020.5.15,1762,1267,98,22
2020.5.16,1792,1293,101,30
2020.5.17,1817,1301,104,25
2020.5.18,1817,1301,104,0
2020.5.19,1839,1351,106,22
2020.5.20,1858,1367,110,19
2020.5.21,1898,1378,111,40
2020.5.22,1921,1387,112,23
2020.5.23,1941,1411,113,20
2020.5.24,1978,1422,113,37
2020.5.25,1999,1439,113,21
2020.5.26,2014,1453,116,15
2020.5.27,2039,1470,119,25
2020.5.28,2077,1486,121,38
2020.5.29,2129,1516,126,52
2020.5.30,2164,1535,131,35
2020.5.31,2226,1552,133,62
2020.6.1,2315,1569,140,89
2020.6.2,2315,1569,140,0
2020.6.3,2492,1605,145,177
2020.6.4,2611,1621,147,119
2020.6.5,2790,1632,149,179
2020.6.6,2915,1640,151,125
2020.6.7,3025,1646,153,110
2020.6.8,3152,1653,156,127
2020.6.9,3239,1658,157,87
2020.6.10,3364,1664,164,125
2020.6.11,3538,1682,169,174
2020.6.12,3701,1694,171,163
2020.6.13,3895,1705,179,194
2020.6.14,4057,1710,188,162
2020.6.15,4157,1723,193,100
2020.6.16,4289,1757,201,132
2020.6.17,4482,1803,210,193
2020.6.18,4664,1836,216,182
2020.6.19,4820,1863,222,156
2020.6.20,5005,1904,233,185
2020.6.21,5106,1926,238,101
2020.6.22,5196,1974,247,90
2020.6.23,5311,2048,251,115
2020.6.24,5445,2091,259,134
2020.6.25,5595,2166,265,150
2020.6.26,5758,2206,268,163
2020.6.27,5906,2236,277,148
2020.6.28,6080,2315,286,174
2020.6.29,6209,2427,298,129
2020.6.30,6334,2475,302,125
2020.7.1,6454,2598,306,120
2020.7.2,6625,2748,321,171
2020.7.3,6787,2876,328,162
2020.7.4,6932,2987,334,145
2020.7.5,7046,3027,341,114
2020.7.6,7124,3199,346,78
2020.7.7,7244,3324,351,120
2020.7.8,7406,3554,359,162
2020.7.9,7572,3624,362,166
2020.7.10,7777,3960,368,205
2020.7.11,7975,4080,376,198
2020.7.12,8111,4203,382,136
2020.7.13,8197,4326,385,86
2020.7.14,8332,4468,389,135
2020.7.15,8530,4565,393,198
2020.7.16,8623,4565,401,93
2020.7.17,8786,4676,406,163
2020.7.18,8786,4676,406,0
2020.7.19,9153,4810,422,367
2020.7.20,9153,4810,422,0
2020.7.21,9412,4940,432,259
2020.7.22,9412,4940,432,0
2020.7.23,9669,5071,445,257
2020.7.24,9797,5254,451,128
2020.7.25,9934,5357,460,137
2020.7.26,10086,5427,460,152
2020.7.27,10213,5564,466,127
2020.7.28,10315,5663,471,102
2020.7.29,10503,5931,476,188
2020.7.30,10617,6020,480,114
2020.7.31,10754,6554,486,137
2020.8.1,10891,6698,493,137
2020.8.2,11054,6882,497,163
2020.8.3,11128,6972,500,74
2020.8.4,11202,7108,505,74
2020.8.5,11289,7221,511,87
2020.8.6,11399,7480,517,110
2020.8.7,11554,7607,519,155
2020.8.8,11554,7607,519,0
2020.8.9,11839,7664,527,285
2020.8.10,11942,8087,528,103
2020.8.11,12083,8248,529,141
2020.8.12,12217,8487,530,134
2020.8.13,12357,8662,532,140
2020.8.14,12515,9030,535,158
2020.8.15,12515,9030,535,0
2020.8.16,12739,9174,544,224
2020.8.17,12840,9174,547,101
2020.8.18,12970,9513,549,130
2020.8.19,13076,9625,551,106
2020.8.20,13194,9752,554,118
2020.8.21,13308,9977,557,114
2020.8.22,13458,10052,563,150
2020.8.23,13595,10110,564,137
2020.8.24,13673,10150,568,78
2020.8.25,13799,10210,573,126
2020.8.26,13914,10507,578,115
2020.8.27,14004,10722,585,90
2020.8.28,14163,10933,590,159
2020.8.29,14293,11014,596,130
2020.8.30,14330,11062,600,37
2020.8.31,14341,11157,603,11
2020.9.1,14455,11525,604,114
2020.9.2,14600,11741,606,145
2020.9.3,14762,11965,606,162
2020.9.4,14871,12054,609,109
2020.9.5,14998,12149,614,127
2020.9.6,15090,12235,617,92
2020.9.7,15127,12486,623,37
2020.9.8,15226,12700,631,99
2020.9.9,15293,12754,634,67
2020.9.10,15414,12896,637,121
2020.9.11,15555,12994,642,141
