date,累计确诊,治愈,死亡,新增确诊
2020.4.8,3,0,0,1
2020.4.9,3,0,0,1
2020.4.23,5,0,0,1
2020.4.25,6,0,0,1
2020.4.28,34,0,0,28
2020.4.29,35,0,0,1
2020.5.1,45,0,0,10
2020.5.2,46,0,0,1
2020.5.4,52,0,0,6
2020.5.5,58,0,0,6
2020.5.6,74,0,0,16
2020.5.10,156,2,0,36
2020.5.12,194,2,0,38
2020.5.13,203,2,0,9
2020.5.14,231,3,1,28
2020.5.15,236,4,4,28
2020.5.16,236,4,4,0
2020.5.17,290,4,4,54
2020.5.18,290,4,4,0
2020.5.19,290,4,4,0
2020.5.20,290,4,4,0
2020.5.21,481,4,4,191
2020.5.22,481,4,4,0
2020.5.23,563,6,6,82
2020.5.24,655,6,8,92
2020.5.25,655,6,8,0
2020.5.26,806,6,8,151
2020.5.27,806,6,8,0
2020.5.28,994,6,10,188
2020.5.29,994,6,10,0
2020.5.30,994,6,10,0
2020.5.31,994,6,10,0
2020.6.1,994,6,10,0
2020.6.2,994,6,10,0
2020.6.3,994,6,10,0
2020.6.4,994,6,10,0
2020.6.5,994,6,10,0
2020.6.6,994,6,10,0
2020.6.7,1317,6,14,323
2020.6.8,1604,15,19,287
2020.6.9,1604,15,19,0
2020.6.10,1604,15,19,0
2020.6.11,1604,15,19,0
2020.6.12,1670,48,24,66
2020.6.13,1670,48,24,0
2020.6.14,1693,49,27,23
2020.6.15,1693,49,27,0
2020.6.16,1693,49,27,0
2020.6.17,1776,58,30,83
2020.6.18,1813,89,31,37
2020.6.19,1830,117,32,17
2020.6.20,1864,122,34,34
2020.6.21,1882,122,34,18
2020.6.22,1892,169,34,10
2020.6.23,1916,190,35,24
2020.6.24,1930,217,36,14
2020.6.25,1942,224,36,12
2020.6.26,1942,224,36,0
2020.6.27,1942,224,36,0
2020.6.28,1942,224,36,0
2020.6.29,1989,246,36,47
2020.6.30,1989,246,36,0
2020.7.1,2007,279,38,18
2020.7.2,2021,333,38,14
2020.7.3,2021,333,38,0
2020.7.4,2021,333,38,0
2020.7.5,2021,333,38,0
2020.7.6,2021,333,38,0
2020.7.7,2021,333,38,0
2020.7.8,2021,333,38,0
2020.7.9,2021,333,38,0
2020.7.10,2021,333,38,0
2020.7.11,2021,333,38,0
2020.7.12,2021,333,38,0
2020.7.13,2021,333,38,0
2020.7.14,2148,333,41,127
2020.7.15,2153,1175,41,5
2020.7.16,2153,1175,41,0
2020.7.17,2171,1175,41,18
2020.7.18,2191,1175,43,20
2020.7.19,2191,1175,43,0
2020.7.20,2200,1175,43,9
2020.7.21,2211,1175,45,11
2020.7.22,2211,1175,45,0
2020.7.23,2211,1175,45,0
2020.7.24,2239,1175,45,28
2020.7.25,2258,1175,45,19
2020.7.26,2258,1175,45,0
2020.7.27,2262,1175,45,4
2020.7.28,2305,1175,46,43
2020.7.29,2305,1175,46,0
2020.7.30,2322,1175,46,17
2020.7.31,2322,1175,46,0
2020.8.1,2322,1175,46,0
2020.8.2,2352,1175,46,30
2020.8.3,2429,1175,46,77
2020.8.4,2437,1175,47,8
2020.8.5,2437,1175,47,0
2020.8.6,2437,1175,47,0
2020.8.7,2450,1175,47,13
2020.8.8,2450,1175,47,0
2020.8.9,2463,1175,47,13
2020.8.10,2470,1175,47,7
2020.8.11,2470,1175,47,0
2020.8.12,2472,1175,47,2
2020.8.13,2477,1175,47,5
2020.8.14,2478,1175,47,1
2020.8.15,2482,1175,47,4
2020.8.16,2488,1175,47,6
2020.8.17,2489,1175,47,1
2020.8.18,2490,1175,47,1
2020.8.19,2490,1175,47,0
2020.8.20,2494,1290,47,4
2020.8.21,2494,1290,47,0
2020.8.22,2497,1290,47,3
2020.8.23,2499,1290,47,2
