date,累计确诊,治愈,死亡,新增确诊
2020.3.12,24,1,0,8
2020.4.8,1845,95,18,96
2020.4.9,1934,95,18,89
2020.4.10,2003,410,24,69
2020.4.11,2028,410,25,25
2020.4.12,2173,410,25,145
2020.4.13,2272,410,27,99
2020.4.15,2506,410,34,91
2020.4.16,2605,903,48,99
2020.4.17,2783,903,50,178
2020.4.18,3034,903,52,251
2020.4.19,3158,903,54,124
2020.4.20,3300,1055,58,142
2020.4.21,3465,1055,58,165
2020.4.22,3635,1055,65,170
2020.4.23,3953,1473,75,318
2020.4.25,4361,1473,86,141
2020.4.26,4546,1473,87,185
2020.4.27,4793,1473,90,247
2020.4.28,4996,2073,93,203
2020.4.29,5350,2073,103,354
2020.4.30,5647,2073,103,297
2020.5.1,5951,2382,116,304
2020.5.2,6336,2549,123,385
2020.5.4,7220,2746,138,437
2020.5.5,7572,2746,148,352
2020.5.6,7808,3153,153,236
2020.5.10,10015,4173,194,595
2020.5.11,11350,4357,206,698
2020.5.13,12074,4745,219,724
2020.5.14,12739,5676,238,665
2020.5.15,13524,6083,247,785
2020.5.16,14355,6478,261,831
2020.5.17,15515,7006,264,1160
2020.5.18,15515,7006,264,0
2020.5.19,16433,7298,286,918
2020.5.20,17200,7960,312,767
2020.5.21,19137,8950,369,1937
2020.5.22,19137,8950,369,0
2020.5.23,20125,10104,397,988
2020.5.24,21343,10104,407,1218
2020.5.25,22583,11100,429,1240
2020.5.26,23615,11917,481,1032
2020.5.27,24264,12741,524,649
2020.5.28,25937,13451,552,1673
2020.5.29,27403,14370,577,1466
2020.5.30,29240,15093,611,1837
2020.5.31,30967,16116,643,1727
2020.6.1,34357,17291,705,3390
2020.6.2,35812,17291,705,1455
2020.6.3,35812,18313,755,0
2020.6.4,37525,19682,792,1713
2020.6.5,40792,21311,848,3267
2020.6.6,43434,23088,908,2642
2020.6.7,45973,24258,952,2539
2020.6.8,48285,24364,998,2312
2020.6.9,50879,26099,1080,2594
2020.6.10,52991,29006,1162,2112
2020.6.11,58568,31505,1210,5577
2020.6.12,58568,33252,1284,0
2020.6.13,61927,35006,1354,3359
2020.6.14,65736,36850,1423,3809
2020.6.15,70038,38531,1480,4302
2020.6.16,73533,39867,1568,3495
2020.6.17,76334,42063,1625,2801
2020.6.18,80412,44331,1674,4078
2020.6.19,83890,44920,1737,3478
2020.6.20,87715,47825,1831,3825
2020.6.21,92681,50326,1877,4966
2020.6.22,97302,51608,1930,4621
2020.6.23,101590,53444,1991,4288
2020.6.24,106108,55045,2102,4518
2020.6.25,111796,56874,2205,5688
2020.6.26,118375,59974,2292,6579
2020.6.27,124590,64111,2340,6215
2020.6.28,131800,67094,2413,7210
2020.6.29,138134,68925,2456,6334
2020.6.30,144264,70614,2529,6130
2020.7.1,151209,73543,2657,6945
2020.7.2,159333,76025,2749,8124
2020.7.3,168061,81999,2844,8728
2020.7.4,177124,86298,2952,9063
2020.7.5,187977,91227,3026,10853
2020.7.6,196750,93315,3199,8773
2020.7.7,205721,97848,3310,8971
2020.7.8,215855,102299,3502,10134
2020.7.9,224665,106842,3602,8810
2020.7.10,238339,113061,3720,13674
2020.7.11,250687,118232,3860,12348
2020.7.12,264184,127715,3971,13497
2020.7.13,276242,134874,4079,12058
2020.7.14,287796,138241,4172,11554
2020.7.15,298292,146279,4346,10496
2020.7.16,311049,160693,4453,12757
2020.7.17,324221,165591,4669,13172
2020.7.18,337594,178183,4804,13373
2020.7.19,350879,182230,4948,13285
2020.7.20,364328,191059,5033,13449
2020.7.21,373628,194865,5173,9300
2020.7.22,381798,208144,5368,8170
2020.7.23,394948,229175,5940,13150
2020.7.24,408052,236260,6093,13104
2020.7.25,421996,245771,6343,13944
2020.7.26,434200,263054,6655,12204
2020.7.27,445433,265077,6769,11233
2020.7.28,452529,274925,7067,7096
2020.7.29,459761,287313,7257,7232
2020.7.30,471123,297967,7497,11362
2020.7.31,482169,309601,7812,11046
2020.8.1,493183,326171,8005,11014
2020.8.2,503290,342461,8153,10107
2020.8.3,511485,347227,8366,8195
2020.8.4,516862,358037,8539,5377
2020.8.5,521318,363751,8884,4456
2020.8.6,529877,377266,9298,8559
2020.8.7,538184,387316,9604,8307
2020.8.8,545476,394759,9909,7292
2020.8.9,553188,404568,10210,7712
2020.8.10,559859,411474,10408,6671
2020.8.11,563598,417200,10621,3739
2020.8.12,566109,426125,10751,2511
2020.8.13,568919,432029,11010,2810
2020.8.14,572865,437617,11270,3946
2020.8.15,579140,461734,11556,6275
2020.8.16,583653,466941,11677,4513
2020.8.17,587345,472377,11839,3692
2020.8.18,589886,477671,11982,2541
2020.8.19,592144,485468,12264,2258
2020.8.20,596060,491441,12423,3916
2020.8.21,599940,497169,12618,3880
2020.8.22,603338,500102,12843,3398
2020.8.23,607045,504127,12987,3707
2020.8.24,609773,506470,13059,2728
2020.8.25,611450,516494,13159,1677
2020.8.26,613017,520381,13308,1567
2020.8.27,615701,525242,13502,2684
2020.8.28,618286,531338,13628,2585
2020.8.29,620132,533935,13743,1846
2020.8.30,622551,536694,13981,2419
2020.8.31,625056,538604,14028,2505
2020.9.1,627041,540923,14149,1985
2020.9.2,628259,549993,14263,1218
2020.9.3,630595,553456,14389,2336
2020.9.4,633015,554887,14563,2420
2020.9.5,635078,557818,14678,2063
2020.9.6,636884,561204,14779,1806
2020.9.7,638517,563891,14889,1633
2020.9.8,639362,566555,15004,845
2020.9.9,640441,567729,15086,1079
2020.9.10,642431,569935,15168,1990
2020.9.11,644438,573003,15265,2007
2020.9.12,646398,574587,15378,1960
2020.9.13,648214,576423,15427,1816
2020.9.14,649793,577906,15447,1579
2020.9.15,650749,579289,15499,956
2020.9.16,651521,583126,15641,772
2020.9.17,653444,584195,15705,1923
2020.9.18,655572,585303,15772,2128
2020.9.19,657627,586844,15857,2055
2020.9.20,659656,589434,15940,2029
2020.9.21,661211,590071,15953,1555
2020.9.22,661936,591208,15992,725
2020.9.23,663282,592904,16118,1346
2020.9.24,665188,594229,16206,1906
2020.9.25,667049,595916,16283,1861
2020.9.26,668529,599149,16312,1480
2020.9.27,669498,601818,16376,969
2020.9.28,670766,603721,16398,1268
2020.9.29,671669,604478,16586,903
2020.9.30,672572,606520,16667,903
2020.10.1,674339,608112,16734,1767
2020.10.2,676084,609584,16866,1745
2020.10.3,677833,611044,16909,1749
2020.10.4,679716,612763,16938,1883
2020.10.5,681289,614781,16976,1573
2020.10.6,682215,615684,17016,926
2020.10.7,683242,616857,17103,1027
2020.10.8,685155,618127,17248,1913
2020.10.9,686891,618771,17408,1736
2020.10.10,688352,620081,17547,1461
2020.10.11,690896,622153,17673,2544
2020.10.12,692471,623765,17780,1575
2020.10.13,693359,624659,17863,888
2020.10.14,694537,625574,18028,1178
2020.10.15,696414,626898,18151,1877
2020.10.16,698184,628301,18309,1770
2020.10.17,700203,629260,18370,2019
2020.10.18,702131,630436,18408,1928
2020.10.19,703793,634543,18471,1662
2020.10.20,705254,635257,18492,1461
2020.10.21,706304,639568,18656,1050
2020.10.22,708359,641706,18741,2055
2020.10.23,710515,642560,18843,2156
2020.10.24,712412,643523,18891,1897
2020.10.25,714246,644641,18944,1834
2020.10.26,715868,646170,18968,1622
2020.10.27,716759,646721,19008,891
2020.10.28,717851,647833,19053,1092
2020.10.29,719714,648654,19111,1863
2020.10.30,721770,649935,19164,2056
2020.10.31,723682,653052,19230,1912
2020.11.1,725452,654182,19276,1770
2020.11.2,726823,655330,19411,1371
2020.11.3,727595,657500,19465,772
2020.11.4,728836,659259,19539,1241
2020.11.5,730548,660185,19585,1712
2020.11.6,732414,671579,19677,1866
2020.11.7,734175,675593,19749,1761
2020.11.8,735906,678738,19789,1731
2020.11.9,737278,679688,19809,1372
2020.11.10,738525,680726,19845,1247
2020.11.11,740254,683194,19951,1729
2020.11.12,742394,686458,20011,2140
2020.11.13,744732,690903,20076,2338
2020.11.14,746945,692177,20153,2213
2020.11.15,749182,693261,20206,2237
2020.11.16,751024,693467,20241,1842
2020.11.17,752269,695496,20314,1245
2020.11.18,754256,696820,20432,1987
2020.11.19,757144,701534,20556,2888
2020.11.20,759658,702544,20671,2514
2020.11.21,762763,707040,20759,3105
2020.11.22,765409,707784,20845,2646
2020.11.23,767679,710099,20903,2270
2020.11.24,769759,711195,20968,2080
2020.11.25,772252,716444,21083,2493
2020.11.26,775502,716444,21201,3250
2020.11.27,781941,722876,21378,6439
2020.11.28,785139,723347,21439,3198
2020.11.29,787702,730633,21477,2563
2020.11.30,790004,731242,21535,2563
2020.12.1,790004,731242,21535,0
2020.12.2,792299,732531,21644,2295
2020.12.3,796472,734305,21709,4173
2020.12.4,800872,739367,21803,4400
2020.12.5,805804,740450,21963,4932
2020.12.6,810449,744298,22067,4645
2020.12.7,814565,744780,22206,4116
2020.12.8,817878,745750,22249,3313
2020.12.9,821889,753072,22432,4011
2020.12.10,828598,754658,22574,6709
2020.12.11,836764,756671,22747,8166
2020.12.12,845083,758373,22952,8319
2020.12.13,852965,760118,23106,7882
2020.12.14,860964,761011,23276,7999
2020.12.15,866127,762746,23451,5163
2020.12.16,873679,764977,23661,7552
2020.12.17,883687,774585,23827,10008
2020.12.18,892813,780313,24011,9126
2020.12.19,901538,783818,24285,8725
2020.12.20,912477,787782,24539,10939
2020.12.21,921922,793914,24691,9445
2020.12.22,930711,796346,24907,8789
2020.12.23,940212,808241,25246,9501
2020.12.24,954258,811372,25657,14046
2020.12.25,968563,822978,25983,14305
2020.12.26,983359,830251,26276,14796
