date,累计确诊,治愈,死亡,新增确诊
2020.4.8,13,0,1,7
2020.4.15,15,0,1,2
2020.4.18,20,0,1,5
2020.4.21,22,0,1,2
2020.4.28,23,0,1,1
2020.5.1,23,8,1,0
2020.5.10,24,12,1,0
2020.5.12,24,17,1,1
2020.5.16,24,17,1,0
2020.5.17,25,17,1,1
2020.5.18,25,17,1,0
2020.5.19,25,17,1,0
2020.5.20,25,17,1,0
2020.5.21,29,17,1,4
2020.5.22,29,19,1,0
2020.5.23,30,19,1,1
2020.5.24,35,19,1,5
2020.5.25,35,19,1,0
2020.5.26,35,20,1,0
2020.5.27,35,20,1,0
2020.5.28,35,20,1,0
2020.5.29,35,20,1,0
2020.5.30,35,20,1,0
2020.5.31,35,20,1,0
2020.6.1,38,20,1,3
2020.6.2,38,21,1,0
2020.6.3,40,23,1,2
2020.6.4,40,23,1,0
2020.6.5,40,23,1,0
2020.6.6,40,23,1,0
2020.6.7,40,23,1,0
2020.6.8,40,23,1,0
2020.6.9,42,24,1,2
2020.6.10,42,24,1,0
2020.6.11,48,24,1,6
2020.6.12,48,24,1,0
2020.6.13,48,24,1,0
2020.6.14,60,24,1,12
2020.6.15,60,24,1,0
2020.6.16,60,24,1,0
2020.6.17,60,24,1,0
2020.6.18,79,25,1,19
2020.6.19,89,25,1,10
2020.6.20,89,25,1,0
2020.6.21,89,25,1,0
2020.6.22,89,25,1,0
2020.6.23,89,25,1,0
2020.6.24,89,25,1,0
2020.6.25,92,25,1,3
2020.6.26,92,25,1,0
2020.6.27,92,25,1,0
2020.6.28,92,25,1,0
2020.6.29,92,25,1,0
2020.6.30,175,25,1,83
2020.7.1,227,28,1,52
2020.7.2,227,28,1,0
2020.7.3,227,28,1,0
2020.7.4,277,29,1,50
2020.7.5,277,29,1,0
2020.7.6,277,29,1,0
2020.7.7,314,31,1,37
2020.7.8,314,31,1,0
2020.7.9,314,31,1,0
2020.7.10,314,31,1,0
2020.7.11,314,31,1,0
2020.7.12,314,31,1,0
2020.7.13,399,38,1,85
2020.7.14,399,38,1,0
2020.7.15,399,38,1,0
2020.7.16,399,38,1,0
2020.7.17,522,48,1,123
2020.7.18,522,48,1,0
2020.7.19,522,48,1,0
2020.7.20,522,48,1,0
2020.7.21,522,48,1,0
2020.7.22,522,48,1,0
2020.7.23,522,48,1,0
2020.7.24,686,52,1,164
2020.7.25,686,52,1,0
2020.7.26,686,52,1,0
2020.7.27,686,52,1,0
2020.7.28,739,63,2,53
2020.7.29,739,63,2,0
2020.7.30,804,63,2,65
2020.7.31,804,63,2,0
2020.8.1,804,63,2,0
2020.8.2,804,63,2,0
2020.8.3,804,63,2,0
2020.8.4,804,63,2,0
2020.8.5,804,63,2,0
2020.8.6,804,63,2,0
2020.8.7,804,63,2,0
2020.8.8,804,63,2,0
2020.8.9,804,63,2,0
2020.8.10,804,63,2,0
2020.8.11,1066,80,2,262
2020.8.12,1066,80,2,0
2020.8.13,1066,80,2,0
2020.8.14,1214,120,3,148
2020.8.15,1214,120,3,0
2020.8.16,1214,120,3,0
2020.8.17,1214,120,3,0
2020.8.18,1308,136,3,94
2020.8.19,1308,136,3,0
2020.8.20,1308,136,3,0
2020.8.21,1308,136,3,0
2020.8.22,1308,136,3,0
2020.8.23,1308,136,3,0
2020.8.24,1308,136,3,0
2020.8.25,1562,199,3,254
2020.8.26,1562,199,3,0
2020.8.27,1633,224,6,71
2020.8.28,1633,224,6,0
2020.8.29,1633,224,6,0
2020.8.30,1633,224,6,0
2020.8.31,1633,224,6,0
2020.9.1,1724,493,6,91
2020.9.2,1724,493,6,0
2020.9.3,1724,493,6,0
2020.9.4,1724,493,6,0
2020.9.5,2002,493,8,278
2020.9.6,2002,493,8,0
2020.9.7,2002,493,8,0
2020.9.8,2126,493,9,124
2020.9.9,2126,493,9,0
2020.9.10,2126,493,9,0
2020.9.11,2252,546,10,126
2020.9.12,2252,546,10,0
2020.9.13,2252,546,10,0
2020.9.14,2252,546,10,0
2020.9.15,2463,575,11,211
2020.9.16,2463,575,11,0
2020.9.17,2463,575,11,0
2020.9.18,2567,624,13,104
2020.9.19,2567,624,13,0
2020.9.20,2567,624,13,0
2020.9.21,2567,624,13,0
2020.9.22,2567,624,13,0
2020.9.23,2567,624,13,0
2020.9.24,2567,624,13,0
2020.9.25,2921,701,16,354
2020.9.26,2921,701,16,0
2020.9.27,2921,701,16,0
2020.9.28,2921,701,16,0
2020.9.29,3172,710,16,251
2020.9.30,3172,710,16,0
2020.10.1,3172,710,16,0
2020.10.2,3172,710,16,0
2020.10.3,3172,710,16,0
2020.10.4,3172,710,16,0
2020.10.5,3172,710,16,0
2020.10.6,3172,710,16,0
2020.10.7,3172,834,18,0
2020.10.8,3172,834,18,0
2020.10.9,3219,834,18,47
2020.10.10,3219,834,18,0
2020.10.11,3219,834,18,0
2020.10.12,3219,834,18,0
2020.10.13,3515,853,20,296
2020.10.14,3515,853,20,0
2020.10.15,3515,853,20,0
2020.10.16,3914,905,20,399
2020.10.17,5242,905,20,1328
2020.10.18,5242,905,20,0
2020.10.19,5242,905,20,0
2020.10.20,5609,915,21,367
2020.10.21,5609,915,21,0
2020.10.22,5609,915,21,0
2020.10.23,5923,927,21,314
2020.10.24,5923,927,21,0
2020.10.25,5923,927,21,0
2020.10.26,5923,927,21,0
2020.10.27,6283,4438,21,360
2020.10.28,6283,4438,21,0
2020.10.29,6283,4438,21,0
2020.10.30,6642,4676,24,359
2020.10.31,6642,4676,24,0
2020.11.1,6642,4676,24,0
2020.11.2,6642,4676,24,0
2020.11.3,6642,4676,24,0
2020.11.4,6642,4676,24,0
2020.11.5,6642,4676,24,0
2020.11.6,7835,5534,27,1193
2020.11.7,7835,5534,27,0
2020.11.8,7835,5534,27,0
