date,累计确诊,治愈,死亡,新增确诊
2020.4.7,2210,178,6,225
2020.4.8,2210,178,6,153
2020.4.9,2376,206,6,166
2020.4.13,3428,373,7,197
2020.4.14,3711,406,7,283
2020.4.15,4103,415,7,392
2020.4.16,4663,464,7,560
2020.4.17,5008,510,8,345
2020.4.18,5448,518,8,440
2020.4.19,6015,555,9,567
2020.4.20,6533,641,9,518
2020.4.21,7141,689,10,608
2020.4.22,7764,750,10,623
2020.4.23,8525,809,10,761
2020.4.24,9358,929,10,833
2020.4.25,10287,1012,10,929
2020.4.26,11244,1066,10,957
2020.4.27,11921,1134,10,677
2020.4.28,12564,1243,10,643
2020.4.29,13409,1372,10,845
2020.4.30,14096,1436,12,687
2020.5.1,14872,1534,12,776
2020.5.2,15551,1664,12,679
2020.5.3,16191,1810,12,640
2020.5.4,17142,1924,12,951
2020.5.5,17972,2070,12,830
2020.5.6,18890,2286,12,918
2020.5.8,21331,2449,13,1130
2020.5.9,22520,2753,14,1189
2020.5.10,23623,2840,14,1103
2020.5.11,25149,3019,14,1526
2020.5.12,26539,3143,14,1390
2020.5.13,28272,3356,14,1733
2020.5.14,29425,3546,14,1153
2020.5.15,30972,3788,15,1547
2020.5.16,32604,4370,15,1632
2020.5.17,33969,4899,15,1365
2020.5.18,33969,4899,15,1365
2020.5.19,35606,5634,15,1637
2020.5.20,37097,6600,16,1491
2020.5.21,38651,7288,17,1554
2020.5.22,40481,7893,19,1830
2020.5.23,42213,8513,21,1732
2020.5.24,43714,9170,23,1501
2020.5.25,45465,10363,26,1751
2020.5.26,47207,11844,28,1742
2020.5.27,48947,13283,30,1740
2020.5.28,50914,15399,33,1967
2020.5.29,52907,20604,36,1993
2020.5.30,55262,25839,36,2355
2020.5.31,56910,30290,38,1648
2020.6.1,58433,33437,40,1523
2020.6.2,60259,36036,43,1826
2020.6.3,62160,37542,45,1901
2020.6.4,63741,39468,45,1581
2020.6.5,65495,40935,49,1754
2020.6.6,67195,42527,51,1700
2020.6.7,68790,44338,54,1595
2020.6.8,70158,45935,57,1368
2020.6.9,71879,47569,62,1721
2020.6.10,73595,49413,66,1716
2020.6.11,75071,51331,69,1476
2020.6.12,76588,53296,70,1517
2020.6.13,78416,55252,70,1828
2020.6.14,79602,56898,73,1186
2020.6.15,80876,58681,76,1274
2020.6.16,82077,60461,80,1201
2020.6.17,83174,62172,82,1097
2020.6.18,84441,63642,86,1267
2020.6.19,85462,65409,93,1021
2020.6.20,86488,66763,94,1026
2020.6.21,87369,68319,98,881
2020.6.22,88403,69956,99,1034
2020.6.23,89579,71501,99,1176
2020.6.24,90778,73083,104,1199
2020.6.25,91838,74544,106,1060
2020.6.26,92784,76072,109,946
2020.6.27,93663,77225,110,879
2020.6.28,94413,78702,110,750
2020.6.29,95106,80170,113,693
2020.6.30,96088,81564,113,982
2020.7.1,97003,83965,115,915
2020.7.2,97897,86597,118,894
2020.7.3,98653,88583,121,756
2020.7.4,99183,90387,123,530
2020.7.5,99799,92284,128,616
2020.7.6,100345,93898,133,546
2020.7.7,100945,94903,134,600
2020.7.8,101553,96107,138,608
2020.7.9,102110,97272,142,557
2020.7.10,102630,98233,146,520
2020.7.11,103128,98934,146,498
2020.7.12,103598,99743,147,470
2020.7.13,103598,99743,147,0
2020.7.14,104533,101160,150,935
2020.7.15,104983,101637,151,450
2020.7.16,105477,102168,152,494
2020.7.17,105898,102597,153,421
2020.7.18,106308,103023,154,410
2020.7.19,106648,103377,157,340
2020.7.20,107037,103782,159,389
2020.7.21,107430,104191,160,393
2020.7.22,107871,104641,163,441
2020.7.23,108244,105018,164,373
2020.7.24,108638,105420,164,394
2020.7.25,109036,105750,164,398
2020.7.26,109305,106024,165,269
2020.7.27,109597,106328,165,292
2020.7.28,109880,106603,167,283
2020.7.29,110153,106849,169,273
2020.7.30,110460,107135,171,307
2020.7.31,110695,107377,174,235
2020.8.1,110911,107578,174,216
2020.8.2,111107,107779,177,196
2020.8.3,111322,108002,177,215
2020.8.4,111538,108254,177,216
2020.8.5,111538,108254,177,0
2020.8.6,112092,108831,178,554
2020.8.7,112383,109142,180,291
2020.8.8,112650,109438,182,267
2020.8.9,112947,109709,184,297
2020.8.10,113262,109993,188,315
2020.8.11,113646,110324,188,384
2020.8.12,113938,110627,190,292
2020.8.13,113938,110627,190,0
2020.8.14,114532,111258,190,594
2020.8.15,114809,111505,192,277
2020.8.16,115080,111794,193,271
2020.8.17,115368,112088,193,288
2020.8.18,115368,112088,193,0
2020.8.19,115956,112658,193,588
2020.8.20,116224,112924,193,268
2020.8.21,116481,113216,193,257
2020.8.22,116765,113531,193,284
2020.8.23,117008,113808,193,243
2020.8.24,117266,114099,194,258
2020.8.25,117266,114099,194,0
2020.8.26,117742,114558,194,476
2020.8.27,117988,114797,195,246
2020.8.28,118196,115017,196,208
2020.8.29,118407,115251,196,211
2020.8.30,118575,115430,197,168
2020.8.31,118778,115667,197,203
2020.9.1,118994,115895,198,216
2020.9.2,118994,115895,198,0
2020.9.3,119420,116313,201,426
2020.9.4,119637,116538,201,217
2020.9.5,119864,116780,202,227
2020.9.6,120095,116998,203,231
2020.9.7,120348,117241,205,253
2020.9.8,120579,117497,205,231
2020.9.9,120846,117746,205,267
2020.9.10,121052,117978,205,206
2020.9.11,121287,118199,205,235
2020.9.12,121523,118475,205,236
2020.9.13,121740,118682,205,217
2020.9.14,121975,118931,207,235
2020.9.15,122214,119144,208,239
2020.9.16,122449,119400,208,235
2020.9.17,122693,119613,208,244
2020.9.18,122917,119822,209,224
2020.9.19,123146,120089,209,229
2020.9.20,123376,120303,210,230
2020.9.21,123604,120540,211,228
2020.9.22,123917,120766,211,313
2020.9.23,124175,121006,212,258
2020.9.24,124425,121263,212,250
2020.9.25,124650,121512,212,225
2020.9.26,124850,121738,214,200
2020.9.27,125084,121995,214,234
2020.9.28,125311,122209,214,227
2020.9.29,125533,122448,214,222
2020.9.30,125760,122699,214,227
2020.10.1,125959,122911,214,199
2020.10.2,126164,123108,215,205
2020.10.3,126339,123302,216,175
2020.10.4,126498,123475,216,159
2020.10.5,126692,123664,216,194
2020.10.6,126692,123664,216,0
2020.10.7,127181,124108,218,489
2020.10.8,127394,124327,218,213
2020.10.9,127600,124559,219,206
2020.10.10,127778,124767,219,178
2020.10.11,127778,124767,219,0
2020.10.12,128191,125176,220,413
2020.10.13,128405,125373,220,214
2020.10.14,128603,125584,220,198
2020.10.15,128803,125802,222,200
2020.10.16,128803,125802,222,0
2020.10.17,129227,126218,223,424
2020.10.18,129431,126406,224,204
2020.10.19,129671,126650,224,240
2020.10.20,129671,126650,224,0
2020.10.21,130210,127093,225,539
2020.10.22,130462,127328,228,252
2020.10.23,130711,127599,229,249
2020.10.24,130965,127868,229,254
2020.10.25,131170,128099,230,205
2020.10.26,131432,128343,230,262
2020.10.27,131689,128617,230,257
2020.10.28,131939,128884,230,250
2020.10.29,132150,129124,231,211
2020.10.30,132343,129349,232,193
2020.10.31,132556,129583,232,213
2020.11.1,132720,129784,232,164
2020.11.2,132720,129784,232,0
2020.11.3,133143,130202,232,423
2020.11.4,133370,130414,232,227
2020.11.5,133619,130680,232,249
2020.11.6,133811,130881,232,192
2020.11.7,134013,131075,232,202
2020.11.8,134203,131276,232,190
2020.11.9,134433,131490,232,230
2020.11.10,134663,131733,233,230
2020.11.11,134887,131926,233,224
2020.11.12,135132,132153,234,245
2020.11.13,135367,132356,234,235
2020.11.14,135570,132577,234,203
2020.11.15,135785,132784,234,215
2020.11.16,136028,133010,235,243
2020.11.17,136222,133217,235,194
2020.11.18,136441,133473,235,219
2020.11.19,136649,133691,235,208
2020.11.20,136888,133914,235,239
2020.11.21,137062,134100,235,174
2020.11.22,137229,134282,236,167
2020.11.23,137415,134486,236,186
2020.11.24,137642,134698,236,227
2020.11.25,137851,134950,237,209
2020.11.26,138066,135198,237,215
2020.11.27,138250,135370,237,184
2020.11.28,138477,135651,237,227
2020.11.29,138648,135862,237,171
2020.11.30,138833,136090,237,185
2020.12.1,139001,136306,238,168
2020.12.2,139256,136513,239,255
2020.12.3,139477,136741,239,221
2020.12.4,139643,136872,239,166
2020.12.5,139783,137060,239,140
2020.12.6,139908,137276,239,125
2020.12.7,139908,137276,239,0
2020.12.8,140203,137708,239,295
2020.12.9,140353,137881,240,150
2020.12.10,140516,138033,240,163
2020.12.11,140680,138194,240,164
2020.12.12,140827,138347,240,147
2020.12.13,140961,138490,240,134
2020.12.14,141121,138719,241,160
2020.12.15,141272,138919,241,151
2020.12.16,141417,139042,242,145
2020.12.17,141557,139243,242,140
2020.12.18,141716,139384,242,159
2020.12.19,141858,139521,243,142
2020.12.20,142001,139724,243,143
2020.12.21,142001,139724,243,0
2020.12.22,142308,140129,243,307
2020.12.23,142448,140264,243,140
2020.12.24,142605,140404,243,157
2020.12.25,142734,140542,244,129
2020.12.26,142903,140687,244,169
2020.12.27,143062,140866,244,159
2020.12.28,143222,141015,244,160
2020.12.29,143428,141147,245,206
2020.12.30,143621,141300,245,193
2020.12.31,143834,141422,245,213
2021.1.1,144042,141556,245,208
2021.1.2,144240,141680,245,198
2021.1.3,144437,141808,245,197
2021.1.4,144644,141925,245,207
2021.1.5,144852,142056,245,208
2021.1.6,145061,142182,245,209
2021.1.7,145271,142314,245,210
2021.1.8,145466,142453,246,195
2021.1.9,145466,142453,246,0
2021.1.10,145865,142695,246,399
2021.1.11,146068,142827,246,203
2021.1.12,146068,142827,246,0
2021.1.13,146480,143094,246,412
2021.1.14,146480,143094,246,0
2021.1.15,146885,143435,246,405
2021.1.16,147089,143612,246,204
2021.1.17,147277,143858,246,188
2021.1.18,147504,144015,248,227
