date,累计确诊,治愈,死亡,新增确诊
2020.4.8,110,7,0,5
2020.4.9,113,7,0,3
2020.4.10,118,7,0,5
2020.4.11,120,18,0,2
2020.4.12,126,25,0,6
2020.4.13,127,42,0,1
2020.4.14,134,49,0,7
2020.4.15,136,54,0,2
2020.4.16,138,60,0,2
2020.4.17,143,65,0,5
2020.4.18,144,69,0,1
2020.4.19,147,76,0,3
2020.4.21,150,84,0,3
2020.4.22,153,84,0,3
2020.4.23,154,87,0,1
2020.4.24,176,87,0,22
2020.4.25,183,88,0,7
2020.4.26,191,92,0,8
2020.4.27,207,93,0,16
2020.4.28,212,95,0,5
2020.4.29,225,98,0,13
2020.4.30,243,104,0,18
2020.5.1,249,109,0,6
2020.5.2,255,120,0,6
2020.5.3,259,124,0,4
2020.5.4,261,128,0,2
2020.5.6,268,130,0,7
2020.5.7,271,133,0,3
2020.5.9,280,140,0,7
2020.5.12,286,153,0,1
2020.5.13,287,164,0,1
2020.5.16,289,178,0,2
2020.5.17,292,197,0,3
2020.5.18,292,197,0,0
2020.5.19,297,203,0,5
2020.5.20,308,209,0,11
2020.5.21,314,216,0,6
2020.5.22,320,217,0,6
2020.5.23,321,222,0,1
2020.5.24,325,227,0,4
2020.5.25,327,237,0,2
2020.5.26,336,238,0,9
2020.5.27,339,244,0,3
2020.5.28,346,245,0,7
2020.5.29,349,245,0,3
2020.5.30,355,247,0,6
2020.5.31,359,250,1,4
2020.6.1,370,256,1,11
2020.6.2,377,262,1,7
2020.6.3,384,269,2,7
2020.6.4,397,271,2,13
2020.6.5,410,280,2,13
2020.6.6,420,282,2,10
2020.6.7,431,283,2,11
2020.6.8,439,290,2,8
2020.6.9,451,297,2,12
2020.6.10,463,300,2,12
2020.6.11,476,307,2,13
2020.6.12,494,313,2,18
2020.6.13,510,321,2,16
2020.6.14,541,332,2,31
2020.6.15,582,332,2,41
2020.6.16,612,338,2,30
2020.6.17,636,338,2,24
2020.6.18,639,347,2,3
2020.6.19,646,350,2,7
2020.6.20,661,351,2,15
2020.6.21,702,357,2,41
2020.6.22,728,359,2,26
2020.6.23,787,370,2,59
2020.6.24,798,371,2,11
2020.6.25,830,376,2,32
2020.6.26,850,385,2,20
2020.6.27,858,398,2,8
2020.6.28,878,413,2,20
2020.6.29,900,443,2,22
2020.6.30,1001,443,2,101
2020.7.1,1025,447,2,24
2020.7.2,1042,480,3,17
2020.7.3,1063,493,3,21
2020.7.4,1081,512,3,18
2020.7.5,1092,523,3,11
2020.7.6,1105,567,3,13
2020.7.7,1113,575,3,8
2020.7.8,1172,595,3,59
2020.7.9,1194,610,3,22
2020.7.10,1210,623,3,16
2020.7.11,1252,635,3,42
2020.7.12,1299,663,4,47
2020.7.13,1337,684,4,38
2020.7.14,1378,710,4,41
2020.7.15,1416,737,4,38
2020.7.16,1435,752,4,19
2020.7.17,1473,770,4,38
2020.7.18,1485,811,4,12
2020.7.19,1539,819,5,54
2020.7.20,1582,834,5,43
2020.7.21,1629,838,5,47
2020.7.22,1655,848,5,26
2020.7.23,1689,867,5,34
2020.7.24,1710,889,5,21
2020.7.25,1729,900,5,19
2020.7.26,1752,907,5,23
2020.7.27,1821,918,5,69
2020.7.28,1879,975,5,58
2020.7.29,1926,1005,5,47
2020.7.30,1963,1036,5,37
2020.7.31,1994,1085,5,31
2020.8.1,2022,1106,5,28
2020.8.2,2042,1119,5,20
2020.8.3,2062,1144,5,20
2020.8.4,2092,1169,5,30
2020.8.5,2099,1222,5,7
2020.8.6,2104,1237,5,5
2020.8.7,2111,1258,5,7
2020.8.8,2128,1297,5,17
2020.8.9,2134,1300,6,6
2020.8.10,2140,1346,7,6
2020.8.11,2152,1392,7,12
2020.8.12,2171,1478,7,19
2020.8.13,2189,1524,8,18
2020.8.14,2200,1558,8,11
2020.8.15,2293,1604,8,93
2020.8.16,2352,1631,8,59
2020.8.17,2453,1648,8,101
2020.8.18,2540,1661,8,87
2020.8.19,2577,1683,10,37
2020.8.20,2644,1698,10,67
2020.8.21,2717,1705,11,73
2020.8.22,2780,1712,11,63
2020.8.23,2889,1754,11,109
2020.8.24,3089,1755,12,200
2020.8.25,3306,1785,14,217
2020.8.26,3537,1806,15,231
2020.8.27,3625,1810,15,88
2020.8.28,3672,1863,15,47
2020.8.29,3742,1866,16,70
2020.8.30,3843,1904,16,101
2020.8.31,4020,1918,16,177
2020.9.1,4063,2013,16,43
2020.9.2,4142,2044,16,79
2020.9.3,4218,2071,17,76
2020.9.4,4255,2163,18,37
2020.9.5,4304,2191,18,49
2020.9.6,4349,2199,18,45
2020.9.7,4374,2235,19,25
2020.9.8,4409,2271,19,35
2020.9.9,4439,2307,20,30
2020.9.10,4460,2325,21,21
2020.9.11,4479,2352,22,19
2020.9.12,4534,2450,22,55
2020.9.13,4565,2544,22,31
2020.9.14,4591,2556,22,26
2020.9.15,4602,2736,22,11
2020.9.16,4624,2767,22,22
2020.9.17,4634,2789,22,10
2020.9.18,4653,2817,23,19
2020.9.19,4671,2845,25,18
2020.9.20,4689,2910,26,18
2020.9.21,4711,2961,26,22
2020.9.22,4722,2973,27,11
2020.9.23,4738,2991,27,16
2020.9.24,4779,2995,27,41
2020.9.25,4789,3050,27,10
2020.9.26,4798,3080,29,9
2020.9.27,4811,3091,29,13
2020.9.28,4820,3099,29,9
2020.9.29,4832,3117,29,12
2020.9.30,4836,3125,29,4
2020.10.1,4840,3154,29,4
2020.10.2,4843,3181,29,3
2020.10.3,4847,3197,29,4
2020.10.4,4852,3211,29,5
2020.10.5,4866,3216,29,14
2020.10.6,4867,3226,29,1
2020.10.7,4873,3246,29,6
2020.10.8,4883,3408,29,10
2020.10.9,4885,3542,29,2
2020.10.10,4890,3555,30,5
2020.10.11,4892,3566,30,2
2020.10.12,4896,3606,31,4
2020.10.13,4905,3877,32,9
2020.10.14,4908,4130,32,3
2020.10.15,4940,4398,33,32
2020.10.16,4953,4601,33,13
2020.10.17,4965,4664,34,12
2020.10.18,4971,4768,34,6
2020.10.19,4974,4783,34,3
2020.10.20,4992,4797,34,18
2020.10.21,4996,4797,34,4
2020.10.22,5012,4798,34,16
2020.10.23,5017,4803,34,5
2020.10.24,5052,4806,34,35
2020.10.25,5060,4806,34,8
2020.10.26,5066,4830,34,6
2020.10.27,5073,4848,34,7
2020.10.28,5084,4851,35,11
2020.10.29,5129,4851,35,45
2020.10.30,5131,4851,35,2
2020.10.31,5134,4878,35,3
2020.11.1,5137,4879,35,3
2020.11.2,5146,4921,35,9
2020.11.3,5155,4922,35,9
2020.11.4,5162,4930,35,7
2020.11.5,5174,4930,35,12
2020.11.6,5192,4940,36,18
2020.11.7,5208,4953,36,16
2020.11.8,5213,4953,36,5
2020.11.9,5222,4960,36,9
2020.11.10,5242,4967,38,20
2020.11.11,5262,4967,40,20
2020.11.12,5312,4974,41,50
2020.11.13,5319,4974,41,7
2020.11.14,5362,4993,42,43
2020.11.15,5394,4994,42,32
2020.11.16,5455,4995,45,61
2020.11.17,5491,5004,45,36
2020.11.18,5507,5008,46,16
2020.11.19,5543,5087,46,36
2020.11.20,5572,5137,46,29
