date,累计确诊,治愈,死亡,新增确诊
2020.3.28,1831,6,18,226
2020.4.8,3034,500,46,64
2020.4.9,3115,500,52,81
2020.4.10,3163,500,54,48
2020.4.11,3270,500,62,47
2020.4.12,3281,500,66,11
2020.4.13,3292,500,69,11
2020.4.14,3307,500,69,15
2020.4.15,3373,526,69,66
2020.4.16,3444,552,69,71
2020.4.17,3480,579,72,36
2020.4.18,3537,601,72,57
2020.4.19,3550,627,73,13
2020.4.20,3558,627,75,8
2020.4.21,3618,670,78,60
2020.4.22,3654,711,80,36
2020.4.23,3665,711,83,11
2020.4.24,3695,3007,85,30
2020.4.25,3711,3088,85,16
2020.4.26,3723,3104,88,12
2020.4.27,3729,3123,88,6
2020.4.28,3741,3123,89,12
2020.4.29,3769,3134,89,28
2020.4.30,3784,3213,90,15
2020.5.1,3802,3213,92,18
2020.5.2,3812,3213,92,10
2020.5.3,3824,3379,96,12
2020.5.5,3840,3412,96,12
2020.5.6,3851,3452,98,11
2020.5.7,3859,3505,100,8
2020.5.9,3877,3550,101,6
2020.5.12,3894,3610,102,6
2020.5.13,3904,3629,103,10
2020.5.15,3923,3682,104,11
2020.5.16,3930,3682,104,7
2020.5.17,3945,3702,107,15
2020.5.18,3945,3702,107,0
2020.5.19,3947,3715,107,2
2020.5.20,3958,3718,109,11
2020.5.21,3971,3728,109,13
2020.5.22,3981,3748,109,10
2020.5.23,3990,3758,109,9
2020.5.24,3992,3767,110,2
2020.5.25,3992,3767,110,0
2020.5.26,3995,3783,110,3
2020.5.27,3995,3783,110,0
2020.5.28,4001,3791,110,6
2020.5.29,4012,3815,110,11
2020.5.30,4016,3815,110,4
2020.5.31,4018,3833,110,2
2020.6.1,4019,3845,110,1
2020.6.2,4019,3845,110,0
2020.6.3,4024,3861,110,5
2020.6.4,4024,3861,110,0
2020.6.5,4027,3874,110,3
2020.6.6,4035,3888,110,8
2020.6.7,4039,3899,110,4
2020.6.8,4040,3901,110,1
2020.6.9,4046,3902,110,6
2020.6.10,4049,3904,110,3
2020.6.11,4052,3910,110,3
2020.6.12,4052,3910,110,0
