date,累计确诊,治愈,死亡,新增确诊
2020.4.7,5480,468,164,533
2020.4.8,5916,506,178,565
2020.4.9,6725,620,226,809
2020.4.10,7600,774,249,875
2020.4.11,8446,969,288,846
2020.4.12,9205,1080,331,759
2020.4.13,10453,1181,358,1248
2020.4.14,11487,1359,393,1034
2020.4.15,12322,1432,405,835
2020.4.16,13430,1768,448,1060
2020.4.17,14352,2041,486,922
2020.4.18,15722,2463,521,1370
2020.4.19,17615,2854,559,1250
2020.4.20,18539,3273,592,924
2020.4.21,20080,3975,645,1541
2020.4.22,21370,4370,681,1290
2020.4.23,23039,5012,721,1669
2020.4.24,24447,5496,780,1408
2020.4.25,26283,5939,825,1836
2020.4.26,27890,6523,882,1607
2020.4.27,29451,7137,939,1561
2020.4.28,31332,7796,1008,1873
2020.4.29,33062,8437,1079,1738
2020.4.30,34862,9068,1154,1800
2020.5.1,37257,10007,1223,2394
2020.5.2,39699,10819,1323,2442
2020.5.3,42505,11775,1391,2806
2020.5.4,46437,12847,1566,3932
2020.5.5,49400,14142,1693,2963
2020.5.6,52987,15331,1785,3587
2020.5.7,56351,16776,1889,3364
2020.5.8,59693,17887,1985,3342
2020.5.9,62808,19301,2101,3113
2020.5.10,67161,20696,2212,4353
2020.5.11,70768,22549,2294,3607
2020.5.12,74243,24420,2415,3475
2020.5.13,78055,26400,2551,3763
2020.5.14,81997,27969,2649,3942
2020.5.15,85784,30234,2753,3787
2020.5.16,90648,34224,2871,4864
2020.5.17,95698,36795,3025,5050
2020.5.18,100161,38909,3144,4463
2020.5.19,103292,40458,3179,3131
2020.5.20,107819,43070,3317,4527
2020.5.21,114478,46002,3465,6659
2020.5.22,124073,50857,3707,9595
2020.5.23,130506,53947,3850,6433
2020.5.24,137608,54865,4004,7102
2020.5.25,141228,58727,4057,3620
2020.5.26,150313,63536,4334,9085
2020.5.27,154820,65944,4406,4507
2020.5.28,163120,69534,4653,8300
2020.5.29,172359,81606,4956,9239
2020.5.30,180621,84759,5144,8262
2020.5.31,189765,91016,5390,9144
2020.6.1,194837,93343,5577,5072
2020.6.2,202860,98113,5679,8023
2020.6.3,214664,103641,6028,11804
2020.6.4,224215,107419,6301,9551
2020.6.5,233576,112189,6440,9361
2020.6.6,243733,117404,6845,10157
2020.6.7,254340,122738,7117,10607
2020.6.8,264143,127991,7449,9803
2020.6.9,273443,131775,7558,9300
2020.6.10,284754,140033,7996,11311
2020.6.11,297001,146074,8473,12247
2020.6.12,305951,152395,8718,8950
2020.6.13,317368,159597,9109,11417
2020.6.14,324482,164803,9247,7114
2020.6.15,336185,172313,9590,11703
2020.6.16,347821,184243,10015,11636
2020.6.17,359506,190755,12029,11685
2020.6.18,371734,196894,12360,12228
2020.6.19,385276,208169,12677,13542
2020.6.20,400724,216730,13035,15448
2020.6.21,421765,235078,13502,21041
2020.6.22,430708,240289,13780,8943
2020.6.23,449613,254204,14162,18905
2020.6.24,465553,264542,14634,15940
2020.6.25,481179,277765,15042,15626
2020.6.26,501864,292626,15487,20685
2020.6.27,527738,308928,16088,25874
2020.6.28,548154,321178,16466,20416
2020.6.29,562457,329728,16797,14303
2020.6.30,574926,340225,17038,12469
2020.7.1,593703,353333,17521,18777
2020.7.2,612486,366027,17996,18783
2020.7.3,633381,383936,18320,20895
2020.7.4,664488,404351,18953,31107
2020.7.5,687760,417509,19568,23272
2020.7.6,712920,435441,20073,25160
2020.7.7,739646,454858,20618,26726
2020.7.8,760761,470144,21072,21115
2020.7.9,790649,483348,21586,29888
2020.7.10,818647,513503,22122,27998
2020.7.11,847575,532532,22659,28928
2020.7.12,871499,546379,23078,23924
2020.7.13,898680,566664,23569,27181
2020.7.14,933450,590219,24281,34770
2020.7.15,959993,609831,24865,26543
2020.7.16,1001863,620194,25589,41870
2020.7.17,1036497,651308,26267,34634
2020.7.18,1055932,664461,26508,37407
2020.7.19,1106135,693450,27428,50203
2020.7.20,1127281,707523,27628,36810
2020.7.21,1171446,737808,28488,44165
2020.7.22,1220433,772488,29531,48987
2020.7.23,1263336,800158,30122,42903
2020.7.24,1323471,841424,31112,60135
2020.7.25,1383172,883977,32082,59701
2020.7.26,1424202,910298,32656,41030
2020.7.27,1466059,936171,33129,41857
2020.7.28,1529653,987174,34223,63594
2020.7.29,1579240,1017204,34948,49587
2020.7.30,1601070,1029069,35134,54966
2020.7.31,1690546,1091018,36497,57704
2020.8.1,1749771,1144277,37390,59225
2020.8.2,1780268,1165442,37690,52783
2020.8.3,1830949,1200303,38485,50681
2020.8.4,1901334,1278084,39787,70385
