date,累计确诊,治愈,死亡,新增确诊
2020.4.7,2956,222,240,218
2020.4.8,3293,252,280,337
2020.4.9,3512,282,306,219
2020.4.12,4557,380,399,316
2020.4.13,4839,426,459,282
2020.4.14,5136,446,469,297
2020.4.15,5516,548,498,380
2020.4.16,5923,607,520,407
2020.4.17,6248,631,535,325
2020.4.18,6575,686,582,327
2020.4.19,6760,747,590,185
2020.4.20,7135,842,616,375
2020.4.21,7418,913,635,283
2020.4.22,7775,960,647,357
2020.4.23,8211,1002,686,436
2020.4.24,8607,1042,720,396
2020.4.25,8882,1107,743,275
2020.4.26,9096,1151,765,214
2020.4.27,9511,1254,773,415
2020.4.28,9771,1391,784,260
2020.4.29,10118,1522,792,347
2020.4.30,10551,1591,800,433
2020.5.1,10843,1665,831,292
2020.5.2,11192,1876,845,349
2020.5.3,11587,1954,864,395
2020.5.4,12071,2197,872,484
2020.5.5,12438,2317,895,367
2020.5.6,12776,2381,930,338
2020.5.7,13112,2494,943,336
2020.5.8,13645,2607,959,533
2020.5.9,14032,2698,973,387
2020.5.10,14265,2881,991,2
2020.5.11,14749,3063,1007,484
2020.5.12,15438,3287,1028,689
2020.5.13,16006,3518,1043,568
2020.5.14,16496,3803,1076,490
2020.5.15,17025,3911,1089,529
2020.5.16,17514,4129,1148,489
2020.5.17,18010,4324,1191,496
2020.5.18,18010,4324,1191,0
2020.5.19,18496,4467,1221,486
2020.5.20,19189,4575,1242,693
2020.5.21,20162,4838,1278,973
2020.5.22,20796,5057,1326,634
2020.5.23,21745,5249,1351,949
2020.5.24,22271,5402,1372,526
2020.5.25,22750,5642,1391,479
2020.5.26,23165,5877,1418,415
2020.5.27,23851,6057,1473,686
2020.5.28,24538,6240,1496,687
2020.5.29,25216,6492,1520,678
2020.5.30,25773,7015,1573,557
2020.5.31,26473,7308,1613,700
2020.6.1,26940,7637,1641,467
2020.6.2,27549,7935,1663,609
2020.6.3,28233,8406,1698,684
2020.6.4,28818,8892,1721,585
2020.6.5,29521,9443,1770,703
2020.6.6,30514,9907,1801,993
2020.6.7,31186,10498,1851,672
2020.6.8,32033,10904,1883,847
2020.6.9,33076,11414,1923,1043
2020.6.10,34316,12129,1959,1240
2020.6.11,35295,12636,2000,979
2020.6.12,36406,13213,2048,1111
2020.6.13,37420,13776,2091,1014
2020.6.14,38277,14531,2134,857
2020.6.15,39294,15123,2198,1017
2020.6.16,40400,15703,2231,1106
2020.6.17,41431,16243,2276,1031
2020.6.18,42762,16798,2339,1331
2020.6.19,43803,17349,2373,1041
2020.6.20,45029,17883,2429,1226
2020.6.21,45891,18404,2465,862
2020.6.22,46845,18735,2500,954
2020.6.23,47896,19241,2535,1051
2020.6.24,49009,19658,2573,1113
2020.6.25,50187,20449,2620,1178
2020.6.26,51427,21333,2683,1240
2020.6.27,52812,21909,2720,1385
2020.6.28,54010,22936,2754,1198
2020.6.29,55092,23800,2805,1082
2020.6.30,56385,24806,2876,1293
2020.7.1,57770,25595,2934,1385
2020.7.2,59394,26667,2987,1624
2020.7.3,60695,27568,3036,1301
2020.7.4,62142,28219,3089,1447
2020.7.5,63749,29105,3171,1607
2020.7.6,64958,29919,3241,1209
2020.7.7,66226,30785,3309,1268
2020.7.8,68079,31585,3359,1853
2020.7.9,70736,32651,3417,2657
2020.7.10,72347,33529,3469,1611
2020.7.11,74018,34719,3535,1671
2020.7.12,75699,35638,3606,1681
2020.7.13,76981,36689,3656,1282
2020.7.14,78572,37636,3710,1591
2020.7.15,80094,39050,3797,1522
2020.7.16,81668,40345,3873,1574
2020.7.17,83130,41834,3957,1462
2020.7.18,84882,43268,4016,1752
2020.7.19,86521,45401,4143,1639
2020.7.20,88214,46977,4239,1693
2020.7.21,89869,48466,4320,1655
2020.7.22,91751,50255,4459,1882
2020.7.23,93657,52164,4576,1906
2020.7.24,95418,53945,4665,1761
2020.7.25,97286,55354,4714,1868
2020.7.26,98778,56655,4781,1492
2020.7.27,100303,58173,4838,1525
2020.7.28,102051,60539,4901,1748
2020.7.29,104432,62138,4975,2381
2020.7.30,106336,64292,5058,1904
2020.7.31,108376,65907,5131,2040
2020.8.1,109936,67919,5193,1560
2020.8.2,111455,68975,5236,1519
2020.8.3,113134,70237,5302,1679
2020.8.4,115056,72050,5388,1922
2020.8.5,116871,73889,5452,1815
2020.8.6,118753,75645,5521,1882
2020.8.7,121226,77557,5593,2473
2020.8.8,123503,79306,5658,2277
2020.8.9,125396,80952,5723,1893
2020.8.10,127083,82236,5765,1687
2020.8.11,128776,83710,5824,1693
2020.8.12,130718,85798,5903,1942
2020.8.13,132816,87558,5968,2098
2020.8.14,135123,89618,6021,2307
2020.8.15,137468,91321,6071,2345
2020.8.16,139549,93103,6150,2081
2020.8.17,141370,94458,6207,1821
2020.8.18,143043,96306,6277,1673
2020.8.19,144945,98657,6346,1902
2020.8.20,147211,100674,6418,2266
2020.8.21,149408,102991,6500,2197
2020.8.22,151498,105198,6594,2090
2020.8.23,153535,107500,6680,2037
2020.8.24,155412,111060,6759,1877
2020.8.25,157859,112867,6858,2447
2020.8.26,160165,115409,6944,2306
2020.8.27,162884,118575,7064,2719
2020.8.28,165887,120900,7169,3003
2020.8.29,169195,122802,7261,3308
2020.8.30,172053,124185,7343,2858
2020.8.31,174796,125959,7417,2743
2020.9.1,177571,128057,7505,2775
2020.9.2,180646,129971,7616,3075
2020.9.3,184268,132055,7750,3622
2020.9.4,187537,134181,7832,3269
2020.9.5,190665,136401,7940,3128
2020.9.6,194109,138575,8025,3444
2020.9.7,196989,140652,8130,2880
2020.9.8,200035,142958,8230,3046
2020.9.9,203342,145200,8336,3307
2020.9.10,207203,147510,8456,3861
2020.9.11,210940,150217,8544,3737
2020.9.12,214746,152458,8650,3806
2020.9.13,218382,155010,8723,3636
2020.9.14,221523,158405,8841,3141
2020.9.15,225030,161065,8965,3507
2020.9.16,228993,164101,9100,3963
2020.9.17,232628,166686,9222,3635
2020.9.18,236519,170774,9336,3891
2020.9.19,240687,174350,9448,4168
2020.9.20,244676,177327,9553,3989
2020.9.21,248852,180797,9677,4176
2020.9.22,252923,184298,9837,4071
2020.9.23,257388,187958,9977,4465
2020.9.24,262022,191853,10105,4634
2020.9.25,266845,196196,10218,4823
2020.9.26,271339,199403,10308,4494
2020.9.27,275213,203014,10386,3874
2020.9.28,278722,206870,10473,3509
2020.9.29,282724,210437,10601,4002
2020.9.30,287008,214947,10740,4284
2020.10.1,291182,218487,10856,4174
2020.10.2,295499,221340,10972,4317
2020.10.3,299506,225052,11055,4007
2020.10.4,303498,228453,11151,3992
2020.10.5,307120,232593,11253,3622
2020.10.6,311176,236437,11374,4056
2020.10.7,315714,240291,11472,4538
2020.10.8,320564,244060,11580,4850
2020.10.9,324658,247667,11677,4094
2020.10.10,328952,251481,11765,4294
2020.10.11,333449,255027,11844,4497
2020.10.12,336716,258519,11935,3267
2020.10.13,340622,263296,12027,3906
2020.10.14,344749,267851,12156,4127
2020.10.15,349160,273661,12268,4411
2020.10.16,353461,277544,12347,4301
2020.10.17,357762,281592,12431,4301
2020.10.18,361867,285324,12511,4105
2020.10.19,365240,289243,12617,3373
2020.10.20,368842,293653,12734,3602
2020.10.21,373109,297509,12857,4267
2020.10.22,377541,301006,12959,4432
2020.10.23,381910,305100,13077,4369
2020.10.24,385980,309219,13205,4070
2020.10.25,389712,313764,13299,3732
2020.10.26,392934,317672,13411,3222
2020.10.27,396454,322248,13512,3520
2020.10.28,400483,325793,13612,4029
2020.10.29,404048,329778,13701,3565
2020.10.30,406945,334295,13782,2897
2020.10.31,410088,337801,13869,3143
2020.11.1,412784,341942,13943,2696
2020.11.2,415402,345566,14044,2618
2020.11.3,418375,349497,14146,2973
2020.11.4,421731,353282,14259,3356
2020.11.5,425796,357142,14348,4065
2020.11.6,429574,360705,14442,3778
2020.11.7,433836,364417,14540,4262
2020.11.8,437716,368298,14614,3880
2020.11.9,440569,372266,14689,2853
2020.11.10,444348,375741,14761,3779
2020.11.11,448118,378982,14836,3770
2020.11.12,452291,382084,14933,4173
2020.11.13,457735,385094,15037,5444
2020.11.14,463007,388094,15148,5272
2020.11.15,467113,391991,15211,4106
2020.11.16,470648,395443,15296,3535
2020.11.17,474455,398636,15393,3807
2020.11.18,478720,402347,15503,4265
2020.11.19,483518,406612,15600,4798
2020.11.20,488310,410552,15678,4792
2020.11.21,493308,413955,15774,4998
2020.11.22,497668,418188,15884,4360
2020.11.23,502110,422386,16002,4442
2020.11.24,506302,425313,16111,4192
2020.11.25,511836,429807,16225,5534
2020.11.26,516753,433649,16352,4917
2020.11.27,522581,437456,16521,5828
2020.11.28,527999,441983,16646,5418
2020.11.29,534266,445793,16815,6267
2020.11.30,538883,450518,16945,4617
2020.12.1,543975,454879,17081,5092
2020.12.2,549508,458880,17199,5533
2020.12.3,557877,462553,17355,8369
2020.12.4,563680,466178,17479,5803
2020.12.5,569707,470449,17589,6027
2020.12.6,575796,474771,17740,6089
2020.12.7,581550,479202,17867,5754
2020.12.8,586842,483497,18000,5292
2020.12.9,592900,487445,18171,6058
2020.12.10,598933,491975,18336,6033
2020.12.11,605243,496886,18511,6310
2020.12.12,611631,501376,18653,6388
2020.12.13,617820,505836,18819,6189
2020.12.14,623309,510957,18956,5489
2020.12.15,629429,516656,19111,6120
2020.12.16,636154,521984,19248,6725
2020.12.17,643508,526979,19390,7354
2020.12.18,650197,531995,19514,6689
2020.12.19,657948,536260,19659,7751
2020.12.20,664930,541811,19880,6982
2020.12.21,671778,546884,20085,6848
2020.12.22,678125,552722,20257,6347
2020.12.23,685639,558703,20408,7514
2020.12.24,692838,563980,20589,7199
2020.12.25,700097,570304,20847,7259
2020.12.26,706837,576693,20994,6740
2020.12.27,719219,589978,21452,12382
2020.12.28,719219,589978,21452,0
2020.12.29,727122,596783,21703,7903
2020.12.30,735124,603741,21944,8002
2020.12.31,743198,611097,22138,8074
2021.1.1,751270,617936,22329,8072
2021.1.2,758473,625518,22555,7203
2021.1.3,765350,631937,22734,6877
2021.1.4,772103,639103,22911,6753
2021.1.5,779548,645746,23109,7445
2021.1.6,788402,652513,23296,8854
2021.1.7,797723,659437,23520,9321
2021.1.8,808340,666883,23753,10617
2021.1.9,818386,673511,23947,10046
2021.1.10,828026,681024,24129,9640
2021.1.11,836718,688739,24343,8692
2021.1.12,846765,695807,24645,10047
2021.1.13,858043,703464,24951,11278
2021.1.14,869600,711205,25246,11557
2021.1.15,882418,718696,25484,12818
2021.1.16,896642,727358,25767,14224
2021.1.17,907929,736460,25987,11287
2021.1.18,917015,745935,26282,9086
2021.1.19,927380,753948,26590,10365
2021.1.20,939948,763703,26857,12568
2021.1.21,951651,772790,27203,11703
2021.1.22,965283,781147,27453,13632
2021.1.23,977474,791059,27664,12191
2021.1.24,989262,798810,27835,11788
2021.1.25,999256,809488,28132,9994
2021.1.26,1012350,820356,28468,13094
2021.1.27,1024298,831330,28855,11948
2021.1.28,1037993,842122,29331,13695
2021.1.29,1051795,852260,29518,13802
2021.1.30,1066313,862502,29728,14518
2021.1.31,1078314,873221,29998,12001
2021.2.1,1089308,883682,30277,10994
2021.2.2,1099687,896530,30581,10379
2021.2.3,1111671,905665,30770,11984
2021.2.4,1123105,917306,31001,11434
2021.2.5,1134854,926980,31202,11749
2021.2.6,1147010,939184,31393,12156
2021.2.7,1157837,949990,31556,10827
2021.2.8,1166079,963028,31763,8242
2021.2.9,1174779,973452,31976,8700
2021.2.10,1183555,982972,32167,8776
2021.2.11,1191990,993117,32381,8435
2021.2.12,1201859,1004117,32656,9869
2021.2.13,1210703,1016036,32936,8844
2021.2.14,1217468,1025273,33183,6765
2021.2.15,1223930,1032065,33367,6462
2021.2.16,1233959,1039674,33596,10029
2021.2.17,1243646,1047676,33788,9687
2021.2.18,1252685,1058222,33969,9039
2021.2.19,1263299,1069005,34152,10614
2021.2.20,1271353,1078840,34316,8054
2021.2.21,1278653,1087076,34489,7300
2021.2.22,1288833,1096994,34691,10180
2021.2.23,1298608,1104990,35014,9775
2021.2.24,1306141,1112725,35254,7533
2021.2.25,1314634,1121411,35518,8493
2021.2.26,1322866,1128672,35786,8232
2021.2.27,1329074,1136054,35981,6208
2021.2.28,1334634,1142703,36166,5560
2021.3.1,1341314,1151915,36325,6680
2021.3.2,1347026,1160863,36518,5712
2021.3.3,1353834,1169916,36721,6808
2021.3.4,1361098,1176356,36897,7264
2021.3.5,1368069,1182687,37026,6971
2021.3.6,1373836,1189510,37154,5767
2021.3.7,1379662,1194656,37266,5826
2021.3.8,1386556,1203381,37547,6894
2021.3.9,1392945,1210877,37757,6389
2021.3.10,1398578,1216433,37932,5633
2021.3.11,1403722,1224603,38049,5144
2021.3.12,1410134,1231454,38229,6412
2021.3.13,1414741,1237470,38329,4607
2021.3.14,1419455,1243117,38426,4714
2021.3.15,1425044,1249947,38573,5589
2021.3.16,1430458,1257663,38753,5414
2021.3.17,1437283,1266673,38915,6825
2021.3.18,1443853,1272958,39142,6570
2021.3.19,1450132,1278965,39339,6279
2021.3.20,1455788,1284725,39447,5656
2021.3.21,1460184,1290790,39550,4396
2021.3.22,1465928,1297967,39711,5744
2021.3.23,1471225,1304921,39865,5297
2021.3.24,1476452,1312543,39983,5227
2021.3.25,1482559,1317199,40081,6107
2021.3.26,1487541,1322878,40166,4982
2021.3.27,1492002,1327121,40364,4461
2021.3.28,1496085,1331400,40449,4083
2021.3.29,1501093,1336818,40581,5008
2021.3.30,1505775,1342695,40754,4682
2021.3.31,1511712,1348330,40858,5937
2021.4.1,1517854,1355578,41054,6142
2021.4.2,1523179,1361017,41151,5325
2021.4.3,1527524,1366214,41242,4345
2021.4.4,1534255,1375877,41669,6731
2021.4.5,1537967,1381677,41815,3712
2021.4.6,1542516,1385973,41977,4549
2021.4.7,1547376,1391742,42064,4860
2021.4.8,1552880,1399382,42227,5504
2021.4.9,1558145,1405659,42348,5265
2021.4.10,1562868,1409288,42443,4723
2021.4.11,1566995,1414507,42530,4127
2021.4.12,1571824,1419796,42656,4829
2021.4.13,1577526,1426145,42782,5702
2021.4.14,1583182,1431892,42906,5656
2021.4.15,1589359,1438254,43073,6177
2021.4.16,1594722,1444229,43196,5363
2021.4.17,1599763,1450192,43328,5041
2021.4.18,1604348,1455065,43424,4585
2021.4.19,1609300,1461414,43567,4952
2021.4.20,1614849,1468142,43777,5549
2021.4.21,1620569,1475456,44007,5720
