date,累计确诊,治愈,死亡,新增确诊
2020.4.7,80,17,3,3
2020.4.8,95,17,3,8
2020.4.9,126,17,3,31
2020.4.10,137,19,3,11
2020.4.11,153,19,3,16
2020.4.12,155,19,5,3
2020.4.13,156,19,5,1
2020.4.14,180,19,5,13
2020.4.15,196,19,5,16
2020.4.16,214,21,7,18
2020.4.17,235,21,7,21
2020.4.18,257,21,7,22
2020.4.19,289,21,7,32
2020.4.20,294,24,7,5
2020.4.21,316,24,8,22
2020.4.22,342,25,10,26
2020.4.23,384,30,11,42
2020.4.24,430,30,11,46
2020.4.25,473,45,13,43
2020.4.26,500,49,15,27
2020.4.27,530,49,15,30
2020.4.28,557,62,16,27
2020.4.29,585,65,16,28
2020.4.30,599,66,16,14
2020.5.1,644,72,16,45
2020.5.2,688,72,17,44
2020.5.4,730,79,19,27
2020.5.5,763,79,19,33
2020.5.6,798,86,21,35
2020.5.7,832,90,23,34
2020.5.8,900,101,24,68
2020.5.10,1052,110,26,85
2020.5.12,1199,120,27,85
2020.5.13,1342,121,29,143
2020.5.14,1518,129,29,176
2020.5.15,1643,135,30,12
2020.5.16,1763,138,33,120
2020.5.17,1912,138,35,149
2020.5.18,1912,138,35,0
2020.5.19,2001,139,38,89
2020.5.20,2133,155,43,132
2020.5.21,2265,159,45,132
2020.5.22,2512,222,48,247
2020.5.23,2743,222,51,231
2020.5.24,3054,244,55,311
2020.5.25,3424,258,58,370
2020.5.26,3760,274,59,336
2020.5.27,3954,289,63,194
2020.5.28,4145,493,68,191
2020.5.29,4348,565,80,203
2020.5.30,4607,648,90,259
2020.5.31,4739,706,102,132
2020.6.1,5087,735,108,348
2020.6.2,5336,795,116,249
2020.6.3,5586,824,123,250
2020.6.4,5760,929,143,174
2020.6.5,6154,979,158,394
2020.6.6,6485,1053,216,331
2020.6.7,6792,1133,230,307
2020.6.8,7055,1261,252,263
2020.6.9,7502,1323,267,447
2020.6.10,7866,1413,289,364
2020.6.11,8221,1504,316,355
2020.6.12,8561,1567,334,340
2020.6.13,8982,1702,351,421
2020.6.14,9491,1804,367,509
2020.6.15,9845,1886,384,354
2020.6.16,10272,1966,399,427
2020.6.17,10706,2096,418,434
2020.6.18,11251,2200,432,545
2020.6.19,11868,2290,449,617
2020.6.20,12509,2419,483,641
2020.6.21,12755,2558,514,246
2020.6.22,13145,2711,531,390
2020.6.23,13769,2818,547,624
2020.6.24,14540,2897,582,771
2020.6.25,14819,2930,601,279
2020.6.26,15619,2949,623,800
2020.6.27,15828,3028,672,209
2020.6.28,16397,3123,706,569
2020.6.29,16930,3152,727,533
2020.6.30,17409,3170,746,479
2020.7.1,18096,3194,773,687
2020.7.2,19011,3231,817,915
2020.7.3,20072,3279,843,1061
2020.7.4,21293,3315,880,1221
2020.7.5,22501,3330,920,1208
2020.7.6,23248,3382,947,747
2020.7.7,23972,3429,981,724
2020.7.8,24787,3575,1004,815
2020.7.9,25411,3718,1053,624
2020.7.10,26658,3797,1092,1247
2020.7.11,27619,4024,1139,961
2020.7.12,28598,4073,1172,979
2020.7.13,29355,4214,1219,757
2020.7.14,29742,4321,1244,387
2020.7.15,30872,4453,1302,1130
2020.7.16,32074,4624,1350,1202
2020.7.17,32939,4807,1404,865
2020.7.18,33809,4989,1443,870
2020.7.19,38042,23365,1449,4233
2020.7.20,38677,23365,1485,635
2020.7.21,39039,25539,1502,362
2020.7.22,40229,26685,1531,1190
2020.7.23,41135,27756,1573,906
2020.7.24,42192,28856,1632,1057
2020.7.25,43283,30150,1669,1091
2020.7.26,44492,31045,1699,1209
2020.7.27,45053,31612,1734,561
2020.7.28,45309,32455,1761,256
2020.7.29,46451,33494,1782,1142
2020.7.30,47605,34488,1835,1154
2020.7.31,48826,35629,1867,1221
2020.8.1,49789,36816,1924,963
2020.8.2,50979,37873,1959,1190
2020.8.3,51306,38416,1995,327
2020.8.4,52365,40285,2037,1059
2020.8.5,53509,41199,2072,1144
2020.8.6,53509,41199,2072,0
2020.8.7,55270,43135,2168,1761
2020.8.8,56189,44072,2197,919
2020.8.9,56189,44072,2197,0
2020.8.10,56605,44598,2211,416
2020.8.11,56987,45589,2222,382
2020.8.12,57966,46442,2233,979
2020.8.13,59089,47394,2267,1123
2020.8.14,60284,48305,2296,1195
2020.8.15,61428,49355,2341,1144
2020.8.16,62313,50183,2355,885
2020.8.17,62944,51530,2389,631
2020.8.18,62944,51530,2389,0
2020.8.19,63847,52370,2419,903
2020.8.20,64881,53362,2467,1034
2020.8.21,65983,54351,2506,1102
2020.8.22,67856,56277,2580,1873
2020.8.23,67856,56277,2580,0
2020.8.24,68188,56778,2594,332
2020.8.25,68533,57735,2611,345
2020.8.26,69651,57891,2630,1118
2020.8.27,70714,58783,2662,1063
2020.8.28,71856,59641,2685,1142
2020.8.29,72921,60534,2709,1065
2020.8.30,73679,61163,2728,758
2020.8.31,73912,61681,2740,233
2020.9.1,74074,62068,2760,162
2020.9.2,74893,62935,2778,819
2020.9.3,76358,64399,2804,1465
2020.9.4,76358,64399,2804,0
2020.9.5,77040,65029,2825,682
2020.9.6,77481,65595,2845,441
2020.9.7,77683,66131,2852,202
2020.9.8,77828,66584,2862,145
2020.9.9,78721,67462,2890,893
2020.9.10,79622,68308,2897,901
2020.9.11,80306,68927,2918,684
2020.9.12,81009,69703,2929,703
2020.9.13,81658,70403,2949,649
2020.9.14,81909,70927,2957,251
2020.9.15,82172,71352,2972,263
2020.9.16,82684,71983,2984,512
2020.9.17,82924,72562,3009,240
2020.9.18,83664,73260,3036,740
2020.9.19,84344,73748,3076,680
2020.9.20,85152,74497,3105,808
2020.9.21,85444,74859,3119,292
2020.9.22,85681,75172,3124,237
2020.9.23,87442,76459,3154,1761
2020.9.24,87933,76459,3170,491
2020.9.25,88878,77750,3186,945
2020.9.26,89702,78284,3213,824
2020.9.27,90092,78698,3229,390
2020.9.28,90263,79067,3234,171
2020.9.29,90263,79067,3234,0
2020.9.30,91746,80256,3246,1483
2020.10.1,92409,80800,3261,663
2020.10.2,93090,81466,3267,681
2020.10.3,93748,82040,3285,658
2020.10.4,93963,82454,3293,215
2020.10.5,94182,82828,3302,219
2020.10.6,94870,83480,3310,688
2020.10.7,95704,84036,3335,834
2020.10.8,96480,84738,3347,776
2020.10.9,96935,85343,3356,455
2020.10.10,97544,86046,3365,609
2020.10.11,97715,86582,3384,171
2020.10.12,97826,87016,3387,111
2020.10.13,98380,87744,3410,554
2020.10.14,99094,88416,3430,714
2020.10.15,99765,88931,3453,671
2020.10.16,100431,89494,3478,666
2020.10.17,101028,90001,3515,597
2020.10.18,101360,90610,3530,332
2020.10.19,101599,91032,3541,239
2020.10.20,102219,91604,3546,620
2020.10.21,102219,91604,3546,0
2020.10.22,103172,92665,3580,953
2020.10.23,103902,93341,3594,730
2020.10.24,104632,93880,3609,730
2020.10.25,104632,93880,3609,0
2020.10.26,104894,94530,3651,262
2020.10.27,105571,95206,3665,677
2020.10.28,106320,95752,3682,749
2020.10.29,106790,96187,3704,470
2020.10.30,107339,96752,3714,549
2020.10.31,107339,96752,3714,0
2020.11.1,108104,97756,3738,765
2020.11.2,108104,97756,3738,0
2020.11.3,108104,97756,3738,0
2020.11.4,109147,99167,3752,1043
2020.11.5,109849,99753,3766,702
2020.11.6,110502,100319,3794,653
2020.11.7,111050,100808,3811,548
2020.11.8,111262,101135,3821,212
2020.11.9,111262,101135,3821,0
2020.11.10,112129,102140,3832,867
2020.11.11,112811,102643,3845,682
2020.11.12,113543,103174,3858,732
2020.11.13,114123,103685,3880,580
2020.11.14,114719,104134,3920,596
2020.11.15,114885,104438,3932,166
2020.11.16,115032,104786,3938,147
2020.11.17,115032,104786,3938,0
2020.11.18,115730,105355,3947,698
2020.11.19,117066,106305,4050,1336
2020.11.20,117757,106725,4067,691
2020.11.21,118417,107241,4074,660
2020.11.22,118629,107413,4076,212
2020.11.23,118722,107819,4092,93
2020.11.24,119349,108338,4099,627
2020.11.25,119989,108854,4107,640
2020.11.26,120685,109306,4133,696
2020.11.27,121132,109619,4141,447
2020.11.28,121132,109619,4141,0
2020.11.29,121798,110209,4161,666
2020.11.30,122062,110944,4171,264
2020.12.1,122774,111574,4178,712
2020.12.2,123460,112181,4191,686
2020.12.3,124053,112719,4209,593
2020.12.4,124805,113273,4224,752
2020.12.5,125352,113870,4239,547
2020.12.6,125550,114315,4250,198
2020.12.7,125550,114315,4250,0
2020.12.8,126473,115406,4286,923
2020.12.9,127127,115931,4311,654
2020.12.10,127786,116442,4345,659
2020.12.11,128541,117013,4376,755
2020.12.12,129099,117615,4405,558
2020.12.13,129282,117923,4423,183
2020.12.14,129405,118217,4445,123
2020.12.15,130082,118793,4476,677
2020.12.16,130828,119288,4510,746
2020.12.17,131435,119748,4551,607
2020.12.18,132062,120257,4589,627
2020.12.19,132595,120715,4624,533
2020.12.20,132765,120994,4656,170
2020.12.21,132867,121337,4688,102
2020.12.22,133601,121936,4718,734
2020.12.23,134256,122438,4739,655
2020.12.24,134894,122965,4749,638
2020.12.25,135080,123345,4757,186
2020.12.26,135171,123893,4763,91
2020.12.27,135309,124267,4768,138
2020.12.28,135441,124604,4773,132
2020.12.29,135441,124604,4773,0
2020.12.30,137166,125630,4803,1725
2020.12.31,137166,125630,4803,0
2021.1.1,138012,126028,4813,846
2021.1.2,138236,126606,4820,224
2021.1.3,138475,127450,4833,239
2021.1.4,138656,127797,4835,181
2021.1.5,138656,127797,4835,0
2021.1.6,140202,128952,4899,1546
2021.1.7,141074,129542,4928,872
2021.1.8,141074,129542,4928,0
2021.1.9,143127,130549,4999,2053
2021.1.10,143127,130549,4999,0
2021.1.11,143243,131017,5025,116
2021.1.12,143243,131017,5025,0
2021.1.13,145986,132507,5117,2743
2021.1.14,146937,133082,5151,951
2021.1.15,146937,133082,5151,0
2021.1.16,147560,133217,5177,623
2021.1.17,148598,133788,5220,1038
2021.1.18,148888,134344,5254,290
2021.1.19,150277,135594,5313,1389
2021.1.20,151324,136244,5343,1047
2021.1.21,152395,136980,5389,1071
2021.1.22,152395,136980,5389,0
2021.1.23,152956,137092,5420,561
2021.1.24,153890,137711,5456,934
2021.1.25,154212,138460,5465,322
2021.1.26,154430,139113,5469,218
2021.1.27,155459,140308,5486,1029
2021.1.28,156497,141481,5513,1038
2021.1.29,157595,142320,5543,1098
2021.1.30,159118,143871,5618,1523
2021.1.31,159118,143871,5618,0
2021.2.1,159504,144595,5643,386
2021.2.2,159632,145165,5673,128
2021.2.3,160299,146019,5709,667
2021.2.4,160966,146715,5736,667
2021.2.5,161665,147486,5785,699
2021.2.6,162295,148133,5816,630
2021.2.7,162937,148917,5854,642
2021.2.8,163137,149342,5884,200
2021.2.9,163993,150544,5955,856
2021.2.10,163993,150544,5955,0
2021.2.11,164746,151319,5989,753
2021.2.12,165532,152210,6023,786
2021.2.13,166283,152920,6057,751
2021.2.14,167071,153614,6094,788
2021.2.15,167383,154446,6150,312
2021.2.16,167383,154446,6150,0
2021.2.17,168880,155920,6164,1497
2021.2.18,168880,155920,6164,0
2021.2.19,169610,156617,6186,730
2021.2.20,170275,157198,6220,665
2021.2.21,170931,157794,6249,656
2021.2.22,171170,158201,6282,239
2021.2.23,171289,158501,6306,119
2021.2.24,172072,159206,6315,783
2021.2.25,173142,160047,6334,1070
2021.2.26,173814,160576,6348,672
2021.2.27,174335,161129,6374,521
2021.2.28,174542,161511,6393,207
2021.3.1,174542,161511,6393,0
2021.3.2,174653,161816,6402,111
2021.3.3,175411,162481,6412,758
2021.3.4,176250,163009,6427,839
2021.3.5,176876,163544,6435,626
2021.3.6,177716,164067,6455,840
2021.3.7,178337,164564,6467,621
2021.3.8,178560,164940,6473,223
2021.3.9,179563,165897,6493,1003
2021.3.10,179563,165897,6493,0
2021.3.11,180393,166410,6522,830
2021.3.12,181143,166923,6531,750
2021.3.13,181974,167425,6546,831
2021.3.14,182679,167895,6571,705
2021.3.15,182881,168338,6568,202
2021.3.16,183014,168627,6578,133
2021.3.17,183985,169149,6599,971
