date,累计确诊,治愈,死亡,新增确诊
2020.4.8,4550,140,242,455
2020.4.9,4965,339,272,515
2020.4.10,7161,368,297,2196
2020.4.11,7257,411,315,96
2020.4.12,7466,501,333,189
2020.4.13,7529,597,355,63
2020.4.14,7603,696,369,74
2020.4.15,7858,780,388,255
2020.4.16,8225,838,403,367
2020.4.17,8450,838,421,225
2020.4.18,9022,1008,456,572
2020.4.19,9468,1061,474,446
2020.4.20,10128,1150,507,660
2020.4.21,10398,1207,520,270
2020.4.22,10850,1262,537,452
2020.4.23,11183,1328,560,333
2020.4.24,18778,1366,576,7595
2020.4.27,19229,1557,663,521
2020.4.28,20317,1557,871,1018
2020.4.29,20734,1557,883,417
2020.4.30,20993,1558,900,259
2020.5.1,22395,1913,1063,1402
2020.5.2,23523,2132,1371,1128
2020.5.3,25597,3300,1564,2074
2020.5.4,27940,3433,1569,2343
2020.5.5,27940,3433,1569,1030
2020.5.6,27940,3433,1618,0
2020.5.7,28818,3433,1654,878
2020.5.12,30419,3433,2327,910
2020.5.15,31467,3433,2594,965
2020.5.16,32763,3433,2688,1296
2020.5.17,33182,3433,2736,419
2020.5.18,33182,3433,2736,0
2020.5.19,33582,3433,2799,400
2020.5.20,34151,3457,2839,569
2020.5.21,34854,3557,2888,703
2020.5.22,35306,3557,2939,452
2020.5.23,35828,3557,3056,522
2020.5.24,36258,3557,3096,430
2020.5.25,36756,3560,3108,498
2020.5.26,37355,18003,3203,599
2020.5.27,37355,18003,3203,0
2020.5.28,38103,18425,3275,748
2020.5.29,38471,18425,3313,368
2020.5.30,38571,19190,3334,100
2020.5.31,38571,19190,3334,0
2020.6.1,39098,19592,3358,527
2020.6.2,39994,19823,3394,896
2020.6.3,40414,20019,3438,420
2020.6.4,40966,20019,3486,552
2020.6.5,40966,20019,3486,0
2020.6.6,41575,20568,3534,609
2020.6.7,42728,21020,3608,1153
2020.6.8,43120,21020,3621,392
2020.6.9,43378,21020,3642,258
2020.6.10,43917,21020,3690,539
2020.6.11,44440,21862,3720,523
2020.6.12,44440,21862,3720,0
2020.6.13,45778,22679,3828,1338
2020.6.14,46356,22865,3874,578
2020.6.15,46751,23064,3896,395
2020.6.16,47322,23349,3929,571
2020.6.17,47943,23684,3970,621
2020.6.18,48490,23881,4007,547
2020.6.19,49097,24123,4087,607
2020.6.20,49731,24446,4156,634
2020.6.21,49731,24446,4156,0
2020.6.22,50640,24991,4223,909
2020.6.23,50640,24991,4223,0
2020.6.24,51643,24991,4274,1003
2020.6.25,51643,24991,4274,0
2020.6.26,53156,26097,4343,1513
2020.6.27,53856,26493,4406,700
2020.6.28,54574,26920,4424,718
2020.6.29,55255,27058,4429,681
2020.6.30,55665,27430,4502,410
2020.7.1,56432,27594,4527,767
2020.7.2,58257,27887,4576,1825
2020.7.3,59468,28032,4639,1211
2020.7.4,60657,28391,4700,1189
2020.7.5,61535,28507,4769,878
2020.7.6,61958,28722,4781,423
2020.7.7,62380,28872,4821,422
2020.7.8,63245,29071,4873,865
2020.7.9,64221,29184,4900,976
2020.7.10,64221,29184,4900,0
2020.7.11,65018,29577,4939,797
2020.7.12,67209,30107,5031,2191
2020.7.13,67870,30283,5047,661
2020.7.14,68459,30369,5063,589
2020.7.15,69570,30484,5130,1111
2020.7.16,70329,30641,5158,759
2020.7.17,71365,31260,5207,1036
2020.7.18,72444,31404,5250,1079
2020.7.19,73382,31757,5282,938
2020.7.20,74013,31901,5313,631
2020.7.21,74620,31955,5318,607
2020.7.22,76217,32725,5366,1597
2020.7.23,77257,33125,5418,1040
2020.7.24,78148,33455,5439,891
2020.7.25,80036,34544,5507,1888
2020.7.26,80036,34544,5507,0
2020.7.27,80694,34896,5515,658
2020.7.28,81161,34896,5532,467
2020.7.29,82279,35283,5584,1118
2020.7.30,83193,35572,5623,914
2020.7.31,84370,35824,5657,1177
2020.8.1,85355,36044,5702,985
2020.8.2,86232,36213,5736,877
2020.8.3,86524,36213,5750,292
2020.8.4,87041,59344,5767,517
2020.8.5,87963,70985,5808,922
2020.8.6,88866,71168,5847,903
2020.8.7,90537,71318,5877,1671
2020.8.8,91969,71463,5897,1432
2020.8.9,93572,71605,5916,1603
2020.8.10,94459,78552,5922,887
2020.8.11,94701,78608,5932,242
2020.8.12,95563,78610,5951,862
2020.8.13,97110,78887,5984,1547
2020.8.14,98343,78957,6010,1233
2020.8.15,99409,79176,6030,1066
2020.8.16,100688,79354,6065,1279
2020.8.17,101542,87022,6070,854
2020.8.18,101751,87120,6083,209
2020.8.19,102941,87183,6105,1190
2020.8.20,104475,87277,6146,1534
2020.8.21,105508,87660,6200,1033
2020.8.22,106481,87730,6248,973
2020.8.23,107089,87889,6277,608
2020.8.24,107769,94816,6310,680
2020.8.25,108289,94878,6322,520
2020.8.26,109030,95025,6368,741
2020.8.27,110549,95097,6410,1519
2020.8.28,111219,95202,6471,670
2020.8.29,112141,95311,6504,922
2020.8.30,112906,95429,6537,765
2020.8.31,113648,101620,6555,742
2020.9.1,113767,101669,6556,119
2020.9.2,114309,101723,6571,542
2020.9.3,115457,101867,6619,1148
2020.9.4,116360,102051,6648,903
2020.9.5,117175,102200,6674,815
2020.9.6,118045,102304,6724,870
2020.9.7,109784,91242,10524,0
2020.9.8,110092,91242,10576,308
2020.9.9,110757,91242,10627,665
2020.9.10,112166,91242,10701,1409
2020.9.11,113206,91242,10749,1040
2020.9.12,114732,91242,10836,1526
2020.9.13,116451,91242,10864,1719
2020.9.14,118594,97063,10903,2143
2020.9.15,118911,97063,10922,317
2020.9.16,119553,97063,10963,642
2020.9.17,121525,97063,10996,1972
2020.9.18,122257,97063,11029,732
2020.9.19,124129,97063,11044,1872
2020.9.20,125620,97063,11084,1491
2020.9.21,126419,102852,11090,799
2020.9.22,126711,102852,11095,292
2020.9.23,127643,102852,11126,932
2020.9.24,129892,102852,11171,2249
2020.9.25,131146,102852,11213,1254
2020.9.26,132475,102852,11236,1329
2020.9.27,133981,102852,11273,1506
2020.9.28,134747,112296,11279,766
2020.9.29,134965,112296,11280,218
2020.9.30,135749,112296,11312,784
2020.10.1,137047,112296,11355,1298
2020.10.2,138584,112296,11433,1537
2020.10.3,139534,112296,11495,950
2020.10.4,140351,112296,11597,817
2020.10.5,141034,120511,11647,683
2020.10.6,141339,120511,11681,305
2020.10.7,142056,120511,11702,717
2020.10.8,143531,120511,11743,1475
2020.10.9,145045,120511,12141,1514
2020.10.10,145848,120511,12175,803
2020.10.11,146828,120511,12188,980
2020.10.12,147033,128134,12191,205
2020.10.13,147315,128134,12218,282
2020.10.14,148171,128134,12235,856
2020.10.15,149083,128134,12264,912
2020.10.16,150360,128134,12306,1277
2020.10.17,151659,128134,12357,1299
2020.10.18,152422,128134,12375,763
2020.10.19,153289,134187,12387,867
2020.10.20,153423,134187,12395,134
2020.10.21,154115,134187,12404,692
2020.10.22,155625,134187,12453,1510
2020.10.23,156451,134187,12500,826
2020.10.24,159614,134187,12542,3163
2020.10.25,159614,134187,12542,0
2020.10.26,161635,141759,12553,2021
2020.10.27,162178,141759,12573,543
2020.10.28,163192,141759,12588,1014
2020.10.29,164908,141759,12608,1716
2020.10.30,166302,141759,12622,1394
2020.10.31,167147,141759,12632,845
2020.11.1,168192,141759,12670,1045
2020.11.2,169194,149048,12684,1002
2020.11.3,169562,149048,12692,368
2020.11.4,170110,149048,12698,548
2020.11.5,171433,149048,12704,1323
2020.11.6,171783,149048,12730,350
2020.11.7,172508,149048,12761,725
2020.11.8,173486,149048,12815,978
2020.11.9,174907,154956,12830,1421
2020.11.10,175269,154956,12839,362
2020.11.11,175711,154956,12849,442
2020.11.12,176630,154956,12920,919
2020.11.13,177513,154956,12946,883
2020.11.14,178674,154956,12977,1161
2020.11.15,179627,154956,12997,953
2020.11.16,180295,160639,13008,668
2020.11.17,180676,160639,13016,381
2020.11.18,181104,160639,13025,428
2020.11.19,182250,160639,13052,1146
