date,累计确诊,治愈,死亡,新增确诊
2020.4.8,33,0,0,2
2020.4.10,34,0,0,1
2020.4.14,35,0,0,1
2020.4.18,39,3,0,4
2020.4.21,39,6,0,0
2020.4.24,39,11,0,0
2020.4.25,39,13,0,0
2020.4.28,39,19,0,0
2020.4.30,39,26,0,0
2020.5.5,39,30,0,0
2020.5.15,39,39,0,0
2020.5.16,39,39,0,0
2020.5.17,39,39,0,0
2020.5.18,39,39,0,0
2020.5.19,39,39,0,0
2020.5.20,39,39,0,0
2020.5.21,39,39,0,0
2020.5.22,39,39,0,0
2020.5.23,39,39,0,0
2020.5.24,39,39,0,0
2020.5.25,39,39,0,0
2020.5.26,39,39,0,0
2020.5.27,39,39,0,0
2020.5.28,39,39,0,0
2020.5.29,39,39,0,0
2020.5.30,39,39,0,0
2020.5.31,39,39,0,0
2020.6.1,39,39,0,0
2020.6.2,39,39,0,0
2020.6.3,39,39,0,0
2020.6.4,39,39,0,0
2020.6.5,39,39,0,0
2020.6.6,39,39,0,0
2020.6.7,39,39,0,0
2020.6.8,39,39,0,0
2020.6.9,39,39,0,0
2020.6.10,39,39,0,0
2020.6.11,41,39,0,2
2020.6.12,41,39,0,0
2020.6.13,41,39,0,0
2020.6.14,65,39,0,24
2020.6.15,96,39,0,31
2020.6.16,109,39,0,13
2020.6.17,121,39,0,12
2020.6.18,131,39,0,10
2020.6.19,142,39,0,11
2020.6.20,142,39,0,0
2020.6.21,143,39,0,1
2020.6.22,143,39,0,0
2020.6.23,143,39,0,0
2020.6.24,143,39,0,0
2020.6.25,144,39,0,1
2020.6.26,144,39,0,0
2020.6.27,167,53,0,23
2020.6.28,191,53,0,24
2020.6.29,191,53,0,0
2020.6.30,191,53,0,0
2020.7.1,203,53,0,12
2020.7.2,203,56,0,0
2020.7.3,215,56,0,12
2020.7.4,215,56,0,0
2020.7.5,215,56,0,0
2020.7.6,215,56,0,0
2020.7.7,215,56,0,0
2020.7.8,215,56,0,0
2020.7.9,215,56,0,0
2020.7.10,232,107,0,17
2020.7.11,232,107,0,0
2020.7.12,232,107,0,0
2020.7.13,232,107,0,0
2020.7.14,232,107,0,0
2020.7.15,232,107,0,0
2020.7.16,232,107,0,0
2020.7.17,251,149,0,19
2020.7.18,251,155,0,0
2020.7.19,251,155,0,0
2020.7.20,251,155,0,0
2020.7.21,251,155,0,0
2020.7.22,251,155,0,0
2020.7.23,251,155,0,0
2020.7.24,261,189,0,10
2020.7.25,261,189,0,0
2020.7.26,263,189,0,2
2020.7.27,263,189,0,0
2020.7.28,265,191,0,2
2020.7.29,265,191,0,0
2020.7.30,265,191,0,0
2020.7.31,279,225,0,14
2020.8.1,279,225,0,0
2020.8.2,279,225,0,0
2020.8.3,279,225,0,0
2020.8.4,282,225,0,3
2020.8.5,282,225,0,0
2020.8.6,282,225,0,0
2020.8.7,282,225,0,0
2020.8.8,285,245,0,3
2020.8.9,285,245,0,0
2020.8.10,285,245,0,0
2020.8.11,285,248,0,0
2020.8.12,285,248,0,0
2020.8.13,285,248,0,0
2020.8.14,285,248,0,0
2020.8.15,285,248,0,0
2020.8.16,285,248,0,0
2020.8.17,285,248,0,0
2020.8.18,285,248,0,0
2020.8.19,304,261,0,19
2020.8.20,304,261,0,0
2020.8.21,306,274,0,2
2020.8.22,306,274,0,0
2020.8.23,306,274,0,0
2020.8.24,306,274,0,0
2020.8.25,306,274,0,0
2020.8.26,315,276,0,9
2020.8.27,315,276,0,0
2020.8.28,317,284,0,2
2020.8.29,317,284,0,0
2020.8.30,318,284,0,1
2020.8.31,318,284,0,0
2020.9.1,319,284,0,1
2020.9.2,319,284,0,0
2020.9.3,319,284,0,0
2020.9.4,330,295,0,11
2020.9.5,330,295,0,0
2020.9.6,330,295,0,0
2020.9.7,330,295,0,0
2020.9.8,330,295,0,0
2020.9.9,341,295,0,11
2020.9.10,341,295,0,0
2020.9.11,361,304,0,20
2020.9.12,361,304,0,0
2020.9.13,361,304,0,0
2020.9.14,361,304,0,0
2020.9.15,361,304,0,0
2020.9.16,364,305,0,3
2020.9.17,364,305,0,0
2020.9.18,364,305,0,0
2020.9.19,364,305,0,0
2020.9.20,364,305,0,0
2020.9.21,364,305,0,0
2020.9.22,364,305,0,0
2020.9.23,364,309,0,0
2020.9.24,364,309,0,0
2020.9.25,369,330,0,5
2020.9.26,369,330,0,0
2020.9.27,375,341,0,6
2020.9.28,375,341,0,0
2020.9.29,375,341,0,0
2020.9.30,375,341,0,0
2020.10.1,375,341,0,0
2020.10.2,381,353,0,6
2020.10.3,381,353,0,0
2020.10.4,398,358,0,17
2020.10.5,398,358,0,0
2020.10.6,398,358,0,0
2020.10.7,398,358,0,0
2020.10.8,405,364,0,7
2020.10.9,405,364,0,0
2020.10.10,405,364,0,0
2020.10.11,414,372,0,9
2020.10.12,414,372,0,0
2020.10.13,414,372,0,0
2020.10.14,414,372,0,0
2020.10.15,414,372,0,0
2020.10.16,422,376,0,8
2020.10.17,452,388,0,30
2020.10.18,452,388,0,0
2020.10.19,452,388,0,0
2020.10.20,452,388,0,0
2020.10.21,452,388,0,0
2020.10.22,457,391,0,5
2020.10.23,457,391,0,0
2020.10.24,461,405,0,4
2020.10.25,461,405,0,0
2020.10.26,461,405,0,0
2020.10.27,461,405,0,0
2020.10.28,461,405,0,0
2020.10.29,461,405,0,0
2020.10.30,463,412,0,2
2020.10.31,463,412,0,0
2020.11.1,463,412,0,0
2020.11.2,463,412,0,0
2020.11.3,480,426,0,17
2020.11.4,480,426,0,0
2020.11.5,480,426,0,0
2020.11.6,484,429,0,4
2020.11.7,484,429,0,0
2020.11.8,491,438,0,7
2020.11.9,491,438,0,0
2020.11.10,491,438,0,0
2020.11.11,491,438,0,0
2020.11.12,491,438,0,0
2020.11.13,493,444,0,2
2020.11.14,493,444,0,0
2020.11.15,493,444,0,0
2020.11.16,493,444,0,0
2020.11.17,518,451,0,25
2020.11.18,518,451,0,0
2020.11.19,518,451,0,0
2020.11.20,527,456,0,9
2020.11.21,551,473,0,24
2020.11.22,551,473,0,0
2020.11.23,551,473,0,0
2020.11.24,558,473,0,7
2020.11.25,558,473,0,0
2020.11.26,566,477,0,8
2020.11.27,566,477,0,0
2020.11.28,577,498,0,11
2020.11.29,577,498,0,0
2020.11.30,577,498,0,0
2020.12.1,577,498,0,0
2020.12.2,577,498,0,0
2020.12.3,577,498,0,0
2020.12.4,594,498,0,17
2020.12.5,632,508,0,38
2020.12.6,632,508,0,0
2020.12.7,632,508,0,0
2020.12.8,649,517,0,17
2020.12.9,649,517,0,0
2020.12.10,656,525,0,7
2020.12.11,656,525,0,0
2020.12.12,711,564,0,55
2020.12.13,711,564,0,0
2020.12.14,711,564,0,0
2020.12.15,711,564,0,0
2020.12.16,711,564,0,0
2020.12.17,711,564,0,0
2020.12.18,741,572,0,30
2020.12.19,754,580,0,13
2020.12.20,754,580,0,0
2020.12.21,754,580,0,0
2020.12.22,807,597,0,53
2020.12.23,832,599,1,25
2020.12.24,877,599,1,45
2020.12.25,951,600,1,74
2020.12.26,992,600,1,41
2020.12.27,1039,623,1,47
2020.12.28,1039,623,1,0
2020.12.29,1039,623,1,0
2020.12.30,1220,643,1,181
2020.12.31,1252,643,1,32
2021.1.1,1320,676,3,68
2021.1.2,1320,676,3,0
2021.1.3,1320,676,3,0
2021.1.4,1320,676,3,0
2021.1.5,1363,694,3,43
2021.1.6,1445,740,3,82
2021.1.7,1445,740,3,0
2021.1.8,1445,740,3,0
2021.1.9,1556,803,6,111
2021.1.10,1556,803,6,0
2021.1.11,1556,803,6,0
2021.1.12,1556,803,6,0
2021.1.13,1596,934,6,40
2021.1.14,1805,1014,6,209
2021.1.15,1877,1073,6,72
2021.1.16,1877,1073,6,0
2021.1.17,1877,1073,6,0
2021.1.18,1877,1073,6,0
2021.1.19,1877,1073,6,0
2021.1.20,1910,1234,6,33
2021.1.21,1910,1234,6,0
2021.1.22,1913,1304,6,3
2021.1.23,1940,1304,6,27
2021.1.24,1940,1304,6,0
2021.1.25,1940,1304,6,0
2021.1.26,1970,1530,7,30
2021.1.27,2085,1549,7,115
2021.1.28,2085,1549,7,0
2021.1.29,2085,1549,7,0
2021.1.30,2135,1594,7,50
2021.1.31,2135,1594,7,0
2021.2.1,2135,1594,7,0
2021.2.2,2267,1657,7,132
2021.2.3,2267,1657,7,0
2021.2.4,2309,1683,7,42
