date,累计确诊,治愈,死亡,新增确诊
2020.4.8,19,4,2,3
2020.4.11,25,5,2,6
2020.4.14,29,5,2,4
2020.4.15,33,5,2,4
2020.4.17,38,5,2,5
2020.4.19,39,5,3,1
2020.4.21,42,6,3,3
2020.4.25,42,11,3,0
2020.4.26,43,14,3,1
2020.5.1,44,27,3,1
2020.5.5,45,27,3,1
2020.5.12,48,29,3,2
2020.5.15,50,36,3,2
2020.5.16,51,36,3,1
2020.5.17,58,36,3,7
2020.5.18,58,36,3,0
2020.5.19,58,36,3,0
2020.5.20,58,36,3,0
2020.5.21,58,36,3,0
2020.5.22,58,36,3,0
2020.5.23,70,37,4,12
2020.5.24,86,41,4,16
2020.5.25,106,41,4,20
2020.5.26,121,41,4,15
2020.5.27,121,41,4,0
2020.5.28,121,43,4,0
2020.5.29,122,43,4,1
2020.5.30,122,43,4,0
2020.5.31,122,43,4,0
2020.6.1,123,46,5,1
2020.6.2,123,50,6,0
2020.6.3,123,50,6,0
2020.6.4,123,53,6,0
2020.6.5,124,53,6,1
2020.6.6,124,53,6,0
2020.6.7,125,58,6,1
2020.6.8,141,58,6,16
2020.6.9,144,62,6,3
2020.6.10,146,62,6,2
2020.6.11,152,68,6,6
2020.6.12,164,68,6,12
2020.6.13,170,71,6,6
2020.6.14,177,74,6,7
2020.6.15,177,74,6,0
2020.6.16,177,78,6,0
2020.6.17,177,78,7,0
2020.6.18,187,78,7,10
2020.6.19,187,78,7,0
2020.6.20,198,83,7,11
2020.6.21,204,83,7,6
2020.6.22,219,83,7,15
2020.6.23,219,86,7,0
2020.6.24,231,94,7,12
2020.6.25,242,96,7,11
2020.6.26,242,96,7,0
2020.6.27,256,102,9,14
2020.6.28,256,102,9,0
2020.6.29,269,102,9,13
2020.6.30,279,105,9,10
2020.7.1,293,110,9,14
2020.7.2,312,113,9,19
2020.7.3,328,123,10,16
2020.7.4,338,123,10,10
2020.7.5,358,126,13,20
2020.7.6,372,126,14,14
2020.7.7,372,126,14,0
2020.7.8,372,126,14,0
2020.7.9,372,126,14,0
2020.7.10,394,126,16,22
2020.7.11,394,126,16,0
2020.7.12,394,126,16,0
2020.7.13,417,136,19,23
2020.7.14,439,138,21,22
2020.7.15,439,138,21,0
2020.7.16,477,140,22,38
2020.7.17,477,140,22,0
2020.7.18,496,144,25,19
2020.7.19,496,144,25,0
2020.7.20,522,154,29,26
2020.7.21,522,154,29,0
2020.7.22,561,165,32,39
2020.7.23,584,174,35,23
2020.7.24,608,184,35,24
2020.7.25,608,184,35,0
2020.7.26,650,200,38,42
2020.7.27,650,200,38,0
2020.7.28,674,210,40,24
2020.7.29,694,220,40,20
2020.7.30,717,229,40,23
2020.7.31,738,229,41,21
2020.8.1,757,237,43,19
2020.8.2,780,237,43,23
2020.8.3,809,256,44,29
2020.8.4,847,268,46,38
2020.8.5,944,296,48,97
2020.8.6,944,296,48,0
2020.8.7,999,311,48,55
2020.8.8,1060,311,48,61
2020.8.9,1125,331,50,65
2020.8.10,1188,346,52,63
2020.8.11,1255,364,52,67
2020.8.12,1327,385,53,72
2020.8.13,1402,395,53,75
2020.8.14,1432,395,55,30
2020.8.15,1515,403,58,83
2020.8.16,1593,408,60,78
2020.8.17,1677,417,64,84
2020.8.18,1764,425,68,87
2020.8.19,1844,425,73,80
2020.8.20,1927,445,78,83
2020.8.21,2008,460,82,81
2020.8.22,2073,475,83,65
2020.8.23,2143,490,85,70
2020.8.24,2217,505,89,74
2020.8.25,2293,519,92,76
2020.8.26,2365,533,95,72
2020.8.27,2440,550,98,75
2020.8.28,2504,569,100,64
2020.8.29,2563,584,103,59
2020.8.30,2628,599,106,65
2020.8.31,2703,614,109,75
2020.9.1,2765,629,112,62
2020.9.2,2830,646,116,65
2020.9.3,2898,661,120,68
2020.9.4,2973,681,124,75
2020.9.5,3041,698,127,68
2020.9.6,3104,715,130,63
2020.9.7,3171,730,134,67
2020.9.8,3229,744,137,58
2020.9.9,3289,760,140,60
2020.9.10,3351,780,143,62
2020.9.11,3416,797,147,65
2020.9.12,3476,812,150,60
2020.9.13,3506,827,152,30
2020.9.14,3540,842,155,34
2020.9.15,3576,858,157,36
2020.9.16,3614,871,160,38
2020.9.17,3654,889,163,40
2020.9.18,3691,903,165,37
2020.9.19,3731,918,168,40
2020.9.20,3765,932,170,34
2020.9.21,3800,946,172,35
2020.9.22,3833,963,175,33
2020.9.23,3877,983,178,44
2020.9.24,3924,998,181,47
2020.9.25,3966,1013,183,42
2020.9.26,4001,1028,185,35
2020.9.27,4038,1048,188,37
2020.9.28,4072,1062,192,34
2020.9.29,4102,1074,194,30
2020.9.30,4148,1088,197,46
2020.10.1,4200,1103,200,52
2020.10.2,4247,1117,202,47
2020.10.3,4289,1130,203,42
2020.10.4,4329,1143,204,40
2020.10.5,4366,1155,205,37
2020.10.6,4411,1168,207,45
2020.10.7,4457,1183,209,46
2020.10.8,4504,1198,212,47
2020.10.9,4566,1212,215,62
2020.10.10,4616,1235,218,50
2020.10.11,4673,1271,221,57
2020.10.12,4718,1296,224,45
2020.10.13,4774,1331,228,56
2020.10.14,4826,1364,231,52
2020.10.15,4883,1389,234,57
2020.10.16,4931,1425,238,48
2020.10.17,4987,1456,241,56
2020.10.18,5033,1494,245,46
2020.10.19,5077,1528,248,44
2020.10.20,5134,1565,251,57
2020.10.21,5180,1596,254,46
2020.10.22,5224,1629,257,44
2020.10.23,5267,1655,260,43
2020.10.24,5319,1692,264,52
2020.10.25,5359,1722,267,40
2020.10.26,5408,1753,269,49
2020.10.27,5461,1788,272,53
2020.10.28,5528,1821,275,67
2020.10.29,5580,1861,278,52
2020.10.30,5633,1898,281,53
2020.10.31,5683,1937,285,50
2020.11.1,5728,1976,288,45
2020.11.2,5789,2021,292,61
2020.11.3,5843,2061,295,54
2020.11.4,5888,2100,298,45
2020.11.5,5964,2143,301,76
2020.11.6,6040,2195,305,76
2020.11.7,6102,2254,309,62
2020.11.8,6147,2302,313,45
2020.11.9,6215,2357,317,68
2020.11.10,6284,2405,321,69
2020.11.11,6352,2454,325,68
2020.11.12,6421,2504,329,69
2020.11.13,6486,2558,333,65
2020.11.14,6552,2609,337,66
2020.11.15,6613,2665,341,61
2020.11.16,6684,2714,345,71
2020.11.17,6759,2759,350,75
2020.11.18,6836,2817,354,77
2020.11.19,6919,2868,358,83
2020.11.20,6991,2924,363,72
2020.11.21,7079,2986,368,88
2020.11.22,7154,3043,372,75
2020.11.23,7225,3097,376,71
2020.11.24,7295,3155,380,70
2020.11.25,7369,3213,385,74
2020.11.26,7459,3271,391,90
2020.11.27,7542,3330,399,83
2020.11.28,7635,3389,404,93
2020.11.29,7715,3444,409,80
2020.11.30,7887,3560,417,82
2020.12.1,7887,3560,417,0
2020.12.2,7973,3624,422,86
2020.12.3,8059,3689,426,86
2020.12.4,8147,3748,432,88
2020.12.5,8233,3811,437,86
2020.12.6,8320,3879,442,87
2020.12.7,8403,3943,447,83
2020.12.8,8490,4000,452,87
2020.12.9,8580,4059,458,90
2020.12.10,8675,4114,465,95
2020.12.11,8787,4174,476,112
2020.12.12,8911,4243,491,124
2020.12.13,9041,4319,506,130
2020.12.14,9166,4376,518,125
2020.12.15,9302,4432,530,136
2020.12.16,9452,4494,543,150
2020.12.17,9603,4548,554,151
2020.12.18,9759,4616,571,156
2020.12.19,9928,4686,591,169
2020.12.20,10050,4737,601,122
2020.12.21,10195,4786,610,145
2020.12.22,10318,4835,621,123
2020.12.23,10442,4885,630,124
2020.12.24,10571,4927,641,129
2020.12.25,10701,4997,652,130
2020.12.26,10821,5048,660,120
2020.12.27,11033,5141,678,212
2020.12.28,11138,5192,686,105
2020.12.29,11138,5192,686,0
2020.12.30,11243,5248,696,105
2020.12.31,11344,5296,704,101
2021.1.1,11434,5350,711,90
2021.1.2,11526,5420,717,92
2021.1.3,11616,5485,723,90
2021.1.4,11710,5546,729,94
2021.1.5,11799,5615,734,89
2021.1.6,11890,5686,741,91
2021.1.7,11988,5753,747,98
2021.1.8,12084,5824,755,96
2021.1.9,12179,5889,763,95
2021.1.10,12274,5953,768,95
2021.1.11,12364,6029,774,90
2021.1.12,12462,6098,781,98
2021.1.13,12558,6185,790,96
2021.1.14,12660,6259,799,102
2021.1.15,12760,6329,809,100
2021.1.16,12850,6405,817,90
2021.1.17,12942,6474,824,92
2021.1.18,13036,6548,832,94
2021.1.19,13132,6624,841,96
2021.1.20,13224,6696,850,92
2021.1.21,13313,6773,858,89
2021.1.22,13398,6842,866,85
2021.1.23,13479,6918,873,81
2021.1.24,13557,6989,879,78
2021.1.25,13628,7056,885,71
2021.1.26,13697,7121,890,69
2021.1.27,13762,7185,895,65
2021.1.28,13823,7260,900,61
2021.1.29,13885,7329,906,62
2021.1.30,13944,7406,911,59
2021.1.31,13998,7481,916,54
2021.2.1,14048,7562,921,50
2021.2.2,14096,7644,926,48
2021.2.3,14142,7725,929,46
2021.2.4,14202,7807,933,60
2021.2.5,14267,7892,938,65
2021.2.6,14338,7974,943,71
2021.2.7,14408,8053,947,70
2021.2.8,14477,8134,952,69
2021.2.9,14551,8213,958,74
2021.2.10,14611,8288,961,60
2021.2.11,14668,8366,965,57
2021.2.12,14724,8438,968,56
2021.2.13,14765,8520,971,41
2021.2.14,14820,8600,975,55
2021.2.15,14863,8679,978,43
2021.2.16,14906,8754,981,43
2021.2.17,14951,8826,984,45
2021.2.18,15001,8903,987,50
2021.2.19,15045,8982,990,44
2021.2.20,15094,9064,994,49
2021.2.21,15143,9144,996,49
2021.2.22,15179,9221,998,36
2021.2.23,15230,9307,1001,51
2021.2.24,15282,9389,1004,52
2021.2.25,15343,9468,1008,61
2021.2.26,15405,9553,1014,62
2021.2.27,15467,9637,1018,62
2021.2.28,15533,9717,1023,66
2021.3.1,15588,9801,1027,55
2021.3.2,15642,9880,1032,54
2021.3.3,15696,9961,1039,54
2021.3.4,15753,10039,1045,57
2021.3.5,15815,10123,1050,62
2021.3.6,15870,10209,1054,55
2021.3.7,15925,10293,1058,55
2021.3.8,15981,10374,1063,56
2021.3.9,16042,10454,1068,61
2021.3.10,16117,10541,1074,75
2021.3.11,16187,10625,1079,70
2021.3.12,16257,10711,1085,70
2021.3.13,16328,10799,1090,71
2021.3.14,16401,10885,1094,73
2021.3.15,16478,10970,1099,77
2021.3.16,16556,11058,1104,78
2021.3.17,16656,11141,1110,100
2021.3.18,16776,11231,1120,120
2021.3.19,16925,11322,1130,149
2021.3.20,17077,11410,1141,152
2021.3.21,17240,11503,1153,163
2021.3.22,17411,11599,1163,171
2021.3.23,17583,11693,1175,172
2021.3.24,17743,11794,1183,160
2021.3.25,17896,11907,1195,153
2021.3.26,18046,12022,1206,150
2021.3.27,18201,12142,1216,155
2021.3.28,18356,12257,1227,155
2021.3.29,18498,12377,1239,142
2021.3.30,18638,12492,1247,140
2021.3.31,18775,12610,1254,137
2021.4.1,18909,12731,1265,134
2021.4.2,19039,12855,1274,130
2021.4.3,19164,12977,1288,125
2021.4.4,19284,13090,1299,120
2021.4.5,19404,13205,1313,120
2021.4.6,19526,13316,1323,122
2021.4.7,19641,13434,1332,115
2021.4.8,19761,13549,1342,120
2021.4.9,19883,13666,1352,122
2021.4.10,20008,13780,1360,125
2021.4.11,20118,13895,1368,110
2021.4.12,20226,14012,1378,108
2021.4.13,20331,14122,1385,105
2021.4.14,20435,14230,1392,104
2021.4.15,20555,14335,1402,120
2021.4.16,20713,14469,1414,158
2021.4.17,20856,14594,1423,143
2021.4.18,21004,14721,1437,148
2021.4.19,21142,14841,1446,138
2021.4.20,21279,14958,1456,137
