date,累计确诊,治愈,死亡,新增确诊
2020.4.8,457,27,12,61
2020.4.9,515,28,15,58
2020.4.10,564,51,15,49
2020.4.11,620,77,16,56
2020.4.12,669,92,18,42
2020.4.13,726,121,21,57
2020.4.14,766,132,21,40
2020.4.15,814,151,24,48
2020.4.16,862,171,27,48
2020.4.17,923,192,31,61
2020.4.18,986,227,32,63
2020.4.19,1035,255,34,49
2020.4.20,1087,285,36,52
2020.4.21,1137,309,38,50
2020.4.22,1189,341,40,52
2020.4.23,1235,365,43,46
2020.4.24,1285,416,49,50
2020.4.25,1337,437,51,52
2020.4.26,1369,501,54,32
2020.4.27,1389,525,56,20
2020.4.28,1437,575,58,48
2020.4.29,1467,617,58,30
2020.4.30,1501,681,61,34
2020.5.1,1537,714,64,36
2020.5.2,1611,765,66,74
2020.5.3,1649,827,67,38
2020.5.4,1668,876,69,19
2020.5.5,1685,954,69,17
2020.5.6,1703,1001,69,18
2020.5.7,1729,1031,73,26
2020.5.10,1766,1193,77,12
2020.5.12,1804,1277,78,21
2020.5.13,1810,1326,79,6
2020.5.15,1840,1425,79,10
2020.5.16,1862,1460,79,22
2020.5.17,1872,1495,79,10
2020.5.18,1881,1505,79,9
2020.5.19,1881,1505,79,0
2020.5.20,1887,1538,79,6
2020.5.21,1900,1573,79,13
2020.5.22,1916,1631,81,16
2020.5.23,1931,1671,81,15
2020.5.24,1941,1689,82,10
2020.5.25,1947,1704,82,6
2020.5.26,1963,1709,82,16
2020.5.27,1974,1724,82,11
2020.5.28,1983,1734,82,9
2020.5.29,2005,1760,82,22
2020.5.30,2025,1795,83,20
2020.5.31,2045,1809,83,20
2020.6.1,2083,1826,83,38
2020.6.2,2092,1827,83,9
2020.6.3,2107,1830,83,15
2020.6.4,2119,1839,83,12
2020.6.5,2119,1839,83,0
2020.6.6,2173,1855,83,54
2020.6.7,2191,1862,83,18
2020.6.8,2200,1868,83,9
2020.6.9,2205,1880,83,5
2020.6.10,2211,1886,83,6
2020.6.11,2219,1893,84,8
2020.6.12,2233,1902,84,14
2020.6.13,2233,1902,84,0
2020.6.14,2248,1948,84,15
2020.6.15,2262,1965,84,14
2020.6.16,2273,1994,84,11
2020.6.17,2280,1999,84,7
2020.6.18,2295,2020,85,15
2020.6.19,2305,2037,85,10
2020.6.20,2309,2071,85,4
2020.6.21,2309,2071,85,0
2020.6.22,2315,2113,85,6
2020.6.23,2318,2123,85,3
2020.6.24,2319,2130,85,1
2020.6.25,2321,2171,85,2
2020.6.26,2325,2180,85,4
2020.6.27,2330,2187,86,5
2020.6.28,2332,2201,86,2
2020.6.29,2340,2211,86,8
2020.6.30,2341,2214,86,1
2020.7.1,2348,2218,86,7
2020.7.2,2353,2221,86,5
2020.7.3,2353,2221,86,0
2020.7.4,2369,2227,86,16
2020.7.5,2372,2229,86,3
2020.7.6,2372,2229,86,0
2020.7.7,2380,2234,86,8
2020.7.8,2399,2242,86,19
2020.7.9,2403,2244,86,4
2020.7.10,2403,2244,86,0
2020.7.11,2420,2254,87,17
2020.7.12,2420,2254,87,0
2020.7.13,2428,2268,87,8
2020.7.14,2432,2275,87,4
2020.7.15,2432,2275,87,0
2020.7.16,2438,2277,87,6
2020.7.17,2444,2300,87,6
2020.7.18,2444,2300,87,0
2020.7.19,2445,2304,87,1
2020.7.20,2446,2308,87,1
2020.7.21,2449,2321,87,3
2020.7.22,2462,2326,87,13
2020.7.23,2466,2339,87,4
2020.7.24,2469,2341,87,3
2020.7.25,2469,2341,87,0
2020.7.26,2495,2349,87,26
2020.7.27,2495,2349,87,0
2020.7.28,2555,2352,87,60
2020.7.29,2588,2353,87,33
2020.7.30,2588,2353,87,0
2020.7.31,2608,2355,87,20
2020.8.1,2633,2367,87,25
2020.8.2,2646,2369,87,13
2020.8.3,2646,2369,87,0
2020.8.4,2701,2382,88,55
2020.8.5,2726,2396,88,25
2020.8.6,2775,2409,88,49
2020.8.7,2775,2409,88,0
2020.8.8,2829,2429,88,54
2020.8.9,2953,2451,88,124
2020.8.10,2953,2451,88,0
2020.8.11,3046,2460,88,93
2020.8.12,3093,2472,88,47
2020.8.13,3128,2504,88,35
2020.8.14,3174,2525,89,46
2020.8.15,3229,2547,88,55
2020.8.16,3316,2620,88,87
2020.8.17,3316,2620,88,0
2020.8.18,3364,2692,88,48
2020.8.19,3408,2794,88,44
2020.8.20,3482,2863,88,74
2020.8.21,3582,2951,89,100
2020.8.22,3617,3006,89,35
2020.8.23,3617,3006,89,0
2020.8.24,3682,3044,91,65
2020.8.25,3717,3079,91,35
