date,累计确诊,治愈,死亡,新增确诊
2020.4.8,280,35,4,10
2020.4.9,298,35,5,18
2020.4.10,339,44,5,41
2020.4.11,377,44,5,38
2020.4.12,377,54,5,38
2020.4.13,430,67,5,11
2020.4.14,449,78,5,19
2020.4.15,466,91,5,17
2020.4.16,489,114,5,23
2020.4.17,506,130,5,17
2020.4.18,554,133,5,48
2020.4.19,568,201,7,14
2020.4.20,590,216,7,22
2020.4.21,612,254,7,22
2020.4.22,631,302,8,19
2020.4.23,656,322,8,25
2020.4.24,665,345,8,9
2020.4.25,682,370,8,17
2020.4.26,695,395,8,13
2020.4.27,708,416,8,13
2020.4.28,729,437,8,21
2020.4.29,746,462,8,17
2020.4.30,756,504,8,10
2020.5.1,769,527,8,13
2020.5.2,795,564,10,26
2020.5.4,843,600,11,13
2020.5.5,871,614,12,28
2020.5.6,895,637,12,24
2020.5.7,906,650,12,11
2020.5.8,931,658,12,25
2020.5.12,1044,726,12,7
2020.5.14,1082,745,14,29
2020.5.15,1111,783,14,29
2020.5.16,1117,783,14,6
2020.5.17,1216,827,14,78
2020.5.18,1216,827,14,0
2020.5.19,1243,898,14,27
2020.5.20,1270,910,14,27
2020.5.21,1313,923,14,43
2020.5.22,1350,939,14,37
2020.5.23,1365,957,14,15
2020.5.24,1403,980,14,38
2020.5.25,1433,992,16,30
2020.5.26,1468,1015,16,35
2020.5.27,1520,1043,16,52
2020.5.28,1594,1066,16,74
2020.5.29,1662,1088,16,68
2020.5.30,1722,1113,16,60
2020.5.31,1748,1170,16,26
2020.6.1,1817,1181,16,69
2020.6.2,1845,1219,17,28
2020.6.3,1871,1265,20,26
2020.6.4,1899,1292,20,28
2020.6.5,1936,1340,22,37
2020.6.6,1974,1360,22,38
2020.6.7,2007,1425,22,33
2020.6.8,2032,1445,23,25
2020.6.9,2055,1483,24,23
2020.6.10,2093,1572,26,38
2020.6.11,2129,1630,26,36
2020.6.12,2166,1668,26,37
2020.6.13,2207,1722,27,41
2020.6.14,2285,1791,27,78
2020.6.15,2372,1813,27,87
2020.6.16,2472,1847,28,100
2020.6.17,2562,1902,30,90
2020.6.18,2657,1933,31,95
2020.6.19,2789,1961,32,132
2020.6.20,2981,1981,35,192
2020.6.21,3151,2011,37,170
2020.6.22,3356,2021,40,205
2020.6.23,3519,2054,41,163
2020.6.24,3726,2082,42,207
2020.6.25,3954,2112,43,228
2020.6.26,4204,2162,43,250
2020.6.27,4513,2212,46,309
2020.6.28,4748,2242,47,235
2020.6.29,5017,2294,50,269
2020.6.30,5296,2370,57,279
2020.7.1,5735,2443,62,439
2020.7.2,6261,2530,66,526
2020.7.3,6767,2655,76,506
2020.7.4,7094,2714,78,327
2020.7.5,7377,2802,88,283
2020.7.6,7691,2843,92,314
2020.7.7,8141,2916,99,450
2020.7.8,8486,2983,112,345
2020.7.9,8847,3053,116,361
2020.7.10,9358,3134,122,511
2020.7.11,9910,3236,125,552
2020.7.12,10629,3387,132,719
2020.7.13,11117,3460,147,488
2020.7.14,11444,3538,149,327
2020.7.15,11977,3660,160,533
2020.7.16,12498,3735,167,521
2020.7.17,13101,3821,173,603
2020.7.18,13101,3821,173,0
