date,累计确诊,治愈,死亡,新增确诊
2020.4.7,121,18,0,31
2020.4.8,140,28,1,5
2020.4.9,150,36,1,10
2020.4.12,298,41,2,83
2020.4.13,363,53,2,65
2020.4.15,435,71,2,72
2020.4.16,732,76,2,141
2020.4.19,846,102,2,114
2020.4.21,945,112,2,99
2020.4.22,986,252,2,12
2020.4.23,999,330,2,13
2020.4.24,1008,373,2,9
2020.4.25,1023,411,2,15
2020.4.27,1035,477,2,15
2020.4.28,1072,498,2,37
2020.4.30,1089,642,2,12
2020.5.1,1112,686,2,15
2020.5.3,1116,713,2,4
2020.5.5,1120,745,2,4
2020.5.6,1124,755,3,4
2020.5.7,1133,799,3,9
2020.5.9,1189,834,3,54
2020.5.12,1256,886,3,29
2020.5.14,1284,905,3,16
2020.5.15,1309,935,4,25
2020.5.16,1331,940,4,25
2020.5.17,1401,972,4,70
2020.5.18,1401,972,4,0
2020.5.19,1518,1033,7,117
2020.5.20,1618,1033,7,100
2020.5.21,1828,1052,9,210
2020.5.22,2047,1055,10,219
2020.5.23,2270,1064,10,223
2020.5.24,2270,1064,10,0
2020.5.25,2468,1079,14,198
2020.5.26,2468,1079,14,0
2020.5.27,2697,1185,18,229
2020.5.28,2914,1241,20,217
2020.5.29,2914,1241,20,0
2020.5.30,3194,1286,22,280
2020.5.31,3354,1504,24,160
2020.6.1,3569,1521,24,215
2020.6.2,3779,1607,25,210
2020.6.3,3935,1636,26,156
2020.6.4,4054,1685,26,119
2020.6.5,4054,1685,26,0
2020.6.6,4169,1815,26,115
2020.6.7,4207,1877,28,38
2020.6.8,4278,2013,31,71
2020.6.9,4331,2139,34,53
2020.6.10,4373,2260,34,42
2020.6.11,4398,2519,37,25
2020.6.12,4441,2730,38,43
2020.6.13,4449,2823,41,8
2020.6.14,4465,2950,43,16
2020.6.15,4465,2950,43,0
2020.6.16,4501,3183,43,36
2020.6.17,4539,3324,43,38
2020.6.18,4545,3411,43,6
2020.6.19,4557,3527,43,12
2020.6.20,4565,3565,45,8
2020.6.21,4582,3859,45,17
2020.6.22,4599,3952,48,17
2020.6.23,4599,3952,48,0
2020.6.24,4630,4182,52,31
2020.6.25,4635,4269,52,5
2020.6.26,4643,4348,52,8
2020.6.27,4643,4348,52,0
2020.6.28,4643,4348,52,0
2020.6.29,4656,4433,53,13
2020.6.30,4682,4524,54,26
2020.7.1,4704,4550,55,22
2020.7.2,4715,4564,55,11
2020.7.3,4736,4580,55,21
2020.7.4,4736,4580,55,0
2020.7.5,4736,4580,55,0
2020.7.6,4792,4593,55,56
2020.7.7,4878,4621,55,86
2020.7.8,4878,4621,55,0
2020.7.9,4889,4644,55,11
2020.7.10,4955,4671,56,66
2020.7.11,4968,4689,56,13
2020.7.12,4972,4712,56,4
2020.7.13,4977,4729,56,5
2020.7.14,4979,4743,56,2
2020.7.15,4979,4743,56,0
2020.7.16,4985,4765,56,6
2020.7.17,5003,4809,56,18
2020.7.18,5003,4809,56,0
2020.7.19,5011,4838,56,8
2020.7.20,5011,4838,56,0
2020.7.21,5027,4884,56,16
2020.7.22,5030,4904,58,3
2020.7.23,5030,4904,58,0
2020.7.24,5031,4927,58,1
2020.7.25,5039,4949,58,8
2020.7.26,5039,4949,58,0
2020.7.27,5050,4966,58,11
2020.7.28,5059,4977,58,9
2020.7.29,5081,4999,58,22
2020.7.30,5081,4999,58,0
2020.7.31,5081,4999,58,0
2020.8.1,5084,4999,58,3
2020.8.2,5161,5019,59,77
2020.8.3,5240,5028,59,79
2020.8.4,5248,5044,59,8
2020.8.5,5330,5057,59,82
2020.8.6,5330,5057,59,0
2020.8.7,5334,5066,59,4
2020.8.8,5338,5083,59,4
2020.8.9,5338,5083,59,0
