date,累计确诊,治愈,死亡,新增确诊
2020.4.7,709,53,7,35
2020.4.8,727,54,7,30
2020.4.9,781,60,8,54
2020.4.10,812,64,10,31
2020.4.11,865,81,10,53
2020.4.12,951,99,10,40
2020.4.13,1091,138,12,140
2020.4.14,1232,203,14,141
2020.4.15,1295,240,16,63
2020.4.16,1402,277,17,107
2020.4.17,1546,347,17,144
2020.4.18,1654,378,17,63
2020.4.19,1735,401,19,59
2020.4.20,1852,447,19,176
2020.4.21,1995,489,19,143
2020.4.22,2191,515,19,56
2020.4.23,2289,560,20,154
2020.4.24,2416,604,25,127
2020.4.25,2601,646,25,185
2020.4.26,2717,682,25,116
2020.4.27,2860,725,25,25
2020.4.28,3027,774,25,192
2020.4.29,3138,819,25,111
2020.4.30,3402,866,25,264
2020.5.1,3597,922,25,195
2020.5.2,3857,985,25,260
2020.5.3,3964,1084,27,44
2020.5.4,4049,1173,29,129
2020.5.5,4205,1279,29,156
2020.5.6,4422,1408,30,217
2020.5.7,4578,1518,30,156
2020.5.9,5056,1828,31,81
2020.5.10,5138,1941,31,115
2020.5.11,5207,2074,32,117
2020.5.12,5417,2223,32,138
2020.5.14,5571,2531,34,118
2020.5.15,5689,2988,34,118
2020.5.16,5850,3011,34,161
2020.5.17,6157,3256,34,307
2020.5.18,6440,3469,35,283
2020.5.19,6751,3572,35,311
2020.5.20,6969,3649,35,218
2020.5.21,7234,3777,35,265
2020.5.22,7597,4096,35,363
2020.5.23,7919,4214,35,322
2020.5.24,8322,4320,35,403
2020.5.25,8531,4506,35,209
2020.5.26,8969,4560,35,438
2020.5.27,9304,4746,37,335
2020.5.28,9576,4893,37,272
2020.5.29,9932,5057,37,356
2020.5.30,10382,5057,38,450
2020.5.31,10858,5404,40,476
2020.6.1,20791,10515,41,828
2020.6.2,21275,11181,44,484
2020.6.3,21689,11744,48,414
2020.6.4,22187,12433,52,498
2020.6.5,22638,12992,52,451
2020.6.6,23004,13429,53,366
2020.6.7,23341,13882,53,337
2020.6.8,23644,13882,56,303
2020.6.9,24039,15085,61,395
2020.6.10,24490,15706,67,451
2020.6.11,24930,16173,67,440
2020.6.12,25507,16617,70,577
2020.6.13,26180,16617,73,673
2020.6.14,26654,17293,77,474
2020.6.15,27230,17646,81,576
2020.6.16,27934,18156,88,704
2020.6.17,28578,18670,97,644
2020.6.18,29194,18943,100,616
2020.6.19,30066,19188,113,872
2020.6.20,30853,20084,118,787
2020.6.21,31673,20509,120,820
2020.6.22,32605,21000,127,932
2020.6.23,33523,21670,134,918
2020.6.24,34505,22363,136,982
2020.6.25,35461,22999,140,956
2020.6.26,36316,23616,150,855
2020.6.27,37362,23974,166,1046
2020.6.28,38210,24136,178,848
2020.6.29,39216,24482,188,1006
2020.6.30,40121,24482,188,905
2020.7.1,41065,25319,188,944
2020.7.2,42574,25533,188,1509
2020.7.3,44075,26251,188,1501
2020.7.4,45719,26750,188,1644
2020.7.5,47171,27030,188,1452
2020.7.6,48574,27334,188,1403
2020.7.7,49683,27657,264,1109
2020.7.8,51059,28402,264,1376
2020.7.9,53021,35137,264,1962
2020.7.10,54747,35137,264,1726
2020.7.11,56455,32500,264,1708
2020.7.12,58253,33814,264,1798
2020.7.13,59899,34190,375,1646
2020.7.14,61755,35911,375,1856
2020.7.15,63514,38008,375,1759
2020.7.16,65188,39066,375,1674
2020.7.17,66895,40256,375,1707
2020.7.18,68703,40256,375,1808
2020.7.19,70339,43029,375,1636
2020.7.20,71838,43029,375,1499
2020.7.21,73468,45376,585,1630
2020.7.22,75153,46790,585,1685
2020.7.23,76799,48220,585,1646
2020.7.24,78486,49488,585,1687
2020.7.25,80226,51260,585,1740
2020.7.26,81720,51823,585,1494
2020.7.27,83122,52571,585,1402
2020.7.28,84648,54404,585,1526
2020.7.29,86192,56638,793,1544
2020.7.30,87664,57815,793,1472
2020.7.31,89078,59517,793,1414
2020.8.1,90367,60825,793,1289
2020.8.2,91593,61839,793,1226
2020.8.3,92662,62511,793,1069
2020.8.4,93820,65132,1058,1158
2020.8.5,94882,67031,1058,1062
2020.8.6,95942,68871,1058,1060
2020.8.7,96922,70680,1058,980
2020.8.8,97829,71609,1058,907
2020.8.9,98701,72273,1058,872
2020.8.10,99442,72523,1058,741
2020.8.11,100164,73702,1269,722
2020.8.12,100855,74677,1269,691
2020.8.13,101372,76756,1269,517
2020.8.14,101848,78633,1269,476
2020.8.15,102287,80716,1269,439
2020.8.16,102696,81558,1269,409
2020.8.17,103033,82777,1269,337
2020.8.18,103300,84445,1269,267
2020.8.19,103571,86286,1415,271
2020.8.20,103815,86450,1415,244
2020.8.21,104071,87920,1415,256
2020.8.22,104313,89712,1415,242
2020.8.23,104543,91089,1415,230
2020.8.24,104718,92598,1415,175
2020.8.25,104902,93405,1523,184
2020.8.26,105075,93990,1523,173
2020.8.27,105243,94713,1523,168
2020.8.28,105408,95253,1523,165
2020.8.29,105558,95888,1523,150
2020.8.30,105684,96135,1523,126
2020.8.31,105795,96297,1523,111
2020.9.1,105872,96899,1523,77
2020.9.2,105944,97371,1588,72
2020.9.3,106032,97967,1588,88
2020.9.4,106121,98585,1588,89
2020.9.5,106225,99018,1588,104
2020.9.6,106301,99018,1588,76
2020.9.7,106361,99654,1588,60
2020.9.8,106425,99893,1588,64
2020.9.9,106498,100042,1634,73
2020.9.10,106584,100248,1634,86
2020.9.11,106661,100409,1634,77
2020.9.12,106729,100518,1634,68
2020.9.13,106803,100615,1634,74
2020.9.14,106855,100627,1634,52
2020.9.15,106920,100836,1634,65
2020.9.16,106984,101267,1671,64
2020.9.17,107056,101455,1671,72
2020.9.18,107134,101610,1671,78
2020.9.19,107199,101822,1671,65
2020.9.20,107262,101877,1671,63
2020.9.21,107307,101941,1671,45
2020.9.22,107374,102064,1671,67
2020.9.23,107450,102064,1699,76
2020.9.24,107529,102323,1699,79
2020.9.25,107590,102360,1699,61
2020.9.26,107659,102530,1699,69
2020.9.27,107723,102666,1699,64
2020.9.28,107775,102736,1699,52
2020.9.29,107833,102805,1699,58
2020.9.30,107908,102874,1725,75
2020.10.1,107979,102937,1725,71
2020.10.2,108044,103028,1725,65
2020.10.3,108106,103110,1725,62
2020.10.4,108177,103205,1725,71
2020.10.5,108236,103277,1725,59
2020.10.6,108296,103367,1725,60
2020.10.7,108362,103465,1746,66
2020.10.8,108454,103604,1746,92
2020.10.9,108561,103758,1746,107
2020.10.10,108663,103910,1746,102
2020.10.11,108757,103980,1746,94
2020.10.12,108831,104041,1746,74
2020.10.13,108901,104203,1746,70
2020.10.14,108984,104346,1768,83
2020.10.15,109094,104525,1768,110
2020.10.16,109202,104801,1768,108
2020.10.17,109302,104921,1768,100
2020.10.18,109406,105001,1768,104
2020.10.19,109508,105001,1768,102
2020.10.20,109623,105145,1768,115
2020.10.21,109766,105301,1796,143
2020.10.22,109907,105385,1796,141
2020.10.23,110086,105493,1796,179
2020.10.24,110250,105566,1796,164
2020.10.25,110402,105618,1796,152
2020.10.26,110542,105675,1796,140
2020.10.27,110684,105766,1796,142
2020.10.28,110832,105883,1825,148
2020.10.29,111100,106059,1825,268
2020.10.30,111492,106187,1825,392
2020.10.31,111953,106310,1825,461
2020.11.1,112418,106400,1825,465
2020.11.2,112860,106514,1825,442
2020.11.3,113309,106716,1857,449
2020.11.4,113741,106893,1857,432
2020.11.5,114235,107139,1857,494
2020.11.6,114826,107339,1857,591
2020.11.7,115439,107530,1857,613
2020.11.8,116162,107668,1857,723
2020.11.9,116772,107843,1857,610
2020.11.10,117336,108169,1857,564
2020.11.11,117904,108387,1857,568
2020.11.12,118491,108632,1899,587
2020.11.13,119129,108958,1899,638
2020.11.14,119833,109275,1899,704
2020.11.15,120463,109643,1899,630
2020.11.16,121051,109944,1899,588
2020.11.17,121653,110382,1899,602
2020.11.18,122335,110835,1899,682
2020.11.19,123097,111172,1945,762
2020.11.20,123888,111483,1945,791
2020.11.21,124710,111895,1945,822
2020.11.22,125466,112292,1945,756
2020.11.23,126182,112806,1945,716
2020.11.24,126860,113646,1945,678
2020.11.25,127580,114347,1945,720
2020.11.26,128400,114821,1990,820
2020.11.27,129213,115384,1990,813
2020.11.28,130039,116044,1990,826
2020.11.29,130865,116187,1990,826
2020.11.30,132348,116863,1990,794
2020.12.1,132348,116863,1990,0
2020.12.2,133118,117362,1990,770
2020.12.3,133887,118004,1990,769
2020.12.4,134706,118643,1990,819
2020.12.5,135498,119419,2034,792
2020.12.6,136271,120178,2034,773
2020.12.7,136983,120799,2034,712
2020.12.8,137653,121347,2034,670
2020.12.9,138382,122291,2088,729
2020.12.10,139159,123215,2088,777
2020.12.11,139995,124056,2088,836
2020.12.12,140784,124729,2088,789
2020.12.13,141578,125380,2088,794
2020.12.14,142325,126182,2088,747
2020.12.15,142986,127096,2088,661
2020.12.16,143735,128218,2147,749
2020.12.17,144523,128964,2147,788
2020.12.18,145213,129525,2147,690
2020.12.19,145932,129952,2147,719
2020.12.20,146584,130776,2147,652
2020.12.21,147236,131606,2147,652
2020.12.22,147975,132427,2147,739
2020.12.23,148708,133510,2196,733
2020.12.24,149462,135063,2196,754
2020.12.25,150198,136365,2196,736
2020.12.26,150951,137846,2196,753
2020.12.27,152460,139843,2196,1509
2020.12.28,152460,139843,2196,0
2020.12.29,153199,140684,2196,739
2020.12.30,153925,141731,2262,726
2020.12.31,154720,142475,2262,795
2021.1.1,155473,143075,2262,753
2021.1.2,156220,143607,2262,747
2021.1.3,156934,143958,2262,714
2021.1.4,157579,144710,2262,645
2021.1.5,158302,145194,2262,723
2021.1.6,159044,145979,2262,742
2021.1.7,159819,146789,2262,775
2021.1.8,160650,147512,2262,831
2021.1.9,161493,148263,2319,843
2021.1.10,162273,148671,2319,780
2021.1.11,163019,149082,2319,746
2021.1.12,163711,149843,2319,692
2021.1.13,164477,150427,2349,766
2021.1.14,165311,151172,2349,834
2021.1.15,166146,151838,2349,835
2021.1.16,167118,152437,2349,972
2021.1.17,168096,153035,2349,978
2021.1.18,169099,153503,2349,1003
2021.1.19,170098,154449,2349,999
2021.1.20,171232,155397,2349,1134
2021.1.21,172412,156521,2403,1180
2021.1.22,173842,157597,2403,1430
2021.1.23,175390,158647,2403,1548
2021.1.24,176974,159486,2403,1584
2021.1.25,178454,160313,2403,1480
2021.1.26,179720,161758,2403,1266
2021.1.27,181117,163156,2476,1397
2021.1.28,182530,164319,2476,1413
2021.1.29,183999,165595,2476,1469
2021.1.30,185369,167047,2476,1370
2021.1.31,186711,167914,2476,1342
2021.2.1,187970,168768,2476,1259
2021.2.2,189131,169963,2476,1161
2021.2.3,190359,171099,2476,1228
2021.2.4,191639,172209,2476,1280
2021.2.5,192825,173659,2476,1186
2021.2.6,193966,174880,2540,1141
2021.2.7,195109,175901,2540,1143
2021.2.8,196115,176744,2540,1006
2021.2.9,197033,178044,2540,918
2021.2.10,198086,179277,2540,1053
2021.2.11,199093,180807,2540,1007
2021.2.12,200044,181974,2540,951
2021.2.13,200964,183315,2540,920
2021.2.14,201801,184339,2540,837
2021.2.15,202573,185205,2540,772
2021.2.16,203259,185205,2540,686
2021.2.17,204055,187545,2540,796
2021.2.18,204924,188606,2540,869
2021.2.19,205825,189750,2540,901
2021.2.20,206652,190610,2540,827
2021.2.21,207418,191097,2540,766
2021.2.22,208117,191739,2540,699
2021.2.23,208809,192733,2540,692
2021.2.24,209562,193679,2540,753
2021.2.25,210357,194375,2540,795
2021.2.26,211212,195121,2540,855
2021.2.27,212018,195752,2540,806
2021.2.28,212809,196543,2540,791
2021.3.1,213431,196889,2540,622
2021.3.2,214089,197782,2540,658
2021.3.3,214806,198726,2540,717
2021.3.4,214806,198726,2540,0
2021.3.5,216467,200440,2540,1661
2021.3.6,217299,201182,2799,832
2021.3.7,218101,201750,2799,802
2021.3.8,218754,202230,2812,653
2021.3.9,219325,202694,2819,571
2021.3.10,220018,203467,2819,693
2021.3.11,220770,204129,2821,752
2021.3.12,221669,204782,2837,899
2021.3.13,222671,205554,2837,1002
2021.3.14,223720,206149,2840,1049
2021.3.15,224731,206832,2851,1011
2021.3.16,225685,207371,2856,954
2021.3.17,226767,208074,2873,1082
2021.3.18,227953,208881,2881,1186
2021.3.19,229217,209630,2881,1264
2021.3.20,230527,210449,2899,1310
2021.3.21,231698,211127,2917,1171
2021.3.22,232906,211754,2917,1208
2021.3.23,234007,212091,2934,1101
2021.3.24,235095,212908,2934,1088
2021.3.25,236200,213743,2941,1105
2021.3.26,237300,214714,2952,1100
2021.3.27,238785,215474,2980,1485
2021.3.28,240381,216380,2994,1596
2021.3.29,241873,217168,3014,1492
2021.3.30,243318,218031,3029,1445
2021.3.31,244981,219094,3046,1663
2021.4.1,246854,220313,3060,1873
2021.4.2,248931,221347,3072,2077
2021.4.3,251053,222606,3085,2122
2021.4.4,253107,223835,3092,2054
2021.4.5,255028,225256,3110,1921
2021.4.6,256837,226378,3129,1809
2021.4.7,258917,228089,3156,2080
2021.4.8,261503,229538,3171,2586
2021.4.9,263943,231324,3190,2440
