date,累计确诊,治愈,死亡,新增确诊
2020.4.4,1406,85,32,139
2020.4.8,2054,123,55,274
2020.4.9,2223,174,69,169
2020.4.10,2473,197,80,250
2020.4.11,2709,214,100,236
2020.4.12,2776,214,109,67
2020.4.13,2852,319,112,76
2020.4.14,2979,354,127,127
2020.4.15,3105,452,131,126
2020.4.16,3233,550,144,128
2020.4.17,3439,634,153,206
2020.4.18,3621,691,166,182
2020.4.19,3792,711,179,171
2020.4.20,3977,804,189,185
2020.4.21,4149,804,196,172
2020.4.22,4356,870,206,207
2020.4.23,4561,927,215,205
2020.4.24,4881,1003,225,320
2020.4.25,5142,1067,233,261
2020.4.26,5379,1133,244,237
2020.4.27,5597,1210,253,218
2020.4.28,5949,1268,269,352
2020.4.29,6207,1411,278,258
2020.4.30,6507,1439,293,300
2020.5.1,7006,1551,314,499
2020.5.2,7285,1666,324,279
2020.5.3,7668,1722,340,383
2020.5.4,7973,1807,358,305
2020.5.5,8613,2013,378,640
2020.5.6,8959,2148,397,346
2020.5.7,9456,2300,407,403
2020.5.8,10051,2424,428,595
2020.5.9,10495,2569,445,444
2020.5.10,11063,2705,463,568
2020.5.11,11613,2825,479,550
2020.5.12,12272,2971,493,659
2020.5.13,12930,3133,509,658
2020.5.14,13610,3358,525,680
2020.5.15,14216,3460,546,606
2020.5.16,14939,3587,562,723
2020.5.17,15574,3751,574,635
2020.5.18,15574,3751,574,0
2020.5.19,16295,3903,592,721
2020.5.20,16935,4050,613,640
2020.5.21,17687,4256,630,752
2020.5.22,18330,4431,652,643
2020.5.23,19131,4575,682,801
2020.5.24,20177,4718,705,1046
2020.5.25,21175,5016,727,998
2020.5.26,21981,5265,750,806
2020.5.27,23003,5511,776,1022
2020.5.28,24104,6111,803,1101
2020.5.29,25366,6665,822,1262
2020.5.30,26688,6913,853,1322
2020.5.31,28236,7121,890,1548
2020.6.1,29383,8543,939,1147
2020.6.2,30493,9661,969,1110
2020.6.3,31833,11142,1009,1340
2020.6.4,33354,12288,1045,1521
2020.6.5,35120,12921,1087,1766
2020.6.6,36635,13638,1145,1515
2020.6.7,38027,14382,1205,1392
2020.6.8,39236,15322,1259,1209
2020.6.9,40719,16427,1308,1483
2020.6.10,42078,16534,1372,1359
2020.6.11,43682,17333,1433,1604
2020.6.12,45212,17790,1488,1530
2020.6.13,46858,18715,1545,1646
2020.6.14,48746,19426,1592,1888
2020.6.15,50939,19822,1667,2193
2020.6.16,53063,19952,1726,2124
2020.6.17,54931,20366,1801,1868
2020.6.18,57046,21326,1864,2115
2020.6.19,60217,22680,1950,3171
2020.6.20,63276,23988,2045,3059
2020.6.21,65633,25499,2126,2357
2020.6.22,68652,27360,2237,3019
2020.6.23,71183,28968,2310,2531
2020.6.24,73572,30459,2404,2389
2020.6.25,77113,31671,2491,3541
2020.6.26,80599,33349,2654,3486
2020.6.27,84442,34937,2811,3843
2020.6.28,88591,36273,2939,4149
2020.6.29,91769,38280,3106,3178
2020.6.30,95043,39954,3223,3274
2020.7.1,97846,42073,3334,2803
2020.7.2,102009,43407,3470,4163
2020.7.3,106110,44531,3641,4101
2020.7.4,109505,45334,3777,3395
2020.7.5,113389,46563,3942,3884
2020.7.6,117110,47881,4064,3721
2020.7.7,120281,50370,4210,3171
2020.7.8,124494,51861,4359,4213
2020.7.9,128638,53634,4527,4144
2020.7.10,133973,56272,4714,5335
2020.7.11,140776,58800,4925,6803
2020.7.12,145362,61186,5119,4586
2020.7.13,150445,63451,5307,5083
2020.7.14,154277,65809,5455,3832
2020.7.15,159898,68806,5625,5621
2020.7.16,165169,71736,5814,5271
2020.7.17,173206,76164,6029,8037
2020.7.18,182140,80637,6288,8934
2020.7.19,190700,85836,6516,8560
2020.7.20,197278,91793,6736,6578
2020.7.21,204005,95804,6929,6727
