date,累计确诊,治愈,死亡,新增确诊
2020.4.8,502,29,3,19
2020.4.9,539,30,3,37
2020.4.10,558,42,3,19
2020.4.11,577,42,3,19
2020.4.12,595,56,3,22
2020.4.13,612,62,3,17
2020.4.14,618,66,3,6
2020.4.15,626,67,4,8
2020.4.16,642,67,4,16
2020.4.17,649,88,4,7
2020.4.18,655,97,4,6
2020.4.19,660,112,5,5
2020.4.20,662,124,6,2
2020.4.21,669,150,6,7
2020.4.22,681,180,6,6
2020.4.23,687,196,6,6
2020.4.25,693,242,6,6
2020.4.26,695,264,6,2
2020.4.27,697,287,6,2
2020.4.28,705,306,6,8
2020.4.29,713,323,6,8
2020.4.30,719,323,6,6
2020.5.1,725,355,6,6
2020.5.2,733,372,6,8
2020.5.5,755,413,6,13
2020.5.6,761,428,6,6
2020.5.7,765,445,6,4
2020.5.10,792,501,6,12
2020.5.11,801,517,7,9
2020.5.12,804,520,7,3
2020.5.13,815,527,8,11
2020.5.15,843,542,9,13
2020.5.16,853,555,10,10
2020.5.17,863,565,10,10
2020.5.18,863,565,10,0
2020.5.19,866,575,10,3
2020.5.20,882,577,10,16
2020.5.21,897,582,10,15
2020.5.22,903,592,10,6
2020.5.23,911,600,10,8
2020.5.24,918,607,10,7
2020.5.25,930,620,10,12
2020.5.26,951,628,10,21
2020.5.27,956,634,10,5
2020.5.28,984,639,10,28
2020.5.29,1000,646,10,16
2020.5.30,1022,653,10,22
2020.5.31,1047,658,10,25
2020.6.1,1056,669,10,9
2020.6.2,1084,676,10,28
2020.6.3,1105,682,10,21
2020.6.4,1157,685,10,52
2020.6.5,1194,687,10,37
2020.6.6,1228,695,10,34
2020.6.7,1263,701,10,35
2020.6.8,1318,704,10,55
2020.6.9,1342,712,11,24
2020.6.10,1375,717,11,33
2020.6.11,1461,722,12,86
2020.6.12,1538,722,12,77
2020.6.13,1612,731,12,74
2020.6.14,1662,743,12,50
2020.6.15,1715,752,12,53
2020.6.16,1744,771,12,29
2020.6.17,1796,794,12,52
2020.6.18,1871,899,12,75
2020.6.19,1939,937,12,68
2020.6.20,2058,982,12,119
2020.6.21,2127,1014,12,69
2020.6.22,2213,1032,12,86
2020.6.23,2277,1043,12,64
2020.6.24,2368,1129,12,91
2020.6.25,2515,1210,12,147
2020.6.26,2684,1227,12,169
2020.6.27,2836,1280,12,152
2020.6.28,2979,1325,15,143
2020.6.29,3130,1366,15,151
2020.6.30,3269,1394,15,139
2020.7.1,3459,1436,16,190
2020.7.2,3753,1516,17,294
2020.7.3,4023,1589,18,270
2020.7.4,4311,1657,18,288
2020.7.5,4621,1721,19,310
2020.7.6,4996,1745,20,375
2020.7.7,5241,1776,23,245
2020.7.8,5486,1810,23,245
2020.7.9,5836,1929,25,350
2020.7.10,6485,2023,25,649
2020.7.11,6845,2110,26,360
2020.7.12,7231,2220,28,386
2020.7.13,7596,2239,30,365
2020.7.14,8036,2304,34,440
2020.7.15,8482,2441,37,446
2020.7.16,8986,2551,40,504
2020.7.17,9546,2673,42,560
2020.7.18,9969,2818,47,423
2020.7.19,10551,2902,54,582
2020.7.20,11114,2966,62,563
2020.7.21,11534,3019,66,420
2020.7.22,11811,3194,68,277
2020.7.23,12361,3322,71,550
2020.7.24,13129,3448,80,768
2020.7.25,13669,3505,87,540
2020.7.26,14600,3640,98,931
2020.7.27,15229,3736,104,629
2020.7.28,15841,3824,115,612
2020.7.29,16344,3920,125,503
2020.7.30,16800,4050,133,456
2020.7.31,17290,4280,140,490
2020.8.1,17820,4404,150,530
2020.8.2,18187,4531,154,367
2020.8.3,18975,4585,162,788
2020.8.4,19402,4689,171,427
2020.8.5,19837,6590,181,435
2020.8.6,20417,6851,191,580
2020.8.7,21070,7038,200,653
2020.8.8,22081,7266,218,1011
2020.8.9,22802,7589,228,721
2020.8.10,23286,7730,235,484
2020.8.11,23872,7823,244,586
2020.8.12,24508,7971,255,636
2020.8.13,25057,8189,263,549
2020.8.14,26129,8412,272,1072
2020.8.15,26931,8785,281,802
2020.8.16,27737,9010,291,806
2020.8.17,28465,9062,294,728
2020.8.18,29084,9233,304,619
2020.8.19,29643,9462,314,559
2020.8.20,30409,9660,321,766
2020.8.21,31075,9939,333,666
2020.8.22,32134,10159,340,1059
2020.8.23,33084,10372,348,950
2020.8.24,33820,10518,355,736
2020.8.25,34463,12758,362,643
2020.8.26,35305,13073,376,842
2020.8.27,36307,13317,386,1002
2020.8.28,37292,14471,397,985
2020.8.29,38485,14664,407,1193
2020.8.30,39699,15737,418,1214
2020.8.31,39699,15737,418,0
2020.9.1,41287,16056,436,1588
2020.9.2,42184,16270,443,897
2020.9.3,43305,16512,453,1121
2020.9.4,44458,17855,460,1153
2020.9.5,45680,18053,469,1222
2020.9.6,46920,18211,478,1240
2020.9.7,46920,18211,478,0
2020.9.8,48780,19083,510,1860
2020.9.9,49897,19285,531,1117
2020.9.10,51224,19544,543,1327
2020.9.11,52549,20322,567,1325
2020.9.12,53969,20710,583,1420
2020.9.13,55454,20928,590,1485
2020.9.14,55454,20928,590,0
2020.9.15,57361,21206,621,1907
2020.9.16,58137,21536,633,776
2020.9.17,59516,21752,649,1379
2020.9.18,60818,22662,666,1302
2020.9.19,62374,23160,686,1556
2020.9.20,63712,23552,706,1338
2020.9.21,63712,23552,706,0
2020.9.22,65602,25127,745,1890
2020.9.23,66689,25706,760,1087
2020.9.24,68059,26136,781,1370
2020.9.25,69459,26554,795,1400
2020.9.26,70816,27023,812,1357
2020.9.27,72049,27760,828,1233
2020.9.28,72049,27760,828,0
2020.9.29,73714,29420,861,1665
2020.9.30,74604,30703,880,890
2020.10.1,75760,37841,904,1156
2020.10.2,76828,39843,917,1068
2020.10.3,77829,42621,930,1001
2020.10.4,79182,45007,950,1353
2020.10.5,79182,45007,950,0
2020.10.6,81129,49703,987,1947
2020.10.7,82142,50020,1004,1013
2020.10.8,83497,50295,1024,1355
2020.10.9,84828,51782,1040,1331
2020.10.10,86053,52327,1055,1225
2020.10.11,87439,52669,1076,1386
2020.10.12,87439,52669,1076,0
2020.10.13,89223,53247,1108,1784
2020.10.14,90238,53670,1124,1015
2020.10.15,91780,54155,1134,1542
2020.10.16,93152,57731,1159,1372
2020.10.17,94348,58269,1168,1196
2020.10.18,95514,58816,1183,1166
2020.10.19,95514,58816,1183,0
2020.10.20,97075,59580,1204,1561
2020.10.21,97922,60109,1222,847
2020.10.22,99425,60738,1236,1503
2020.10.23,100616,61162,1251,1191
2020.10.24,101826,61662,1265,1210
2020.10.25,103088,62037,1282,1262
2020.10.26,103088,62037,1282,0
2020.10.27,104460,63709,1312,1372
2020.10.28,105322,64406,1329,862
2020.10.29,106553,64996,1340,1231
2020.10.30,107570,65666,1357,1017
2020.10.31,108866,66202,1371,1296
2020.11.1,109971,66719,1385,1105
2020.11.2,109971,66719,1385,0
2020.11.3,111257,68129,1404,1286
2020.11.4,112120,68604,1419,863
2020.11.5,113261,69143,1431,1141
2020.11.6,114367,70002,1444,1106
2020.11.7,115417,70421,1453,1050
2020.11.8,116363,71119,1464,946
2020.11.9,116363,71119,1464,0
2020.11.10,117587,72249,1491,1224
2020.11.11,118566,72941,1502,979
2020.11.12,119768,73509,1513,1202
2020.11.13,120939,74255,1527,1171
2020.11.14,122123,74868,1537,1184
2020.11.15,123223,75341,1546,1100
2020.11.16,123223,75341,1546,0
2020.11.17,124592,77164,1566,1369
2020.11.18,125590,77558,1578,998
2020.11.19,127012,78238,1588,1422
2020.11.20,128231,78851,1599,1219
2020.11.21,129418,79372,1608,1187
2020.11.22,129418,79372,1608,0
2020.11.23,129418,79372,1608,0
2020.11.24,132295,81336,1641,2877
2020.11.25,133190,81973,1662,895
2020.11.26,134520,82611,1674,1330
2020.11.27,135742,83273,1679,1222
2020.11.28,137093,84991,1690,1351
2020.11.29,137093,84991,1690,0
2020.11.30,139638,87526,1726,2545
2020.12.1,139638,87526,1726,0
2020.12.2,140172,87721,1731,534
2020.12.3,141340,88226,1739,1168
2020.12.4,142505,91424,1757,1165
2020.12.5,143685,95789,1773,1180
2020.12.6,143685,95789,1773,0
2020.12.7,143685,95789,1773,0
2020.12.8,146421,102855,1825,2736
2020.12.9,147430,105686,1846,1009
2020.12.10,148688,107624,1864,1258
2020.12.11,149815,109855,1882,1127
