date,累计确诊,治愈,死亡,新增确诊
2020.4.8,730,60,10,45
2020.4.9,803,61,12,73
2020.4.10,820,98,12,17
2020.4.11,836,98,12,16
2020.4.12,848,98,14,12
2020.4.14,848,165,17,3
2020.4.16,996,165,22,148
2020.4.17,1017,177,22,21
2020.4.20,1163,305,42,146
2020.4.23,1334,668,43,171
2020.4.24,1518,697,53,88
2020.4.25,1621,786,56,103
2020.4.27,1705,805,58,84
2020.4.28,1806,915,59,101
2020.5.2,2077,953,64,245
2020.5.5,2265,1000,64,161
2020.5.6,2267,1002,108,2
2020.5.8,2274,1232,108,7
2020.5.9,2579,1465,114,305
2020.5.11,2689,1524,125,110
2020.5.13,2800,1543,136,111
2020.5.14,2954,1553,139,154
2020.5.15,2954,1553,139,0
2020.5.16,3105,1567,140,151
2020.5.17,3105,1567,140,0
2020.5.18,3105,1567,140,0
2020.5.19,3529,1567,140,424
2020.5.20,3529,1567,140,0
2020.5.21,3733,1595,146,204
2020.5.22,4288,1808,156,555
2020.5.23,4400,1822,159,112
2020.5.24,4400,1822,159,0
2020.5.25,4890,1865,165,490
2020.5.26,5044,1917,171,154
2020.5.27,5436,1996,175,392
2020.5.28,5436,1996,175,0
2020.5.29,5436,1996,175,0
2020.5.30,5659,3441,185,223
2020.5.31,5904,3568,191,245
2020.6.1,6143,3578,197,239
2020.6.2,6397,3629,199,254
2020.6.3,6585,3676,200,188
2020.6.4,6789,3705,203,204
2020.6.5,7392,4575,205,603
2020.6.6,7599,4587,212,207
2020.6.7,7599,4587,212,0
2020.6.8,8060,4748,212,461
2020.6.9,8312,4794,212,252
2020.6.10,8681,4836,212,369
2020.6.11,8681,4836,212,0
2020.6.12,8681,4836,212,0
2020.6.13,8681,4836,212,0
2020.6.14,8681,4836,212,0
2020.6.15,9864,5570,276,1183
2020.6.16,9864,5570,276,0
2020.6.17,9864,5570,276,0
2020.6.18,9864,5570,276,0
2020.6.19,10638,7548,282,774
2020.6.20,10638,7548,282,0
2020.6.21,11610,7702,301,972
2020.6.22,11892,7710,303,282
2020.6.23,12041,7740,308,149
2020.6.24,12270,7774,313,229
2020.6.25,12592,10100,313,322
2020.6.26,12592,10100,313,0
2020.6.27,12592,10100,313,0
2020.6.28,12592,10100,313,0
2020.6.29,12592,10100,313,0
2020.6.30,12592,10100,313,0
2020.7.1,12592,10100,313,0
2020.7.2,12592,10100,313,0
2020.7.3,12592,10100,313,0
2020.7.4,12592,10100,313,0
2020.7.5,12592,10100,313,0
2020.7.6,12592,10100,313,0
2020.7.7,14916,11525,359,2324
2020.7.8,14916,11525,359,0
2020.7.9,14916,11525,359,0
2020.7.10,14916,11525,359,0
2020.7.11,14916,11525,359,0
2020.7.12,15173,11928,359,257
2020.7.13,15173,11928,359,0
2020.7.14,15173,11928,359,0
2020.7.15,15173,11928,359,0
2020.7.16,15173,11928,359,0
2020.7.17,16157,13728,373,984
2020.7.18,16157,13728,373,0
2020.7.19,16157,13728,373,0
2020.7.20,16157,13728,373,0
2020.7.21,16157,13728,373,0
2020.7.22,16522,13728,382,365
2020.7.23,16522,13728,382,0
2020.7.24,16708,14539,385,186
2020.7.25,16708,14539,385,0
2020.7.26,16708,14539,385,0
2020.7.27,16708,14539,385,0
2020.7.28,17110,14539,391,402
2020.7.29,17179,14539,391,69
2020.7.30,17255,15320,391,76
2020.7.31,17255,15320,391,0
2020.8.1,17255,15320,391,0
2020.8.2,17255,15320,391,0
2020.8.3,17255,15320,391,0
2020.8.4,17255,15320,391,0
2020.8.5,17718,15320,391,463
2020.8.6,17718,15320,391,0
2020.8.7,17718,15320,391,0
2020.8.8,17718,15320,391,0
2020.8.9,18042,15320,395,324
2020.8.10,18042,15320,395,0
2020.8.11,18042,15320,395,0
2020.8.12,18213,15320,398,171
2020.8.13,18263,15320,401,50
2020.8.14,18308,15320,401,45
2020.8.15,18469,15320,401,161
2020.8.16,18469,16540,401,0
2020.8.17,18469,16540,401,0
2020.8.18,18582,16540,403,113
2020.8.19,18599,16540,406,17
2020.8.20,18762,16540,408,163
2020.8.21,18762,16540,408,0
2020.8.22,18762,16540,408,0
2020.8.23,18762,16540,408,0
2020.8.24,18762,16540,408,0
2020.8.25,18762,16540,408,0
2020.8.26,18973,16540,410,211
2020.8.27,18973,16540,410,0
2020.8.28,19142,17651,411,169
2020.8.29,19142,17651,411,0
2020.8.30,19142,17651,411,0
2020.8.31,19142,17651,411,0
2020.9.1,19142,17651,411,0
2020.9.2,19409,17651,414,267
2020.9.3,19460,17651,415,51
2020.9.4,19604,18448,415,144
2020.9.5,19604,18448,415,0
2020.9.6,19604,18448,415,0
2020.9.7,19604,18448,415,0
2020.9.8,19604,18448,415,0
