date,累计确诊,治愈,死亡,新增确诊
2020.3.22,1236,0,30,289
2020.3.28,7402,70,108,1704
2020.3.29,9217,105,131,1815
2020.3.30,10827,162,168,1610
2020.4.7,34109,1582,725,3892
2020.4.8,38226,1846,812,4117
2020.4.9,42282,2142,908,4056
2020.4.10,47029,2423,1006,4747
2020.4.11,52167,2965,1101,5138
2020.4.12,56956,3446,1198,4789
2020.4.13,61049,3957,1296,4093
2020.4.14,65111,4799,1403,4062
2020.4.15,69392,5674,1518,4281
2020.4.16,74193,7089,1643,4801
2020.4.17,78546,8631,1769,4353
2020.4.18,82329,10453,1890,3783
2020.4.19,86306,11976,2017,3977
2020.4.20,90980,13430,2140,4674
2020.4.21,95591,14918,2259,4611
2020.4.22,98674,16477,2376,3083
2020.4.23,101790,18491,2491,3116
2020.4.24,104912,21737,2600,3122
2020.4.25,107773,25582,2706,2861
2020.4.26,110130,29140,2805,2357
2020.4.27,112261,33791,2900,2131
2020.4.28,114653,38809,2992,2392
2020.4.29,117589,44040,3081,2936
2020.4.30,120204,48886,3174,2615
2020.5.1,122392,53808,3258,2188
2020.5.2,124375,58259,3336,1983
2020.5.3,126045,63151,3397,1670
2020.5.4,127659,68166,3461,1614
2020.5.5,129491,73285,3520,1832
2020.5.6,131744,78202,3584,2253
2020.5.7,133721,78202,3641,1977
2020.5.8,135569,86396,3689,1848
2020.5.9,137115,89480,3739,1546
2020.5.10,138657,92691,3786,1542
2020.5.11,139771,95780,3841,1114
2020.5.12,141475,98889,3894,1704
2020.5.13,143114,101715,3952,1639
2020.5.14,144749,104030,4007,1635
2020.5.15,146457,106133,4055,1708
2020.5.16,148067,108137,4096,1610
2020.5.17,149435,109962,4140,1368
2020.5.18,149435,109962,4140,0
2020.5.19,150593,111577,4171,1158
2020.5.20,151615,112895,4199,1022
2020.5.21,152587,113987,4222,972
2020.5.22,153548,114990,4249,961
2020.5.23,154500,116111,4276,952
2020.5.24,155686,117602,4308,1186
2020.5.25,156827,118694,4340,1141
2020.5.26,157814,120015,4369,987
2020.5.27,158762,121507,4397,948
2020.5.28,159797,122793,4431,1035
2020.5.29,160979,124369,4461,1182
2020.5.30,162120,125963,4489,1141
2020.5.31,163103,126984,4515,983
2020.6.1,163942,127973,4540,839
2020.6.2,164769,128947,4563,827
2020.6.3,165555,129921,4585,786
2020.6.4,166422,130852,4609,867
2020.6.5,167410,131778,4630,988
2020.6.6,168340,133400,4648,930
2020.6.7,169218,135322,4669,878
2020.6.8,170132,137969,4692,914
2020.6.9,171121,141380,4711,989
2020.6.10,172114,144598,4729,993
2020.6.11,173036,146839,4746,922
