date,累计确诊,治愈,死亡,新增确诊
2020.4.10,12,0,0,1
2020.4.14,14,0,0,2
2020.4.19,15,0,0,1
2020.4.22,15,1,0,0
2020.4.24,15,2,0,0
2020.4.28,15,4,0,0
2020.4.30,15,6,0,0
2020.5.6,15,12,0,0
2020.5.16,15,14,0,0
2020.5.18,15,14,0,0
2020.5.19,15,15,0,0
2020.5.20,15,15,0,0
2020.5.21,15,15,0,0
2020.5.22,15,15,0,0
2020.5.23,15,15,0,0
2020.5.24,15,15,0,0
2020.5.25,15,15,0,0
2020.5.26,15,15,0,0
2020.5.27,15,15,0,0
2020.5.28,15,15,0,0
2020.5.29,15,15,0,0
2020.5.30,15,15,0,0
2020.5.31,15,15,0,0
2020.6.1,15,15,0,0
2020.6.2,15,15,0,0
2020.6.3,15,15,0,0
2020.6.4,15,15,0,0
2020.6.5,15,15,0,0
2020.6.6,15,15,0,0
2020.6.7,15,15,0,0
2020.6.8,15,15,0,0
2020.6.9,15,15,0,0
2020.6.10,15,15,0,0
2020.6.11,15,15,0,0
2020.6.12,15,15,0,0
2020.6.13,15,15,0,0
2020.6.14,15,15,0,0
2020.6.15,15,15,0,0
2020.6.16,15,15,0,0
2020.6.17,15,15,0,0
2020.6.18,15,15,0,0
2020.6.19,15,15,0,0
2020.6.20,15,15,0,0
2020.6.21,15,15,0,0
2020.6.22,15,15,0,0
2020.6.23,15,15,0,0
2020.6.24,15,15,0,0
2020.6.25,15,15,0,0
2020.6.26,15,15,0,0
2020.6.27,15,15,0,0
2020.6.28,15,15,0,0
2020.6.29,15,15,0,0
2020.6.30,15,15,0,0
2020.7.1,15,15,0,0
2020.7.2,15,15,0,0
2020.7.3,15,15,0,0
2020.7.4,15,15,0,0
2020.7.5,16,15,0,1
2020.7.6,16,15,0,0
2020.7.7,16,15,0,0
2020.7.8,16,15,0,0
2020.7.9,16,15,0,0
2020.7.10,16,15,0,0
2020.7.11,17,15,0,1
2020.7.12,17,15,0,0
2020.7.13,17,15,0,0
2020.7.14,17,15,0,0
2020.7.15,17,15,0,0
2020.7.16,17,15,0,0
2020.7.17,17,15,0,0
2020.7.18,17,15,0,0
2020.7.19,17,15,0,0
2020.7.20,17,15,0,0
2020.7.21,17,15,0,0
2020.7.22,17,15,0,0
2020.7.23,17,15,0,0
2020.7.24,17,15,0,0
2020.7.25,17,15,0,0
2020.7.26,17,15,0,0
2020.7.27,17,15,0,0
2020.7.28,17,15,0,0
2020.7.29,17,15,0,0
2020.7.30,17,15,0,0
2020.7.31,17,15,0,0
2020.8.1,17,16,0,0
2020.8.2,17,16,0,0
2020.8.3,17,16,0,0
2020.8.4,17,16,0,0
2020.8.5,17,16,0,0
2020.8.6,17,16,0,0
2020.8.7,17,16,0,0
2020.8.8,17,16,0,0
2020.8.9,17,16,0,0
2020.8.10,17,16,0,0
2020.8.11,17,17,0,0
2020.8.12,17,17,0,0
2020.8.13,17,17,0,0
2020.8.14,17,17,0,0
2020.8.15,17,17,0,0
2020.8.16,17,17,0,0
2020.8.17,17,17,0,0
2020.8.18,17,17,0,0
2020.8.19,17,17,0,0
2020.8.20,17,17,0,0
2020.8.21,17,17,0,0
2020.8.22,17,17,0,0
2020.8.23,17,17,0,0
2020.8.24,17,17,0,0
2020.8.25,17,17,0,0
2020.8.26,17,17,0,0
2020.8.27,17,17,0,0
2020.8.28,17,17,0,0
2020.8.29,17,17,0,0
2020.8.30,17,17,0,0
2020.8.31,17,17,0,0
2020.9.1,17,17,0,0
2020.9.2,17,17,0,0
2020.9.3,17,17,0,0
2020.9.4,17,17,0,0
2020.9.5,17,17,0,0
2020.9.6,17,17,0,0
2020.9.7,17,17,0,0
2020.9.8,17,17,0,0
2020.9.9,17,17,0,0
2020.9.10,17,17,0,0
2020.9.11,17,17,0,0
2020.9.12,17,17,0,0
2020.9.13,17,17,0,0
2020.9.14,17,17,0,0
2020.9.15,17,17,0,0
2020.9.16,17,17,0,0
2020.9.17,17,17,0,0
2020.9.18,17,17,0,0
2020.9.19,17,17,0,0
2020.9.20,17,17,0,0
2020.9.21,17,17,0,0
2020.9.22,19,17,0,2
2020.9.23,19,17,0,0
2020.9.24,19,17,0,0
2020.9.25,19,17,0,0
2020.9.26,19,17,0,0
2020.9.27,19,17,0,0
2020.9.28,19,17,0,0
2020.9.29,19,17,0,0
2020.9.30,19,17,0,0
2020.10.1,19,17,0,0
2020.10.2,19,17,0,0
2020.10.3,19,17,0,0
2020.10.4,19,17,0,0
2020.10.5,19,17,0,0
2020.10.6,19,17,0,0
2020.10.7,19,17,0,0
2020.10.8,19,17,0,0
2020.10.9,19,18,0,0
2020.10.10,19,18,0,0
2020.10.11,19,18,0,0
2020.10.12,19,18,0,0
2020.10.13,19,19,0,0
2020.10.14,19,19,0,0
2020.10.15,19,19,0,0
2020.10.16,19,19,0,0
2020.10.17,19,19,0,0
2020.10.18,19,19,0,0
2020.10.19,19,19,0,0
2020.10.20,19,19,0,0
2020.10.21,19,19,0,0
2020.10.22,19,19,0,0
2020.10.23,19,19,0,0
2020.10.24,19,19,0,0
