date,累计确诊,治愈,死亡,新增确诊
2020.4.8,4,0,0,4
2020.4.27,8,4,0,4
2020.4.29,10,4,0,2
2020.4.30,16,4,1,2
2020.5.5,174,4,3,151
2020.5.7,187,4,4,13
2020.5.12,220,4,6,12
2020.5.14,235,4,7,15
2020.5.15,235,7,4,0
2020.5.16,235,7,4,0
2020.5.18,235,4,7,0
2020.5.19,246,4,7,11
2020.5.20,251,4,8,5
2020.5.21,251,4,8,0
2020.5.22,251,4,8,0
2020.5.23,251,4,8,0
2020.5.24,251,4,8,0
2020.5.25,299,4,11,48
2020.5.26,299,4,11,0
2020.5.27,441,68,12,142
2020.5.28,443,68,12,2
2020.5.29,458,68,12,15
2020.5.30,463,68,12,5
2020.5.31,479,68,12,16
2020.6.1,483,68,12,4
2020.6.2,484,68,12,1
2020.6.3,484,68,12,0
2020.6.4,485,68,12,1
2020.6.5,485,68,12,0
2020.6.6,499,68,12,14
2020.6.7,499,68,12,0
2020.6.8,513,68,12,14
2020.6.9,513,68,12,0
2020.6.10,611,135,12,98
2020.6.11,632,146,12,21
2020.6.12,639,156,12,7
2020.6.13,650,168,12,11
2020.6.14,659,176,12,9
2020.6.15,661,177,12,2
2020.6.16,662,177,12,1
2020.6.17,671,182,12,9
2020.6.18,683,188,12,12
2020.6.19,688,191,12,5
2020.6.20,693,199,12,5
2020.6.21,698,203,12,5
2020.6.22,698,203,12,0
2020.6.23,702,203,12,4
2020.6.24,707,208,12,5
2020.6.25,710,211,13,3
2020.6.26,711,214,13,1
2020.6.27,712,219,13,1
2020.6.28,713,219,13,1
2020.6.29,713,219,13,0
2020.6.30,713,235,13,0
2020.7.1,714,236,13,1
2020.7.2,715,252,13,1
2020.7.3,717,260,13,2
2020.7.4,719,267,13,2
2020.7.5,719,267,13,0
2020.7.6,720,268,13,1
2020.7.7,721,269,13,1
2020.7.8,724,279,13,3
2020.7.9,724,283,13,0
2020.7.10,726,283,14,2
2020.7.11,727,284,14,1
2020.7.12,727,284,14,0
2020.7.13,729,286,14,2
2020.7.14,732,286,14,3
2020.7.15,732,286,14,0
2020.7.16,737,322,14,5
2020.7.17,740,325,14,3
2020.7.18,741,325,14,1
2020.7.19,743,337,14,2
2020.7.20,746,451,14,3
2020.7.21,746,536,14,0
2020.7.22,746,588,14,0
2020.7.23,747,601,14,1
2020.7.24,749,604,14,2
2020.7.25,860,610,14,111
2020.7.26,862,662,14,2
2020.7.27,863,696,14,1
2020.7.28,865,734,14,2
2020.7.29,867,759,14,2
2020.7.30,868,766,15,1
2020.7.31,870,771,15,2
2020.8.1,871,778,15,1
2020.8.2,874,782,15,3
2020.8.3,874,787,15,0
2020.8.4,874,787,15,0
2020.8.5,875,794,15,1
2020.8.6,878,795,15,3
2020.8.7,878,797,15,0
2020.8.8,878,799,15,0
2020.8.9,878,800,15,0
2020.8.10,878,800,15,0
2020.8.11,878,800,15,0
2020.8.12,881,804,15,3
2020.8.13,882,807,15,1
2020.8.14,883,808,15,1
2020.8.15,885,809,15,2
2020.8.16,885,815,15,0
2020.8.17,885,818,15,0
2020.8.18,885,821,15,0
2020.8.19,885,826,15,0
2020.8.20,887,829,15,2
2020.8.21,888,829,15,1
2020.8.22,891,830,15,3
2020.8.23,892,831,15,1
2020.8.24,892,831,15,0
2020.8.25,892,832,15,0
2020.8.26,892,833,15,0
2020.8.27,892,842,15,0
2020.8.28,894,846,15,2
2020.8.29,895,848,15,1
2020.8.30,895,848,15,0
2020.8.31,896,851,15,1
2020.9.1,896,851,15,0
2020.9.2,896,853,15,0
2020.9.3,896,855,15,0
2020.9.4,897,857,15,1
2020.9.5,897,859,15,0
2020.9.6,898,859,15,1
2020.9.7,898,859,15,0
2020.9.8,898,859,15,0
2020.9.9,898,859,15,0
2020.9.10,898,862,15,0
2020.9.11,901,866,15,3
2020.9.12,906,866,15,5
2020.9.13,906,866,15,0
2020.9.14,906,870,15,0
2020.9.15,906,870,15,0
2020.9.16,907,871,15,1
2020.9.17,907,871,15,0
2020.9.18,907,873,15,0
2020.9.19,908,873,15,1
2020.9.20,908,876,15,0
2020.9.21,908,878,15,0
2020.9.22,908,880,15,0
2020.9.23,908,880,15,0
2020.9.24,908,880,15,0
2020.9.25,910,881,15,2
2020.9.26,911,881,15,1
2020.9.27,911,883,15,0
2020.9.28,911,883,15,0
2020.9.29,911,885,15,0
2020.9.30,911,885,15,0
2020.10.1,911,886,15,0
2020.10.2,911,886,15,0
2020.10.3,911,886,15,0
2020.10.4,913,886,15,2
2020.10.5,913,887,15,0
2020.10.6,913,888,15,0
2020.10.7,914,888,15,1
2020.10.8,914,888,15,0
2020.10.9,921,890,15,7
2020.10.10,922,890,15,1
2020.10.11,922,890,15,0
2020.10.12,929,892,15,7
2020.10.13,929,895,15,0
2020.10.14,929,895,15,0
2020.10.15,929,896,15,0
2020.10.16,929,896,15,0
2020.10.17,932,896,15,3
2020.10.18,932,896,15,0
2020.10.19,933,898,15,1
2020.10.20,933,898,15,0
2020.10.21,933,898,15,0
2020.10.22,935,898,15,2
2020.10.23,935,898,15,0
2020.10.24,938,898,15,3
2020.10.25,940,900,15,2
2020.10.26,940,902,15,0
2020.10.27,941,902,15,1
2020.10.28,941,902,15,0
2020.10.29,943,903,15,2
2020.10.30,944,904,16,1
2020.10.31,945,904,16,1
2020.11.1,945,904,16,0
2020.11.2,949,904,16,4
2020.11.3,949,904,16,0
2020.11.4,954,907,16,5
2020.11.5,958,907,16,4
2020.11.6,958,909,16,0
2020.11.7,960,910,16,2
2020.11.8,962,910,16,2
2020.11.9,962,912,16,0
2020.11.10,962,912,16,0
2020.11.11,962,914,16,0
2020.11.12,962,914,16,0
2020.11.13,963,914,16,1
2020.11.14,963,916,16,0
2020.11.15,964,917,16,1
2020.11.16,965,917,16,1
2020.11.17,965,917,16,0
2020.11.18,967,917,16,2
2020.11.19,967,920,16,0
2020.11.20,974,920,16,7
2020.11.21,974,920,17,0
2020.11.22,979,920,17,5
2020.11.23,979,923,17,0
2020.11.24,981,926,17,2
2020.11.25,981,926,17,0
2020.11.26,982,926,17,1
2020.11.27,985,928,17,3
2020.11.28,985,930,17,0
2020.11.29,989,930,17,4
2020.11.30,991,933,17,2
2020.12.1,996,934,17,5
2020.12.2,996,934,17,0
2020.12.3,997,934,17,1
2020.12.4,997,937,17,0
2020.12.5,999,937,17,2
2020.12.6,999,937,17,0
2020.12.7,999,937,17,0
2020.12.8,1005,944,17,6
2020.12.9,1005,944,17,0
2020.12.10,1005,946,17,0
2020.12.11,1009,947,17,4
2020.12.12,1009,947,17,0
2020.12.13,1009,947,17,0
2020.12.14,1010,952,17,1
2020.12.15,1010,952,17,0
2020.12.16,1010,952,17,0
2020.12.17,1011,955,17,1
2020.12.18,1011,955,17,0
2020.12.19,1011,955,17,0
2020.12.20,1012,958,17,1
2020.12.21,1012,958,17,0
2020.12.22,1012,958,17,0
2020.12.23,1012,958,17,0
2020.12.24,1012,960,17,0
2020.12.25,1014,963,17,2
2020.12.26,1014,963,17,0
2020.12.27,1014,963,17,0
2020.12.28,1014,963,17,0
2020.12.29,1014,963,17,0
2020.12.30,1014,963,17,0
2020.12.31,1014,966,17,0
2021.1.1,1022,973,17,8
2021.1.2,1024,978,17,2
2021.1.3,1024,978,17,0
2021.1.4,1024,981,17,0
2021.1.5,1024,983,17,0
2021.1.6,1024,987,17,0
2021.1.7,1035,988,17,11
2021.1.8,1054,988,17,19
2021.1.9,1066,988,17,12
2021.1.10,1066,988,17,0
2021.1.11,1066,988,17,0
2021.1.12,1066,988,17,0
2021.1.13,1105,990,17,39
2021.1.14,1105,990,17,0
2021.1.15,1125,993,17,20
2021.1.16,1125,993,17,0
2021.1.17,1130,993,17,5
2021.1.18,1142,993,17,12
2021.1.19,1142,993,17,0
2021.1.20,1151,995,17,9
2021.1.21,1170,995,17,19
2021.1.22,1171,995,17,1
2021.1.23,1188,997,17,17
2021.1.24,1188,997,17,0
2021.1.25,1189,997,17,1
2021.1.26,1189,997,17,0
2021.1.27,1221,1007,17,32
2021.1.28,1232,1011,17,11
2021.1.29,1232,1011,17,0
2021.1.30,1256,1023,17,24
2021.1.31,1256,1023,17,0
2021.2.1,1257,1023,17,1
2021.2.2,1283,1052,17,26
2021.2.3,1283,1052,17,0
2021.2.4,1287,1055,17,4
2021.2.5,1298,1058,17,11
2021.2.6,1346,1060,18,48
2021.2.7,1351,1060,18,5
2021.2.8,1351,1060,18,0
2021.2.9,1355,1067,18,4
2021.2.10,1385,1077,18,30
2021.2.11,1430,1079,18,45
2021.2.12,1431,1094,19,1
2021.2.13,1478,1100,19,47
2021.2.14,1482,1106,19,4
2021.2.15,1482,1106,19,0
2021.2.16,1482,1106,19,0
2021.2.17,1535,1136,20,53
2021.2.18,1535,1136,20,0
2021.2.19,1548,1199,20,13
2021.2.20,1578,1220,21,30
2021.2.21,1578,1220,21,0
2021.2.22,1610,1248,21,32
2021.2.23,1655,1271,26,45
2021.2.24,1672,1288,27,17
2021.2.25,1672,1288,27,0
2021.2.26,1745,1336,28,73
2021.2.27,1786,1355,28,41
2021.2.28,1786,1355,28,0
2021.3.1,1828,1413,30,42
2021.3.2,1828,1413,30,0
2021.3.3,1840,1438,30,12
2021.3.4,1881,1470,30,41
2021.3.5,1923,1518,31,42
2021.3.6,1938,1544,31,15
2021.3.7,1944,1544,31,6
2021.3.8,1950,1562,32,6
2021.3.9,1961,1584,32,11
2021.3.10,1977,1649,32,16
2021.3.11,2010,1696,32,33
2021.3.12,2035,1731,32,25
2021.3.13,2057,1770,32,22
2021.3.14,2078,1817,32,21
2021.3.15,2078,1817,32,0
