date,累计确诊,治愈,死亡,新增确诊
2020.4.21,6,6,0,0
2020.5.16,6,6,0,0
2020.5.18,6,6,0,0
2020.5.19,6,6,0,0
2020.5.20,6,6,0,0
2020.5.21,6,6,0,0
2020.5.22,6,6,0,0
2020.5.23,6,6,0,0
2020.5.24,6,6,0,0
2020.5.25,6,6,0,0
2020.5.26,6,6,0,0
2020.5.27,6,6,0,0
2020.5.28,6,6,0,0
2020.5.29,6,6,0,0
2020.5.30,6,6,0,0
2020.5.31,6,6,0,0
2020.6.1,6,6,0,0
2020.6.2,6,6,0,0
2020.6.3,6,6,0,0
2020.6.4,6,6,0,0
2020.6.5,6,6,0,0
2020.6.6,6,6,0,0
2020.6.7,6,6,0,0
2020.6.8,6,6,0,0
2020.6.9,6,6,0,0
2020.6.10,6,6,0,0
2020.6.11,6,6,0,0
2020.6.12,6,6,0,0
2020.6.13,6,6,0,0
2020.6.14,6,6,0,0
2020.6.15,6,6,0,0
2020.6.16,6,6,0,0
2020.6.17,6,6,0,0
2020.6.18,6,6,0,0
2020.6.19,6,6,0,0
2020.6.20,6,6,0,0
2020.6.21,6,6,0,0
2020.6.22,6,6,0,0
2020.6.23,6,6,0,0
2020.6.24,6,6,0,0
2020.6.25,6,6,0,0
2020.6.26,6,6,0,0
2020.6.27,6,6,0,0
2020.6.28,6,6,0,0
2020.6.29,6,6,0,0
2020.6.30,6,6,0,0
2020.7.1,6,6,0,0
2020.7.2,6,6,0,0
2020.7.3,6,6,0,0
2020.7.4,6,6,0,0
2020.7.5,6,6,0,0
2020.7.6,6,6,0,0
2020.7.7,6,6,0,0
2020.7.8,6,6,0,0
2020.7.9,6,6,0,0
2020.7.10,6,6,0,0
2020.7.11,6,6,0,0
2020.7.12,6,6,0,0
2020.7.13,6,6,0,0
2020.7.14,6,6,0,0
2020.7.15,6,6,0,0
2020.7.16,6,6,0,0
2020.7.17,6,6,0,0
2020.7.18,6,6,0,0
2020.7.19,6,6,0,0
2020.7.20,6,6,0,0
2020.7.21,6,6,0,0
2020.7.22,6,6,0,0
2020.7.23,6,6,0,0
2020.7.24,6,6,0,0
2020.7.25,6,6,0,0
2020.7.26,7,6,0,1
2020.7.27,7,6,0,0
2020.7.28,7,6,0,0
2020.7.29,7,6,0,0
2020.7.30,7,6,0,0
2020.7.31,7,6,0,0
2020.8.1,8,6,0,1
2020.8.2,9,6,0,1
2020.8.3,9,6,0,0
2020.8.4,9,6,0,0
2020.8.5,9,6,0,0
2020.8.6,9,6,0,0
2020.8.7,9,6,0,0
2020.8.8,9,6,0,0
2020.8.9,13,6,0,4
2020.8.10,13,6,0,0
2020.8.11,13,6,0,0
2020.8.12,13,6,0,0
2020.8.13,13,8,0,0
2020.8.14,13,8,0,0
2020.8.15,13,9,0,0
2020.8.16,13,9,0,0
2020.8.17,13,9,0,0
2020.8.18,16,9,0,3
2020.8.19,16,9,0,0
2020.8.20,16,9,0,0
2020.8.21,16,9,0,0
2020.8.22,16,9,0,0
2020.8.23,16,9,0,0
2020.8.24,16,9,0,0
2020.8.25,16,9,0,0
2020.8.26,17,9,0,1
