date,累计确诊,治愈,死亡,新增确诊
2020.4.9,8,1,0,0
2020.4.21,13,3,0,1
2020.4.23,14,5,0,1
2020.4.26,15,5,0,1
2020.4.28,15,8,0,0
2020.4.30,16,8,0,1
2020.5.3,17,9,0,1
2020.5.12,17,12,0,0
2020.5.15,17,14,0,0
2020.5.16,17,14,0,0
2020.5.18,17,14,0,0
2020.5.19,17,14,0,0
2020.5.20,17,14,0,0
2020.5.21,18,14,0,1
2020.5.22,18,14,0,0
2020.5.23,18,14,0,0
2020.5.24,18,14,0,0
2020.5.25,18,14,0,0
2020.5.26,18,14,0,0
2020.5.27,18,14,0,0
2020.5.28,25,14,0,7
2020.5.29,25,14,0,0
2020.5.30,26,14,0,1
2020.5.31,26,15,0,0
2020.6.1,26,15,0,0
2020.6.2,26,15,0,0
2020.6.3,26,15,0,0
2020.6.4,26,15,0,0
2020.6.5,26,15,0,0
2020.6.6,26,15,0,0
2020.6.7,26,15,0,0
2020.6.8,27,16,0,1
2020.6.9,27,16,0,0
2020.6.10,27,25,0,0
2020.6.11,27,25,0,0
2020.6.12,27,25,0,0
2020.6.13,27,25,0,0
2020.6.14,27,25,0,0
2020.6.15,27,25,0,0
2020.6.16,27,25,0,0
2020.6.17,29,25,0,2
2020.6.18,29,25,0,0
2020.6.19,29,26,0,0
2020.6.20,29,26,0,0
2020.6.21,29,26,0,0
2020.6.22,29,26,0,0
2020.6.23,29,26,0,0
2020.6.24,29,27,0,0
2020.6.25,29,27,0,0
2020.6.26,29,29,0,0
2020.6.27,29,29,0,0
2020.6.28,29,29,0,0
2020.6.29,29,29,0,0
2020.6.30,29,29,0,0
2020.7.1,29,29,0,0
2020.7.2,29,29,0,0
2020.7.3,29,29,0,0
2020.7.4,29,29,0,0
2020.7.5,29,29,0,0
2020.7.6,29,29,0,0
2020.7.7,29,29,0,0
2020.7.8,29,29,0,0
2020.7.9,29,29,0,0
2020.7.10,29,29,0,0
2020.7.11,29,29,0,0
2020.7.12,29,29,0,0
2020.7.13,35,29,0,6
2020.7.14,35,29,0,0
2020.7.15,35,29,0,0
2020.7.16,35,29,0,0
2020.7.17,35,29,0,0
2020.7.18,35,29,0,0
2020.7.19,38,29,0,3
2020.7.20,50,29,0,12
2020.7.21,50,29,0,0
2020.7.22,50,29,0,0
2020.7.23,52,37,0,2
2020.7.24,52,37,0,0
2020.7.25,52,39,0,0
2020.7.26,52,39,0,0
2020.7.27,52,39,0,0
2020.7.28,52,39,0,0
2020.7.29,52,39,0,0
2020.7.30,52,39,0,0
2020.7.31,54,44,0,2
2020.8.1,54,44,0,0
2020.8.2,55,45,0,1
2020.8.3,55,45,0,0
2020.8.4,55,45,0,0
2020.8.5,55,45,0,0
2020.8.6,56,46,0,1
2020.8.7,56,46,0,0
2020.8.8,56,49,0,0
2020.8.9,56,49,0,0
