date,累计确诊,治愈,死亡,新增确诊
2020.4.8,1,0,0,1
2020.5.11,1,1,0,0
2020.5.16,1,1,0,0
2020.5.17,1,1,0,0
2020.5.18,1,1,0,0
2020.5.19,1,1,0,0
2020.5.20,1,1,0,0
2020.5.21,1,1,0,0
2020.5.22,1,1,0,0
2020.5.23,1,1,0,0
2020.5.24,1,1,0,0
2020.5.25,1,1,0,0
2020.5.26,1,1,0,0
2020.5.27,1,1,0,0
2020.5.28,1,1,0,0
2020.5.29,1,1,0,0
2020.5.30,1,1,0,0
2020.5.31,1,1,0,0
2020.6.1,1,1,0,0
2020.6.2,1,1,0,0
2020.6.3,1,1,0,0
2020.6.4,1,1,0,0
2020.6.5,1,1,0,0
2020.6.6,1,1,0,0
2020.6.7,1,1,0,0
2020.6.8,1,1,0,0
2020.6.9,1,1,0,0
2020.6.10,1,1,0,0
2020.6.11,1,1,0,0
2020.6.12,1,1,0,0
2020.6.13,1,1,0,0
2020.6.14,1,1,0,0
2020.6.15,1,1,0,0
2020.6.16,1,1,0,0
2020.6.17,1,1,0,0
2020.6.18,1,1,0,0
2020.6.19,1,1,0,0
2020.6.20,1,1,0,0
2020.6.21,1,1,0,0
2020.6.22,1,1,0,0
2020.6.23,1,1,0,0
2020.6.24,1,1,0,0
2020.6.25,1,1,0,0
2020.6.26,1,1,0,0
2020.6.27,1,1,0,0
2020.6.28,1,1,0,0
2020.6.29,1,1,0,0
2020.6.30,1,1,0,0
2020.7.1,1,1,0,0
2020.7.2,1,1,0,0
2020.7.3,1,1,0,0
2020.7.4,1,1,0,0
2020.7.5,1,1,0,0
2020.7.6,1,1,0,0
2020.7.7,1,1,0,0
2020.7.8,1,1,0,0
2020.7.9,1,1,0,0
2020.7.10,1,1,0,0
2020.7.11,2,1,0,1
2020.7.12,2,1,0,0
2020.7.13,2,1,0,0
2020.7.14,2,1,0,0
2020.7.15,2,1,0,0
2020.7.16,2,1,0,0
2020.7.17,2,1,0,0
2020.7.18,4,1,0,2
2020.7.19,4,1,0,0
2020.7.20,4,1,0,0
2020.7.21,4,1,0,0
2020.7.22,4,1,0,0
2020.7.23,4,1,0,0
2020.7.24,4,1,0,0
2020.7.25,4,1,0,0
2020.7.26,4,1,0,0
2020.7.27,4,1,0,0
2020.7.28,4,1,0,0
2020.7.29,4,1,0,0
2020.7.30,4,1,0,0
2020.7.31,4,1,0,0
2020.8.1,4,1,0,0
2020.8.2,4,1,0,0
2020.8.3,4,1,0,0
2020.8.4,4,1,0,0
2020.8.5,4,1,0,0
2020.8.6,4,1,0,0
2020.8.7,4,1,0,0
2020.8.8,4,1,0,0
2020.8.9,4,1,0,0
2020.8.10,4,1,0,0
2020.8.11,4,1,0,0
2020.8.12,4,1,0,0
2020.8.13,4,1,0,0
2020.8.14,4,1,0,0
2020.8.15,4,1,0,0
2020.8.16,4,1,0,0
2020.8.17,4,1,0,0
2020.8.18,5,1,0,1
2020.8.19,5,1,0,0
2020.8.20,5,1,0,0
2020.8.21,5,1,0,0
2020.8.22,5,1,0,0
2020.8.23,5,1,0,0
2020.8.24,5,1,0,0
2020.8.25,5,1,0,0
2020.8.26,5,1,0,0
2020.8.27,5,1,0,0
2020.8.28,5,1,0,0
2020.8.29,5,1,0,0
2020.8.30,5,1,0,0
2020.8.31,5,4,0,0
2020.9.1,5,4,0,0
2020.9.2,5,4,0,0
2020.9.3,5,4,0,0
2020.9.4,5,5,0,0
2020.9.5,5,5,0,0
2020.9.6,6,5,0,1
2020.9.7,9,5,0,3
2020.9.8,9,5,0,0
2020.9.9,9,5,0,0
2020.9.10,10,5,0,1
2020.9.11,10,5,0,0
2020.9.12,10,5,0,0
2020.9.13,11,5,0,1
2020.9.14,11,5,0,0
2020.9.15,11,5,0,0
2020.9.16,11,5,0,0
2020.9.17,11,5,0,0
2020.9.18,11,5,0,0
2020.9.19,11,5,0,0
2020.9.20,11,5,0,0
2020.9.21,11,5,0,0
2020.9.22,11,5,0,0
2020.9.23,12,6,0,1
2020.9.24,16,6,0,4
2020.9.25,16,6,0,0
2020.9.26,16,6,0,0
2020.9.27,16,6,0,0
2020.9.28,16,6,0,0
2020.9.29,16,6,0,0
2020.9.30,16,6,0,0
2020.10.1,16,6,0,0
2020.10.2,16,6,0,0
2020.10.3,16,6,0,0
2020.10.4,16,6,0,0
2020.10.5,16,6,0,0
2020.10.6,16,6,0,0
2020.10.7,16,6,0,0
2020.10.8,16,6,0,0
2020.10.9,16,6,0,0
2020.10.10,16,12,0,0
2020.10.11,16,12,0,0
2020.10.12,16,12,0,0
2020.10.13,16,12,0,0
2020.10.14,16,12,0,0
2020.10.15,16,12,0,0
2020.10.16,16,12,0,0
2020.10.17,16,12,0,0
2020.10.18,16,12,0,0
2020.10.19,16,12,0,0
2020.10.20,16,12,0,0
2020.10.21,16,12,0,0
2020.10.22,16,12,0,0
2020.10.23,16,12,0,0
2020.10.24,16,12,0,0
2020.10.25,16,12,0,0
2020.10.26,16,12,0,0
2020.10.27,16,12,0,0
2020.10.28,16,12,0,0
2020.10.29,16,12,0,0
2020.10.30,16,12,0,0
2020.10.31,16,12,0,0
2020.11.1,16,12,0,0
2020.11.2,16,12,0,0
2020.11.3,16,12,0,0
2020.11.4,16,12,0,0
2020.11.5,16,12,0,0
2020.11.6,16,12,0,0
2020.11.7,16,12,0,0
2020.11.8,16,12,0,0
2020.11.9,16,12,0,0
2020.11.10,16,12,0,0
2020.11.11,16,12,0,0
2020.11.12,16,12,0,0
2020.11.13,16,12,0,0
2020.11.14,16,12,0,0
2020.11.15,16,12,0,0
2020.11.16,16,12,0,0
2020.11.17,16,12,0,0
2020.11.18,16,12,0,0
2020.11.19,16,12,0,0
2020.11.20,16,12,0,0
2020.11.21,16,12,0,0
2020.11.22,16,12,0,0
2020.11.23,16,12,0,0
2020.11.24,16,12,0,0
2020.11.25,16,12,0,0
2020.11.26,16,12,0,0
2020.11.27,16,12,0,0
2020.11.28,16,12,0,0
2020.11.29,16,12,0,0
2020.11.30,16,12,0,0
2020.12.1,16,12,0,0
2020.12.2,16,14,0,0
2020.12.3,16,14,0,0
2020.12.4,16,14,0,0
2020.12.5,16,14,0,0
2020.12.6,16,14,0,0
2020.12.7,16,14,0,0
2020.12.8,16,14,0,0
2020.12.9,16,14,0,0
2020.12.10,14,14,0,0
2020.12.11,14,14,0,0
2020.12.12,14,14,0,0
2020.12.13,14,14,0,0
2020.12.14,14,14,0,0
2020.12.15,14,14,0,0
2020.12.16,14,14,0,0
2020.12.17,14,14,0,0
2020.12.18,14,14,0,0
2020.12.19,14,14,0,0
2020.12.20,14,14,0,0
2020.12.21,14,14,0,0
2020.12.22,14,14,0,0
2020.12.23,14,14,0,0
2020.12.24,15,14,0,1
