date,累计确诊,治愈,死亡,新增确诊
2020.4.8,43,7,6,3
2020.4.9,50,7,8,7
2020.4.10,50,11,8,0
2020.4.11,50,11,9,0
2020.4.13,52,11,9,2
2020.4.15,53,13,9,1
2020.4.20,67,12,10,3
2020.4.21,68,12,10,1
2020.4.22,71,22,11,3
2020.4.26,74,33,13,1
2020.4.27,75,33,13,1
2020.4.30,76,44,13,1
2020.5.5,76,44,14,0
2020.5.9,76,46,15,0
2020.5.16,77,54,15,0
2020.5.17,77,54,15,0
2020.5.18,77,54,15,0
2020.5.19,77,54,15,0
2020.5.20,77,54,15,0
2020.5.21,77,54,15,0
2020.5.22,77,59,15,0
2020.5.23,77,59,15,0
2020.5.24,77,59,15,0
2020.5.25,77,59,15,0
2020.5.26,77,59,15,0
2020.5.27,77,60,15,0
2020.5.28,77,60,15,0
2020.5.29,77,60,15,0
2020.5.30,77,60,15,0
2020.5.31,77,60,15,0
2020.6.1,77,60,15,0
2020.6.2,77,60,15,0
2020.6.3,77,60,15,0
2020.6.4,77,60,15,0
2020.6.5,77,61,15,0
2020.6.6,77,61,15,0
2020.6.7,77,61,15,0
2020.6.8,77,61,15,0
2020.6.9,77,61,15,0
2020.6.10,77,61,15,0
2020.6.11,77,61,15,0
2020.6.12,77,61,15,0
2020.6.13,77,61,15,0
2020.6.14,77,61,15,0
2020.6.15,77,61,15,0
2020.6.16,77,62,15,0
2020.6.17,77,62,15,0
2020.6.18,77,62,15,0
2020.6.19,77,62,15,0
2020.6.20,77,62,15,0
2020.6.21,77,62,15,0
2020.6.22,77,62,15,0
2020.6.23,77,62,15,0
2020.6.24,77,62,15,0
2020.6.25,77,62,15,0
2020.6.26,77,62,15,0
2020.6.27,77,62,15,0
2020.6.28,77,62,15,0
2020.6.29,77,62,15,0
2020.6.30,77,62,15,0
2020.7.1,77,62,15,0
2020.7.2,77,62,15,0
2020.7.3,77,62,15,0
2020.7.4,78,63,15,1
2020.7.5,78,63,15,0
2020.7.6,78,63,15,0
2020.7.7,78,63,15,0
2020.7.8,78,63,15,0
2020.7.9,78,63,15,0
2020.7.10,78,63,15,0
2020.7.11,78,63,15,0
2020.7.12,78,63,15,0
2020.7.13,78,63,15,0
2020.7.14,78,63,15,0
2020.7.15,78,63,15,0
2020.7.16,78,63,15,0
2020.7.17,78,63,15,0
2020.7.18,79,63,15,1
2020.7.19,79,63,15,0
2020.7.20,79,63,15,0
2020.7.21,79,63,15,0
2020.7.22,79,63,15,0
2020.7.23,81,63,15,2
2020.7.24,84,63,15,3
2020.7.25,93,63,15,9
2020.7.26,93,63,15,0
2020.7.27,114,63,15,21
2020.7.28,114,63,15,0
2020.7.29,114,63,15,0
2020.7.30,126,64,15,12
2020.7.31,128,64,15,2
2020.8.1,128,64,15,0
2020.8.2,128,64,15,0
2020.8.3,146,64,16,18
2020.8.4,150,64,16,4
2020.8.5,150,64,16,0
2020.8.6,160,64,16,10
2020.8.7,176,86,16,16
2020.8.8,177,86,17,1
2020.8.9,189,86,17,12
2020.8.10,189,86,17,0
2020.8.11,205,93,17,16
2020.8.12,219,102,17,14
2020.8.13,248,102,17,29
2020.8.14,263,102,17,15
2020.8.15,269,102,17,6
2020.8.16,300,107,17,31
2020.8.17,317,107,17,17
2020.8.18,326,107,17,9
2020.8.19,333,107,17,7
2020.8.20,348,133,17,15
2020.8.21,353,146,17,5
2020.8.22,353,146,17,0
2020.8.23,368,147,17,15
2020.8.24,396,147,17,28
2020.8.25,408,147,17,12
2020.8.26,418,148,17,10
2020.8.27,442,179,17,24
2020.8.28,444,179,17,2
2020.8.29,444,179,17,0
2020.8.30,460,179,17,16
2020.8.31,463,179,17,3
2020.9.1,476,200,17,13
2020.9.2,482,241,19,6
2020.9.3,495,302,19,13
2020.9.4,504,302,19,9
2020.9.5,511,302,19,7
2020.9.6,511,302,19,0
2020.9.7,511,302,19,0
2020.9.8,516,321,19,5
2020.9.9,527,321,19,11
2020.9.10,530,333,19,3
2020.9.11,530,333,19,0
2020.9.12,531,387,19,1
2020.9.13,533,430,19,2
2020.9.14,549,430,19,16
2020.9.15,549,430,19,0
2020.9.16,549,468,19,0
2020.9.17,557,477,19,8
2020.9.18,565,477,19,8
2020.9.19,574,488,20,9
2020.9.20,584,488,20,10
2020.9.21,584,488,20,0
2020.9.22,591,505,20,7
2020.9.23,594,512,20,3
2020.9.24,616,517,21,22
2020.9.25,618,517,22,2
2020.9.26,627,532,22,9
2020.9.27,633,532,22,6
2020.9.28,644,532,22,11
2020.9.29,645,549,22,1
2020.9.30,659,557,22,14
2020.10.1,667,557,22,8
2020.10.2,668,567,22,1
2020.10.3,674,572,22,6
2020.10.4,678,572,22,4
2020.10.5,679,572,22,1
2020.10.6,686,592,22,7
2020.10.7,689,592,22,3
2020.10.8,698,592,22,9
2020.10.9,699,620,22,1
2020.10.10,703,622,22,4
2020.10.11,707,622,22,4
2020.10.12,710,622,22,3
2020.10.13,710,632,22,0
2020.10.14,719,645,22,9
2020.10.15,729,657,22,10
2020.10.16,737,657,22,8
2020.10.17,746,659,22,9
2020.10.18,749,664,22,3
2020.10.19,753,669,22,4
2020.10.20,756,675,22,3
2020.10.21,756,675,22,0
2020.10.22,769,681,22,13
2020.10.23,769,681,22,0
2020.10.24,776,702,22,7
2020.10.25,780,705,22,4
2020.10.26,784,705,22,4
2020.10.27,789,710,22,5
2020.10.28,792,714,22,3
2020.10.29,805,724,22,13
2020.10.30,805,730,22,0
2020.10.31,822,753,22,17
2020.11.1,826,753,22,4
2020.11.2,831,753,22,5
2020.11.3,844,760,22,13
2020.11.4,859,768,22,15
2020.11.5,870,768,22,11
2020.11.6,877,780,23,7
2020.11.7,877,780,23,0
2020.11.8,890,787,23,13
2020.11.9,890,787,23,0
2020.11.10,896,801,23,6
2020.11.11,908,804,23,12
2020.11.12,910,817,23,2
2020.11.13,914,825,23,4
2020.11.14,923,835,24,9
2020.11.15,923,835,24,0
2020.11.16,933,835,24,10
2020.11.17,939,857,24,6
2020.11.18,954,867,24,15
2020.11.19,964,874,24,10
2020.11.20,973,878,24,9
2020.11.21,983,883,25,10
2020.11.22,996,890,25,13
2020.11.23,1007,890,25,11
2020.11.24,1012,900,25,5
2020.11.25,1020,906,25,8
2020.11.26,1036,919,25,16
2020.11.27,1041,928,25,5
2020.11.28,1053,936,25,12
2020.11.29,1062,947,25,9
2020.11.30,1069,964,25,7
2020.12.1,1069,964,25,0
2020.12.2,1069,964,25,0
2020.12.3,1092,976,25,23
2020.12.4,1105,993,25,13
2020.12.5,1120,1007,26,15
2020.12.6,1139,1017,26,19
2020.12.7,1141,1017,26,2
2020.12.8,1155,1030,26,14
2020.12.9,1161,1041,26,6
2020.12.10,1185,1047,26,24
2020.12.11,1201,1058,26,16
2020.12.12,1225,1070,26,24
2020.12.13,1232,1075,26,7
2020.12.14,1232,1075,26,0
2020.12.15,1249,1099,26,17
2020.12.16,1269,1111,26,20
2020.12.17,1276,1122,26,7
2020.12.18,1294,1134,26,18
2020.12.19,1315,1157,26,21
2020.12.20,1323,1159,26,8
2020.12.21,1328,1184,26,5
2020.12.22,1338,1202,26,10
2020.12.23,1362,1214,26,24
2020.12.24,1370,1235,26,8
2020.12.25,1385,1238,26,15
2020.12.26,1393,1238,26,8
2020.12.27,1393,1238,26,0
2020.12.28,1411,1298,27,18
2020.12.29,1411,1298,27,0
2020.12.30,1423,1308,27,12
2020.12.31,1434,1320,27,11
2021.1.1,1456,1331,27,22
2021.1.2,1458,1342,27,2
2021.1.3,1462,1355,27,4
2021.1.4,1462,1360,27,0
2021.1.5,1465,1370,27,3
2021.1.6,1504,1385,27,39
2021.1.7,1512,1387,27,8
2021.1.8,1531,1394,27,19
2021.1.9,1554,1425,27,23
2021.1.10,1554,1432,27,0
2021.1.11,1555,1434,27,1
2021.1.12,1575,1445,27,20
2021.1.13,1589,1460,27,14
2021.1.14,1607,1469,27,18
2021.1.15,1629,1478,27,22
2021.1.16,1641,1491,27,12
2021.1.17,1641,1491,27,0
2021.1.18,1656,1501,27,15
2021.1.19,1669,1522,27,13
2021.1.20,1677,1523,27,8
2021.1.21,1703,1542,27,26
2021.1.22,1708,1554,27,5
2021.1.23,1724,1564,27,16
2021.1.24,1724,1564,27,0
2021.1.25,1753,1574,27,29
2021.1.26,1758,1598,27,5
2021.1.27,1767,1611,27,9
