date,累计确诊,治愈,死亡,新增确诊
2020.4.8,208,45,34,29
2020.4.9,333,49,34,25
2020.4.13,371,53,36,15
2020.4.14,372,53,36,1
2020.4.15,393,53,36,21
2020.4.18,455,60,39,20
2020.4.19,462,61,39,1
2020.4.20,476,62,40,14
2020.4.21,488,62,40,12
2020.4.22,501,63,40,13
2020.4.24,513,64,40,0
2020.4.25,538,64,41,25
2020.4.28,553,64,41,15
2020.4.29,569,78,41,6
2020.4.30,580,82,41,11
2020.5.2,582,86,41,2
2020.5.4,589,92,41,7
2020.5.5,608,97,41,19
2020.5.7,622,106,41,14
2020.5.8,637,126,41,14
2020.5.10,628,130,41,14
2020.5.11,638,161,41,10
2020.5.12,643,161,41,10
2020.5.13,648,172,41,5
2020.5.14,652,189,41,4
2020.5.15,653,198,41,1
2020.5.16,654,201,41,1
2020.5.18,654,201,41,0
2020.5.19,655,211,41,1
2020.5.20,656,220,41,1
2020.5.21,658,235,41,2
2020.5.22,661,254,41,3
2020.5.23,665,266,42,4
2020.5.24,665,266,42,0
2020.5.25,666,270,42,1
2020.5.26,666,275,42,0
2020.5.27,667,294,42,1
2020.5.28,670,322,42,3
2020.5.29,671,344,42,1
2020.5.30,671,357,42,0
2020.5.31,671,357,42,0
2020.6.1,671,359,42,0
2020.6.2,672,384,42,1
2020.6.3,674,391,42,2
2020.6.4,678,408,42,4
2020.6.5,678,408,42,0
2020.6.6,680,428,42,2
2020.6.7,680,428,42,0
2020.6.8,687,478,42,7
2020.6.9,688,483,42,1
2020.6.10,691,496,42,3
2020.6.11,691,496,42,0
2020.6.12,694,520,42,3
2020.6.13,694,520,42,0
2020.6.14,694,520,42,0
2020.6.15,694,575,42,0
2020.6.16,694,590,42,0
2020.6.17,696,591,42,2
2020.6.18,696,609,45,0
2020.6.19,696,610,42,0
2020.6.20,696,610,42,0
2020.6.21,696,610,42,0
2020.6.22,697,627,42,1
2020.6.23,698,632,42,1
2020.6.24,698,647,42,0
