date,累计确诊,治愈,死亡,新增确诊
2020.4.8,37,8,6,4
2020.4.11,45,8,6,5
2020.4.13,47,8,6,2
2020.4.14,48,8,6,1
2020.4.15,55,8,6,8
2020.4.16,57,9,6,2
2020.4.17,63,9,6,6
2020.4.19,65,9,7,2
2020.4.20,66,9,7,1
2020.4.21,67,9,7,1
2020.4.23,70,9,7,3
2020.4.24,73,12,7,3
2020.4.25,74,12,8,1
2020.4.27,74,15,8,0
2020.4.29,78,18,8,4
2020.4.30,82,22,9,4
2020.5.5,93,27,10,1
2020.5.8,94,35,10,1
2020.5.12,113,36,10,4
2020.5.15,116,43,10,3
2020.5.16,117,43,10,1
2020.5.17,117,43,10,0
2020.5.18,117,43,10,0
2020.5.19,124,45,10,7
2020.5.20,125,46,10,1
2020.5.21,125,47,10,0
2020.5.22,127,57,10,2
2020.5.23,127,57,10,0
2020.5.24,127,58,10,0
2020.5.25,135,62,10,8
2020.5.26,137,62,11,2
2020.5.27,139,62,11,2
2020.5.28,139,67,11,0
2020.5.29,150,67,11,11
2020.5.30,150,67,11,0
2020.5.31,152,67,12,2
2020.6.1,153,70,12,1
2020.6.2,153,70,12,0
2020.6.3,153,70,12,0
2020.6.4,153,70,12,0
2020.6.5,153,77,12,0
2020.6.6,153,77,12,0
2020.6.7,154,80,12,1
2020.6.8,154,80,12,0
2020.6.9,154,84,12,0
2020.6.10,156,86,12,2
2020.6.11,156,92,12,0
2020.6.12,158,92,12,2
2020.6.13,159,95,12,1
2020.6.14,159,95,12,0
2020.6.15,159,99,12,0
2020.6.16,159,99,12,0
2020.6.17,171,99,12,12
2020.6.18,171,102,12,0
2020.6.19,183,102,12,12
2020.6.20,183,102,12,0
2020.6.21,183,102,12,0
2020.6.22,184,103,12,1
2020.6.23,205,103,12,21
2020.6.24,206,107,12,1
2020.6.25,209,107,12,3
2020.6.26,215,108,12,6
2020.6.27,230,109,12,15
2020.6.28,230,109,12,0
2020.6.29,230,109,12,0
2020.6.30,235,114,12,5
2020.7.1,245,114,12,10
2020.7.2,248,116,13,3
2020.7.3,250,117,14,2
2020.7.4,256,117,14,6
2020.7.5,272,120,14,16
2020.7.6,273,120,15,1
2020.7.7,273,120,15,0
2020.7.8,284,125,16,11
2020.7.9,284,125,16,0
2020.7.10,286,125,16,2
2020.7.11,290,134,16,4
2020.7.12,291,148,17,1
2020.7.13,297,154,17,6
2020.7.14,300,155,17,3
2020.7.15,308,156,17,8
2020.7.16,313,156,18,5
2020.7.17,315,156,19,2
2020.7.18,320,156,19,5
2020.7.19,327,163,19,7
2020.7.20,336,163,19,9
2020.7.21,337,163,19,1
2020.7.22,339,163,19,2
2020.7.23,350,165,19,11
2020.7.24,351,176,19,1
2020.7.25,352,178,20,1
2020.7.26,360,180,20,8
2020.7.27,370,181,20,10
2020.7.28,389,181,20,19
2020.7.29,396,181,20,7
2020.7.30,398,185,20,2
2020.7.31,401,185,20,3
2020.8.1,413,185,20,12
2020.8.2,430,185,20,17
2020.8.3,474,185,21,44
2020.8.4,474,185,21,0
2020.8.5,497,186,22,23
2020.8.6,509,189,22,12
2020.8.7,538,189,22,29
2020.8.8,538,189,22,0
2020.8.9,554,189,22,16
2020.8.10,568,189,22,14
2020.8.11,568,189,22,0
2020.8.12,602,189,22,34
2020.8.13,623,191,22,21
2020.8.14,631,202,22,8
2020.8.15,649,306,22,18
2020.8.16,674,310,22,25
2020.8.17,709,349,23,35
2020.8.18,709,349,23,0
2020.8.19,737,365,25,28
2020.8.20,776,381,27,39
2020.8.21,846,399,29,70
2020.8.22,881,433,30,35
2020.8.23,925,433,31,44
2020.8.24,955,490,31,30
2020.8.25,1029,510,31,74
2020.8.26,1060,523,31,31
2020.8.27,1093,534,31,33
2020.8.28,1140,616,32,47
2020.8.29,1180,633,35,40
2020.8.30,1184,636,35,4
2020.8.31,1234,687,36,50
2020.9.1,1306,718,39,72
2020.9.2,1373,742,41,67
2020.9.3,1382,779,41,9
2020.9.4,1401,805,44,19
2020.9.5,1401,805,44,0
2020.9.6,1459,921,46,58
2020.9.7,1468,954,46,9
2020.9.8,1560,962,47,92
2020.9.9,1613,1030,48,53
2020.9.10,1703,1045,48,90
2020.9.11,1750,1088,49,47
2020.9.12,1763,1144,52,13
2020.9.13,1812,1191,54,49
2020.9.14,1853,1215,56,41
2020.9.15,1884,1265,56,31
2020.9.16,1958,1302,58,74
2020.9.17,1958,1302,58,0
2020.9.18,2027,1302,60,69
2020.9.19,2102,1314,62,75
2020.9.20,2168,1331,64,66
2020.9.21,2269,1339,64,101
2020.9.22,2402,1359,65,133
2020.9.23,2437,1361,67,35
2020.9.24,2535,1464,69,98
2020.9.25,2579,1483,71,44
2020.9.26,2709,1490,73,130
2020.9.27,2725,1535,74,16
2020.9.28,2772,1564,76,47
2020.9.29,2787,1608,78,15
2020.9.30,2846,1644,78,59
2020.10.1,2894,1680,80,48
2020.10.2,2929,1760,82,35
2020.10.3,2968,1776,85,39
2020.10.4,3005,1907,85,37
2020.10.5,3093,1920,87,88
2020.10.6,3188,1972,90,95
2020.10.7,3188,2017,92,0
2020.10.8,3292,2084,95,104
2020.10.9,3329,2165,98,37
2020.10.10,3358,2180,100,29
2020.10.11,3405,2304,102,47
2020.10.12,3469,2318,103,64
2020.10.13,3521,2391,104,52
2020.10.14,3565,2435,106,44
2020.10.15,3589,2487,106,24
2020.10.16,3620,2522,107,31
2020.10.17,3672,2590,107,52
2020.10.18,3710,2625,109,38
2020.10.19,3734,2654,109,24
2020.10.20,3765,2749,111,31
2020.10.21,3796,2796,114,31
2020.10.22,3850,2839,116,54
2020.10.23,3877,2853,117,27
2020.10.24,3960,2923,117,83
2020.10.25,3994,2970,117,34
2020.10.26,4023,2970,119,29
2020.10.27,4026,3009,119,3
2020.10.28,4061,3030,119,35
2020.10.29,4074,3083,123,13
2020.10.30,4098,3154,123,24
2020.10.31,4143,3192,124,45
2020.11.1,4162,3228,124,19
2020.11.2,4208,3242,126,46
2020.11.3,4238,3264,128,30
2020.11.4,4245,3320,128,7
2020.11.5,4324,3394,130,79
2020.11.6,4393,3409,130,69
2020.11.7,4457,3467,133,64
2020.11.8,4484,3511,134,27
2020.11.9,4514,3526,134,30
2020.11.10,4524,3549,135,10
2020.11.11,4530,3575,135,6
2020.11.12,4618,3611,137,88
2020.11.13,4662,3616,138,44
2020.11.14,4724,3688,138,62
2020.11.15,4794,3725,138,70
2020.11.16,4823,3777,139,29
2020.11.17,4894,3791,139,71
2020.11.18,4890,3930,140,0
2020.11.19,4914,3962,142,24
2020.11.20,4976,3965,143,62
2020.11.21,5005,3984,143,29
2020.11.22,5093,4018,143,88
2020.11.23,5133,4019,143,40
2020.11.24,5154,4034,146,21
2020.11.25,5189,4204,147,35
2020.11.26,5236,4242,147,47
2020.11.27,5276,4252,149,40
2020.11.28,5310,4272,149,34
2020.11.29,5338,4317,149,28
2020.11.30,5406,4392,151,38
2020.12.1,5406,4392,151,0
2020.12.2,5423,4436,151,17
2020.12.3,5449,4530,151,26
2020.12.4,5528,4618,151,79
2020.12.5,5601,4695,151,73
2020.12.6,5637,4733,151,36
2020.12.7,5665,4759,153,28
2020.12.8,5697,4779,154,32
2020.12.9,5700,4870,154,3
2020.12.10,5732,4888,154,32
2020.12.11,5811,4925,154,79
2020.12.12,5839,4944,154,28
2020.12.13,5879,5044,154,40
2020.12.14,5920,5073,155,41
2020.12.15,5943,5077,156,23
2020.12.16,5973,5144,156,30
2020.12.17,6016,5185,158,43
2020.12.18,6042,5197,158,26
2020.12.19,6076,5288,159,34
2020.12.20,6105,5305,159,29
2020.12.21,6125,5319,159,20
2020.12.22,6171,5369,159,46
2020.12.23,6216,5385,160,45
2020.12.24,6258,5448,162,42
2020.12.25,6266,5478,162,8
2020.12.26,6289,5555,162,23
2020.12.27,6293,5680,164,4
2020.12.28,6298,5732,164,5
2020.12.29,6298,5732,164,0
2020.12.30,6301,5777,164,3
2020.12.31,6319,5809,164,18
2021.1.1,6332,5820,164,13
2021.1.2,6348,5868,164,16
2021.1.3,6351,5894,164,3
2021.1.4,6358,5899,164,7
2021.1.5,6379,5936,166,21
2021.1.6,6407,5948,166,28
2021.1.7,6407,5948,166,0
2021.1.8,6469,5990,167,62
2021.1.9,6469,5990,167,0
2021.1.10,6541,6019,167,72
2021.1.11,6574,6036,169,33
2021.1.12,6588,6040,170,14
2021.1.13,6653,6047,170,65
2021.1.14,6696,6063,170,43
2021.1.15,6745,6068,170,49
2021.1.16,6805,6083,170,60
2021.1.17,6851,6126,170,46
2021.1.18,6908,6165,170,57
2021.1.19,6931,6173,170,23
2021.1.20,6950,6206,170,19
2021.1.21,7015,6266,170,65
2021.1.22,7067,6277,170,52
2021.1.23,7143,6328,170,76
2021.1.24,7222,6361,170,79
2021.1.25,7298,6370,172,76
2021.1.26,7317,6431,172,19
2021.1.27,7346,6455,172,29
2021.1.28,7380,6488,174,34
2021.1.29,7470,6534,175,90
2021.1.30,7528,6541,175,58
2021.1.31,7581,6570,176,53
2021.2.1,7641,6591,176,60
2021.2.2,7654,6635,177,13
2021.2.3,7678,6681,177,24
2021.2.4,7714,6762,177,36
2021.2.5,7780,6826,177,66
2021.2.6,7887,6901,179,107
2021.2.7,7939,6962,180,52
2021.2.8,7982,6966,180,43
2021.2.9,8023,6977,181,41
2021.2.10,8041,7026,181,18
2021.2.11,8092,7124,182,51
2021.2.12,8135,7157,184,43
2021.2.13,8181,7281,186,46
2021.2.14,8207,7379,186,26
2021.2.15,8231,7383,186,24
2021.2.16,8232,7399,186,1
2021.2.17,8262,7486,188,30
2021.2.18,8313,7519,189,51
2021.2.19,8338,7629,189,25
2021.2.20,8357,7654,189,19
2021.2.21,8399,7729,189,42
2021.2.22,8420,7733,189,21
2021.2.23,8427,7774,189,7
2021.2.24,8452,7808,190,25
2021.2.25,8457,7834,192,5
2021.2.26,8485,7890,195,28
2021.2.27,8513,7945,195,28
2021.2.28,8550,7971,195,37
2021.3.1,8585,7972,195,35
2021.3.2,8595,7993,197,10
2021.3.3,8626,8024,197,31
2021.3.4,8648,8043,199,22
2021.3.5,8699,8074,199,51
2021.3.6,8729,8099,200,30
2021.3.7,8772,8106,200,43
2021.3.8,8807,8114,201,35
2021.3.9,8814,8171,203,7
2021.3.10,8847,8200,204,33
2021.3.11,8928,8211,205,81
2021.3.12,8993,8230,206,65
2021.3.13,9069,8265,206,76
2021.3.14,9121,8287,206,52
2021.3.15,9160,8288,207,39
2021.3.16,9187,8311,207,27
2021.3.17,9238,8359,208,51
2021.3.18,9322,8381,209,84
2021.3.19,9442,8430,212,120
2021.3.20,9486,8453,212,44
2021.3.21,9585,8489,214,99
2021.3.22,9649,8498,215,64
2021.3.23,9668,8522,216,19
2021.3.24,9732,8602,218,64
2021.3.25,9820,8632,220,88
2021.3.26,9898,8721,223,78
2021.3.27,10007,8801,225,109
2021.3.28,10072,8842,225,65
2021.3.29,10168,8879,227,96
2021.3.30,10182,8922,229,14
2021.3.31,10192,8998,231,10
2021.4.1,10249,9098,231,57
2021.4.2,10375,9159,233,126
2021.4.3,10446,9211,235,71
2021.4.4,10540,9215,237,94
2021.4.5,10580,9250,243,40
2021.4.6,10606,9289,246,26
2021.4.7,10637,9354,247,31
2021.4.8,10718,9473,250,81
2021.4.9,10853,9517,252,135
2021.4.10,10958,9576,252,105
2021.4.11,11044,9688,252,86
2021.4.12,11149,9721,255,105
2021.4.13,11189,9751,257,40
2021.4.14,11277,9796,258,88
2021.4.15,11374,9880,260,97
2021.4.16,11527,10015,263,153
2021.4.17,11642,10061,267,115
2021.4.18,11762,10161,268,120
2021.4.19,11863,10180,271,101
2021.4.20,11901,10246,271,38
