date,累计确诊,治愈,死亡,新增确诊
2020.4.8,25,5,1,1
2020.4.9,32,5,3,7
2020.4.13,49,7,3,17
2020.4.14,53,7,3,4
2020.4.15,88,11,4,35
2020.4.19,170,11,7,23
2020.4.20,254,11,10,84
2020.4.21,284,11,10,30
2020.4.24,299,48,10,15
2020.4.28,306,48,10,7
2020.4.29,480,175,16,181
2020.5.8,509,183,21,29
2020.5.17,509,183,21,0
2020.5.18,509,183,21,0
2020.5.19,509,183,21,0
2020.5.20,509,183,21,0
2020.5.21,509,183,21,0
2020.5.22,509,183,21,0
2020.5.23,509,183,21,0
2020.5.24,509,183,21,0
2020.5.25,509,183,21,0
2020.5.26,509,183,21,0
2020.5.27,509,183,21,0
2020.5.28,509,183,21,0
2020.5.29,509,183,21,0
2020.5.30,509,183,21,0
2020.5.31,509,183,21,0
2020.6.1,509,183,21,0
2020.6.2,509,183,21,0
2020.6.3,509,183,21,0
2020.6.4,509,183,21,0
2020.6.5,509,183,21,0
2020.6.6,509,183,21,0
2020.6.7,509,183,21,0
2020.6.8,509,183,21,0
2020.6.9,509,183,21,0
2020.6.10,509,183,21,0
2020.6.11,509,183,21,0
2020.6.12,509,183,21,0
2020.6.13,509,183,21,0
2020.6.14,509,183,21,0
2020.6.15,509,183,21,0
2020.6.16,509,183,21,0
2020.6.17,509,183,21,0
2020.6.18,509,183,21,0
2020.6.19,509,183,21,0
2020.6.20,509,183,21,0
2020.6.21,509,183,21,0
2020.6.22,509,183,21,0
2020.6.23,509,183,21,0
2020.6.24,509,183,21,0
2020.6.25,509,183,21,0
2020.6.26,509,183,21,0
2020.6.27,509,183,21,0
2020.6.28,509,183,21,0
2020.6.29,509,183,21,0
2020.6.30,509,183,21,0
2020.7.1,509,183,21,0
2020.7.2,509,183,21,0
2020.7.3,509,183,21,0
2020.7.4,509,183,21,0
2020.7.5,509,183,21,0
2020.7.6,509,183,21,0
2020.7.7,509,183,21,0
2020.7.8,509,183,21,0
2020.7.9,509,183,21,0
2020.7.10,509,183,21,0
2020.7.11,509,183,21,0
2020.7.12,509,183,21,0
2020.7.13,509,183,21,0
2020.7.14,509,183,21,0
2020.7.15,509,183,21,0
2020.7.16,509,183,21,0
2020.7.17,509,183,21,0
2020.7.18,509,183,21,0
2020.7.19,509,183,21,0
2020.7.20,509,183,21,0
2020.7.21,509,183,21,0
2020.7.22,509,183,21,0
2020.7.23,509,183,21,0
2020.7.24,509,183,21,0
2020.7.25,509,183,21,0
2020.7.26,509,183,21,0
2020.7.27,509,183,21,0
2020.7.28,509,183,21,0
2020.7.29,509,183,21,0
2020.7.30,509,183,21,0
2020.7.31,509,183,21,0
2020.8.1,509,183,21,0
2020.8.2,509,183,21,0
2020.8.3,509,183,21,0
2020.8.4,509,183,21,0
2020.8.5,509,183,21,0
2020.8.6,509,183,21,0
2020.8.7,509,183,21,0
2020.8.8,509,183,21,0
2020.8.9,509,183,21,0
2020.8.10,509,183,21,0
2020.8.11,509,183,21,0
