date,累计确诊,治愈,死亡,新增确诊
2020.4.8,1560,305,103,110
2020.4.9,1699,348,118,139
2020.4.10,1794,384,135,95
2020.4.11,1939,426,146,145
2020.4.12,2065,447,159,126
2020.4.13,2190,589,164,125
2020.4.14,2350,589,178,160
2020.4.15,2505,589,183,155
2020.4.16,2673,596,196,168
2020.4.17,2844,646,205,171
2020.4.18,3032,701,224,188
2020.4.19,3144,732,239,112
2020.4.20,3333,821,250,189
2020.4.21,3490,870,264,157
2020.4.22,3659,935,276,169
2020.4.23,3891,1004,287,232
2020.4.24,4092,1075,294,201
2020.4.25,4319,1114,307,227
2020.4.26,4534,1176,317,215
2020.4.27,4782,1236,337,248
2020.4.28,5042,1304,359,260
2020.4.29,5268,1335,380,226
2020.4.30,5537,1381,392,269
2020.5.1,5895,1460,406,358
2020.5.2,6193,1522,415,298
2020.5.3,6465,1562,429,272
2020.5.4,6813,1632,436,348
2020.5.5,7201,1730,452,388
2020.5.6,7588,1815,469,387
2020.5.7,7981,1887,482,393
2020.5.8,8476,1945,503,495
2020.5.9,8964,2002,514,488
2020.5.10,9400,2075,525,436
2020.5.11,9746,2172,533,346
2020.5.12,10093,2172,544,347
2020.5.13,10431,2486,556,338
2020.5.14,10829,2626,571,398
2020.5.15,11228,2799,592,399
2020.5.16,11719,2950,612,491
2020.5.17,12229,3172,630,510
2020.5.18,12229,3172,630,0
2020.5.19,12764,3440,645,535
2020.5.20,13484,3742,659,720
2020.5.21,14229,3994,680,745
2020.5.22,15003,4217,696,774
2020.5.23,15786,4374,707,783
2020.5.24,16513,4628,735,727
2020.5.25,17265,4807,764,752
2020.5.26,17967,4900,783,702
2020.5.27,18756,5027,797,789
2020.5.28,19666,5205,816,910
2020.5.29,20793,5359,845,1127
2020.5.30,22082,5511,879,1289
2020.5.31,23449,5693,913,1367
2020.6.1,24985,6037,959,1536
2020.6.2,26384,6447,1005,1399
2020.6.3,27536,6827,1052,1152
2020.6.4,28615,7350,1088,1079
2020.6.5,29767,7756,1126,1152
2020.6.6,31115,8158,1166,1348
2020.6.7,32612,8538,1198,1497
2020.6.8,34079,8961,1237,1467
2020.6.9,35444,9375,1271,1365
2020.6.10,36829,9786,1306,1385
2020.6.11,38284,10289,1342,1455
2020.6.12,39726,10691,1377,1442
2020.6.13,41303,11108,1422,1577
2020.6.14,42980,11529,1484,1677
2020.6.15,44598,11931,1575,1618
2020.6.16,46289,12329,1672,1691
2020.6.17,47856,12730,1766,1567
2020.6.18,49219,13141,1850,1363
2020.6.19,50437,13528,1938,1218
2020.6.20,52211,13928,2017,1774
2020.6.21,53758,14327,2106,1547
2020.6.22,55233,14736,2193,1475
2020.6.23,56809,15133,2278,1576
2020.6.24,58141,15535,2365,1332
2020.6.25,59561,15935,2450,1420
2020.6.26,61130,16338,2533,1569
2020.6.27,62755,16737,2620,1625
2020.6.28,63923,17140,2708,1168
2020.6.29,65188,17539,2789,1265
2020.6.30,66754,17951,2872,1566
2020.7.1,68311,18460,2953,1557
2020.7.2,69814,18881,3034,1503
2020.7.3,71299,19288,3120,1485
2020.7.4,72711,19690,3201,1412
2020.7.5,74035,20103,3280,1324
2020.7.6,75253,20726,3343,1218
2020.7.7,76222,21238,3422,969
2020.7.8,77279,21718,3489,1057
2020.7.9,78304,22241,3564,1025
2020.7.10,79254,22753,3617,950
2020.7.11,80235,23274,3702,981
2020.7.12,81158,23876,3769,923
2020.7.13,82070,24419,3858,912
2020.7.14,83001,24975,3935,931
2020.7.15,83930,25544,4008,929
2020.7.16,84843,26135,4067,913
2020.7.17,85771,26691,4120,928
2020.7.18,86474,27302,4188,703
2020.7.19,87172,27868,4251,698
2020.7.20,87775,28380,4302,603
2020.7.21,88402,28924,4352,627
2020.7.22,89078,29473,4399,676
2020.7.23,89745,30075,4440,667
2020.7.24,90413,31066,4480,668
2020.7.25,91072,31970,4518,659
2020.7.26,91583,32903,4558,511
2020.7.27,92062,33831,4606,479
2020.7.28,92482,34838,4652,420
2020.7.29,92947,35959,4691,465
2020.7.30,93356,37025,4728,409
2020.7.31,93757,38236,4774,401
2020.8.1,94078,39638,4805,321
2020.8.2,94316,41137,4834,238
2020.8.3,94483,42455,4865,167
2020.8.4,94640,44066,4888,157
2020.8.5,94752,45569,4912,112
2020.8.6,94875,47182,4930,123
2020.8.7,95006,48898,4951,131
2020.8.8,95147,50553,4971,141
2020.8.9,95314,51672,4992,167
2020.8.10,95492,52678,5009,178
2020.8.11,95666,53779,5035,174
2020.8.12,95834,54888,5059,168
2020.8.13,95963,55901,5085,129
2020.8.14,96108,56890,5107,145
2020.8.15,96220,57858,5124,112
2020.8.16,96336,58835,5141,116
2020.8.17,96475,59743,5160,139
2020.8.18,96590,60651,5173,115
2020.8.19,96753,61562,5184,163
2020.8.20,96914,62553,5197,161
2020.8.21,97025,63462,5212,111
2020.8.22,97148,64318,5231,123
2020.8.23,97237,65118,5243,89
2020.8.24,97340,65927,5262,103
2020.8.25,97478,66817,5280,138
2020.8.26,97619,67717,5298,141
2020.8.27,97825,68713,5317,206
2020.8.28,98062,69612,5342,237
2020.8.29,98285,70419,5362,223
2020.8.30,98497,71302,5376,212
2020.8.31,98727,72120,5399,230
2020.9.1,98939,72929,5421,212
2020.9.2,99115,73828,5440,176
2020.9.3,99280,74626,5461,165
2020.9.4,99425,75415,5479,145
2020.9.5,99582,76305,5495,157
2020.9.6,99712,77208,5511,130
2020.9.7,99863,78108,5530,151
2020.9.8,100041,79008,5541,178
2020.9.9,100228,79886,5560,187
2020.9.10,100403,80689,5577,175
2020.9.11,100557,81597,5590,154
2020.9.12,100708,82473,5607,151
2020.9.13,100856,83261,5627,148
2020.9.14,101009,84161,5648,153
2020.9.15,101177,84969,5661,168
2020.9.16,101340,85745,5679,163
2020.9.17,101500,86549,5696,160
2020.9.18,101641,87158,5715,141
2020.9.19,101772,87958,5733,131
2020.9.20,101900,88666,5750,128
2020.9.21,102015,89532,5770,115
2020.9.22,102141,90332,5787,126
2020.9.23,102254,91143,5806,113
2020.9.24,102375,91843,5822,121
2020.9.25,102513,92644,5835,138
2020.9.26,102625,93531,5853,112
2020.9.27,102736,94374,5869,111
2020.9.28,102840,95080,5883,104
2020.9.29,102955,95586,5901,115
2020.9.30,103079,96094,5914,124
2020.10.1,103198,96494,5930,119
2020.10.2,103317,96855,5946,119
2020.10.3,103466,97143,5956,149
2020.10.4,103575,97274,5970,109
2020.10.5,103683,97355,5981,108
2020.10.6,103781,97398,5990,98
2020.10.7,103902,97449,6001,121
2020.10.8,104035,97492,6010,133
2020.10.9,104156,97524,6017,121
2020.10.10,104262,97592,6029,106
2020.10.11,104387,97643,6040,125
2020.10.12,104516,97688,6052,129
2020.10.13,104648,97743,6062,132
2020.10.14,104787,97841,6071,139
2020.10.15,104915,97920,6077,128
2020.10.16,105033,98011,6088,118
2020.10.17,105159,98089,6099,126
2020.10.18,105297,98157,6109,138
2020.10.19,105424,98247,6120,127
2020.10.20,105547,98314,6130,123
2020.10.21,105705,98413,6142,158
2020.10.22,105883,98516,6155,178
2020.10.23,106060,98624,6166,177
2020.10.24,106230,98713,6176,170
2020.10.25,106397,98813,6187,167
2020.10.26,106540,98903,6199,143
2020.10.27,106707,98981,6211,167
2020.10.28,106877,99084,6222,170
2020.10.29,107030,99174,6234,153
2020.10.30,107209,99273,6247,179
2020.10.31,107376,99353,6258,167
2020.11.1,107555,99452,6266,179
2020.11.2,107736,99555,6278,181
2020.11.3,107925,99652,6291,189
2020.11.4,108122,99765,6305,197
2020.11.5,108329,99874,6318,207
2020.11.6,108530,100006,6329,201
2020.11.7,108754,100106,6343,224
2020.11.8,108962,100239,6355,208
2020.11.9,109201,100342,6368,239
2020.11.10,109422,100439,6380,221
2020.11.11,109654,100540,6394,232
2020.11.12,109881,100662,6405,227
2020.11.13,110095,100760,6417,214
2020.11.14,110319,100847,6429,224
2020.11.15,110547,100946,6442,228
2020.11.16,110767,101046,6453,220
2020.11.17,111009,101179,6465,242
2020.11.18,111284,101288,6481,275
2020.11.19,111613,101421,6495,329
2020.11.20,111955,101564,6508,342
2020.11.21,112318,101685,6521,363
2020.11.22,112676,101783,6535,358
2020.11.23,113027,101881,6548,351
2020.11.24,113381,101981,6560,354
2020.11.25,113742,102103,6573,361
2020.11.26,114107,102201,6585,365
2020.11.27,114475,102268,6596,368
2020.11.28,114832,102390,6608,357
2020.11.29,115183,102490,6621,351
2020.11.30,115911,102718,6650,358
2020.12.1,115911,102718,6650,0
2020.12.2,116303,102816,6666,392
2020.12.3,116724,102949,6694,421
2020.12.4,117156,103082,6713,432
2020.12.5,117583,103191,6732,427
2020.12.6,118014,103324,6750,431
2020.12.7,118432,103501,6771,418
2020.12.8,118847,103703,6790,415
2020.12.9,119281,103913,6813,434
2020.12.10,119702,104074,6832,421
2020.12.11,120147,104281,6854,445
2020.12.12,120611,104499,6877,464
2020.12.13,121089,104710,6898,478
2020.12.14,121575,104875,6920,486
2020.12.15,122086,105132,6943,511
2020.12.16,122609,105450,6966,523
2020.12.17,123153,105719,6990,544
2020.12.18,123701,105919,7015,548
2020.12.19,124280,106157,7041,579
2020.12.20,124891,106481,7069,611
2020.12.21,125555,106817,7098,664
2020.12.22,126273,107162,7130,718
2020.12.23,127061,107563,7167,788
2020.12.24,127972,107961,7209,911
2020.12.25,128993,108474,7260,1021
2020.12.26,130126,108985,7309,1133
2020.12.27,132541,110015,7405,2415
2020.12.28,133900,110436,7466,1359
2020.12.29,133900,110436,7466,0
2020.12.30,135233,111040,7520,1333
2020.12.31,136644,111451,7576,1411
2021.1.1,138062,112105,7631,1418
2021.1.2,139471,112826,7687,1409
2021.1.3,140878,113480,7741,1407
2021.1.4,142187,113898,7805,1309
2021.1.5,143464,114601,7863,1277
2021.1.6,144583,115414,7918,1119
2021.1.7,145590,115975,7975,1007
2021.1.8,146809,116775,8029,1219
2021.1.9,147810,117529,8085,1001
2021.1.10,148799,118294,8142,989
2021.1.11,149792,118900,8197,993
2021.1.12,150753,119212,8249,961
2021.1.13,151723,119635,8304,970
2021.1.14,152719,120312,8362,996
2021.1.15,153741,121072,8421,1022
2021.1.16,154620,121792,8473,879
2021.1.17,155507,122291,8527,887
2021.1.18,156397,122993,8583,890
2021.1.19,157275,123491,8638,878
2021.1.20,158174,124094,8696,899
2021.1.21,158963,124605,8747,789
2021.1.22,159715,125171,8801,752
2021.1.23,160463,125603,8853,748
2021.1.24,161143,126176,8902,680
2021.1.25,161817,126497,8959,674
2021.1.26,162486,127001,9012,669
2021.1.27,163129,127433,9067,643
2021.1.28,163761,127963,9115,632
2021.1.29,164282,128440,9169,521
2021.1.30,164871,128800,9217,589
2021.1.31,165418,129293,9263,547
2021.2.1,165951,129636,9316,533
2021.2.2,166492,130107,9360,541
2021.2.3,167013,130514,9407,521
2021.2.4,167525,130912,9460,512
2021.2.5,168057,131211,9512,532
2021.2.6,168597,131632,9560,540
2021.2.7,169106,132054,9604,509
2021.2.8,169640,132375,9651,534
2021.2.9,170207,132698,9699,567
2021.2.10,170780,133098,9751,573
2021.2.11,171390,133331,9804,610
2021.2.12,171993,133707,9857,603
2021.2.13,172602,134215,9899,609
2021.2.14,173202,134638,9935,600
2021.2.15,173813,134960,9994,611
2021.2.16,174426,135349,10050,613
2021.2.17,175059,135670,10101,633
2021.2.18,175677,136081,10150,618
2021.2.19,176333,136490,10201,656
2021.2.20,176943,136889,10250,610
2021.2.21,177543,137294,10298,600
2021.2.22,178151,137837,10353,608
2021.2.23,178774,138183,10404,623
2021.2.24,179407,138683,10443,633
2021.2.25,180051,139072,10495,644
2021.2.26,180640,139494,10541,589
2021.2.27,181241,139927,10590,601
2021.2.28,181829,140460,10639,588
2021.3.1,182424,140892,10688,595
2021.3.2,183010,141347,10736,586
2021.3.3,183591,141655,10778,581
2021.3.4,184168,142155,10822,577
2021.3.5,184755,142610,10871,587
2021.3.6,185334,143143,10916,579
2021.3.7,185922,143575,10954,588
2021.3.8,186503,144019,10995,581
2021.3.9,187094,144485,11038,591
2021.3.10,187716,144917,11082,622
2021.3.11,188361,145418,11128,645
2021.3.12,189000,145923,11169,639
2021.3.13,189639,146434,11214,639
2021.3.14,190280,146803,11256,641
2021.3.15,190924,147234,11300,644
2021.3.16,191555,147767,11340,631
2021.3.17,192195,148089,11384,640
2021.3.18,192840,148424,11431,645
2021.3.19,193482,148823,11472,642
2021.3.20,194127,149256,11512,645
2021.3.21,194771,149489,11557,644
2021.3.22,195418,149934,11598,647
2021.3.23,196061,150424,11637,643
2021.3.24,196709,150924,11680,648
2021.3.25,197350,151444,11720,641
2021.3.26,198011,151765,11768,661
2021.3.27,198681,152198,11804,670
2021.3.28,199364,152642,11845,683
2021.3.29,200050,153175,11882,686
2021.3.30,200739,153630,11914,689
2021.3.31,201432,154194,11956,693
2021.4.1,202131,154694,11995,699
2021.4.2,202843,155016,12041,712
2021.4.3,203546,155448,12084,703
2021.4.4,204256,155886,12123,710
2021.4.5,204965,156219,12163,709
2021.4.6,205732,156574,12210,767
2021.4.7,206510,157006,12253,778
2021.4.8,207293,157450,12290,783
2021.4.9,208082,157889,12323,789
2021.4.10,208876,158454,12362,794
2021.4.11,209677,159054,12405,801
2021.4.12,210489,159499,12445,812
2021.4.13,211307,159999,12487,818
2021.4.14,212130,160431,12526,823
2021.4.15,212961,161031,12570,831
2021.4.16,213798,161470,12611,837
2021.4.17,214639,162170,12653,841
2021.4.18,215484,162714,12694,845
2021.4.19,216334,163479,12738,850
2021.4.20,217186,163812,12778,852
